,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,213.43,214.5,212.38,214.01,26.7797,17633200,0.0,1.0
2010-01-05,214.6,215.59,213.25,214.38,26.826,21496600,0.0,1.0
2010-01-06,214.38,215.23,210.75,210.97,26.3993,19720000,0.0,1.0
2010-01-07,211.75,212.0,209.05,210.58,26.3505,17040400,0.0,1.0
2010-01-08,210.3,212.0,209.06,211.98,26.5256,15986100,0.0,1.0
2010-01-11,212.8,213.0,208.45,210.11,26.2916,16508200,0.0,1.0
2010-01-12,209.19,209.77,206.42,207.72,25.9926,21230700,0.0,1.0
2010-01-13,207.87,210.93,204.1,210.65,26.3592,21639000,0.0,1.0
2010-01-14,210.11,210.46,209.02,209.43,26.2066,15460500,0.0,1.0
2010-01-15,210.93,211.6,205.87,205.93,25.7686,21216700,0.0,1.0
2010-01-19,208.33,215.19,207.24,215.04,26.9086,26071700,0.0,1.0
2010-01-20,214.91,215.55,209.5,211.725,26.4937,21862600,0.0,1.0
2010-01-21,212.08,213.3138,207.21,208.072,26.0366,21719800,0.0,1.0
2010-01-22,206.78,207.5,197.16,197.75,24.745,31491700,0.0,1.0
2010-01-25,202.51,204.7,200.19,203.075,25.4113,38060700,0.0,1.0
2010-01-26,205.95,213.71,202.58,205.94,25.7698,66682500,0.0,1.0
2010-01-27,206.85,210.58,199.531,207.884,26.0131,61520300,0.0,1.0
2010-01-28,204.93,205.5,198.7,199.29,24.9377,41910800,0.0,1.0
2010-01-29,201.08,202.2,190.25,192.063,24.0334,44498300,0.0,1.0
2010-02-01,192.37,196.0,191.3,194.73,24.3671,26781300,0.0,1.0
2010-02-02,195.91,196.32,193.38,195.86,24.5085,24940800,0.0,1.0
2010-02-03,195.17,200.2,194.42,199.23,24.9302,21976000,0.0,1.0
2010-02-04,196.73,198.37,191.57,192.05,24.0318,27059000,0.0,1.0
2010-02-05,192.625,196.0,190.85,195.46,24.4585,30368100,0.0,1.0
2010-02-08,195.69,197.88,194.0,194.12,24.2908,17081100,0.0,1.0
2010-02-09,196.42,197.5,194.75,196.19,24.5498,22603100,0.0,1.0
2010-02-10,195.89,196.6,194.26,195.116,24.4154,13227200,0.0,1.0
2010-02-11,194.88,199.75,194.06,198.67,24.8601,19655200,0.0,1.0
2010-02-12,198.11,201.64,195.5,200.38,25.0741,23409600,0.0,1.0
2010-02-16,201.94,203.69,201.52,203.4,25.452,19419200,0.0,1.0
2010-02-17,204.19,204.31,200.86,202.55,25.3456,15585600,0.0,1.0
2010-02-18,201.63,203.89,200.92,202.928,25.3929,15100900,0.0,1.0
2010-02-19,201.86,203.2,201.11,201.67,25.2355,14838200,0.0,1.0
2010-02-22,202.34,202.5,199.19,200.416,25.0786,13948700,0.0,1.0
2010-02-23,200.0,201.33,195.71,197.059,24.6585,20539100,0.0,1.0
2010-02-24,198.23,201.44,197.84,200.656,25.1086,16448800,0.0,1.0
2010-02-25,197.38,202.86,196.89,202.0,25.2768,23754500,0.0,1.0
2010-02-26,202.38,205.17,202.0,204.62,25.6047,18123600,0.0,1.0
2010-03-01,205.75,209.5,205.45,208.99,26.1515,19646200,0.0,1.0
2010-03-02,209.93,210.83,207.74,208.85,26.134,20233800,0.0,1.0
2010-03-03,208.94,209.87,207.94,209.33,26.194,13287600,0.0,1.0
2010-03-04,209.28,210.92,208.63,210.71,26.3667,13072900,0.0,1.0
2010-03-05,214.94,219.7,214.63,218.95,27.3978,32129300,0.0,1.0
2010-03-08,220.01,220.09,218.25,219.08,27.4141,15353200,0.0,1.0
2010-03-09,218.31,225.0,217.89,223.02,27.9071,32866400,0.0,1.0
2010-03-10,223.8295,225.48,223.2,224.84,28.1349,21293500,0.0,1.0
2010-03-11,223.91,225.5,223.32,225.5,28.2174,14489300,0.0,1.0
2010-03-12,227.37,227.73,225.75,226.6,28.3551,14868700,0.0,1.0
2010-03-15,225.38,225.5,220.25,223.84,28.0097,17625100,0.0,1.0
2010-03-16,224.18,224.98,222.51,224.45,28.0861,15961000,0.0,1.0
2010-03-17,224.9,226.45,223.27,224.12,28.0448,16105600,0.0,1.0
2010-03-18,224.1,225.0,222.61,224.65,28.1111,12218200,0.0,1.0
2010-03-19,224.79,225.24,221.23,222.2499,27.8107,19980200,0.0,1.0
2010-03-22,220.47,226.0,220.15,224.75,28.1236,16300700,0.0,1.0
2010-03-23,225.64,228.78,224.1,228.36,28.5753,21515400,0.0,1.0
2010-03-24,227.64,230.2,227.51,229.37,28.7017,21349300,0.0,1.0
2010-03-25,230.458,230.97,226.25,226.65,28.3613,19367300,0.0,1.0
2010-03-26,228.95,231.95,228.55,230.9,28.8932,22888400,0.0,1.0
2010-03-29,233.0,233.8699,231.62,232.39,29.0796,19312300,0.0,1.0
2010-03-30,236.6027,237.48,234.25,235.845,29.5119,18832500,0.0,1.0
2010-03-31,235.49,236.61,234.46,235.0,29.4062,15380700,0.0,1.0
2010-04-01,237.49,238.73,232.75,235.97,29.5276,21540900,0.0,1.0
2010-04-05,234.975,238.51,234.77,238.49,29.8429,24446700,0.0,1.0
2010-04-06,238.2,240.24,237.0,239.54,29.9743,15964900,0.0,1.0
2010-04-07,239.72,241.92,238.6601,240.6,30.1069,22446500,0.0,1.0
2010-04-08,240.44,241.54,238.04,239.95,30.0256,20463900,0.0,1.0
2010-04-09,241.43,241.89,240.46,241.79,30.2559,11935100,0.0,1.0
2010-04-12,242.2,243.07,241.81,242.29,30.3184,11893800,0.0,1.0
2010-04-13,241.86,242.8,241.11,242.43,30.3359,10936100,0.0,1.0
2010-04-14,245.28,245.81,244.07,245.69,30.7439,14431300,0.0,1.0
2010-04-15,245.78,249.03,245.51,248.92,31.1481,13456600,0.0,1.0
2010-04-16,248.57,251.14,244.55,247.4,30.9579,26805200,0.0,1.0
2010-04-19,247.03,247.89,241.77,247.07,30.9166,20247300,0.0,1.0
2010-04-20,248.54,249.25,242.955,244.59,30.6062,26368800,0.0,1.0
2010-04-21,258.805,260.25,255.73,259.22,32.4369,35085400,0.0,1.0
2010-04-22,258.24,266.75,256.2,266.4695,33.3441,28336600,0.0,1.0
2010-04-23,267.99,272.18,267.0,270.83,33.8897,28462700,0.0,1.0
2010-04-26,271.88,272.46,268.19,269.5,33.7233,17109600,0.0,1.0
2010-04-27,267.27,267.84,260.52,262.04,32.7898,25333700,0.0,1.0
2010-04-28,263.25,264.0,256.41,261.6,32.7347,27085800,0.0,1.0
2010-04-29,263.02,270.0,262.01,268.64,33.6157,19958600,0.0,1.0
2010-04-30,269.31,270.57,261.0,261.09,32.6709,19373700,0.0,1.0
2010-05-03,263.84,267.88,262.88,266.35,33.3291,16226500,0.0,1.0
2010-05-04,262.89,263.29,256.75,258.68,32.3693,25850700,0.0,1.0
2010-05-05,253.03,258.14,248.73,255.985,32.0321,31539400,0.0,1.0
2010-05-06,253.83,258.25,199.25,246.25,30.8139,45923600,0.0,1.0
2010-05-07,243.71,246.57,225.21,235.86,29.5138,59857800,0.0,1.0
2010-05-10,250.25,254.65,248.53,253.99,31.7825,35153800,0.0,1.0
2010-05-11,251.84,259.89,250.5,256.52,32.0991,30318100,0.0,1.0
2010-05-12,259.245,263.13,258.7,262.09,32.7961,23370700,0.0,1.0
2010-05-13,263.22,265.0,256.4,258.36,32.3293,21418300,0.0,1.0
2010-05-14,255.165,256.48,249.5,253.82,31.7612,27120100,0.0,1.0
2010-05-17,254.7,256.18,247.71,254.22,31.8113,27244100,0.0,1.0
2010-05-18,256.98,258.55,250.26,252.36,31.5785,27952800,0.0,1.0
2010-05-19,249.5,252.92,244.85,248.34,31.0755,36633100,0.0,1.0
2010-05-20,241.88,243.85,236.21,237.76,29.7516,45818400,0.0,1.0
2010-05-21,232.82,244.5,231.35,242.32,30.3222,43710400,0.0,1.0
2010-05-24,247.28,250.9,246.26,246.76,30.8778,26937100,0.0,1.0
2010-05-25,239.35,246.76,237.16,245.22,30.6851,37428800,0.0,1.0
2010-05-26,250.08,252.13,243.75,244.109,30.546,30380500,0.0,1.0
2010-05-27,250.6,253.89,249.11,253.35,31.7024,23795800,0.0,1.0
2010-05-28,259.3881,259.4,253.35,256.88,32.1441,29129100,0.0,1.0
2010-06-01,259.69,265.94,258.96,260.83,32.6384,31302600,0.0,1.0
2010-06-02,264.54,264.8,260.335,263.95,33.0288,24591000,0.0,1.0
2010-06-03,265.18,265.55,260.41,263.12,32.9249,23218100,0.0,1.0
2010-06-04,258.21,261.9,254.63,255.965,32.0296,27082300,0.0,1.0
2010-06-07,258.29,259.15,250.55,250.94,31.4008,31676500,0.0,1.0
2010-06-08,253.24,253.8,245.65,249.33,31.1994,35741800,0.0,1.0
2010-06-09,251.47,251.9,242.49,243.2,30.4323,30522500,0.0,1.0
2010-06-10,244.84,250.98,242.2,250.51,31.347,27727000,0.0,1.0
2010-06-11,248.225,253.86,247.37,253.51,31.7224,19491400,0.0,1.0
2010-06-14,255.96,259.15,254.01,254.28,31.8188,21534300,0.0,1.0
2010-06-15,255.64,259.85,255.5,259.69,32.4957,20895500,0.0,1.0
2010-06-16,261.1,267.75,260.6302,267.25,33.4417,27988500,0.0,1.0
2010-06-17,270.6,272.9,269.5,271.87,34.0199,31173400,0.0,1.0
2010-06-18,272.25,275.0,271.42,274.074,34.2956,28022200,0.0,1.0
2010-06-21,277.69,279.01,268.73,270.17,33.8071,27731800,0.0,1.0
2010-06-22,272.16,275.97,271.5,273.85,34.2676,25616500,0.0,1.0
2010-06-23,274.58,274.66,267.9,270.97,33.9072,27444900,0.0,1.0
2010-06-24,271.0,273.195,268.1,269.0,33.6607,25509900,0.0,1.0
2010-06-25,270.06,270.27,265.81,266.7,33.3729,19640800,0.0,1.0
2010-06-28,266.93,269.75,264.52,268.3,33.5731,20891000,0.0,1.0
2010-06-29,264.1205,264.39,254.3,256.17,32.0553,40476600,0.0,1.0
2010-06-30,256.71,257.97,250.01,251.53,31.4746,26409000,0.0,1.0
2010-07-01,254.3,254.8,243.22,248.48,31.093,36532000,0.0,1.0
2010-07-02,250.49,250.93,243.2,246.94,30.9003,24780100,0.0,1.0
