,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,5.73,5.73,5.49,5.65,28.0135,316500,0.0,1.0
2010-01-05,5.66,5.68,5.53,5.56,27.5673,222500,0.0,1.0
2010-01-06,5.56,5.63,5.3,5.37,26.6253,417500,0.0,1.0
2010-01-07,5.39,5.46,5.3,5.39,26.7244,287500,0.0,1.0
2010-01-08,5.43,5.43,5.25,5.3,26.2782,152000,0.0,1.0
2010-01-11,5.3,5.34,5.23,5.31,26.3278,165000,0.0,1.0
2010-01-12,5.3,5.32,5.2,5.23,25.9311,228000,0.0,1.0
2010-01-13,5.23,5.29,5.17,5.19,25.7328,119500,0.0,1.0
2010-01-14,5.2,5.32,5.19,5.23,25.9311,189500,0.0,1.0
2010-01-15,5.26,5.36,5.18,5.31,26.3278,522500,0.0,1.0
2010-01-19,5.34,5.45,5.34,5.45,27.0219,218500,0.0,1.0
2010-01-20,5.43,5.5,5.26,5.28,26.179,177500,0.0,1.0
2010-01-21,5.27,5.33,5.21,5.25,26.0303,297000,0.0,1.0
2010-01-22,5.21,5.2501,5.16,5.16,25.584,167500,0.0,1.0
2010-01-25,5.2,5.27,5.08,5.11,25.3361,123500,0.0,1.0
2010-01-26,5.09,5.18,4.91,4.92,24.3941,302000,0.0,1.0
2010-01-27,4.9,4.9295,4.7635,4.91,24.3445,204000,0.0,1.0
2010-01-28,4.98,5.03,4.87,4.89,24.2453,119500,0.0,1.0
2010-01-29,4.86,5.05,4.69,5.03,24.9395,318500,0.0,1.0
2010-02-01,4.99,5.13,4.93,5.02,24.8899,106000,0.0,1.0
2010-02-02,5.01,5.22,5.0,5.19,25.7328,234500,0.0,1.0
2010-02-03,5.19,5.19,4.97,5.03,24.9395,95500,0.0,1.0
2010-02-04,4.99,5.04,4.82,4.87,24.1462,119000,0.0,1.0
2010-02-05,4.9,4.9,4.761,4.79,23.7495,75500,0.0,1.0
2010-02-08,4.77,5.03,4.77,4.94,24.4932,272000,0.0,1.0
2010-02-09,4.99,5.0,4.89,4.98,24.6916,56000,0.0,1.0
2010-02-10,4.98,4.99,4.75,4.86,24.0966,173500,0.0,1.0
2010-02-11,4.85,5.05,4.77,5.04,24.9891,95000,0.0,1.0
2010-02-12,5.01,5.0595,4.88,5.01,24.8403,68500,0.0,1.0
2010-02-16,5.02,5.02,4.9,4.94,24.4932,60500,0.0,1.0
2010-02-17,4.98,5.2,4.96,5.1,25.2866,138500,0.0,1.0
2010-02-18,5.11,5.18,5.02,5.16,25.584,88500,0.0,1.0
2010-02-19,5.17,5.18,5.07,5.15,25.5345,81000,0.0,1.0
2010-02-22,5.17,5.17,5.05,5.11,25.3361,31000,0.0,1.0
2010-02-23,5.12,5.17,4.96,5.12,25.3857,66000,0.0,1.0
2010-02-24,5.12,5.14,5.04,5.14,25.4849,49000,0.0,1.0
2010-02-25,5.07,5.11,5.0575,5.11,25.3361,47000,0.0,1.0
2010-02-26,5.1,5.1,4.95,4.99,24.7412,59500,0.0,1.0
2010-03-01,5.0,5.022,4.89,4.93,24.4437,160500,0.0,1.0
2010-03-02,4.95,4.9595,4.88,4.91,24.3445,109500,0.0,1.0
2010-03-03,4.93,4.97,4.86,4.91,24.3445,175000,0.0,1.0
2010-03-04,4.94,4.94,4.76,4.92,24.3941,118000,0.0,1.0
