,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2014-09-30,20.02,20.02,19.82,19.82,18.6371,6803,0.0,1.0
2014-10-01,19.57,19.57,19.456,19.456,18.2948,8570,0.0,1.0
2014-10-02,19.33,19.58,19.33,19.58,18.4114,15550,0.0,1.0
2014-10-03,19.81,19.84,19.806,19.84,18.6559,8510,0.0,1.0
2014-10-06,19.93,19.93,19.71,19.71,18.5337,5337,0.0,1.0
2014-10-07,19.57,19.57,19.5,19.5,18.3362,4822,0.0,1.0
2014-10-08,19.35,19.56,19.19,19.56,18.3926,4108,0.0,1.0
2014-10-09,19.53,19.53,19.09,19.2,18.0541,6773,0.0,1.0
2014-10-10,19.12,19.12,18.67,18.67,17.5557,4278,0.0,1.0
2014-10-13,18.66,18.75,18.5399,18.75,17.631,3931,0.0,1.0
2014-10-14,18.65,18.67,18.65,18.664,17.5501,9051,0.0,1.0
2014-10-15,18.59,18.59,18.414,18.414,17.315,2900,0.0,1.0
2014-10-16,18.7,19.02,18.63,19.02,17.8849,3825,0.0,1.0
2014-10-17,19.22,19.22,18.96,19.051,17.914,6320,0.0,1.0
2014-10-20,19.09,19.15,19.08,19.15,18.0071,7988,0.0,1.0
2014-10-21,19.34,19.54,19.3352,19.53,18.3644,15084,0.0,1.0
2014-10-22,19.59,19.59,19.3,19.3,18.1481,6859,0.0,1.0
2014-10-23,19.37,19.54,19.37,19.45,18.2892,3852,0.0,1.0
2014-10-24,19.4,19.4,19.38,19.4,18.2422,2840,0.0,1.0
2014-10-27,19.39,19.39,19.27,19.39,18.2328,7396,0.0,1.0
2014-10-28,19.5,19.918,19.49,19.918,18.7293,20317,0.0,1.0
2014-10-29,20.19,20.19,19.54,19.66,18.4867,12336,0.0,1.0
2014-10-30,19.54,19.54,19.54,19.54,18.3738,2550,0.0,1.0
2014-10-31,19.976,20.06,19.976,20.06,18.8628,648,0.0,1.0
2014-11-03,20.03,20.11,19.98,19.98,18.7876,4032,0.0,1.0
2014-11-04,19.98,19.98,19.84,19.8618,18.6764,1126,0.0,1.0
2014-11-05,19.81,19.81,19.72,19.72,18.5431,650,0.0,1.0
2014-11-06,19.7,19.87,19.7,19.87,18.6841,950,0.0,1.0
2014-11-07,19.88,19.88,19.732,19.732,18.5544,900,0.0,1.0
2014-11-10,19.9,19.95,19.87,19.93,18.7405,3402,0.0,1.0
2014-11-11,20.15,20.15,19.9605,20.08,18.8816,1390,0.0,1.0
2014-11-12,20.05,20.06,19.9699,20.0453,18.849,1409,0.0,1.0
2014-11-13,20.149,20.149,20.0835,20.0835,18.8849,1800,0.0,1.0
2014-11-14,20.14,20.21,20.14,20.21,19.0038,380,0.0,1.0
2014-11-17,20.21,20.22,20.21,20.22,19.0132,650,0.0,1.0
2014-11-18,20.39,20.39,20.31,20.31,19.0979,350,0.0,1.0
2014-11-19,20.17,20.19,20.1199,20.13,18.9286,1038,0.0,1.0
2014-11-20,20.12,20.12,20.12,20.12,18.9192,288,0.0,1.0
2014-11-21,20.36,20.36,20.308,20.308,19.096,456,0.0,1.0
2014-11-24,20.37,20.47,20.37,20.468,19.2464,514,0.0,1.0
2014-11-25,20.46,20.46,20.46,20.46,19.2389,261,0.0,1.0
2014-11-26,20.46,20.46,20.46,20.46,19.2389,257,0.0,1.0
2014-11-28,20.45,20.45,20.4381,20.4381,19.2183,375,0.0,1.0
2014-12-01,20.17,20.17,20.0,20.0,18.8064,2100,0.0,1.0
2014-12-02,19.946,20.05,19.946,20.022,18.8271,1110,0.0,1.0
2014-12-03,20.17,20.17,20.17,20.17,18.9662,250,0.0,1.0
2014-12-04,20.11,20.1499,20.11,20.1499,18.9473,350,0.0,1.0
