,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2014-09-30,20.06,20.06,19.92,19.99,16.9298,5501,0.0,1.0
2014-10-01,19.6499,19.66,19.551,19.551,16.558,8075,0.0,1.0
2014-10-02,19.4,19.45,19.4,19.43,16.4555,15487,0.0,1.0
2014-10-03,20.11,20.17,20.084,20.14,17.0568,8340,0.0,1.0
2014-10-06,20.23,20.23,19.968,19.968,16.9112,5050,0.0,1.0
2014-10-07,19.849,19.85,19.8,19.8,16.7689,4550,0.0,1.0
2014-10-08,19.57,19.93,19.42,19.93,16.879,4222,0.0,1.0
2014-10-09,19.91,19.96,19.59,19.65,16.6418,16417,0.0,1.0
2014-10-10,19.59,19.59,18.949,18.949,16.0482,3335,0.0,1.0
2014-10-13,18.89,18.97,18.71,18.966,16.0626,4011,0.0,1.0
2014-10-14,18.8199,18.8199,18.69,18.76,15.8881,5178,0.0,1.0
2014-10-15,18.46,18.65,18.441,18.441,15.6179,3475,0.0,1.0
2014-10-16,18.58,18.95,18.58,18.95,16.049,3845,0.0,1.0
2014-10-17,18.99,19.01,18.8,18.87,15.9813,6758,0.0,1.0
2014-10-20,18.98,19.06,18.98,19.06,16.1422,4980,0.0,1.0
2014-10-21,19.29,19.58,19.28,19.56,16.5656,10476,0.0,1.0
2014-10-22,19.55,19.57,19.3968,19.3968,16.4274,3320,0.0,1.0
2014-10-23,19.56,19.6,19.56,19.6,16.5995,5215,0.0,1.0
2014-10-24,19.72,19.7301,19.72,19.7301,16.7097,3605,0.0,1.0
2014-10-27,19.74,19.74,19.65,19.66,16.6503,7237,0.0,1.0
2014-10-28,19.71,20.08,19.7099,20.08,17.006,5983,0.0,1.0
2014-10-29,19.91,19.91,19.73,19.7999,16.7688,5050,0.0,1.0
2014-10-30,19.77,19.81,19.58,19.81,16.7774,5330,0.0,1.0
2014-10-31,20.3101,20.34,20.31,20.33,17.2177,1300,0.0,1.0
2014-11-03,20.44,20.53,20.4,20.4,17.277,2177,0.0,1.0
2014-11-04,20.29,20.4,20.29,20.4,17.277,756,0.0,1.0
2014-11-05,20.4932,20.4932,20.2,20.2,17.1076,1950,0.0,1.0
2014-11-06,20.19,20.28,20.15,20.2777,17.1735,1445,0.0,1.0
2014-11-07,20.3,20.3,20.17,20.17,17.0822,450,0.0,1.0
2014-11-10,20.39,20.45,20.39,20.45,17.3194,2555,0.0,1.0
2014-11-11,20.3705,20.3705,20.37,20.37,17.2516,550,0.0,1.0
2014-11-12,20.39,20.48,20.3372,20.4698,17.3361,2042,0.0,1.0
2014-11-13,20.47,20.47,20.4117,20.4117,17.2869,1525,0.0,1.0
2014-11-14,20.52,20.747,20.52,20.747,17.5709,404,0.0,1.0
2014-11-17,20.7,20.7,20.7,20.7,17.5311,304,0.0,1.0
2014-11-18,20.63,20.63,20.5599,20.5599,17.4125,476,0.0,1.0
2014-11-19,20.48,20.48,20.236,20.236,17.1381,2099,0.0,1.0
2014-11-20,20.34,20.34,20.34,20.34,17.2262,250,0.0,1.0
2014-11-21,20.75,20.75,20.39,20.41,17.2855,3939,0.0,1.0
2014-11-24,20.49,20.57,20.45,20.57,17.421,2479,0.0,1.0
2014-11-25,20.58,20.58,20.5,20.55,17.4041,1225,0.0,1.0
2014-11-26,20.6,20.62,20.5999,20.602,17.4481,7060,0.0,1.0
2014-11-28,20.72,20.72,20.7089,20.7089,17.5386,1350,0.0,1.0
2014-12-01,20.7,20.7,20.2,20.2,17.1076,1545,0.0,1.0
2014-12-02,20.119,20.199,20.119,20.199,17.1068,350,0.0,1.0
2014-12-03,20.23,20.23,20.23,20.23,17.1331,250,0.0,1.0
2014-12-04,20.25,20.25,20.218,20.25,17.15,1125,0.0,1.0
2014-12-05,20.34,20.34,20.33,20.3399,17.2261,1775,0.0,1.0
2014-12-08,20.319,20.319,20.0599,20.0599,16.989,608,0.0,1.0
2014-12-09,19.72,20.0212,19.72,20.0212,16.9562,645,0.0,1.0
2014-12-10,20.02,20.02,20.02,20.02,16.9552,250,0.0,1.0
2014-12-11,20.06,20.1299,20.05,20.06,16.9891,4755,0.0,1.0
2014-12-12,20.06,20.06,20.06,20.06,16.9891,280,0.0,1.0
2014-12-15,19.96,19.96,19.65,19.73,16.7096,777,0.0,1.0
2014-12-16,19.63,19.63,19.28,19.28,16.3285,1105,0.0,1.0
2014-12-17,19.4899,19.4899,19.4899,19.4899,16.5063,302,0.0,1.0
2014-12-18,20.29,20.3099,20.17,20.1948,17.1032,1249,0.0,1.0
2014-12-19,20.49,20.49,20.47,20.47,17.3363,425,0.0,1.0
2014-12-22,20.67,20.67,20.66,20.66,17.4972,284,0.0,1.0
2014-12-23,20.69,20.75,20.69,20.73,17.5565,1875,0.0,1.0
2014-12-24,20.879,20.879,20.7967,20.8152,17.6287,1065,0.0,1.0
2014-12-26,20.949,20.96,20.939,20.939,17.7335,345,0.0,1.0
2014-12-29,20.81,20.83,20.81,20.82,17.6327,747,0.0,1.0
2014-12-30,20.65,20.65,20.5499,20.55,17.4041,1654,0.0,1.0
2014-12-31,20.65,20.73,20.53,20.53,17.3871,3595,0.0,1.0
2015-01-02,20.4901,20.519,20.28,20.32,17.2093,976,0.0,1.0
2015-01-05,20.31,20.31,20.0,20.0099,16.9466,1951,0.0,1.0
2015-01-06,20.1599,20.1599,19.81,19.834,16.7977,1950,0.0,1.0
2015-01-07,20.1,20.1,20.0123,20.0336,16.9667,500,0.0,1.0
2015-01-08,20.5,20.5,20.449,20.449,17.3185,421,0.0,1.0
2015-01-09,20.5,20.5,20.38,20.41,17.2855,734,0.0,1.0
2015-01-12,20.3,20.3,20.132,20.14,17.0568,700,0.0,1.0
2015-01-13,20.37,20.37,20.0,20.0,16.9383,248,0.0,1.0
2015-01-14,20.09,20.09,19.83,19.9299,16.8789,1750,0.0,1.0
2015-01-15,19.9448,19.9448,19.86,19.86,16.8197,400,0.0,1.0
2015-01-16,19.689,19.689,19.689,19.689,16.6749,265,0.0,1.0
2015-01-20,19.8,20.08,19.8,20.046,16.9772,3732,0.0,1.0
2015-01-21,20.42,20.5,20.3699,20.44,17.3109,4215,0.0,1.0
2015-01-22,20.5,20.7636,20.35,20.7636,17.585,4551,0.0,1.0
2015-01-23,20.96,21.03,20.942,20.942,17.7361,1326,0.0,1.0
2015-01-26,21.28,21.28,20.94,21.01,17.7936,1923,0.0,1.0
2015-01-27,20.68,20.83,20.5392,20.72,17.548,5105,0.0,1.0
2015-01-28,20.88,20.88,20.45,20.45,17.3194,3580,0.0,1.0
2015-01-29,20.0,20.55,20.0,20.55,17.4041,3324,0.0,1.0
2015-01-30,20.48,20.48,20.45,20.47,17.3363,476,0.0,1.0
2015-02-02,20.12,20.34,20.12,20.34,17.2262,3500,0.0,1.0
2015-02-03,20.7,20.73,20.61,20.73,17.5565,5360,0.0,1.0
2015-02-04,20.965,20.98,20.965,20.98,17.7682,250,0.0,1.0
2015-02-05,21.24,21.3299,21.24,21.3299,18.0646,1428,0.0,1.0
2015-02-06,21.45,21.47,21.45,21.47,18.1832,1110,0.0,1.0
2015-02-09,21.34,21.34,21.12,21.12,17.8868,585,0.0,1.0
2015-02-10,21.25,21.3,21.25,21.3,18.0393,400,0.0,1.0
2015-02-11,21.46,21.46,21.46,21.46,18.1748,198,0.0,1.0
2015-02-12,21.6199,21.6199,21.6199,21.6199,18.3102,138,0.0,1.0
2015-02-13,21.9,21.9,21.8231,21.832,18.4898,1500,0.0,1.0
2015-02-17,22.04,22.04,21.9,21.9,18.5474,1975,0.0,1.0
2015-02-18,21.984,21.984,21.984,21.984,18.6185,250,0.0,1.0
2015-02-19,22.182,22.2156,22.182,22.2156,18.8147,210,0.0,1.0
2015-02-20,22.35,22.3699,22.35,22.3699,18.9454,491,0.0,1.0
2015-02-23,22.36,22.36,22.24,22.2599,18.8522,1431,0.0,1.0
2015-02-24,22.39,22.39,22.136,22.136,18.7473,2927,0.0,1.0
2015-02-25,22.18,22.3,22.18,22.24,18.8353,11908,0.0,1.0
2015-02-26,22.37,22.53,22.35,22.37,18.9454,7841,0.0,1.0
2015-02-27,22.61,22.61,22.16,22.16,18.7676,6090,0.0,1.0
2015-03-02,22.53,22.53,22.286,22.41,18.9793,4106,0.0,1.0
2015-03-03,22.32,22.32,22.136,22.136,18.7473,3625,0.0,1.0
2015-03-04,22.0,22.0,21.9664,22.0,18.6321,810,0.0,1.0
2015-03-05,22.1599,22.1599,22.014,22.014,18.6439,412,0.0,1.0
2015-03-06,22.01,22.01,21.82,21.82,18.4796,867,0.0,1.0
2015-03-09,21.94,21.94,21.65,21.6501,18.3358,4011,0.0,1.0
2015-03-10,21.55,21.55,21.3701,21.3796,18.1067,1846,0.0,1.0
2015-03-11,21.4401,21.497,21.44,21.497,18.2061,763,0.0,1.0
2015-03-12,21.6499,21.6499,21.6499,21.6499,18.3356,166,0.0,1.0
2015-03-13,21.65,21.74,21.481,21.54,18.2425,1168,0.0,1.0
2015-03-16,21.6705,21.6929,21.6,21.69,18.3695,2013,0.0,1.0
2015-03-17,23.0,23.0,21.6401,21.6401,18.3273,949,0.0,1.0
2015-03-18,21.66,21.74,21.66,21.74,18.4119,1539,0.0,1.0
2015-03-19,21.9901,21.9901,21.9901,21.9901,18.6237,376,0.0,1.0
2015-03-20,22.0,22.365,22.0,22.34,18.92,4784,0.0,1.0
2015-03-23,22.48,22.48,22.2,22.36,18.937,4639,0.0,1.0
2015-03-24,22.291,22.291,22.291,22.291,18.8785,201,0.0,1.0
2015-03-25,21.75,21.75,21.69,21.69,18.3695,426,0.0,1.0
2015-03-26,21.5,21.71,21.5,21.71,18.3865,2260,0.0,1.0
2015-03-27,21.7428,21.8599,21.7428,21.8599,18.5134,341,0.0,1.0
2015-03-30,21.89,22.0436,21.89,22.0,18.6321,1797,0.0,1.0
2015-03-31,22.01,22.01,22.01,22.01,18.6406,245,0.0,1.0
2015-04-01,22.17,22.17,21.6,21.63,18.3187,2661,0.0,1.0
2015-04-02,21.68,21.6801,21.68,21.6801,18.3612,453,0.0,1.0
2015-04-06,21.68,22.1,21.68,22.1,18.7168,1565,0.0,1.0
2015-04-07,22.2399,22.24,22.09,22.09,18.7083,2589,0.0,1.0
