,open,high,low,close,volume
2018-08-01,25.0497,25.16,25.0497,25.14,10831
2018-08-02,24.94,25.25,24.94,25.219,7487
2018-08-03,25.25,25.27,25.2108,25.2498,7030
2018-08-06,25.21,25.25,25.135,25.25,29597
2018-08-07,25.439,25.4455,25.4,25.4083,3769
2018-08-08,25.37,25.37,25.349,25.37,3186
2018-08-09,25.29,25.42,25.27,25.27,1903
2018-08-10,24.88,24.92,24.824,24.84,2071
2018-08-13,24.9075,24.9091,24.7348,24.762,1662
2018-08-14,24.8,24.8,24.759,24.759,407
2018-08-15,24.2474,24.29,24.1879,24.25,4172
2018-08-16,24.4986,24.4986,24.4184,24.439,2739
2018-08-17,24.35,24.48,24.33,24.48,1168
2018-08-20,24.66,24.73,24.5954,24.71,8212
2018-08-21,24.71,24.869,24.71,24.84,946
2018-08-22,24.84,24.94,24.828,24.94,1855
2018-08-23,24.93,24.97,24.93,24.97,1445
2018-08-24,25.27,25.27,25.2506,25.26,1890
2018-08-27,25.47,25.64,25.47,25.55,7776
2018-08-28,25.57,25.61,25.5,25.56,3380
2018-08-29,25.628,25.7307,25.628,25.73,1689
2018-08-30,25.72,25.74,25.69,25.69,1680
2018-08-31,25.53,25.65,25.53,25.645,5267
2018-09-04,25.56,25.6325,25.4648,25.6325,3221
2018-09-05,25.25,25.331,25.25,25.331,2068
2018-09-06,25.22,25.22,25.05,25.13,3519
2018-09-07,24.95,24.999,24.92,24.999,2839
2018-09-10,25.01,25.06,24.97,25.06,3183
2018-09-11,24.97,25.039,24.97,25.022,1227
2018-09-12,24.95,25.1414,24.88,25.1414,1460
2018-09-13,25.3,25.41,25.2159,25.24,5239
2018-09-14,25.32,25.37,25.32,25.37,1754
2018-09-17,25.28,25.28,25.2483,25.2483,508
2018-09-18,25.2145,25.24,25.2145,25.23,394
2018-09-19,25.2,25.23,25.16,25.22,1032
2018-09-20,25.33,25.47,25.33,25.47,350
2018-09-21,25.4,25.4,25.3885,25.3885,1101
2018-09-24,25.28,25.43,25.28,25.3,1707
2018-09-25,25.421,25.435,25.41,25.41,3806
2018-09-26,25.47,25.6,25.441,25.45,4895
2018-09-27,25.5003,25.5003,25.5003,25.5003,308
2018-09-28,25.42,25.42,25.42,25.42,376
2018-10-01,25.6199,25.6199,25.5455,25.5455,873
2018-10-02,25.34,25.35,25.32,25.32,500
2018-10-03,25.27,25.27,25.1699,25.1699,968
2018-10-04,24.97,24.97,24.61,24.61,2700
2018-10-05,24.491,24.491,24.2399,24.2399,1954
2018-10-08,24.03,24.075,23.8675,24.0463,1801
2018-10-09,23.83,23.8641,23.83,23.8641,788
2018-10-10,23.45,23.45,23.0,23.0,1800
2018-10-11,22.76,22.915,22.68,22.915,852
2018-10-12,23.0299,23.0299,22.81,22.81,820
2018-10-15,23.02,23.049,23.0199,23.049,741
2018-10-16,23.37,23.37,23.37,23.37,292
2018-10-17,23.42,23.42,23.42,23.42,358
2018-10-18,23.2495,23.259,23.2495,23.255,660
2018-10-19,23.03,23.14,22.8,22.8,1594
2018-10-22,22.7319,22.84,22.7319,22.84,1648
2018-10-23,22.1,22.1,22.1,22.1,170
2018-10-24,22.42,22.42,22.0,22.0,534
2018-10-25,21.72,21.72,21.7147,21.7147,458
2018-10-26,21.15,21.2047,21.15,21.2,735
2018-10-29,21.32,21.32,21.32,21.32,257
2018-10-30,21.21,21.38,21.21,21.38,1257
2018-10-31,21.38,21.38,21.38,21.38,63
2018-11-01,21.38,21.38,21.38,21.38,123
2018-11-02,22.26,22.26,22.26,22.26,190
2018-11-05,22.25,22.25,21.9795,22.1499,595
2018-11-06,22.24,22.26,22.1798,22.1798,4756
2018-11-07,22.6999,22.6999,22.605,22.605,404
2018-11-08,22.5,22.5,22.41,22.41,5159
2018-11-09,22.41,22.41,22.41,22.41,367
2018-11-12,22.41,22.41,22.41,22.41,40
2018-11-13,21.48,21.79,21.48,21.79,800
2018-11-14,21.79,21.79,21.79,21.79,121
2018-11-15,21.41,21.8499,21.41,21.8499,605
2018-11-16,21.6297,21.71,21.6297,21.71,580
2018-11-19,21.42,21.42,21.42,21.42,796
2018-11-20,20.64,20.64,20.64,20.64,130
2018-11-21,21.07,21.07,21.02,21.02,258
2018-11-23,21.02,21.02,21.02,21.02,50
