,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-07-07,20.0,20.05,19.4,20.02,19.6566,81249,0.0,1.0
2015-07-08,20.0,20.1,19.6,19.8,19.4406,111571,0.0,1.0
2015-07-09,20.12,20.58,19.98,20.04,19.6763,249536,0.0,1.0
2015-07-10,20.46,20.46,20.15,20.31,19.9414,155719,0.0,1.0
2015-07-13,20.64,20.84,20.3,20.36,19.9905,144996,0.0,1.0
2015-07-14,20.51,20.62,20.36,20.62,20.2457,215467,0.0,1.0
2015-07-15,20.73,20.73,20.3,20.38,20.0101,204622,0.0,1.0
2015-07-16,20.55,20.55,20.32,20.52,20.1475,221567,0.0,1.0
2015-07-17,20.6,20.6,20.37,20.49,20.1181,218569,0.0,1.0
2015-07-20,20.59,20.59,20.25,20.34,19.9708,282185,0.0,1.0
2015-07-21,20.39,20.4404,20.08,20.17,19.8039,291038,0.0,1.0
2015-07-22,20.0,20.2,20.0,20.1,19.7352,190175,0.0,1.0
2015-07-23,20.38,20.76,20.23,20.49,20.1181,251765,0.0,1.0
2015-07-24,20.65,20.7,20.25,20.35,19.9806,135933,0.0,1.0
2015-07-27,20.2,20.2,19.785,19.85,19.4897,134532,0.0,1.0
2015-07-28,20.0,20.05,19.68,20.05,19.6861,159911,0.0,1.0
2015-07-29,19.92,20.05,19.7,19.948,19.5859,153624,0.0,1.0
2015-07-30,20.14,20.14,19.75,20.01,19.6468,130048,0.0,1.0
2015-07-31,20.11,20.13,19.955,19.96,19.5977,200178,0.0,1.0
2015-08-03,19.94,19.94,19.6,19.8,19.4406,77741,0.0,1.0
2015-08-04,19.66,19.93,19.66,19.79,19.4308,90687,0.0,1.0
2015-08-05,20.02,20.22,19.9668,20.06,19.6959,124292,0.0,1.0
2015-08-06,20.13,20.13,19.48,19.57,19.2148,131380,0.0,1.0
2015-08-07,19.73,19.74,19.44,19.6458,19.2892,124196,0.0,1.0
2015-08-10,19.9,20.0588,19.8399,20.05,19.6861,93222,0.0,1.0
2015-08-11,19.85,19.9,19.48,19.61,19.2541,101578,0.0,1.0
2015-08-12,19.5,19.51,19.0743,19.46,19.1068,115257,0.0,1.0
2015-08-13,19.56,19.67,19.47,19.55,19.1952,95955,0.0,1.0
2015-08-14,19.62,19.6496,19.4937,19.64,19.2835,100285,0.0,1.0
2015-08-17,19.61,19.8,19.481,19.77,19.4112,97871,0.0,1.0
2015-08-18,19.83,19.83,19.5601,19.5785,19.2231,67822,0.0,1.0
2015-08-19,19.55,19.5894,19.36,19.46,19.1068,90689,0.0,1.0
2015-08-20,19.34,19.34,18.54,18.54,18.2035,142695,0.0,1.0
