,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-22,25.78,25.89,24.95,24.97,22.1071,83882,0.0,1.0
2010-01-25,25.26,25.41,25.1105,25.15,22.2665,9100,0.0,1.0
2010-01-26,24.52,24.6318,24.17,24.32,21.5316,36905,0.0,1.0
2010-01-27,24.04,24.13,23.7805,24.08,21.3192,26528,0.0,1.0
2010-01-28,24.21,24.46,23.91,24.05,21.2926,32080,0.0,1.0
2010-01-29,24.18,24.51,24.0,24.08,21.3192,15674,0.0,1.0
2010-02-01,24.43,24.62,24.368,24.54,21.7264,5934,0.0,1.0
2010-02-02,24.69,24.98,24.5,24.89,22.0363,24882,0.0,1.0
2010-02-03,24.98,25.23,24.98,25.12,22.2399,14095,0.0,1.0
2010-02-04,24.98,24.98,24.18,24.26,21.4785,39174,0.0,1.0
2010-02-05,23.76,23.93,23.36,23.93,21.1864,26677,0.0,1.0
2010-02-08,23.9007,24.0,23.71,23.71,20.9916,13508,0.0,1.0
2010-02-09,23.95,24.15,23.71,23.89,21.1509,30443,0.0,1.0
2010-02-10,23.9,24.24,23.9,24.16,21.39,27413,0.0,1.0
2010-02-11,24.41,24.72,24.39,24.64,21.815,6700,0.0,1.0
2010-02-12,24.5,24.66,24.4,24.66,21.8327,14749,0.0,1.0
2010-02-16,24.78,25.06,24.78,24.97,22.1071,6424,0.0,1.0
2010-02-17,25.2332,25.25,25.0425,25.1,22.2222,3000,0.0,1.0
2010-02-18,24.98,25.36,24.98,25.27,22.3727,6886,0.0,1.0
2010-02-19,24.92,25.18,24.85,25.04,22.1691,20500,0.0,1.0
2010-02-22,25.49,25.5,25.29,25.43,22.5144,89360,0.0,1.0
2010-02-23,25.41,25.51,25.04,25.04,22.1691,14869,0.0,1.0
2010-02-24,25.45,25.59,25.41,25.59,22.656,6700,0.0,1.0
2010-02-25,25.13,25.4188,24.91,25.41,22.4967,8570,0.0,1.0
2010-02-26,25.47,25.83,25.47,25.83,22.8685,13096,0.0,1.0
2010-03-01,25.89,25.93,25.79,25.93,22.9571,19697,0.0,1.0
2010-03-02,26.35,26.4,26.1701,26.24,23.2315,20416,0.0,1.0
2010-03-03,26.29,26.29,26.0,26.1,23.1076,54219,0.0,1.0
2010-03-04,25.94,25.98,25.72,25.94,22.9659,6867,0.0,1.0
2010-03-05,26.26,26.59,26.26,26.57,23.5237,11884,0.0,1.0
2010-03-08,26.83,26.99,26.83,26.95,23.8601,6522,0.0,1.0
2010-03-09,26.88,27.23,26.83,27.0,23.9044,12511,0.0,1.0
2010-03-10,27.22,27.36,27.1912,27.28,24.1523,20892,0.0,1.0
2010-03-11,27.29,27.46,27.2068,27.46,24.3116,15733,0.0,1.0
2010-03-12,27.49,27.49,27.16,27.16,24.046,7388,0.0,1.0
2010-03-15,27.29,27.3801,27.16,27.31,24.1788,17494,0.0,1.0
2010-03-16,27.54,27.59,27.42,27.59,24.4267,17029,0.0,1.0
2010-03-17,27.72,27.81,27.59,27.679,24.5055,82927,0.0,1.0
2010-03-18,27.71,27.74,27.55,27.71,24.533,72296,0.0,1.0
2010-03-19,27.62,27.62,27.34,27.34,24.2054,6005,0.0,1.0
2010-03-22,27.3,27.59,27.1701,27.58,24.4179,27308,0.0,1.0
2010-03-23,27.34,27.34,27.1801,27.3215,24.189,19919,0.0,1.0
