,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,36.54,37.0,36.37,36.66,17.0354,2068100,0.0,1.0
2010-01-05,36.76,36.99,36.69,36.72,17.0633,3450100,0.0,1.0
2010-01-06,36.54,36.54,35.22,35.28,16.3941,5333000,0.0,1.0
2010-01-07,35.42,35.49,34.83,34.94,16.2361,3994000,0.0,1.0
2010-01-08,34.99,34.99,34.51,34.84,16.1897,2286100,0.0,1.0
2010-01-11,35.1,35.24,34.93,35.2,16.3569,1976800,0.0,1.0
2010-01-12,35.1,35.43,34.98,35.11,16.3151,2251500,0.0,1.0
2010-01-13,35.24,35.44,35.11,35.4,16.4499,1780100,0.0,1.0
2010-01-14,35.45,35.6,35.29,35.43,16.4638,1730100,0.0,1.0
2010-01-15,35.45,35.49,34.85,35.07,16.2965,2595900,0.0,1.0
2010-01-19,35.16,35.4825,35.02,35.44,16.4685,2699800,0.0,1.0
2010-01-20,35.2,35.58,35.05,35.25,16.3802,3936000,0.0,1.0
2010-01-21,35.24,35.42,34.37,34.43,15.9991,3156800,0.0,1.0
2010-01-22,34.41,34.629,33.96,33.99,15.7947,2841800,0.0,1.0
2010-01-25,34.18,34.96,34.02,34.77,16.1571,2935900,0.0,1.0
2010-01-26,34.84,34.94,34.25,34.77,16.1571,2813500,0.0,1.0
2010-01-27,34.8,34.97,34.12,34.5,16.0317,3770700,0.0,1.0
2010-01-28,34.45,34.55,33.84,34.11,15.8504,2295100,0.0,1.0
2010-01-29,34.29,34.44,33.91,34.01,15.804,2008400,0.0,1.0
2010-02-01,34.19,34.39,34.06,34.27,15.9248,1977900,0.0,1.0
2010-02-02,34.36,34.36,34.0,34.16,15.8737,2975900,0.0,1.0
2010-02-03,34.05,34.6309,34.05,34.47,16.0177,4931400,0.0,1.0
2010-02-04,34.25,34.49,33.63,33.63,15.6274,2236900,0.0,1.0
2010-02-05,33.63,33.81,33.17,33.81,15.711,3541600,0.0,1.0
2010-02-08,34.31,35.14,34.0,34.35,15.962,3081200,0.0,1.0
2010-02-09,34.72,35.1401,34.51,34.74,16.1432,2589300,0.0,1.0
2010-02-10,34.84,35.211,34.68,35.01,16.2687,1954500,0.0,1.0
2010-02-11,35.06,35.39,34.74,35.26,16.3848,2277200,0.0,1.0
2010-02-12,34.88,34.99,34.28,34.57,16.0642,3915600,0.0,1.0
2010-02-16,34.93,35.24,34.82,35.14,16.3291,2161200,0.0,1.0
2010-02-17,35.27,35.34,34.92,35.1,16.3105,2972000,0.0,1.0
2010-02-18,35.1,35.83,35.1,35.81,16.6404,2033500,0.0,1.0
2010-02-19,35.79,35.79,35.0,35.1,16.3105,3357500,0.0,1.0
2010-02-22,35.29,35.38,35.04,35.12,16.3198,2128600,0.0,1.0
2010-02-23,35.14,35.4,34.9,35.07,16.2965,2324500,0.0,1.0
2010-02-24,35.11,35.33,34.895,35.28,16.3941,2139500,0.0,1.0
2010-02-25,34.48,34.74,34.1,34.65,16.1014,4296400,0.0,1.0
2010-02-26,34.73,34.92,34.2,34.27,15.9248,4155800,0.0,1.0
2010-03-01,34.29,34.69,34.25,34.68,16.1153,2969700,0.0,1.0
2010-03-02,34.86,35.0,34.54,34.77,16.1571,3059300,0.0,1.0
2010-03-03,34.9,34.99,34.42,34.58,16.0688,4042500,0.0,1.0
2010-03-04,34.63,34.67,34.13,34.15,15.869,4697600,0.0,1.0
2010-03-05,33.68,33.7,32.98,33.38,15.8481,5217100,0.725,1.0
2010-03-08,33.31,33.71,33.25,33.57,15.9383,3756700,0.0,1.0
2010-03-09,33.59,34.16,33.56,34.02,16.152,3297100,0.0,1.0
2010-03-10,34.01,34.32,33.98,34.18,16.2279,3680000,0.0,1.0
