,open,high,low,close,volume
2016-11-02,25.05,25.05,24.2899,24.29,1781
2016-11-03,23.59,23.61,23.59,23.61,1874
2016-11-04,23.61,23.61,23.61,23.61,65
2016-11-07,23.61,23.61,23.61,23.61,0
2016-11-08,23.61,23.61,23.61,23.61,10
2016-11-09,24.6053,24.6299,24.2999,24.2999,2136
2016-11-10,22.7,22.73,22.69,22.7,475
2016-11-11,22.7,22.7,22.7,22.7,75
2016-11-14,22.72,27.58,20.74,20.74,2400
2016-11-15,20.74,20.74,20.74,20.74,0
2016-11-16,22.503,22.73,22.4428,22.5163,9662
2016-11-17,22.95,22.99,22.8,22.8,1200
2016-11-18,23.36,23.36,22.7407,22.7407,4315
2016-11-21,23.22,23.22,22.7592,22.8403,2382
2016-11-22,22.8108,23.02,22.81,22.9747,1655
2016-11-23,23.1,23.1,23.1,23.1,800
2016-11-25,23.3513,23.3787,23.3513,23.3787,700
2016-11-28,23.41,23.41,23.38,23.38,350
2016-11-29,23.11,23.5454,23.11,23.5454,1310
2016-11-30,23.5454,23.5454,23.5454,23.5454,0
2016-12-01,21.7601,21.844,21.74,21.844,2994
2016-12-02,21.1734,21.1734,21.11,21.11,2100
2016-12-05,21.7694,21.7694,21.6966,21.6966,500
2016-12-06,22.99,26.09,21.32,21.32,1650
2016-12-07,21.32,21.32,21.32,21.32,0
2016-12-08,22.12,22.186,22.12,22.186,940
2016-12-09,22.186,22.186,22.186,22.186,0
2016-12-12,22.186,22.186,22.186,22.186,0
2016-12-13,22.0,22.0,21.73,21.8041,1340
2016-12-14,20.96,21.0029,20.96,21.0029,1049
2016-12-15,20.1699,20.1699,20.1699,20.1699,152
2016-12-16,19.86,20.0301,19.57,19.73,4550
2016-12-19,19.73,19.73,19.73,19.73,0
2016-12-20,19.6144,19.6144,19.6144,19.6144,1000
2016-12-21,19.6144,19.6144,19.6144,19.6144,77
2016-12-22,19.6144,19.6144,19.6144,19.6144,0
2016-12-23,19.6144,19.6144,19.6144,19.6144,0
2016-12-27,19.71,20.0406,19.71,19.91,701
2016-12-28,19.91,19.91,19.91,19.91,150
2016-12-29,19.91,19.91,19.91,19.91,16
2016-12-30,19.8389,19.8389,19.82,19.82,957
2017-01-03,20.33,20.33,20.33,20.33,640
2017-01-04,20.5299,20.5299,20.5299,20.5299,100
2017-01-05,21.8301,22.11,21.8301,22.11,500
2017-01-06,22.11,22.11,22.11,22.11,0
2017-01-09,22.3572,22.3572,22.3572,22.3572,606
2017-01-10,22.3572,22.3572,22.3572,22.3572,60
2017-01-11,22.83,22.8851,22.83,22.8851,2137
2017-01-12,22.11,22.11,22.11,22.11,499
2017-01-13,22.11,22.11,22.11,22.11,0
2017-01-17,22.11,22.11,22.11,22.11,0
2017-01-18,22.11,22.11,22.11,22.11,0
2017-01-19,21.51,21.5309,20.8509,20.8509,352
2017-01-20,20.8509,20.8509,20.8509,20.8509,0
2017-01-23,20.8509,20.8509,20.8509,20.8509,0
2017-01-24,23.65,23.7599,23.65,23.7599,520
2017-01-25,23.9904,23.9904,23.9,23.92,2000
2017-01-26,23.835,23.835,23.76,23.76,315
2017-01-27,23.76,23.76,23.76,23.76,0
2017-01-30,23.7,23.7,23.09,23.09,459
2017-01-31,23.08,23.574,23.08,23.574,1740
2017-02-01,23.93,23.93,23.93,23.93,163
2017-02-02,23.614,23.614,23.614,23.614,200
2017-02-03,23.614,23.614,23.614,23.614,0
2017-02-06,23.614,23.614,23.614,23.614,0
2017-02-07,23.614,23.614,23.614,23.614,0
2017-02-08,23.614,23.614,23.614,23.614,100
2017-02-09,23.614,23.614,23.614,23.614,0
2017-02-10,25.4499,25.4499,25.4499,25.4499,194
2017-02-13,25.716,25.716,25.716,25.716,502
2017-02-14,25.4792,25.5,25.4124,25.4124,2215
2017-02-15,25.4124,25.4124,25.4124,25.4124,1
2017-02-16,25.4124,25.4124,25.4124,25.4124,35
2017-02-17,25.9,25.9,25.9,25.9,575
2017-02-21,26.3599,26.3599,26.22,26.22,869
2017-02-22,27.14,27.14,26.9424,26.96,1357
2017-02-23,26.25,26.25,26.0599,26.0599,480
2017-02-24,25.2601,25.65,25.2601,25.65,2008
2017-02-27,25.82,25.82,25.7901,25.7901,500
2017-02-28,25.7901,25.7901,25.7901,25.7901,50
2017-03-01,26.51,26.63,26.51,26.63,698
2017-03-02,26.63,26.63,26.63,26.63,8
2017-03-03,26.07,26.07,26.07,26.07,115
2017-03-06,26.07,26.07,26.07,26.07,0
2017-03-07,26.07,26.07,26.07,26.07,0
2017-03-08,26.9,27.2301,26.9,27.2301,425
2017-03-09,26.4501,26.4501,26.31,26.31,601
2017-03-10,26.31,26.31,26.31,26.31,0
2017-03-13,26.96,28.0262,26.96,27.99,750
2017-03-14,27.95,27.95,27.781,27.8125,2473
2017-03-15,27.75,27.86,27.7359,27.8322,4072
2017-03-16,28.9,29.04,28.89,28.98,6955
2017-03-17,28.8,28.8,28.8,28.8,357
2017-03-20,29.51,29.54,29.31,29.31,2419
2017-03-21,30.34,30.34,28.0,28.0,885
2017-03-22,27.98,28.15,27.5501,28.15,2497
2017-03-23,28.15,28.15,28.15,28.15,0
2017-03-24,29.1999,29.1999,28.68,28.68,1450
2017-03-27,28.6717,28.6717,28.6717,28.6717,921
2017-03-28,28.6717,28.6717,28.6717,28.6717,2
2017-03-29,28.6717,28.6717,28.6717,28.6717,66
2017-03-30,28.92,28.92,28.7841,28.7841,3980
2017-03-31,28.63,29.02,28.63,29.02,1535
2017-04-03,29.0568,29.0568,29.0568,29.0568,100
2017-04-04,29.45,29.45,28.9799,28.9799,700
2017-04-05,28.9799,28.9799,28.9799,28.9799,101
2017-04-06,28.92,28.92,28.9199,28.9199,327
2017-04-07,28.6122,28.83,28.6122,28.83,2951
2017-04-10,29.4,32.2502,28.97,29.48,9744
2017-04-11,29.5,29.5,29.5,29.5,331
2017-04-12,29.07,29.07,28.746,28.746,1303
2017-04-13,28.75,29.09,28.75,29.0425,1527
2017-04-17,29.49,29.49,28.6474,28.6474,545
2017-04-18,28.35,28.35,28.35,28.35,247
2017-04-19,28.66,28.761,28.66,28.761,343
2017-04-20,29.9201,30.09,29.9201,30.05,3279
2017-04-21,29.72,30.38,29.72,30.3699,3579
2017-04-24,31.37,31.37,30.9,30.9,4385
2017-04-25,31.72,32.09,31.71,32.09,5306
2017-04-26,32.2699,32.4299,31.81,31.94,649
2017-04-27,32.7475,32.8585,32.56,32.6,8324
2017-04-28,32.5,32.5,31.866,32.25,2767
2017-05-01,33.88,47.43,31.82,33.75,19720
2017-05-02,33.67,33.67,32.82,32.88,15759
2017-05-03,32.72,32.72,32.11,32.3143,4163
2017-05-04,32.0,32.0699,31.62,31.9595,3467
2017-05-05,32.02,32.49,31.88,32.49,2183
2017-05-08,32.76,33.43,32.76,33.43,2269
2017-05-09,34.42,35.158,34.055,34.91,7640
2017-05-10,35.94,35.94,34.7761,35.71,9835
2017-05-11,35.93,35.93,34.48,35.4132,12863
2017-05-12,35.83,36.19,35.61,36.0516,23398
2017-05-15,36.82,36.82,36.08,36.23,19189
2017-05-16,36.65,38.64,36.65,38.57,11139
2017-05-17,37.91,37.91,36.75,36.78,10137
2017-05-18,35.7,37.1199,35.4585,36.94,17901
2017-05-19,38.08,39.0,38.0138,38.839,27022
2017-05-22,40.8,40.8,39.3799,39.8,45578
2017-05-23,40.06,40.06,38.3236,38.48,38708
2017-05-24,38.61,38.61,37.49,37.6635,7262
2017-05-25,38.1447,38.62,37.8,38.345,20010
2017-05-26,38.55,38.55,38.0881,38.2442,7666
2017-05-30,38.0,38.07,37.065,37.2732,16510
2017-05-31,37.0,37.0,35.76,36.16,37609
2017-06-01,36.35,37.18,36.1999,37.15,13357
2017-06-02,37.45,37.45,36.9,37.0659,4938
2017-06-05,37.0,37.832,37.0,37.6817,9122
2017-06-06,37.62,38.42,37.62,37.7212,19493
2017-06-07,38.1,39.28,38.1,39.2,13215
2017-06-08,40.83,41.19,39.1439,39.99,14216
2017-06-09,41.9,41.9,36.59,37.52,36930
2017-06-12,36.8,37.7,35.6311,37.03,28133
2017-06-13,38.09,38.09,36.488,36.9237,10046
2017-06-14,37.13,37.13,35.8,35.96,12462
2017-06-15,35.65,35.65,34.58,34.8,7291
2017-06-16,35.07,35.45,34.99,35.24,14559
2017-06-19,36.54,37.25,36.528,37.25,13921
2017-06-20,38.1,38.1,36.82,36.82,8971
2017-06-21,36.7,37.742,36.7,37.74,4522
2017-06-22,37.53,38.14,37.1854,37.9097,5766
2017-06-23,37.8373,38.3515,37.8373,38.3515,2304
2017-06-26,39.26,39.5705,37.8689,38.1519,9128
2017-06-27,37.9518,38.0321,37.0,37.02,13056
2017-06-28,36.47,37.4473,36.402,37.4473,7212
2017-06-29,37.129,37.129,35.6001,35.9285,5951
2017-06-30,35.8963,36.2744,35.8963,36.2744,1452
2017-07-03,37.27,37.27,35.77,36.18,3867
2017-07-05,36.18,36.38,35.52,36.38,3176
2017-07-06,35.95,35.95,35.95,35.95,454
2017-07-07,36.02,36.0359,35.7128,35.9,6753
2017-07-10,36.23,37.32,36.23,37.29,3441
2017-07-11,37.36,37.93,37.36,37.93,2453
2017-07-12,38.35,39.6443,38.324,39.6443,11210
2017-07-13,39.85,39.9799,39.4,39.685,5094
2017-07-14,39.75,40.99,39.75,40.8954,26806
2017-07-17,41.11,41.389,39.8527,40.1036,19483
2017-07-18,40.23,41.57,40.23,41.57,14402
2017-07-19,42.85,43.41,42.5556,42.57,60675
2017-07-20,42.52,42.665,42.02,42.2267,8622
2017-07-21,41.8928,42.17,41.7101,42.1599,4409
