,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,32.25,32.75,31.87,32.07,28.1048,13700400,0.0,1.0
2010-01-05,32.07,32.16,31.7,31.99,28.0347,10307700,0.0,1.0
2010-01-06,31.9,32.0,31.68,31.82,27.8857,10709500,0.0,1.0
2010-01-07,31.77,31.86,31.54,31.83,27.8945,8202100,0.0,1.0
2010-01-08,31.66,31.94,31.53,31.88,27.9383,7657500,0.0,1.0
2010-01-11,31.53,31.74,31.09,31.36,27.4826,11250500,0.0,1.0
2010-01-12,31.02,31.12,30.68,30.82,27.0093,14618300,0.0,1.0
2010-01-13,30.89,31.37,30.87,31.29,27.4212,9620600,0.0,1.0
2010-01-14,31.13,31.18,30.96,31.02,27.1846,9235600,0.0,1.0
2010-01-15,31.01,31.15,30.41,30.6,26.8165,13936400,0.0,1.0
2010-01-19,30.59,31.19,30.5,31.01,27.1758,9662100,0.0,1.0
2010-01-20,31.0,31.24,30.72,31.19,27.3336,13302800,0.0,1.0
2010-01-21,31.14,31.42,30.57,30.61,26.8253,15403600,0.0,1.0
2010-01-22,30.5,30.71,29.95,29.98,26.2732,14459400,0.0,1.0
2010-01-25,30.22,30.23,29.55,29.92,26.2206,11155800,0.0,1.0
2010-01-26,29.8,29.94,29.32,29.66,25.9928,11197300,0.0,1.0
2010-01-27,29.56,29.81,29.01,29.32,25.6948,16121200,0.0,1.0
2010-01-28,29.43,29.4775,28.71,29.35,25.7211,17126000,0.0,1.0
2010-01-29,29.37,29.82,29.25,29.55,25.8964,14507900,0.0,1.0
2010-02-01,29.6,29.77,29.3425,29.52,25.8701,10894200,0.0,1.0
2010-02-02,29.53,30.01,29.22,29.98,26.2732,10100900,0.0,1.0
2010-02-03,29.92,30.87,29.79,30.75,26.948,15976200,0.0,1.0
2010-02-04,30.28,30.49,29.66,29.67,26.0015,13407100,0.0,1.0
2010-02-05,29.63,29.84,28.99,29.54,25.8876,11956100,0.0,1.0
2010-02-08,29.76,29.95,29.46,29.48,25.835,10656800,0.0,1.0
2010-02-09,29.89,30.04,29.48,29.84,26.1505,14376800,0.0,1.0
2010-02-10,29.16,30.09,29.03,30.03,26.317,24191900,0.0,1.0
2010-02-11,29.82,30.43,29.76,30.16,26.4309,12389400,0.0,1.0
2010-02-12,29.86,30.2,29.86,30.07,26.3521,12802700,0.0,1.0
2010-02-16,30.28,30.5,30.17,30.47,26.7026,9061600,0.0,1.0
2010-02-17,30.54,30.93,30.38,30.86,27.0444,9768600,0.0,1.0
2010-02-18,30.86,31.07,30.68,31.02,27.1846,8212300,0.0,1.0
2010-02-19,30.94,31.52,30.85,31.23,27.3686,12595600,0.0,1.0
2010-02-22,31.35,31.47,31.06,31.12,27.2722,7868200,0.0,1.0
2010-02-23,31.03,31.27,30.86,30.92,27.097,10228300,0.0,1.0
2010-02-24,31.05,31.5,31.01,31.39,27.5089,12062100,0.0,1.0
2010-02-25,30.88,31.41,30.85,31.36,27.4826,10553800,0.0,1.0
2010-02-26,31.39,31.41,30.98,31.24,27.3774,13449800,0.0,1.0
2010-03-01,31.4,31.6,31.34,31.54,27.6403,8681000,0.0,1.0
2010-03-02,31.41,31.92,31.39,31.88,27.9383,14070600,0.0,1.0
2010-03-03,31.95,31.96,31.55,31.64,27.728,10345500,0.0,1.0
2010-03-04,32.0,32.85,31.93,32.57,28.543,23075400,0.0,1.0
2010-03-05,32.79,33.22,32.7475,33.22,29.1126,19204800,0.0,1.0
2010-03-08,32.96,33.5,32.95,33.19,29.0863,13176600,0.0,1.0
2010-03-09,33.0,33.34,32.78,33.31,29.1915,11072700,0.0,1.0
2010-03-10,33.18,33.6,33.1,33.33,29.209,9652900,0.0,1.0
2010-03-11,33.32,33.81,33.12,33.81,29.6297,11392500,0.0,1.0
2010-03-12,33.81,33.81,33.47,33.69,29.5245,9610400,0.0,1.0
2010-03-15,33.52,33.75,33.36,33.72,29.5508,8235900,0.0,1.0
2010-03-16,33.74,33.83,33.49,33.75,29.5771,8472600,0.0,1.0
2010-03-17,33.79,33.84,33.53,33.75,29.5771,7858400,0.0,1.0
2010-03-18,33.69,33.85,33.515,33.78,29.6034,8044200,0.0,1.0
2010-03-19,33.81,33.98,33.48,33.64,29.4807,16729000,0.0,1.0
2010-03-22,33.47,34.19,33.42,33.95,29.7523,11717600,0.0,1.0
2010-03-23,34.0,34.1,33.73,34.01,29.8049,7038000,0.0,1.0
2010-03-24,33.91,34.43,33.87,34.39,30.1379,12195200,0.0,1.0
2010-03-25,34.49,35.5,34.42,35.09,30.7514,32705900,0.0,1.0
2010-03-26,34.89,35.6,34.85,35.31,30.9442,22909800,0.0,1.0
2010-03-29,35.28,35.42,34.97,35.16,30.8127,12560500,0.0,1.0
2010-03-30,35.13,35.2,34.76,35.1,30.7602,17201800,0.0,1.0
2010-03-31,35.07,35.2,34.81,34.91,30.5936,10789500,0.0,1.0
2010-04-01,35.07,35.59,35.01,35.55,31.1545,14603000,0.0,1.0
2010-04-05,35.28,35.545,35.07,35.22,30.8653,10607900,0.0,1.0
2010-04-06,35.24,35.61,35.1,35.47,31.0844,12637700,0.0,1.0
2010-04-07,35.39,35.49,35.06,35.32,30.953,9242200,0.0,1.0
2010-04-08,35.28,35.75,35.14,35.67,31.2597,9915900,0.0,1.0
2010-04-09,35.82,36.88,35.64,36.22,31.7417,21346000,0.0,1.0
2010-04-12,36.14,36.33,35.8,35.89,31.4525,10410800,0.0,1.0
2010-04-13,35.87,36.06,35.71,35.84,31.4087,10922200,0.0,1.0
2010-04-14,35.89,36.21,35.77,36.2,31.7241,9267400,0.0,1.0
2010-04-15,36.08,36.51,35.86,36.4,31.8994,9185900,0.0,1.0
2010-04-16,36.22,36.51,35.68,35.83,31.3999,12327500,0.0,1.0
2010-04-19,35.8,36.17,35.58,36.17,31.6979,9840500,0.0,1.0
2010-04-20,36.28,36.65,36.28,36.54,32.0221,16515000,0.0,1.0
2010-04-21,36.39,36.75,36.35,36.56,32.0396,9039700,0.0,1.0
2010-04-22,36.3,36.87,36.115,36.78,32.2324,10494600,0.0,1.0
2010-04-23,36.8,36.85,36.49,36.79,32.2412,7677100,0.0,1.0
2010-04-26,36.76,37.14,36.67,37.04,32.4603,9983200,0.0,1.0
2010-04-27,36.78,36.82,36.16,36.32,31.8293,10931300,0.0,1.0
2010-04-28,36.52,36.55,35.96,36.29,31.803,10930900,0.0,1.0
2010-04-29,36.5,37.39,36.5,37.22,32.618,10576700,0.0,1.0
2010-04-30,37.19,37.49,36.6,36.84,32.285,11456400,0.0,1.0
2010-05-03,36.95,37.98,36.84,37.56,32.916,10887500,0.0,1.0
2010-05-04,37.29,37.3,36.32,36.59,32.0659,13195700,0.0,1.0
2010-05-05,36.43,36.56,35.08,35.34,30.9705,17960000,0.0,1.0
2010-05-06,35.16,35.55,31.0,34.01,29.8049,25181500,0.0,1.0
2010-05-07,33.86,34.35,32.77,33.41,29.2791,22579800,0.0,1.0
2010-05-10,34.99,35.63,34.56,35.29,30.9267,18282600,0.0,1.0
2010-05-11,35.52,36.25,35.14,35.76,31.3385,19853200,0.0,1.0
2010-05-12,34.98,36.21,34.82,35.13,30.7864,25533300,0.0,1.0
2010-05-13,35.18,35.53,34.74,34.75,30.4534,15445900,0.0,1.0
2010-05-14,34.66,34.78,33.83,34.06,29.8487,16945200,0.0,1.0
2010-05-17,34.22,34.34,33.288,34.2,29.9714,15136700,0.0,1.0
2010-05-18,34.36,34.64,33.52,33.73,29.5595,17393800,0.0,1.0
2010-05-19,33.47,33.8,33.09,33.39,29.2616,18536600,0.0,1.0
2010-05-20,32.76,32.96,31.99,31.99,28.0347,26615500,0.0,1.0
2010-05-21,31.4,32.87,31.4,32.87,28.8059,20122900,0.0,1.0
2010-05-24,32.56,32.99,32.11,32.48,28.4641,14040200,0.0,1.0
2010-05-25,31.58,32.37,31.21,32.32,28.3239,26555900,0.0,1.0
2010-05-26,32.51,33.85,32.14,33.07,28.9811,25296300,0.0,1.0
2010-05-27,33.6,34.37,33.48,34.37,30.1204,16214500,0.0,1.0
2010-05-28,33.7,34.049,33.24,33.42,29.2879,15832700,0.0,1.0
