,open,high,low,close,volume
2017-12-29,25.2,25.21,25.13,25.21,2399
2018-01-02,25.33,26.27,25.24,25.38,9968
2018-01-03,25.54,25.71,25.52,25.5311,7896
2018-01-04,25.76,25.8,25.65,25.6709,10864
2018-01-05,25.86,25.88,25.742,25.84,5195
2018-01-08,25.876,26.07,25.876,26.07,2834
2018-01-09,26.1,26.139,26.0087,26.05,1850
2018-01-10,25.91,26.03,25.9,26.03,21441
2018-01-11,26.0674,26.26,26.0674,26.255,6142
2018-01-12,26.36,26.5693,26.2054,26.49,42207
2018-01-16,27.55,29.82,26.38,26.48,58360
2018-01-17,26.79,26.79,26.4,26.5375,13464
2018-01-18,26.85,26.95,26.5972,26.6525,38548
2018-01-19,26.73,26.75,26.686,26.75,22518
2018-01-22,26.8,26.845,26.7,26.845,27562
2018-01-23,26.97,27.1,26.85,27.0801,32352
2018-01-24,27.22,27.28,26.99,27.11,32591
2018-01-25,27.47,27.47,26.91,26.985,32130
2018-01-26,26.79,27.32,26.79,27.201,19178
2018-01-29,27.25,27.37,27.08,27.08,19935
2018-01-30,26.93,27.0,26.72,26.8274,14915
2018-01-31,26.8797,26.94,26.8,26.83,15236
2018-02-01,26.93,28.22,26.7903,26.9148,7841
2018-02-02,26.74,26.9,26.4,26.4,16935
2018-02-05,26.37,26.37,25.5,25.56,8827
2018-02-06,25.11,25.77,25.1,25.77,10703
2018-02-07,26.26,26.26,25.8,25.86,7013
2018-02-08,25.67,25.67,24.9,24.9,9660
2018-02-09,25.1,25.1527,24.4013,25.08,42408
2018-02-12,25.2,25.4148,25.2,25.385,6469
2018-02-13,25.299,25.439,25.2807,25.4387,3381
2018-02-14,25.41,25.93,25.41,25.93,5648
2018-02-15,26.18,26.325,26.0941,26.325,7615
2018-02-16,26.35,26.39,26.35,26.38,2594
2018-02-20,26.2,26.52,26.2,26.35,5598
2018-02-21,26.34,26.57,26.34,26.4,8384
2018-02-22,26.27,26.3299,26.091,26.17,5492
2018-02-23,26.2,26.44,26.15,26.43,7753
2018-02-26,26.52,26.62,26.47,26.55,3612
2018-02-27,26.699,26.699,26.45,26.46,2803
2018-02-28,26.5,26.5,26.27,26.27,6671
2018-03-01,26.0,26.14,25.83,25.85,9346
2018-03-02,25.801,26.2499,25.8001,26.2499,3520
2018-03-05,26.17,26.57,26.17,26.57,8260
2018-03-06,26.525,26.86,26.525,26.781,5352
2018-03-07,26.72,27.0,26.72,27.0,5301
2018-03-08,27.06,27.12,27.03,27.12,5240
2018-03-09,27.15,27.44,27.15,27.44,12304
2018-03-12,27.57,27.68,27.5032,27.67,8527
2018-03-13,27.83,27.89,27.42,27.5,12897
2018-03-14,27.5124,27.6,27.505,27.56,3335
2018-03-15,27.6299,27.66,27.5101,27.5101,3724
2018-03-16,27.38,27.605,27.32,27.51,4637
2018-03-19,27.7,27.7,27.1199,27.12,2814
2018-03-20,27.26,27.345,27.1612,27.28,9377
2018-03-21,27.35,27.45,27.35,27.4,8691
2018-03-22,27.06,27.11,26.87,26.87,7809
2018-03-23,26.64,26.79,26.25,26.38,9735
2018-03-26,26.67,26.84,26.45,26.82,2797
2018-03-27,26.8664,26.97,26.36,26.36,8795
2018-03-28,26.34,26.34,26.15,26.28,11371
2018-03-29,26.29,26.63,26.29,26.6193,1892
2018-04-02,26.43,26.43,25.8,26.0686,13336
2018-04-03,26.14,26.3167,25.88,26.3167,4995
2018-04-04,25.82,26.3208,25.82,26.3208,2757
2018-04-05,26.55,26.6792,26.51,26.585,16466
2018-04-06,26.42,26.45,26.13,26.2228,4379
2018-04-09,26.2,26.5945,26.2,26.43,1466
2018-04-10,26.7,26.83,26.64,26.76,47283
2018-04-11,26.9,26.9173,26.8,26.8,3921
2018-04-12,26.9,27.07,26.9,26.995,6285
2018-04-13,26.98,26.9964,26.76,26.8001,5366
2018-04-16,27.08,27.1603,27.08,27.12,8144
2018-04-17,27.26,27.5,27.26,27.48,9193
2018-04-18,27.48,27.7,27.48,27.66,10551
2018-04-19,27.58,27.58,27.39,27.4237,4031
