,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,10.17,10.28,10.0455,10.28,7.2807,60855800,0.0,1.0
2010-01-05,10.45,11.24,10.4,10.96,7.7623,215620200,0.0,1.0
2010-01-06,11.21,11.46,11.13,11.37,8.0527,200070600,0.0,1.0
2010-01-07,11.46,11.69,11.32,11.66,8.2581,130201700,0.0,1.0
2010-01-08,11.67,11.74,11.46,11.69,8.2793,130463000,0.0,1.0
2010-01-11,11.9,12.14,11.78,12.11,8.5768,170626200,0.0,1.0
2010-01-12,11.98,12.03,11.72,11.87,8.4068,162995900,0.0,1.0
2010-01-13,11.91,11.93,11.47,11.68,8.2722,154527100,0.0,1.0
2010-01-14,11.68,11.86,11.51,11.76,8.3289,116531200,0.0,1.0
2010-01-15,11.74,11.76,11.55,11.6,8.2156,96149800,0.0,1.0
2010-01-19,11.51,11.83,11.46,11.75,8.3218,65934000,0.0,1.0
2010-01-20,11.68,11.69,11.5,11.51,8.1518,71649500,0.0,1.0
2010-01-21,11.53,11.62,11.01,11.18,7.9181,121451400,0.0,1.0
2010-01-22,11.01,11.12,10.41,10.52,7.4507,161530100,0.0,1.0
2010-01-25,10.73,11.1,10.61,11.03,7.8119,121621500,0.0,1.0
2010-01-26,11.17,11.46,11.07,11.19,7.9252,108250500,0.0,1.0
2010-01-27,11.57,11.62,11.22,11.55,8.1802,105091600,0.0,1.0
2010-01-28,11.55,11.95,11.27,11.41,8.081,203320000,0.0,1.0
2010-01-29,11.6,11.61,10.7,10.84,7.6773,159741200,0.0,1.0
2010-02-01,11.14,11.18,10.93,11.12,7.8756,82748200,0.0,1.0
2010-02-02,11.26,11.52,11.19,11.39,8.0668,119714900,0.0,1.0
2010-02-03,11.49,11.66,11.42,11.64,8.2439,90125500,0.0,1.0
2010-02-04,11.49,11.53,11.0,11.06,7.8331,129792200,0.0,1.0
2010-02-05,10.97,11.11,10.49,10.91,7.7269,181535200,0.0,1.0
2010-02-08,11.09,11.32,10.88,10.97,7.7694,92031400,0.0,1.0
2010-02-09,11.18,11.22,11.02,11.15,7.8969,83207100,0.0,1.0
2010-02-10,11.12,11.14,10.9,10.94,7.7481,73395600,0.0,1.0
2010-02-11,11.0,11.185,10.88,11.18,7.9181,65116200,0.0,1.0
2010-02-12,10.92,11.18,10.85,11.12,7.8756,69465400,0.0,1.0
2010-02-16,11.21,11.38,11.11,11.32,8.0173,62537500,0.0,1.0
2010-02-17,11.43,11.52,11.35,11.49,8.1377,65983200,0.0,1.0
2010-02-18,11.41,11.48,11.29,11.38,8.0598,53406800,0.0,1.0
2010-02-19,11.35,11.4,11.26,11.29,7.996,46990000,0.0,1.0
2010-02-22,11.36,11.38,11.18,11.21,7.9394,41993100,0.0,1.0
2010-02-23,11.21,11.63,11.15,11.6,8.2156,114688400,0.0,1.0
2010-02-24,11.72,11.88,11.65,11.73,8.3076,84200800,0.0,1.0
2010-02-25,11.53,11.83,11.4,11.78,8.3431,83114500,0.0,1.0
2010-02-26,11.83,11.85,11.61,11.74,8.3147,72368400,0.0,1.0
2010-03-01,11.81,12.42,11.75,12.41,8.7892,142605500,0.0,1.0
2010-03-02,12.62,12.68,12.18,12.22,8.6547,193706600,0.0,1.0
2010-03-03,12.46,12.83,12.35,12.69,8.9876,157004600,0.0,1.0
2010-03-04,12.69,12.8,12.52,12.79,9.0584,89836800,0.0,1.0
2010-03-05,12.92,13.04,12.83,13.0,9.2071,106920600,0.0,1.0
2010-03-08,12.94,12.96,12.79,12.93,9.1575,78903200,0.0,1.0
2010-03-09,12.83,13.03,12.73,12.8,9.0655,83934300,0.0,1.0
2010-03-10,12.88,12.95,12.8,12.82,9.0796,56850600,0.0,1.0
2010-03-11,12.79,12.97,12.75,12.91,9.1434,59274700,0.0,1.0
2010-03-12,13.02,13.37,12.98,13.34,9.4479,104771000,0.0,1.0
2010-03-15,13.46,13.63,13.32,13.4,9.4904,95072200,0.0,1.0
2010-03-16,13.49,13.51,13.32,13.49,9.5541,74692700,0.0,1.0
2010-03-17,13.55,14.15,13.55,14.1,9.9862,137318700,0.0,1.0
2010-03-18,14.23,14.54,13.65,13.73,9.7241,235094400,0.0,1.0
2010-03-19,13.91,13.92,13.04,13.29,9.4125,252411200,0.0,1.0
2010-03-22,12.98,14.0,12.81,13.99,9.9083,170576100,0.0,1.0
2010-03-23,14.17,14.3,13.81,13.9,9.8445,167002400,0.0,1.0
