,open,high,low,close,volume
2010-01-04,25.42,25.58,25.37,25.58,67948
2010-01-05,25.57,25.58,25.35,25.56,183095
2010-01-06,25.53,25.55,25.3,25.35,180356
2010-01-07,25.34,25.34,25.0201,25.12,114782
2010-01-08,25.06,25.28,25.0002,25.28,83167
2010-01-11,25.28,25.35,24.8,25.1484,141485
2010-01-12,24.97,24.97,24.6375,24.72,35874
2010-01-13,24.8,24.98,24.5601,24.93,57887
2010-01-14,24.87,25.028,24.85,24.91,58888
2010-01-15,24.91,24.91,24.49,24.72,130093
2010-01-19,24.69,25.03,24.69,25.03,56435
2010-01-20,24.89,24.89,24.45,24.63,60650
2010-01-21,24.68,24.95,24.4,24.55,56656
2010-01-22,24.42,24.46,23.8,23.87,82636
2010-01-25,23.97,23.97,23.6,23.87,67795
2010-01-26,23.77,24.06,23.68,23.84,68127
2010-01-27,23.79,24.084,23.75,24.06,106743
2010-01-28,24.21,24.21,23.638,23.78,131733
2010-01-29,24.01,24.15,23.35,23.44,110296
2010-02-01,23.52,23.62,23.41,23.613,45922
2010-02-02,23.66,23.77,23.5,23.7,70895
2010-02-03,23.49,23.82,23.476,23.78,117034
2010-02-04,23.53,23.5682,22.95,22.95,151399
2010-02-05,23.02,23.11,22.72,23.11,108693
2010-02-08,23.13,23.3,22.98,23.02,29730
2010-02-09,23.32,23.326,23.11,23.23,32384
2010-02-10,23.23,23.3,22.98,23.16,78783
2010-02-11,23.08,23.445,22.98,23.4326,125701
2010-02-12,23.27,23.43,23.13,23.39,79195
2010-02-16,23.57,23.74,23.505,23.74,35431
2010-02-17,23.85,23.88,23.7201,23.84,81176
2010-02-18,23.89,24.15,23.8005,24.15,166782
2010-02-19,24.17,24.43,24.15,24.41,43976
2010-02-22,24.51,24.51,24.2201,24.24,69646
2010-02-23,24.22,24.22,23.874,23.99,53461
2010-02-24,24.14,24.28,23.9876,24.25,65623
2010-02-25,24.06,24.14,23.76,24.12,123434
2010-02-26,24.09,24.21,23.9614,24.21,66960
2010-03-01,24.27,24.89,24.27,24.89,183597
2010-03-02,24.97,25.12,24.89,25.05,196864
2010-03-03,25.04,25.18,25.002,25.09,116068
2010-03-04,25.06,25.32,25.03,25.32,216422
2010-03-05,25.44,25.81,25.4199,25.8,147604
2010-03-08,25.78,26.05,25.756,26.05,302883
2010-03-09,25.9,26.3,25.9,26.24,259784
2010-03-10,26.2,26.51,26.16,26.47,166707
2010-03-11,26.47,26.59,26.37,26.56,166790
2010-03-12,26.65,26.66,26.45,26.6,434544
2010-03-15,26.6,26.6,26.238,26.48,140054
2010-03-16,26.49,26.72,26.4,26.72,166911
2010-03-17,26.74,26.97,26.6804,26.85,130770
2010-03-18,26.91,26.91,26.7301,26.84,94653
2010-03-19,26.84,26.88,26.38,26.46,84243
2010-03-22,26.34,26.71,26.05,26.58,111856
2010-03-23,26.68,26.75,26.4283,26.64,97219
2010-03-24,26.66,26.66,26.402,26.49,87009
2010-03-25,26.63,27.08,26.63,26.67,113771
2010-03-26,26.8,26.83,26.501,26.61,118405
2010-03-29,26.68,26.77,26.5795,26.68,115735
2010-03-30,26.67,26.86,26.5901,26.81,123739
2010-03-31,26.71,26.85,26.63,26.69,76695
2010-04-01,26.79,26.92,26.47,26.63,82933
2010-04-05,26.71,27.04,26.702,27.04,141368
