,open,high,low,close,volume
2016-09-13,14.94,14.94,14.94,14.94,204
2016-09-14,14.94,14.94,14.94,14.94,18
2016-09-15,15.227,15.2292,15.227,15.2292,200
2016-09-16,15.2292,15.2292,15.2292,15.2292,44
2016-09-19,15.2,15.21,15.185,15.2,4401
2016-09-20,15.08,15.08,15.08,15.08,541
2016-09-21,15.0496,15.0496,15.04,15.04,365
2016-09-22,15.32,15.32,15.32,15.32,1006
2016-09-23,15.42,15.42,15.2617,15.29,4470
2016-09-26,15.29,15.29,15.29,15.29,7
2016-09-27,15.29,15.29,15.29,15.29,75
2016-09-28,15.29,15.29,15.29,15.29,71
2016-09-29,15.44,15.4604,15.3399,15.34,4807
2016-09-30,15.39,15.4288,15.39,15.4288,500
2016-10-03,15.54,15.54,15.4769,15.52,1553
2016-10-04,15.434,15.434,15.434,15.434,354
2016-10-05,15.52,15.52,15.464,15.464,872
2016-10-06,15.52,15.52,15.37,15.45,1662
2016-10-07,15.31,15.31,15.25,15.25,306
2016-10-10,15.3401,15.3401,15.3232,15.3232,497
2016-10-11,15.315,15.315,15.05,15.05,1778
2016-10-12,15.0,15.11,15.0,15.11,1026
2016-10-13,15.0,15.0,14.99,15.0,6113
2016-10-14,15.0,15.0,15.0,15.0,38
2016-10-17,15.0,15.0,15.0,15.0,10
2016-10-18,15.0,15.0,15.0,15.0,100
2016-10-19,15.0,15.0,15.0,15.0,33
2016-10-20,15.0,15.0,15.0,15.0,0
2016-10-21,15.0,15.0,15.0,15.0,139
2016-10-24,15.0,15.0,15.0,15.0,25
2016-10-25,15.1899,15.1899,15.0899,15.09,2660
2016-10-26,15.09,15.09,15.09,15.09,0
2016-10-27,15.09,15.09,15.09,15.09,0
2016-10-28,14.8566,14.8566,14.8497,14.8497,300
2016-10-31,14.8497,14.8497,14.8497,14.8497,93
2016-11-01,14.8401,14.85,14.76,14.76,7562
2016-11-02,14.66,14.66,14.59,14.59,203
2016-11-03,14.59,14.59,14.59,14.59,0
2016-11-04,14.59,14.59,14.5508,14.5508,400
2016-11-07,15.04,15.06,15.04,15.06,372
2016-11-08,15.06,15.06,15.06,15.06,59
2016-11-09,14.936,14.9875,14.936,14.9875,398
2016-11-10,14.9875,14.9875,14.9875,14.9875,50
2016-11-11,14.76,14.89,14.76,14.89,6844
2016-11-14,14.98,14.98,14.8,14.8458,2208
2016-11-15,14.85,14.85,14.85,14.85,1000
2016-11-16,14.9776,15.0,14.948,14.948,2600
2016-11-17,15.075,15.13,15.07,15.1,2414
2016-11-18,15.2,15.2,15.2,15.2,338
2016-11-21,15.13,15.14,15.13,15.14,692
2016-11-22,15.2195,15.24,15.2193,15.24,1510
2016-11-23,15.2299,15.23,15.2299,15.23,1356
2016-11-25,15.4,15.4,15.19,15.27,749
2016-11-28,15.19,15.19,15.16,15.16,210
2016-11-29,15.24,15.24,15.16,15.16,1237
2016-11-30,15.05,15.065,14.98,14.99,505
2016-12-01,14.85,14.85,14.63,14.63,1616
2016-12-02,14.57,14.57,14.53,14.53,573
2016-12-05,14.76,14.7899,14.7153,14.7153,1374
2016-12-06,14.76,14.76,14.5479,14.5479,985
2016-12-07,14.58,14.8,14.58,14.8,1293
2016-12-08,14.8,14.8,14.8,14.8,100
2016-12-09,14.8,14.8,14.8,14.8,0
2016-12-12,14.8,14.8,14.7799,14.78,1598
2016-12-13,14.71,14.71,14.7,14.7,770
2016-12-14,14.6922,14.6922,14.6922,14.6922,226
2016-12-15,14.76,14.76,14.7388,14.76,594
2016-12-16,14.76,14.76,14.76,14.76,138
2016-12-19,14.65,14.69,14.59,14.59,4756
2016-12-20,14.7,14.7,14.669,14.669,334
2016-12-21,14.669,14.669,14.669,14.669,18
2016-12-22,14.669,14.669,14.669,14.669,69
2016-12-23,14.6376,14.6376,14.6376,14.6376,320
2016-12-27,14.746,14.755,14.746,14.755,685
2016-12-28,14.71,14.71,14.6693,14.6693,856
2016-12-29,14.8,14.8,14.6539,14.6539,1962
2016-12-30,14.6539,14.6539,14.6539,14.6539,1
2017-01-03,14.75,14.81,14.75,14.7792,1220
2017-01-04,14.8499,14.85,14.8409,14.85,1602
2017-01-05,15.0381,15.0381,15.02,15.02,400
2017-01-06,15.0599,15.0892,15.0527,15.0892,934
2017-01-09,15.045,15.045,15.045,15.045,391
2017-01-10,15.2,15.2299,15.2,15.2299,1050
2017-01-11,15.25,15.25,15.11,15.11,723
2017-01-12,15.11,15.11,15.11,15.11,70
2017-01-13,15.2629,15.33,15.2629,15.31,2152
2017-01-17,15.1639,15.1639,15.11,15.11,253
2017-01-18,15.11,15.11,15.11,15.11,0
2017-01-19,15.1993,15.26,15.196,15.26,846
2017-01-20,15.2799,15.2799,15.2293,15.2293,1200
2017-01-23,15.34,15.34,15.2366,15.2366,381
2017-01-24,15.25,15.3174,15.25,15.3174,533
2017-01-25,15.4302,15.4404,15.4302,15.4404,345
2017-01-26,15.44,15.44,15.4,15.4,412
2017-01-27,15.45,15.45,15.3053,15.4292,1329
2017-01-30,15.24,15.29,15.1886,15.29,5280
2017-01-31,15.28,15.31,15.25,15.28,1054
2017-02-01,15.29,15.39,15.2808,15.3,3269
2017-02-02,15.5566,15.5566,15.478,15.478,833
2017-02-03,15.478,15.478,15.478,15.478,36
2017-02-06,15.5283,15.53,15.5104,15.53,2203
2017-02-07,15.53,15.53,15.53,15.53,93
2017-02-08,15.5,15.5399,15.3948,15.5392,1043
2017-02-09,15.55,15.5947,15.44,15.5947,1817
2017-02-10,15.7,15.7,15.7,15.7,520
2017-02-13,15.93,15.93,15.85,15.85,835
2017-02-14,15.75,15.83,15.7396,15.8299,3209
2017-02-15,15.66,15.79,15.66,15.79,3657
2017-02-16,15.8,15.8,15.75,15.7643,1772
2017-02-17,15.7132,15.8,15.7132,15.8,2216
2017-02-21,15.81,15.8653,15.8,15.8653,594
2017-02-22,15.7901,15.94,15.7901,15.9029,2419
2017-02-23,15.913,16.05,15.913,15.9781,2398
2017-02-24,15.96,15.96,15.85,15.9474,768
2017-02-27,16.0274,16.0274,16.0274,16.0274,170
2017-02-28,16.1,16.1,16.0,16.0,972
2017-03-01,16.0,16.025,15.9681,16.025,2248
2017-03-02,16.0,16.0,15.94,15.94,739
2017-03-03,15.98,16.0,15.922,15.922,421
2017-03-06,16.11,16.11,15.99,16.057,2441
2017-03-07,16.14,16.14,15.9997,16.059,5419
2017-03-08,16.1,16.1,16.065,16.065,602
