,open,high,low,close,volume
2017-07-18,20.66,20.9,20.55,20.9,79918
2017-07-19,21.05,21.07,20.9,20.96,279778
2017-07-20,21.05,21.05,20.85,20.97,135956
2017-07-21,20.95,21.02,20.85,20.957,91937
2017-07-24,21.02,21.15,20.96,21.13,119463
2017-07-25,21.09,21.13,20.9,21.08,123442
2017-07-26,21.15,21.23,21.06,21.12,79721
2017-07-27,21.22,21.368,20.45,20.75,164974
2017-07-28,20.7,20.96,20.6,20.89,101596
2017-07-31,20.94,20.99,20.6,20.64,52537
2017-08-01,20.7,20.869,20.7,20.825,41722
2017-08-02,21.03,21.03,20.434,20.64,74293
2017-08-03,20.56,20.65,20.46,20.58,24934
2017-08-04,20.62,20.74,20.6,20.6,21467
2017-08-07,20.71,20.93,20.71,20.9,39297
2017-08-08,20.99,21.0,20.761,20.82,44232
2017-08-09,20.59,20.77,20.512,20.74,30924
2017-08-10,20.62,20.655,20.01,20.03,67648
2017-08-11,19.97,20.053,19.78,20.0,42375
2017-08-14,20.17,20.45,20.17,20.45,43361
2017-08-15,20.6,20.6,20.35,20.41,32286
2017-08-16,20.5,20.6,20.404,20.45,34257
2017-08-17,20.45,20.5,20.16,20.165,31061
2017-08-18,20.09,20.35,20.076,20.19,10502
2017-08-21,20.14,20.34,20.117,20.23,20830
2017-08-22,20.4,20.6,20.291,20.55,38554
2017-08-23,20.51,20.68,20.42,20.65,18068
2017-08-24,20.62,20.75,20.52,20.64,17502
2017-08-25,20.76,20.76,20.41,20.441,26047
2017-08-28,20.42,20.43,20.3,20.36,11796
2017-08-29,20.11,20.46,20.06,20.43,19939
2017-08-30,20.49,20.716,20.44,20.67,26550
2017-09-19,21.74,21.74,21.5,21.65,34699
2017-09-20,21.65,21.71,21.34,21.51,57968
2017-09-21,21.58,21.58,21.22,21.39,39549
2017-09-22,21.41,21.465,21.32,21.42,17182
2017-09-25,21.4,21.4,20.54,20.66,75221
2017-09-26,20.88,21.0,20.73,20.78,53185
2017-09-27,20.96,21.09,20.91,21.011,52520
2017-09-28,20.95,21.06,20.908,21.03,28346
2017-09-29,21.14,21.27,21.094,21.21,55408
2017-10-02,21.34,21.4,21.208,21.3,60257
2017-10-03,21.3,21.52,21.3,21.5,75549
2017-10-04,21.55,21.55,21.34,21.39,44237
2017-10-05,21.5,21.6,21.36,21.589,29706
2017-10-06,21.63,21.69,21.508,21.69,34127
2017-10-09,21.8,21.81,21.68,21.74,38426
2017-10-10,21.85,21.85,21.7,21.785,20023
2017-10-11,21.7,21.96,21.7,21.96,55821
2017-10-12,22.16,22.16,21.96,21.96,73003
2017-10-13,22.41,22.41,22.04,22.13,103695
2017-10-16,22.46,22.46,22.2,22.33,81962
2017-10-17,22.45,22.45,22.186,22.19,49199
2017-10-18,22.24,22.31,22.12,22.25,48100
2017-10-19,22.0,22.03,21.771,21.99,56498
2017-10-20,22.22,22.226,22.05,22.07,31194
2017-10-23,22.15,22.219,21.911,21.95,18561
2017-10-24,22.0,22.033,21.89,22.01,41627
2017-10-25,22.06,22.06,21.641,21.79,47845
2017-10-26,21.9,22.0,21.8,21.85,37094
2017-10-27,22.42,22.5,22.195,22.45,95415
2017-10-30,22.42,22.68,22.4,22.58,105729
2017-10-31,22.7,22.78,22.51,22.73,63832
2017-11-01,22.93,22.932,22.466,22.621,70406
2017-11-02,22.7,22.7,22.482,22.63,45583
2017-11-03,22.98,22.98,22.64,22.84,50070
2017-11-06,22.9,23.08,22.9,23.0,233863
2017-11-07,23.09,23.22,22.876,22.91,61701
2017-11-08,22.91,22.99,22.743,22.895,86103
2017-11-09,22.7,22.7,22.4,22.66,99912
2017-11-10,22.85,22.88,22.68,22.85,80183
