,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-10-24,25.49,25.49,24.98,25.061,23.4239,17687,0.0,1.0
2013-10-25,25.28,25.2899,25.06,25.13,23.4884,41667,0.0,1.0
2013-10-28,25.16,25.185,25.051,25.15,23.5071,50547,0.0,1.0
2013-10-29,25.43,25.43,25.15,25.27,23.6193,44745,0.0,1.0
2013-10-30,25.42,25.42,25.1,25.151,23.508,186437,0.0,1.0
2013-10-31,25.1,25.59,25.055,25.2,23.5538,14366,0.0,1.0
2013-11-01,25.26,25.26,25.0199,25.14,23.4978,20563,0.0,1.0
2013-11-04,25.24,25.24,25.11,25.21,23.5632,44051,0.0,1.0
2013-11-05,25.18,25.275,25.1,25.23,23.5819,32419,0.0,1.0
2013-11-06,25.49,25.49,25.3,25.4,23.7408,96501,0.0,1.0
2013-11-07,25.47,25.49,25.06,25.07,23.4323,48970,0.0,1.0
2013-11-08,25.21,25.33,25.091,25.33,23.6753,13659,0.0,1.0
2013-11-11,25.37,25.4,25.25,25.37,23.7127,67364,0.0,1.0
2013-11-12,25.35,25.4999,25.31,25.46,23.7969,220547,0.0,1.0
2013-11-13,25.4,25.72,25.38,25.72,24.0399,21177,0.0,1.0
2013-11-14,25.66,25.66,25.521,25.635,23.9604,24394,0.0,1.0
2013-11-15,25.73,25.74,25.63,25.74,24.0586,27895,0.0,1.0
2013-11-18,25.81,25.81,25.49,25.5,23.8342,56161,0.0,1.0
2013-11-19,25.58,25.58,25.39,25.39,23.7314,24324,0.0,1.0
2013-11-20,25.53,25.55,25.32,25.37,23.7127,27705,0.0,1.0
2013-11-21,25.5,25.61,25.44,25.61,23.9371,43034,0.0,1.0
2013-11-22,25.67,25.67,25.551,25.571,23.9006,27087,0.0,1.0
2013-11-25,25.69,25.69,25.47,25.53,23.8623,42527,0.0,1.0
2013-11-26,25.6,25.7399,25.54,25.68,24.0025,36819,0.0,1.0
2013-11-27,25.78,25.9,25.741,25.9,24.2081,29269,0.0,1.0
2013-11-29,26.01,26.0799,25.981,25.99,24.2922,43450,0.0,1.0
2013-12-02,26.07,26.07,25.861,25.87,24.1801,43657,0.0,1.0
2013-12-03,25.86,25.98,25.83,25.92,24.2268,34792,0.0,1.0
2013-12-04,25.92,26.0601,25.8399,26.0,24.3016,60390,0.0,1.0
2013-12-05,26.13,26.13,25.961,26.0,24.3016,25411,0.0,1.0
2013-12-06,26.18,26.21,26.08,26.155,24.4465,47180,0.0,1.0
2013-12-09,26.3,26.3,26.2,26.23,24.5166,63156,0.0,1.0
2013-12-10,26.23,26.2499,26.15,26.221,24.5081,41401,0.0,1.0
2013-12-11,26.28,26.28,25.9,25.92,24.2268,57867,0.0,1.0
2013-12-12,25.98,25.98,25.8,25.8,24.1146,32512,0.0,1.0
2013-12-13,25.82,25.9,25.771,25.82,24.1333,27293,0.0,1.0
2013-12-16,25.94,26.0799,25.885,26.04,24.339,79745,0.0,1.0
2013-12-17,26.1,26.1299,26.021,26.08,24.3763,39043,0.0,1.0
2013-12-18,26.1,26.27,25.75,26.27,24.5539,83404,0.0,1.0
2013-12-19,26.29,26.32,26.2,26.3,24.582,57501,0.0,1.0
2013-12-20,26.34,26.61,26.31,26.61,24.9175,66429,0.049,1.0
2013-12-23,26.78,27.23,26.695,26.87,25.161,106647,0.0,1.0
2013-12-24,26.93,26.94,26.87,26.91,25.1984,38065,0.0,1.0
2013-12-26,27.02,27.02,26.951,26.99,25.2734,73795,0.0,1.0
2013-12-27,27.14,27.14,26.94,26.94,25.2265,59400,0.0,1.0
2013-12-30,26.96,26.96,26.83,26.92,25.2078,67560,0.0,1.0
2013-12-31,27.01,27.1099,26.9401,27.09,25.367,73690,0.0,1.0
2014-01-02,27.05,27.05,26.77,26.82,25.1142,62859,0.0,1.0
2014-01-03,26.92,26.92,26.69,26.76,25.058,71278,0.0,1.0
2014-01-06,26.81,26.81,26.609,26.69,24.9924,86583,0.0,1.0
2014-01-07,26.84,26.9699,26.75,26.93,25.2172,60420,0.0,1.0
2014-01-08,26.96,27.01,26.9,26.96,25.2453,72602,0.0,1.0
2014-01-09,27.09,27.09,26.761,26.84,25.1329,76454,0.0,1.0
2014-01-10,26.95,26.97,26.761,26.9,25.1891,41804,0.0,1.0
2014-01-13,26.92,27.0,26.501,26.57,24.8801,132757,0.0,1.0
2014-01-14,26.68,27.12,26.68,27.09,25.367,63413,0.0,1.0
2014-01-15,27.24,27.45,27.15,27.399,25.6563,119064,0.0,1.0
2014-01-16,27.49,27.49,27.3501,27.41,25.6666,241217,0.0,1.0
2014-01-17,27.39,27.39,27.2,27.24,25.5075,140809,0.0,1.0
2014-01-21,27.44,27.44,27.2,27.35,25.6105,75928,0.0,1.0
2014-01-22,27.39,27.421,27.321,27.42,25.676,54338,0.0,1.0
2014-01-23,27.37,27.37,27.115,27.27,25.5355,78256,0.0,1.0
2014-01-24,27.24,27.24,26.7,26.705,25.0065,113354,0.0,1.0
2014-01-27,26.79,26.79,26.25,26.41,24.7302,96250,0.0,1.0
2014-01-28,26.23,26.325,26.1,26.304,24.631,88827,0.0,1.0
2014-01-29,26.22,26.2599,26.011,26.059,24.4016,68627,0.0,1.0
2014-01-30,26.6,26.6,26.301,26.5,24.8145,58323,0.0,1.0
2014-01-31,26.3,26.56,26.26,26.4799,24.7957,44740,0.0,1.0
2014-02-03,26.38,26.5,25.831,25.88,24.234,263339,0.0,1.0
2014-02-04,26.04,26.0999,25.8801,26.03,24.3744,94199,0.0,1.0
2014-02-05,26.02,26.094,25.73,26.01,24.3557,83147,0.0,1.0
2014-02-06,26.09,26.3399,26.09,26.321,24.6469,25964,0.0,1.0
2014-02-07,26.54,26.73,26.43,26.721,25.0215,87319,0.0,1.0
2014-02-10,26.76,26.81,26.72,26.81,25.1048,45147,0.0,1.0
2014-02-11,26.84,27.15,26.84,27.1,25.3764,111032,0.0,1.0
2014-02-12,27.18,27.26,27.121,27.2,25.47,96081,0.0,1.0
2014-02-13,27.1,27.45,27.035,27.45,25.7041,69947,0.0,1.0
2014-02-14,27.45,27.559,27.37,27.52,25.7696,46059,0.0,1.0
2014-02-18,27.57,27.66,27.49,27.61,25.8539,99647,0.0,1.0
2014-02-19,27.62,27.68,27.444,27.46,25.7135,86789,0.0,1.0
2014-02-20,27.41,27.62,27.39,27.6,25.8446,86909,0.0,1.0
2014-02-21,27.72,27.73,27.53,27.55,25.7977,103420,0.0,1.0
2014-02-24,27.6,27.8,27.52,27.71,25.9476,97595,0.0,1.0
2014-02-25,27.75,27.75,27.51,27.59,25.8352,52322,0.0,1.0
2014-02-26,27.73,27.79,27.59,27.67,25.9101,50102,0.0,1.0
2014-02-27,27.71,27.89,27.67,27.86,26.088,43412,0.0,1.0
2014-02-28,27.92,27.99,27.5581,27.77,26.0037,49249,0.0,1.0
2014-03-03,27.6,27.64,27.3183,27.56,25.8071,93220,0.0,1.0
2014-03-04,27.92,28.06,27.8999,28.029,26.2463,51611,0.0,1.0
2014-03-05,28.1,28.11,28.0,28.07,26.2847,43110,0.0,1.0
2014-03-06,28.17,28.17,28.0299,28.06,26.2753,44020,0.0,1.0
2014-03-07,28.19,28.19,27.869,27.9315,26.155,34656,0.0,1.0
2014-03-10,28.04,28.04,27.81,27.88,26.1068,73235,0.0,1.0
2014-03-11,27.98,28.031,27.721,27.79,26.0225,22671,0.0,1.0
2014-03-12,27.73,27.8699,27.5501,27.8699,26.0973,37039,0.0,1.0
2014-03-13,28.03,28.03,27.379,27.44,25.6947,58275,0.0,1.0
2014-03-14,27.45,27.5,27.281,27.3,25.5636,51693,0.0,1.0
2014-03-17,27.42,27.69,27.42,27.61,25.8539,42919,0.0,1.0
2014-03-18,27.72,28.0497,27.69,28.03,26.2472,33463,0.0,1.0
2014-03-19,28.09,28.09,27.805,27.89,26.1161,47331,0.0,1.0
2014-03-20,27.91,28.13,27.8004,28.06,26.2753,53067,0.0,1.0
2014-03-21,28.12,28.1494,27.77,27.81,26.1133,43573,0.077,1.0
2014-03-24,27.93,27.96,27.4501,27.68,25.9912,63910,0.0,1.0
2014-03-25,27.83,27.97,27.61,27.83,26.1321,27168,0.0,1.0
2014-03-26,28.0,28.01,27.425,27.43,25.7565,65000,0.0,1.0
2014-03-27,27.45,27.45,27.16,27.26,25.5969,63685,0.0,1.0
2014-03-28,27.36,27.6,27.3,27.37,25.7002,31879,0.0,1.0
2014-03-31,27.59,27.739,27.54,27.65,25.9631,55704,0.0,1.0
2014-04-01,27.77,28.02,27.73,28.02,26.3105,47659,0.0,1.0
2014-04-02,28.15,28.15,27.93,28.04,26.3293,31200,0.0,1.0
2014-04-03,28.16,28.16,27.7274,27.81,26.1133,129795,0.0,1.0
2014-04-04,27.98,27.98,27.0889,27.15,25.4936,76288,0.0,1.0
2014-04-07,26.98,27.18,26.75,26.91,25.2682,126995,0.0,1.0
2014-04-08,26.84,27.1801,26.84,27.14,25.4842,39932,0.0,1.0
2014-04-09,27.17,27.6,27.17,27.58,25.8973,46454,0.0,1.0
2014-04-10,27.61,27.62,26.8,26.87,25.2307,62593,0.0,1.0
2014-04-11,26.69,26.86,26.44,26.5,24.8832,90825,0.0,1.0
2014-04-14,26.66,26.8499,26.54,26.7,25.071,50102,0.0,1.0
2014-04-15,26.86,26.9399,26.36,26.86,25.2213,208728,0.0,1.0
2014-04-16,27.01,27.15,26.86,27.14,25.4842,26722,0.0,1.0
2014-04-17,27.04,27.2399,26.92,27.14,25.4842,98013,0.0,1.0
2014-04-21,27.2,27.2701,27.1101,27.25,25.5875,28102,0.0,1.0
2014-04-22,27.33,27.47,27.21,27.4001,25.7284,48403,0.0,1.0
2014-04-23,27.32,27.32,27.16,27.1699,25.5123,28339,0.0,1.0
2014-04-24,27.63,27.63,27.25,27.38,25.7095,38363,0.0,1.0
2014-04-25,27.28,27.29,26.9,26.92,25.2776,53998,0.0,1.0
2014-04-28,27.06,27.2499,26.73,27.07,25.4185,32142,0.0,1.0
2014-04-29,27.21,27.35,27.12,27.32,25.6532,110462,0.0,1.0
2014-04-30,27.25,27.44,27.18,27.39,25.7189,1278889,0.0,1.0
2014-05-01,27.36,27.5899,27.32,27.41,25.7377,46168,0.0,1.0
2014-05-02,27.43,27.49,27.34,27.3799,25.7094,32279,0.0,1.0
2014-05-05,27.18,27.4499,27.15,27.4399,25.7658,32911,0.0,1.0
2014-05-06,27.36,27.4,27.13,27.1399,25.4841,30505,0.0,1.0
2014-05-07,27.13,27.17,26.73,27.04,25.3903,44801,0.0,1.0
2014-05-08,27.0,27.36,26.92,27.03,25.3809,32002,0.0,1.0
2014-05-09,27.05,27.12,26.8801,27.12,25.4654,32108,0.0,1.0
2014-05-12,27.21,27.59,27.21,27.55,25.8692,68719,0.0,1.0
2014-05-13,27.58,27.681,27.5143,27.57,25.8879,93844,0.0,1.0
2014-05-14,27.55,27.55,27.36,27.38,25.7095,165431,0.0,1.0
2014-05-15,27.39,27.43,27.03,27.2,25.5405,44321,0.0,1.0
2014-05-16,27.25,27.36,27.05,27.36,25.6908,24881,0.0,1.0
2014-05-19,27.36,27.64,27.36,27.62,25.9349,23540,0.0,1.0
2014-05-20,27.64,27.64,27.34,27.42,25.7471,22344,0.0,1.0
2014-05-21,27.4842,27.6617,27.4842,27.6617,25.9741,35455,0.0,1.0
2014-05-22,27.66,27.8199,27.6229,27.73,26.0382,38724,0.0,1.0
2014-05-23,27.72,27.99,27.72,27.9899,26.2822,34688,0.0,1.0
2014-05-27,28.1,28.28,28.0789,28.28,26.5546,59097,0.0,1.0
2014-05-28,28.24,28.3095,28.17,28.23,26.5077,1182341,0.0,1.0
2014-05-29,28.34,28.38,28.27,28.38,26.6485,45397,0.0,1.0
2014-05-30,28.42,28.42,28.21,28.36,26.6298,119366,0.0,1.0
2014-06-02,28.45,28.45,28.17,28.2885,26.5626,42704,0.0,1.0
2014-06-03,28.22,28.32,28.14,28.28,26.5546,153487,0.0,1.0
2014-06-04,28.26,28.38,28.16,28.3403,26.6113,43786,0.0,1.0
2014-06-05,28.46,28.62,28.2899,28.6,26.8551,54450,0.0,1.0
2014-06-06,28.71,28.7899,28.67,28.75,26.996,54675,0.0,1.0
2014-06-09,28.79,28.92,28.76,28.86,27.0992,72887,0.0,1.0
2014-06-10,28.96,28.96,28.82,28.9,27.1368,51134,0.0,1.0
2014-06-11,28.8,28.93,28.7701,28.87,27.1086,131702,0.0,1.0
2014-06-12,29.3,29.3,28.53,28.62,26.8739,46914,0.0,1.0
2014-06-13,28.85,28.8502,28.65,28.8,27.0429,87157,0.0,1.0
2014-06-16,28.76,28.8913,28.7,28.84,27.0805,36697,0.0,1.0
2014-06-17,28.88,29.01,28.8,28.9504,27.1841,74470,0.0,1.0
2014-06-18,29.03,29.09,28.83,29.09,27.3152,55409,0.0,1.0
2014-06-19,29.15,29.15,28.89,28.99,27.2213,35154,0.0,1.0
2014-06-20,28.96,28.96,28.82,28.87,27.1744,43817,0.07,1.0
2014-06-23,28.85,28.98,28.84,28.98,27.2779,207117,0.0,1.0
2014-06-24,29.03,29.15,28.76,28.81,27.1179,59385,0.0,1.0
2014-06-25,28.75,29.0,28.75,28.98,27.2779,709490,0.0,1.0
2014-06-26,29.07,29.07,28.75,28.94,27.2403,21095,0.0,1.0
2014-06-27,28.91,29.09,28.91,29.09,27.3814,34322,0.0,1.0
2014-06-30,29.19,29.25,29.1001,29.1691,27.4559,50211,0.0,1.0
2014-07-01,29.21,29.6,29.1801,29.51,27.7768,59464,0.0,1.0
2014-07-02,29.54,29.5499,29.44,29.45,27.7203,81633,0.0,1.0
2014-07-03,29.56,29.62,29.47,29.6,27.8615,28470,0.0,1.0
2014-07-07,29.6,29.62,29.47,29.56,27.8238,52479,0.0,1.0
2014-07-08,29.52,29.52,29.031,29.2,27.485,84780,0.0,1.0
2014-07-09,29.29,29.34,29.1618,29.29,27.5697,27956,0.0,1.0
2014-07-10,29.03,29.3399,28.82,29.2188,27.5027,36048,0.0,1.0
2014-07-11,29.27,29.33,29.18,29.2987,27.5779,32895,0.0,1.0
2014-07-14,29.54,29.61,29.4501,29.54,27.805,59519,0.0,1.0
2014-07-15,29.72,29.72,29.27,29.45,27.7203,53850,0.0,1.0
2014-07-16,29.75,29.77,29.609,29.68,27.9368,65253,0.0,1.0
2014-07-17,29.7,29.7099,29.2101,29.3,27.5791,68672,0.0,1.0
2014-07-18,29.688,29.71,29.439,29.68,27.9368,48317,0.0,1.0
