,open,high,low,close,volume
2016-09-21,20.14,20.14,20.14,20.14,500
2016-09-22,20.14,20.14,20.14,20.14,0
2016-09-23,20.14,20.14,20.14,20.14,0
2016-09-26,20.14,20.14,20.14,20.14,0
2016-09-27,20.27,20.27,20.27,20.27,501
2016-09-28,20.27,20.27,20.27,20.27,1
2016-09-29,20.32,20.32,20.32,20.32,500
2016-09-30,20.32,20.32,20.32,20.32,0
2016-10-03,20.32,20.32,20.32,20.32,1
2016-10-04,20.32,20.32,20.32,20.32,1
2016-10-05,20.9075,20.9075,20.89,20.89,700
2016-10-06,21.0,21.0,20.88,20.88,1352
2016-10-07,20.88,20.88,20.88,20.88,0
2016-10-10,20.88,20.88,20.88,20.88,50
2016-10-11,20.32,20.32,20.1525,20.2,4421
2016-10-12,20.2,20.2,20.2,20.2,0
2016-10-13,20.0,20.0,19.96,19.96,3482
2016-10-14,20.09,20.09,20.09,20.09,2500
2016-10-17,20.06,20.06,19.94,19.94,5349
2016-10-18,20.21,20.21,20.21,20.21,5000
2016-10-19,20.07,20.07,20.07,20.07,200
2016-10-20,20.1498,20.1498,20.1498,20.1498,100
2016-10-21,20.1498,20.1498,20.1498,20.1498,0
2016-10-24,20.1498,20.1498,20.1498,20.1498,0
2016-10-25,20.46,20.46,20.46,20.46,100
2016-10-26,20.38,20.4317,20.37,20.4317,10229
2016-10-27,20.29,20.35,19.95,19.96,5105
2016-10-28,20.12,20.21,20.0902,20.12,39893
2016-10-31,20.04,20.04,20.02,20.02,18822
2016-11-01,19.85,19.9338,19.65,19.8954,15781
2016-11-02,19.99,19.99,19.74,19.74,11583
2016-11-03,19.83,19.87,19.6904,19.735,84753
2016-11-04,19.76,19.86,19.72,19.72,14903
2016-11-07,20.0,20.26,19.99,20.26,8017
2016-11-08,20.23,20.49,20.18,20.43,21340
2016-11-09,20.43,20.52,19.92,20.49,17057
2016-11-10,21.54,21.54,19.98,20.155,106306
2016-11-11,20.1,20.52,20.09,20.52,2909
2016-11-14,20.67,20.69,20.52,20.5628,2354
2016-11-15,20.69,20.9794,20.66,20.9794,11854
2016-11-16,21.05,21.16,20.93,20.9701,25870
2016-11-17,21.33,21.44,21.22,21.35,5990
2016-11-18,21.88,21.88,21.3,21.4722,14475
2016-11-21,21.73,21.78,21.556,21.556,4165
2016-11-22,21.86,22.01,21.75,21.79,15429
2016-11-23,22.256,22.256,21.9284,22.02,3027
2016-11-25,22.02,22.08,22.02,22.08,2535
2016-11-28,22.0468,22.0799,22.0468,22.06,760
2016-11-29,21.93,22.0001,21.88,21.88,3874
2016-11-30,21.87,21.91,21.77,21.77,2020
2016-12-01,21.5286,21.5286,20.5199,20.54,1991
2016-12-02,20.75,20.82,20.75,20.82,881
2016-12-05,21.15,21.16,21.1401,21.1401,746
2016-12-06,21.46,21.56,21.33,21.5499,2037
2016-12-07,21.661,22.0287,21.66,22.0287,1524
2016-12-08,22.3,22.56,22.2047,22.5299,4403
2016-12-09,22.3876,22.4871,22.0731,22.4871,5160
2016-12-12,22.22,22.42,21.8528,22.3401,4888
2016-12-13,22.63,22.74,22.5401,22.72,13326
2016-12-14,22.6801,22.6801,22.5901,22.6,2238
2016-12-15,23.1,23.2399,23.04,23.06,11819
2016-12-16,23.44,23.44,22.8,22.84,28644
2016-12-19,23.1534,23.19,23.06,23.11,5329
2016-12-20,23.2401,23.28,23.2245,23.2354,3757
2016-12-21,23.3,23.36,23.26,23.28,5023
2016-12-22,23.4999,23.4999,23.3244,23.33,1565
2016-12-23,23.33,23.35,23.3,23.3,1440
2016-12-27,23.83,23.83,23.5901,23.69,12682
2016-12-28,23.63,23.63,23.355,23.355,9836
2016-12-29,23.1917,23.1917,23.1501,23.1501,781
2016-12-30,23.22,23.22,23.03,23.03,1770
2017-01-03,23.16,23.16,22.8899,22.9751,38828
2017-01-04,23.0601,23.1357,23.0501,23.0792,11639
2017-01-05,23.5599,23.5599,22.9099,22.9242,1604
2017-01-06,22.9999,22.9999,22.9578,22.9578,880
2017-01-09,23.2424,23.2424,23.1944,23.1944,3311
2017-01-10,23.2452,23.26,23.2452,23.2513,1251
2017-01-11,23.35,23.46,23.3499,23.3499,14806
2017-01-12,23.24,23.24,22.9807,23.21,625
2017-01-13,22.9,23.53,22.9,23.48,14122
2017-01-17,23.0922,23.0922,23.07,23.07,398
2017-01-18,23.2199,23.39,23.1912,23.3,2710
2017-01-19,23.43,23.45,23.1464,23.1483,15355
2017-01-20,23.4608,23.5499,23.36,23.39,4968
2017-01-23,23.17,23.29,23.17,23.28,785
2017-01-24,23.52,23.7765,23.52,23.77,1264
2017-01-25,24.45,24.45,23.9792,24.11,37589
2017-01-26,24.49,24.49,23.8681,23.9144,6974
2017-01-27,24.13,24.26,24.13,24.25,27932
2017-01-30,24.34,24.34,23.88,24.08,3296
2017-01-31,23.96,23.96,23.64,23.79,5716
2017-02-01,24.12,24.12,23.83,24.06,13383
2017-02-02,23.96,24.07,23.92,23.98,4582
2017-02-03,24.1,24.16,24.1,24.16,5714
2017-02-06,24.15,24.15,24.0783,24.12,1745
2017-02-07,24.26,24.32,24.1,24.2,6378
2017-02-08,24.35,24.36,24.18,24.2565,4174
2017-02-09,24.26,24.32,24.17,24.17,5793
2017-02-10,24.18,24.32,24.05,24.25,5269
2017-02-13,24.5855,24.5855,24.3547,24.37,5687
2017-02-14,24.3,24.36,24.176,24.36,4206
2017-02-15,24.42,24.59,24.36,24.56,4136
2017-02-16,24.56,24.56,24.31,24.397,6394
2017-02-17,23.93,24.57,23.93,24.5436,6967
2017-02-21,24.85,24.91,24.79,24.9092,1724
2017-02-22,24.94,24.94,24.8172,24.8172,6374
2017-02-23,25.01,25.01,24.13,24.32,10410
2017-02-24,24.0,24.23,24.0,24.23,7221
2017-02-27,24.21,24.48,24.18,24.48,4845
2017-02-28,24.55,24.55,24.1,24.1,11700
