,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,18.14,18.32,18.14,18.25,17.5137,78133,0.0,1.0
2010-01-05,18.25,18.32,18.21,18.27,17.5329,7453,0.0,1.0
2010-01-06,18.27,18.35,18.22,18.28,17.5425,20147,0.0,1.0
2010-01-07,18.25,18.25,18.07,18.14,17.4082,18894,0.0,1.0
2010-01-08,18.06,18.27,18.04,18.27,17.5329,29507,0.0,1.0
2010-01-11,18.35,18.35,18.12,18.22,17.4849,52607,0.0,1.0
2010-01-12,18.1,18.1,17.73,17.81,17.0915,24054,0.0,1.0
2010-01-13,17.87,18.02,17.686,18.01,17.2834,14376,0.0,1.0
2010-01-14,18.1,18.11,17.974,18.1052,17.3748,9608,0.0,1.0
2010-01-15,18.11,18.11,17.686,17.74,17.0243,34551,0.0,1.0
2010-01-19,17.2501,17.98,17.2501,17.98,17.2546,32741,0.0,1.0
2010-01-20,17.87,17.9,17.72,17.9,17.1779,28778,0.0,1.0
2010-01-21,17.97,18.13,17.76,17.84,17.1203,14151,0.0,1.0
2010-01-22,17.77,17.77,17.1,17.13,16.4389,27372,0.0,1.0
2010-01-25,17.3001,17.32,17.1,17.23,16.5349,21506,0.0,1.0
2010-01-26,17.26,17.396,17.22,17.25,16.5541,9638,0.0,1.0
2010-01-27,17.2,17.31,17.05,17.31,16.6117,4718,0.0,1.0
2010-01-28,17.2099,17.2099,16.75,16.9,16.2182,30646,0.0,1.0
2010-01-29,17.01,17.03,16.4,16.51,15.8439,48440,0.0,1.0
2010-02-01,16.56,16.87,16.56,16.87,16.1894,107155,0.0,1.0
2010-02-02,16.93,17.05,16.79,17.034,16.3468,17309,0.0,1.0
2010-02-03,16.96,17.1,16.9527,17.02,16.3334,13112,0.0,1.0
2010-02-04,16.9,16.9,16.36,16.36,15.7,41993,0.0,1.0
2010-02-05,16.27,16.49,16.11,16.49,15.8247,31610,0.0,1.0
2010-02-08,16.44,16.69,16.44,16.47,15.8055,6725,0.0,1.0
2010-02-09,16.624,16.7999,16.566,16.72,16.0455,12371,0.0,1.0
2010-02-10,16.71,16.7635,16.13,16.71,16.0359,17108,0.0,1.0
2010-02-11,16.71,17.03,16.71,17.01,16.3238,21578,0.0,1.0
2010-02-12,16.89,17.14,16.76,17.07,16.3813,30497,0.0,1.0
2010-02-16,17.2,17.39,17.2,17.39,16.6884,66710,0.0,1.0
2010-02-17,17.49,17.5,17.3999,17.5,16.794,43489,0.0,1.0
2010-02-18,17.5,17.6199,17.464,17.61,16.8996,171514,0.0,1.0
2010-02-19,17.61,17.73,17.55,17.65,16.9379,51938,0.0,1.0
2010-02-22,17.69,17.69,17.544,17.59,16.8804,19835,0.0,1.0
2010-02-23,17.54,17.54,17.19,17.29,16.5925,21531,0.0,1.0
2010-02-24,17.4,17.58,17.4,17.5,16.794,15257,0.0,1.0
2010-02-25,17.27,17.49,17.0999,17.48,16.7748,14289,0.0,1.0
2010-02-26,17.45,17.55,17.39,17.54,16.8324,10608,0.0,1.0
2010-03-01,17.63,18.0,17.63,18.0,17.2738,40545,0.0,1.0
2010-03-02,18.05,18.14,18.0,18.02,17.293,20622,0.0,1.0
2010-03-03,18.08,18.14,17.9799,17.98,17.2546,27312,0.0,1.0
2010-03-04,18.04,18.07,17.8699,18.06,17.3314,15024,0.0,1.0
2010-03-05,18.21,18.35,18.12,18.33,17.5905,243205,0.0,1.0
2010-03-08,18.33,18.36,18.2999,18.32,17.5809,37031,0.0,1.0
2010-03-09,18.27,18.53,18.27,18.42,17.6769,109796,0.0,1.0
2010-03-10,18.52,18.68,18.52,18.64,17.888,85089,0.0,1.0
2010-03-11,18.58,18.67,18.45,18.67,17.9168,74055,0.0,1.0
2010-03-12,18.74,18.74,18.569,18.61,17.8592,28901,0.0,1.0
2010-03-15,18.61,18.62,18.39,18.5,17.7536,34928,0.0,1.0
2010-03-16,18.57,18.73,18.5,18.73,17.9744,32176,0.0,1.0
2010-03-17,18.79,18.96,18.7899,18.86,18.0991,84793,0.0,1.0
2010-03-18,18.92,18.92,18.758,18.81,18.0511,47329,0.0,1.0
2010-03-19,18.84,18.84,18.502,18.56,17.8112,21375,0.0,1.0
2010-03-22,18.48,18.84,18.48,18.81,18.0511,31247,0.0,1.0
2010-03-23,18.8,19.02,18.8,19.02,18.2527,53857,0.0,1.0
2010-03-24,18.97,18.97,18.78,18.79,18.0319,34325,0.0,1.0
2010-03-25,18.94,18.97,18.63,18.64,17.888,50186,0.0,1.0
2010-03-26,18.7,18.72,18.48,18.58,17.8304,32127,0.0,1.0
2010-03-29,18.65,18.7324,18.629,18.68,17.9264,85820,0.0,1.0
2010-03-30,18.71,18.798,18.5801,18.75,17.9936,19626,0.0,1.0
2010-03-31,18.65,18.78,18.62,18.63,17.8784,34923,0.0,1.0
2010-04-01,18.8,18.91,18.54,18.67,17.9168,36574,0.0,1.0
2010-04-05,18.77,19.08,18.76,19.08,18.3102,42515,0.0,1.0
2010-04-06,19.02,19.13,18.9386,19.07,18.3006,24062,0.0,1.0
2010-04-07,19.05,19.1,18.92,19.02,18.2527,47999,0.0,1.0
2010-04-08,18.98,18.98,18.768,18.94,18.1759,39807,0.0,1.0
2010-04-09,18.94,19.11,18.93,19.11,18.339,22127,0.0,1.0
2010-04-12,19.11,19.29,19.11,19.23,18.4542,34442,0.0,1.0
2010-04-13,19.21,19.26,19.16,19.2556,18.4788,27215,0.0,1.0
2010-04-14,19.42,19.67,19.42,19.66,18.8668,42156,0.0,1.0
2010-04-15,19.65,19.7325,19.59,19.69,18.8956,35305,0.0,1.0
2010-04-16,19.62,19.626,19.2818,19.42,18.6365,20662,0.0,1.0
2010-04-19,19.33,19.3325,18.99,19.24,18.4638,21291,0.0,1.0
2010-04-20,19.34,19.51,19.26,19.51,18.7229,22922,0.0,1.0
2010-04-21,19.58,19.6,19.43,19.56,18.7709,20963,0.0,1.0
2010-04-22,19.38,19.84,19.2101,19.82,19.0204,43770,0.0,1.0
2010-04-23,19.85,19.93,19.73,19.93,19.126,21648,0.0,1.0
2010-04-26,19.86,19.99,19.86,19.91,19.1068,22922,0.0,1.0
2010-04-27,19.84,19.86,19.446,19.45,18.6653,19362,0.0,1.0
2010-04-28,19.54,19.567,19.2499,19.371,18.5895,83835,0.0,1.0
2010-04-29,19.56,19.72,19.48,19.72,18.9244,32346,0.0,1.0
2010-04-30,19.71,19.73,19.21,19.22,18.4446,42947,0.0,1.0
2010-05-03,19.34,19.59,19.34,19.54,18.7517,15270,0.0,1.0
2010-05-04,19.17,19.17,18.8,18.94,18.1759,32797,0.0,1.0
2010-05-05,18.74,18.99,18.05,18.79,18.0319,140748,0.0,1.0
2010-05-06,18.67,18.74,15.0,18.05,17.3218,131000,0.0,1.0
2010-05-07,17.85,18.064,17.2992,17.61,16.8996,142294,0.0,1.0
2010-05-10,18.35,18.5999,18.35,18.58,17.8304,168611,0.0,1.0
