,open,high,low,close,volume
2019-03-07,48.95,49.33,48.82,48.91,11100
2019-03-08,48.36,48.94,48.36,48.79,11315
2019-03-11,49.04,49.87,49.04,49.85,16564
2019-03-12,50.09,50.32,49.9099,50.17,28887
2019-03-13,50.34,50.63,50.298,50.62,11858
2019-03-14,50.39,50.53,50.329,50.42,6490
2019-03-15,50.51,50.9,50.51,50.7237,16852
2019-03-18,50.83,51.08,50.61,50.695,21664
2019-03-19,51.11,51.34,51.0331,51.11,33922
2019-03-20,51.07,51.0809,50.715,51.0809,4297
2019-03-21,50.98,51.9846,50.98,51.9562,9895
2019-03-22,51.8,51.8,50.5654,50.5654,5496
2019-03-25,50.55,50.55,50.25,50.5284,27459
2019-03-26,50.81,51.06,50.605,50.7627,8078
2019-03-27,50.83,50.83,50.0,50.2608,2659
2019-03-28,50.58,50.58,50.35,50.5281,2540
2019-03-29,50.84,51.0924,50.84,51.0694,2911
2019-04-01,51.53,51.79,51.48,51.79,6345
2019-04-02,51.71,51.9168,51.71,51.9168,7655
2019-04-03,52.26,52.739,52.26,52.47,2529
2019-04-04,52.58,52.58,51.74,52.06,12891
2019-04-05,52.16,52.3376,52.16,52.27,1872
2019-04-08,52.21,52.42,52.21,52.42,986
2019-04-09,52.26,52.38,52.12,52.12,6450
2019-04-10,52.39,52.6272,52.39,52.6272,6583
2019-04-11,52.7,52.7,52.5372,52.5372,1183
2019-04-12,52.81,52.9197,52.8,52.91,6306
2019-04-15,52.94,52.94,52.77,52.84,5521
2019-04-16,53.07,53.27,53.07,53.19,1782
2019-04-17,53.58,53.58,53.0609,53.15,2704
2019-04-18,53.19,53.19,53.04,53.0546,1318
2019-04-22,52.83,53.25,52.83,53.24,4539
2019-04-23,53.28,53.876,53.28,53.7833,2699
2019-04-24,53.94,54.23,53.94,54.0284,4875
2019-04-25,53.83,53.87,53.5054,53.78,2342
2019-04-26,53.43,53.5821,53.13,53.5821,8364
2019-04-29,53.65,53.96,53.65,53.84,4203
2019-04-30,53.65,53.7112,53.5895,53.7112,1879
2019-05-01,54.12,54.12,53.2738,53.2738,1045
2019-05-02,53.15,53.595,52.7499,53.0978,12512
2019-05-03,53.33,53.8045,53.33,53.8045,3149
2019-05-06,52.59,53.28,52.59,53.28,3041
2019-05-07,52.28,52.43,51.994,52.226,2453
2019-05-08,52.12,52.49,52.12,52.2149,772
2019-05-09,51.51,51.8704,51.144,51.7823,1772
2019-05-10,51.07,51.96,51.07,51.762,2797
2019-05-13,50.71,50.71,50.0035,50.05,2576
2019-05-14,50.33,50.9501,50.33,50.73,16866
2019-05-15,50.57,51.2761,50.57,51.2761,775
2019-05-16,51.44,52.0315,51.44,51.8042,1212
2019-05-17,51.41,51.41,51.1838,51.1838,352
2019-05-20,50.56,50.56,50.321,50.321,653
2019-05-21,50.74,50.88,50.74,50.88,918
2019-05-22,50.721,50.721,50.6775,50.6775,360
2019-05-23,50.02,50.02,49.33,49.5,2112
2019-05-24,50.04,50.04,49.5757,49.6594,857
2019-05-28,49.5875,49.5875,49.5875,49.5875,300
2019-05-29,49.28,49.38,49.08,49.2588,2444
2019-05-30,49.29,49.5,49.29,49.37,693
2019-05-31,48.74,48.74,48.6333,48.6333,772
2019-06-03,48.07,48.07,47.9045,47.9045,367
2019-06-04,48.22,49.0841,48.18,49.0841,946
2019-06-05,49.41,49.41,48.72,49.15,4125
2019-06-06,49.04,49.2528,49.0176,49.2528,460
2019-06-07,49.46,50.0285,49.4529,49.9582,1509
2019-06-10,51.065,51.065,50.71,50.71,961
2019-06-11,51.09,51.09,50.6028,50.7142,1586
2019-06-12,50.4786,50.4786,50.42,50.461,1090
2019-06-13,50.66,50.66,50.6007,50.6495,460
2019-06-14,50.11,50.2076,50.011,50.0434,21752
2019-06-17,50.3597,50.3597,50.1689,50.1689,623
2019-06-18,51.225,51.225,50.9846,50.9846,269
2019-06-19,51.13,51.3254,51.0,51.3254,1037
2019-06-20,52.07,52.07,51.7109,51.9049,1183
2019-06-21,51.57,51.57,51.49,51.5286,613
2019-06-24,51.3622,51.41,51.2717,51.2717,1124
2019-06-25,50.5517,50.5517,50.5517,50.5517,71
2019-06-26,50.88,51.03,50.8336,50.8336,571
2019-06-27,51.08,51.41,51.105,51.3637,2080
