,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2014-11-12,24.95,25.14,24.8,25.1,24.7518,133990,0.0,1.0
2014-11-13,25.24,25.45,25.11,25.19,24.8406,278399,0.0,1.0
2014-11-14,25.23,25.78,25.06,25.78,25.4224,476985,0.0,1.0
2014-11-17,25.62,25.63,25.06,25.11,24.7617,330749,0.0,1.0
2014-11-18,25.16,25.4,25.06,25.06,24.7124,152153,0.0,1.0
2014-11-19,25.17,25.17,24.4405,24.63,24.2884,153719,0.0,1.0
2014-11-20,24.6,25.03,24.5001,24.9,24.5546,253825,0.0,1.0
2014-11-21,25.41,25.54,24.9399,25.0,24.6532,105908,0.0,1.0
2014-11-24,25.19,25.43,25.17,25.4199,25.0673,121747,0.0,1.0
2014-11-25,25.61,25.7399,25.51,25.65,25.2942,149619,0.0,1.0
2014-11-26,25.86,25.9899,25.7286,25.93,25.5703,171843,0.0,1.0
2014-11-28,26.46,26.46,25.85,25.8548,25.4962,316107,0.0,1.0
2014-12-01,25.94,25.94,25.311,25.44,25.0871,138225,0.0,1.0
2014-12-02,25.52,25.933,25.41,25.85,25.4914,102855,0.0,1.0
2014-12-03,26.0,26.1,25.78,25.96,25.5999,126554,0.0,1.0
2014-12-04,25.98,26.0565,25.8222,25.93,25.5703,80357,0.0,1.0
2014-12-05,25.99,26.3,25.99,26.17,25.807,113343,0.0,1.0
2014-12-08,26.23,26.38,25.54,25.72,25.3632,135200,0.0,1.0
2014-12-09,25.5,26.0299,25.14,25.91,25.5506,127578,0.0,1.0
2014-12-10,25.99,26.17,25.6025,25.66,25.3041,125085,0.0,1.0
2014-12-11,25.8,26.19,25.8,25.93,25.5703,119229,0.0,1.0
2014-12-12,25.73,25.855,25.46,25.46,25.1068,131187,0.0,1.0
2014-12-15,25.7,25.81,25.0,25.22,24.8702,74883,0.0,1.0
2014-12-16,25.05,25.37,24.86,24.88,24.5349,83577,0.0,1.0
2014-12-17,24.89,25.48,24.89,25.47,25.1167,118860,0.0,1.0
2014-12-18,26.11,26.38,25.806,26.32,25.9549,198321,0.0,1.0
2014-12-19,26.5,26.9,26.33,26.84,26.4677,419313,0.0,1.0
2014-12-22,27.19,27.22,26.81,26.97,26.5959,508161,0.0,1.0
2014-12-23,27.15,27.2,26.98,27.03,26.6551,436533,0.0,1.0
2014-12-24,27.11,27.25,27.06,27.16,26.7833,225830,0.0,1.0
2014-12-26,27.34,27.499,27.12,27.35,26.9706,301606,0.0,1.0
2014-12-29,27.46,27.62,26.8,26.89,26.517,381167,0.0,1.0
2014-12-30,26.9,26.9199,26.42,26.58,26.2113,445762,0.0,1.0
2014-12-31,26.85,26.85,26.49,26.49,26.1226,292364,0.0,1.0
2015-01-02,26.64,26.77,25.9,26.18,25.8169,285147,0.0,1.0
2015-01-05,26.08,26.2999,25.95,26.1,25.738,240822,0.0,1.0
2015-01-06,26.25,26.29,25.38,25.71,25.3534,217539,0.0,1.0
2015-01-07,26.05,26.149,25.86,26.13,25.7676,245756,0.0,1.0
2015-01-08,26.5,26.7,26.2934,26.6,26.231,231173,0.0,1.0
2015-01-09,26.65,26.6792,26.2535,26.38,26.0141,139825,0.0,1.0
2015-01-12,26.55,26.55,26.0,26.46,26.093,319981,0.0,1.0
2015-01-13,26.75,26.9999,26.084,26.31,25.9451,554442,0.0,1.0
2015-01-14,26.16,26.3499,26.0,26.22,25.8563,197840,0.0,1.0
2015-01-15,26.42,26.42,25.47,25.47,25.1167,252320,0.0,1.0
2015-01-16,25.5,26.07,25.5,26.0,25.6394,203761,0.0,1.0
2015-01-20,26.25,26.3297,25.81,26.17,25.807,491842,0.0,1.0
2015-01-21,26.27,26.27,25.9196,26.0,25.6394,197979,0.0,1.0
2015-01-22,26.1,26.19,25.61,26.11,25.7478,292859,0.0,1.0
2015-01-23,26.2,26.48,26.05,26.33,25.9648,157350,0.0,1.0
2015-01-26,26.45,26.45,26.05,26.27,25.9056,172705,0.0,1.0
2015-01-27,26.07,26.17,25.66,25.95,25.5901,208758,0.0,1.0
2015-01-28,26.2,26.2,25.47,25.47,25.1167,558740,0.0,1.0
2015-01-29,25.5,25.67,25.25,25.6,25.2449,170291,0.0,1.0
2015-01-30,25.48,25.729,25.2,25.212,24.8623,106900,0.0,1.0
2015-02-02,25.4,25.4399,24.8502,25.35,24.9984,280767,0.0,1.0
