,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2012-10-24,47.61,47.63,47.54,47.54,39.3885,1800,0.0,1.0
2012-10-25,47.54,47.54,47.54,47.54,39.3885,0,0.0,1.0
2012-10-26,47.6,47.87,47.6,47.8448,39.641,8386,0.0,1.0
2012-10-31,47.95,47.95,47.703,47.75,39.5625,13882,0.0,1.0
2012-11-01,48.15,48.3,48.0681,48.17,39.9104,1865,0.0,1.0
2012-11-02,48.25,48.25,47.75,47.8,39.6039,2730,0.0,1.0
2012-11-05,47.6805,47.7,47.642,47.66,39.4879,13022,0.0,1.0
2012-11-06,47.95,47.95,47.95,47.95,39.7282,100,0.0,1.0
2012-11-07,47.15,47.52,47.15,47.457,39.3197,13406,0.0,1.0
2012-11-08,47.16,47.17,47.0,47.08,39.0073,55300,0.0,1.0
2012-11-09,46.59,47.0408,46.59,46.88,38.8416,4630,0.0,1.0
2012-11-12,46.8,46.94,46.78,46.876,38.8383,25030,0.0,1.0
2012-11-13,46.876,46.876,46.876,46.876,38.8383,0,0.0,1.0
2012-11-14,46.53,46.57,46.53,46.55,38.5682,2100,0.0,1.0
2012-11-15,46.3,46.464,46.28,46.28,38.3445,3045,0.0,1.0
2012-11-16,46.19,46.3345,45.94,46.3345,38.3897,2570,0.0,1.0
2012-11-19,47.14,47.25,47.14,47.19,39.0985,773,0.0,1.0
2012-11-20,47.05,47.29,47.05,47.29,39.1813,15252,0.0,1.0
2012-11-21,47.38,47.4785,47.3799,47.47,39.3305,8403,0.0,1.0
2012-11-23,48.32,48.32,48.27,48.28,40.0016,1300,0.0,1.0
2012-11-26,48.17,48.31,48.1199,48.31,40.0264,667,0.0,1.0
2012-11-27,48.14,48.36,48.12,48.18,39.9187,77409,0.0,1.0
2012-11-28,48.1299,48.448,48.1299,48.448,40.1408,4485,0.0,1.0
2012-11-29,48.77,48.87,48.62,48.87,40.4904,4390,0.0,1.0
2012-11-30,49.0,49.0,48.86,48.97,40.5733,3884,0.0,1.0
2012-12-03,49.0,49.0,48.83,48.83,40.4573,200,0.0,1.0
2012-12-04,49.05,49.15,49.05,49.1353,40.7102,1825,0.0,1.0
2012-12-05,49.3799,49.3799,49.3125,49.3125,40.857,382,0.0,1.0
2012-12-06,49.36,49.36,49.2375,49.28,40.8301,2510,0.0,1.0
2012-12-07,49.17,49.29,49.17,49.29,40.8384,913,0.0,1.0
2012-12-10,49.23,49.39,49.23,49.39,40.9213,3095,0.0,1.0
2012-12-11,49.67,49.7,49.63,49.65,41.1367,2155,0.0,1.0
2012-12-12,49.8,50.06,49.74,49.86,41.3107,23157,0.0,1.0
2012-12-13,49.8,49.8,49.52,49.61,41.1035,7659,0.0,1.0
2012-12-14,49.73,49.97,49.73,49.85,41.3024,1914,0.0,1.0
2012-12-17,49.91,50.058,49.836,49.93,41.3687,4570,0.0,1.0
2012-12-18,50.3799,50.43,49.8495,50.43,41.9243,4461161,0.1706,1.0
2012-12-19,50.71,50.74,50.54,50.66,42.1155,4356,0.0,1.0
2012-12-20,50.9,50.92,50.79,50.85,42.2735,1800,0.0,1.0
2012-12-21,50.4,50.54,50.25,50.4,41.8993,5887,0.0,1.0
2012-12-24,50.64,50.64,50.38,50.38,41.8827,8991,0.0,1.0
2012-12-26,50.64,50.64,50.22,50.35,41.8578,9901,0.0,1.0
2012-12-27,50.76,50.76,50.3,50.64,42.0989,36472,0.0,1.0
2012-12-28,50.2,50.35,50.1,50.12,41.6666,41585,0.0,1.0
2012-12-31,50.46,51.058,50.46,50.85,42.2735,22096,0.0,1.0
2013-01-02,51.66,51.86,51.37,51.6499,42.9384,24620,0.0,1.0
2013-01-03,51.39,51.5599,51.12,51.12,42.4979,9718,0.0,1.0
2013-01-04,51.14,51.5,51.09,51.49,42.8055,15881,0.0,1.0
2013-01-07,51.09,51.3,51.04,51.29,42.6392,228885,0.0,1.0
2013-01-08,51.14,51.14,50.77,50.99,42.3898,78466,0.0,1.0
2013-01-09,51.18,51.22,51.1,51.22,42.581,44736,0.0,1.0
2013-01-10,51.78,51.97,51.59,51.88,43.1297,110800,0.0,1.0
2013-01-11,52.04,52.04,51.8262,51.95,43.1879,8614,0.0,1.0
2013-01-14,51.95,52.03,51.84,51.96,43.1962,47964,0.0,1.0
2013-01-15,51.74,51.9028,51.666,51.8974,43.1442,6115,0.0,1.0
2013-01-16,51.61,51.723,51.5,51.61,42.9053,324235,0.0,1.0
2013-01-17,52.16,52.16,51.91,52.06,43.2794,31093,0.0,1.0
2013-01-18,51.9499,52.07,51.8,52.05,43.2711,28098,0.0,1.0
2013-01-22,52.02,52.02,51.8764,52.0,43.2295,14546,0.0,1.0
2013-01-23,51.99,51.99,51.8231,51.985,43.217,32286,0.0,1.0
