,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,54.86,55.1302,54.66,54.99,51.2749,45055,0.0,1.0
2010-01-05,55.01,55.12,54.635,54.98,51.2656,55775,0.0,1.0
2010-01-06,54.96,55.02,54.43,54.55,50.8646,97127,0.0,1.0
2010-01-07,54.48,54.53,54.09,54.3,50.6315,44703,0.0,1.0
2010-01-08,54.17,54.7899,54.1,54.77,51.0698,65948,0.0,1.0
2010-01-11,54.9,54.9499,54.2,54.54,50.8553,53940,0.0,1.0
2010-01-12,54.17,54.17,53.56,53.788,50.1541,76263,0.0,1.0
2010-01-13,53.97,54.46,53.56,54.35,50.6782,42611,0.0,1.0
2010-01-14,54.35,54.82,54.25,54.6502,50.9581,51537,0.0,1.0
2010-01-15,54.73,54.84,53.7806,53.98,50.3332,40968,0.0,1.0
2010-01-19,53.89,54.75,53.89,54.75,51.0511,52638,0.0,1.0
2010-01-20,54.23,54.23,53.5,54.01,50.3611,68633,0.0,1.0
2010-01-21,54.16,54.44,53.26,53.4701,49.8577,52708,0.0,1.0
2010-01-22,53.29,53.29,51.37,51.5,48.0207,173974,0.0,1.0
2010-01-25,51.86,52.071,51.49,51.79,48.2911,167749,0.0,1.0
2010-01-26,51.69,52.34,51.49,51.7132,48.2195,110486,0.0,1.0
2010-01-27,51.7,52.22,51.3,52.05,48.5335,77167,0.0,1.0
2010-01-28,51.93,51.93,50.4,50.74,47.312,135880,0.0,1.0
2010-01-29,51.12,51.2381,49.45,49.7,46.3423,144833,0.0,1.0
2010-02-01,49.92,50.41,49.9,50.41,47.0043,61034,0.0,1.0
2010-02-02,50.53,50.9022,50.21,50.81,47.3773,42326,0.0,1.0
2010-02-03,50.55,51.0999,50.48,50.98,47.5358,33288,0.0,1.0
2010-02-04,50.59,50.807,49.51,49.5311,46.1848,71854,0.0,1.0
2010-02-05,49.61,50.04,49.1,50.04,46.6593,68406,0.0,1.0
2010-02-08,50.1,50.38,49.79,49.79,46.4262,58863,0.0,1.0
2010-02-09,50.43,50.66,49.9,50.2899,46.8924,135385,0.0,1.0
2010-02-10,50.28,50.4341,49.85,50.16,46.7712,104965,0.0,1.0
2010-02-11,50.06,50.9175,49.84,50.81,47.3773,80008,0.0,1.0
2010-02-12,50.48,51.0699,50.17,50.92,47.4799,90478,0.0,1.0
2010-02-16,51.35,51.6848,51.22,51.68,48.1885,35699,0.0,1.0
2010-02-17,51.92,51.92,51.6,51.86,48.3564,35560,0.0,1.0
2010-02-18,51.87,52.401,51.74,52.32,48.7853,64590,0.0,1.0
2010-02-19,52.14,52.47,51.988,52.29,48.7573,98616,0.0,1.0
2010-02-22,52.53,52.53,52.0,52.127,48.6053,49388,0.0,1.0
2010-02-23,52.01,52.04,51.2099,51.42,47.9461,29715,0.0,1.0
2010-02-24,51.66,52.09,51.66,51.94,48.431,299729,0.0,1.0
