,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,27.19,27.47,27.19,27.43,25.6588,65935,0.0,1.0
2010-01-05,27.39,27.68,27.221,27.4,25.6307,86454,0.0,1.0
2010-01-06,27.42,27.59,27.4,27.49,25.7149,99709,0.0,1.0
2010-01-07,27.56,27.69,27.42,27.69,25.902,62047,0.0,1.0
2010-01-08,27.6,27.75,27.4682,27.746,25.9544,57580,0.0,1.0
2010-01-11,27.68,27.8,27.4,27.55,25.771,134174,0.0,1.0
2010-01-12,27.38,27.406,27.066,27.13,25.3781,36506,0.0,1.0
2010-01-13,27.27,27.726,27.1682,27.65,25.8645,43859,0.0,1.0
2010-01-14,27.53,27.95,27.53,27.83,26.0329,69109,0.0,1.0
2010-01-15,27.85,27.91,27.4652,27.57,25.7897,23373,0.0,1.0
2010-01-19,27.55,27.96,27.55,27.96,26.1545,12851,0.0,1.0
2010-01-20,27.68,27.75,27.31,27.52,25.7429,22034,0.0,1.0
2010-01-21,27.67,27.93,27.39,27.4128,25.6427,39311,0.0,1.0
2010-01-22,27.44,27.44,26.5,26.54,24.8262,53988,0.0,1.0
2010-01-25,26.67,26.8426,26.516,26.6,24.8824,25988,0.0,1.0
2010-01-26,26.57,26.8849,26.46,26.58,24.8636,29369,0.0,1.0
2010-01-27,26.47,26.82,26.2799,26.75,25.0227,26847,0.0,1.0
2010-01-28,26.5,26.5,25.6,25.86,24.1901,118474,0.0,1.0
2010-01-29,25.99,26.088,25.16,25.22,23.5915,71860,0.0,1.0
2010-02-01,25.33,25.64,25.3002,25.62,23.9656,44263,0.0,1.0
2010-02-02,25.65,25.99,25.5355,25.92,24.2463,64672,0.0,1.0
2010-02-03,25.83,26.1,25.79,26.02,24.3398,34895,0.0,1.0
2010-02-04,25.85,25.8814,25.17,25.19,23.5634,705681,0.0,1.0
2010-02-05,25.26,25.34,24.8366,25.33,23.6944,695060,0.0,1.0
2010-02-08,25.36,25.58,25.2,25.204,23.5765,120485,0.0,1.0
2010-02-09,25.42,25.627,25.24,25.47,23.8253,43750,0.0,1.0
2010-02-10,25.41,25.7477,25.326,25.67,24.0124,38871,0.0,1.0
2010-02-11,25.62,26.23,25.55,26.22,24.5269,75989,0.0,1.0
2010-02-12,26.05,26.65,26.04,26.63,24.9104,39002,0.0,1.0
2010-02-16,26.87,26.9,26.62,26.9,25.163,178948,0.0,1.0
2010-02-17,26.84,26.94,26.773,26.91,25.1723,218450,0.0,1.0
2010-02-18,26.88,27.21,26.88,27.19,25.4343,65449,0.0,1.0
2010-02-19,27.16,27.35,27.128,27.32,25.5559,24261,0.0,1.0
2010-02-22,27.45,27.45,27.18,27.29,25.5278,27774,0.0,1.0
2010-02-23,26.84,26.88,26.3708,26.45,24.742,44629,0.0,1.0
2010-02-24,26.53,26.8662,26.53,26.82,25.0881,35014,0.0,1.0
2010-02-25,26.46,26.626,26.15,26.61,24.8917,90061,0.0,1.0
2010-02-26,26.6,26.72,26.45,26.66,24.9385,8758,0.0,1.0
2010-03-01,26.8,27.07,26.8,26.99,25.2472,38928,0.0,1.0
2010-03-02,27.1,27.45,27.061,27.35,25.5839,26584,0.0,1.0
2010-03-03,27.46,27.85,27.46,27.67,25.8833,34161,0.0,1.0
2010-03-04,27.67,27.67,27.27,27.5874,25.806,69226,0.0,1.0
2010-03-05,27.8,27.94,27.7101,27.87,26.0703,180593,0.0,1.0
2010-03-08,27.93,28.2281,27.93,28.12,26.3042,30070,0.0,1.0
2010-03-09,28.01,28.48,28.01,28.3099,26.4818,1268570,0.0,1.0
2010-03-10,28.34,28.6199,28.33,28.58,26.7345,145472,0.0,1.0
2010-03-11,28.47,28.8,28.4462,28.79,26.9309,158035,0.0,1.0
2010-03-12,28.85,28.85,28.445,28.51,26.669,185727,0.0,1.0
2010-03-15,28.49,28.6799,28.31,28.56,26.7158,138826,0.0,1.0
2010-03-16,28.62,28.8,28.497,28.79,26.9309,406572,0.0,1.0
2010-03-17,28.87,29.09,28.87,28.99,27.118,205970,0.0,1.0
2010-03-18,29.02,29.07,28.8881,28.992,27.1199,148854,0.0,1.0
2010-03-19,28.89,28.89,28.36,28.4,26.5661,43162,0.0,1.0
2010-03-22,28.22,28.76,28.0,28.6719,26.8205,59418,0.0,1.0
2010-03-23,28.77,28.96,28.66,28.916,27.0488,31216,0.0,1.0
2010-03-24,28.83,28.87,28.66,28.66,26.8093,32459,0.0,1.0
2010-03-25,28.86,29.19,28.5974,28.5974,26.7508,82075,0.0,1.0
2010-03-26,28.77,28.95,28.585,28.74,26.8842,81866,0.0,1.0
2010-03-29,28.9,28.97,28.74,28.81,26.9496,54260,0.0,1.0
2010-03-30,28.87,29.0,28.65,28.9,27.0338,50995,0.0,1.0
2010-03-31,28.78,29.0275,28.69,28.69,26.8374,34933,0.0,1.0
