,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,47.26,47.78,47.26,47.63,46.5046,67158,0.0,1.0
2010-01-05,47.6,47.71,47.3495,47.67,46.5436,45102,0.0,1.0
2010-01-06,47.62,47.75,47.3001,47.43,46.3093,43892,0.0,1.0
2010-01-07,47.31,47.37,47.0,47.19,46.075,43872,0.0,1.0
2010-01-08,47.11,47.547,47.0375,47.5,46.3776,46010,0.0,1.0
2010-01-11,47.52,47.59,47.12,47.3,46.1824,35153,0.0,1.0
2010-01-12,46.89,46.9,46.4003,46.55,45.4501,37709,0.0,1.0
2010-01-13,46.65,47.24,46.65,47.13,46.0164,11304,0.0,1.0
2010-01-14,47.09,47.62,47.06,47.57,46.446,87946,0.0,1.0
2010-01-15,47.6,47.7235,46.8301,47.21,46.0945,26969,0.0,1.0
2010-01-19,47.21,47.7393,47.098,47.71,46.5827,46581,0.0,1.0
2010-01-20,47.25,47.25,46.32,47.06,45.948,43135,0.0,1.0
2010-01-21,47.12,47.45,46.286,46.4822,45.3839,81700,0.0,1.0
2010-01-22,46.48,46.48,45.1,45.18,44.1125,51221,0.0,1.0
2010-01-25,45.43,45.48,44.9438,45.16,44.0929,59490,0.0,1.0
2010-01-26,45.09,45.5482,44.86,45.11,44.0441,25591,0.0,1.0
2010-01-27,44.94,45.35,44.76,45.26,44.1906,368904,0.0,1.0
2010-01-28,45.2,45.2591,44.09,44.56,43.5071,57310,0.0,1.0
2010-01-29,44.79,44.86,43.72,43.82,42.7846,165461,0.0,1.0
2010-02-01,43.96,44.3,43.84,44.3,43.2533,90659,0.0,1.0
2010-02-02,44.35,44.73,44.0775,44.63,43.5755,49624,0.0,1.0
2010-02-03,44.37,44.756,44.37,44.65,43.595,45772,0.0,1.0
2010-02-04,44.31,44.36,43.31,43.31,42.2866,91822,0.0,1.0
2010-02-05,43.38,43.63,42.82,43.6273,42.5964,103739,0.0,1.0
2010-02-08,43.6,43.79,43.34,43.34,42.3159,38286,0.0,1.0
2010-02-09,43.6,43.91,43.2,43.63,42.5991,56050,0.0,1.0
2010-02-10,43.69,43.8,43.3,43.53,42.5014,143477,0.0,1.0
2010-02-11,43.52,44.22,43.32,44.06,43.0189,34598,0.0,1.0
2010-02-12,43.61,44.04,43.47,44.02,42.9799,126014,0.0,1.0
2010-02-16,44.34,44.65,44.2399,44.6,43.5462,55244,0.0,1.0
