,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-07-16,25.26,25.32,25.2337,25.29,24.9711,7020,0.0,1.0
2015-07-17,25.35,25.35,25.2399,25.32,25.0007,12180,0.0,1.0
2015-07-20,25.5,25.65,25.465,25.58,25.2575,13120,0.0,1.0
2015-07-21,25.57,25.63,25.45,25.454,25.133,9299,0.0,1.0
2015-07-22,25.45,25.54,25.42,25.45,25.1291,4608,0.0,1.0
2015-07-23,25.43,25.43,25.02,25.05,24.7341,10281,0.0,1.0
2015-07-24,24.8,25.2,24.76,24.96,24.6453,3584,0.0,1.0
2015-07-27,24.65,24.7019,24.59,24.6,24.2898,4132,0.0,1.0
2015-07-28,24.75,24.81,24.62,24.81,24.4972,4976,0.0,1.0
2015-07-29,25.07,25.19,24.9,25.19,24.8724,12428,0.0,1.0
2015-07-30,25.46,25.46,25.0,25.25,24.9316,11772,0.0,1.0
2015-07-31,25.45,25.58,25.45,25.48,25.1587,23339,0.0,1.0
2015-08-03,25.65,25.72,25.25,25.26,24.9415,54230,0.0,1.0
2015-08-04,25.7,25.7,25.45,25.46,25.139,9572,0.0,1.0
2015-08-05,25.7,25.7,25.49,25.49,25.1686,5067,0.0,1.0
2015-08-06,25.75,25.75,25.27,25.31,24.9909,5296,0.0,1.0
2015-08-07,25.16,25.37,25.107,25.342,25.0225,2709,0.0,1.0
2015-08-10,25.71,27.0,25.41,25.59,25.2673,6679,0.0,1.0
2015-08-11,25.7,25.7,25.3822,25.42,25.0995,9845,0.0,1.0
2015-08-12,25.45,25.45,24.9506,25.36,25.0402,9361,0.0,1.0
2015-08-13,25.59,25.59,25.3,25.37,25.0501,6914,0.0,1.0
2015-08-14,25.5,25.55,25.5,25.543,25.2209,832,0.0,1.0
2015-08-17,25.68,25.68,25.32,25.59,25.2673,12395,0.0,1.0
2015-08-18,25.88,25.88,25.628,25.66,25.3365,6915,0.0,1.0
2015-08-19,25.82,25.82,25.32,25.4,25.0797,5809,0.0,1.0
2015-08-20,25.74,25.74,24.89,24.89,24.5762,6342,0.0,1.0
2015-08-21,24.75,24.75,24.37,24.42,24.1121,4914,0.0,1.0
2015-08-24,23.1,23.8,14.78,23.2001,22.9076,6232,0.0,1.0
2015-08-25,24.87,24.87,23.56,23.56,23.2629,1691,0.0,1.0
2015-08-26,23.5,23.83,23.33,23.795,23.495,5015,0.0,1.0
2015-08-27,24.37,24.37,24.0,24.25,23.9442,7391,0.0,1.0
2015-08-28,24.28,24.2899,24.21,24.21,23.9047,875,0.0,1.0
2015-08-31,24.25,24.28,24.02,24.12,23.8159,3945,0.0,1.0
2015-09-01,23.61,23.69,23.23,23.35,23.0556,4555,0.0,1.0
2015-09-02,23.34,23.47,23.34,23.46,23.1642,995,0.0,1.0
2015-09-03,24.03,24.03,23.9856,23.9856,23.6832,818,0.0,1.0
2015-09-04,23.5699,23.5699,23.483,23.483,23.1869,571,0.0,1.0
2015-09-08,23.75,24.103,23.75,24.0747,23.7711,4719,0.0,1.0
2015-09-09,24.44,24.44,23.8,23.8,23.4999,2277,0.0,1.0
2015-09-10,24.07,24.07,23.8639,23.87,23.569,2761,0.0,1.0
2015-09-11,23.99,23.99,23.99,23.99,23.6875,400,0.0,1.0
2015-09-14,24.32,24.32,23.92,23.92,23.6184,1235,0.0,1.0
2015-09-15,23.9701,24.2272,23.9701,24.2272,23.9217,1745,0.0,1.0
2015-09-16,24.3,24.37,24.19,24.37,24.0627,2342,0.0,1.0
2015-09-17,24.61,24.61,24.34,24.34,24.0331,3133,0.0,1.0
2015-09-18,24.34,24.34,24.34,24.34,24.0331,20,0.0,1.0
2015-09-21,24.5,24.5,24.3,24.35,24.043,3315,0.0,1.0
2015-09-22,23.959,23.959,23.9114,23.9114,23.6099,290,0.0,1.0
