,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,22.89,23.06,22.68,22.89,11.687,995500,0.0,1.0
2010-01-05,22.83,23.03,22.7,22.96,11.7227,1120200,0.0,1.0
2010-01-06,22.99,23.77,22.94,23.7,12.1005,1975000,0.0,1.0
2010-01-07,23.65,24.08,23.61,24.08,12.2945,1518900,0.0,1.0
2010-01-08,24.0,24.23,23.83,24.15,12.3303,1048600,0.0,1.0
2010-01-11,24.2,24.4,23.99,24.33,12.4222,1014200,0.0,1.0
2010-01-12,24.14,24.43,23.95,24.04,12.2741,1605600,0.0,1.0
2010-01-13,24.09,24.68,24.09,24.66,12.5907,1002400,0.0,1.0
2010-01-14,24.65,24.86,24.36,24.83,12.6775,1214000,0.0,1.0
2010-01-15,24.75,24.93,24.25,24.38,12.4477,1261300,0.0,1.0
2010-01-19,24.35,24.81,24.26,24.73,12.6264,959000,0.0,1.0
2010-01-20,24.53,24.56,24.16,24.3,12.4069,681200,0.0,1.0
2010-01-21,24.26,24.44,24.02,24.07,12.2894,1418900,0.0,1.0
2010-01-22,24.08,24.11,23.71,23.74,12.1209,1560100,0.0,1.0
2010-01-25,23.92,23.96,23.4,23.57,12.0341,905900,0.0,1.0
2010-01-26,23.54,23.65,23.19,23.2,11.8452,834700,0.0,1.0
2010-01-27,23.18,23.35,22.91,23.21,11.8503,1289600,0.0,1.0
2010-01-28,23.26,23.26,22.8,22.9,11.6921,784600,0.0,1.0
2010-01-29,23.09,23.2,22.82,22.86,11.6716,1605100,0.0,1.0
2010-02-01,22.97,23.135,22.86,22.98,11.7329,1015100,0.0,1.0
2010-02-02,22.98,23.28,22.9,23.23,11.8605,1066500,0.0,1.0
2010-02-03,23.15,23.43,23.05,23.11,11.7993,874100,0.0,1.0
2010-02-04,22.88,23.06,22.58,22.59,11.5338,1499300,0.0,1.0
2010-02-05,22.51,22.75,21.95,22.1,11.2836,2948200,0.0,1.0
2010-02-08,22.08,22.12,21.8,21.8,11.1304,1330500,0.0,1.0
2010-02-09,22.04,22.18,21.78,21.94,11.2019,1251700,0.0,1.0
2010-02-10,21.94,22.05,21.5,21.62,11.0385,1705600,0.0,1.0
2010-02-11,21.58,21.92,21.32,21.73,11.0947,1853600,0.0,1.0
2010-02-12,21.6,21.78,21.38,21.71,11.0845,1668100,0.0,1.0
2010-02-16,21.85,22.41,21.69,22.4,11.4368,1283900,0.0,1.0
2010-02-17,23.12,23.67,22.86,23.55,12.0239,3239000,0.0,1.0
2010-02-18,23.59,23.89,23.5,23.84,12.172,1319000,0.0,1.0
