,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-11-03,25.12,25.42,25.11,25.314,24.9152,5514,0.0,1.0
2015-11-04,25.41,25.5776,25.3901,25.4433,25.0425,18743,0.0,1.0
2015-11-05,25.49,25.49,25.11,25.19,24.7932,9914,0.0,1.0
2015-11-06,25.13,25.27,25.03,25.2501,24.8523,9143,0.0,1.0
2015-11-09,25.29,25.29,24.88,25.05,24.6554,7287,0.0,1.0
2015-11-10,24.89,24.92,24.74,24.88,24.488,4253,0.0,1.0
2015-11-11,24.94,24.94,24.55,24.55,24.1632,5180,0.0,1.0
2015-11-12,24.49,24.696,24.43,24.4311,24.0462,5171,0.0,1.0
2015-11-13,24.33,24.37,24.135,24.135,23.7548,6030,0.0,1.0
2015-11-16,24.13,24.2,24.0,24.172,23.7912,5873,0.0,1.0
2015-11-17,24.24,24.6,24.24,24.433,24.0481,3678,0.0,1.0
2015-11-18,24.58,24.7833,24.417,24.7739,24.3836,5053,0.0,1.0
2015-11-19,24.79,24.9199,24.79,24.9199,24.5273,2787,0.0,1.0
2015-11-20,24.98,25.05,24.95,24.95,24.5569,2962,0.0,1.0
2015-11-23,25.01,25.01,24.93,24.93,24.5373,7011,0.0,1.0
2015-11-24,24.86,25.0,24.8,24.99,24.5963,3417,0.0,1.0
2015-11-25,25.113,25.2275,25.113,25.2275,24.8301,3482,0.0,1.0
2015-11-27,25.24,25.24,25.09,25.15,24.7538,3415,0.0,1.0
2015-11-30,25.26,25.26,25.11,25.17,24.7735,4921,0.0,1.0
2015-12-01,25.112,25.227,25.112,25.21,24.8128,2065,0.0,1.0
2015-12-02,25.25,25.348,25.21,25.2418,24.8441,2992,0.0,1.0
2015-12-03,25.062,25.062,24.6227,24.75,24.3601,4351,0.0,1.0
2015-12-04,24.88,25.11,24.88,25.054,24.6593,7743,0.0,1.0
2015-12-07,24.89,24.89,24.6111,24.667,24.2784,8168,0.0,1.0
2015-12-08,24.34,24.65,24.298,24.6288,24.2408,8822,0.0,1.0
2015-12-09,24.53,24.61,24.2741,24.34,23.9565,3550,0.0,1.0
2015-12-10,24.31,24.41,24.293,24.293,23.9103,5538,0.0,1.0
2015-12-11,24.13,24.13,23.833,23.85,23.4743,8640,0.0,1.0
2015-12-14,23.76,23.77,23.59,23.7583,23.384,2994,0.0,1.0
2015-12-15,23.96,24.18,23.941,24.08,23.7006,11189,0.0,1.0
2015-12-16,24.18,24.32,24.02,24.26,23.8778,7377,0.0,1.0
2015-12-17,24.28,24.48,24.18,24.18,23.7991,3361,0.0,1.0
2015-12-18,24.04,24.0799,23.99,23.99,23.6121,1815,0.0,1.0
2015-12-21,27.33,27.33,24.0,24.053,23.6741,3917,0.0,1.0
2015-12-22,24.17,24.17,23.97,24.0399,23.6612,4872,0.0,1.0
2015-12-23,24.21,24.289,24.03,24.287,23.9044,3678,0.0,1.0
2015-12-24,24.32,24.467,24.32,24.42,24.0353,2783,0.0,1.0
2015-12-28,24.49,24.49,24.27,24.38,23.9959,5723,0.0,1.0
2015-12-29,24.48,24.52,24.413,24.493,24.1071,2545,0.0,1.0
2015-12-30,24.4,24.406,24.2329,24.2329,23.8511,2342,0.0,1.0
2015-12-31,24.2,24.28,24.1,24.1,23.7203,3874,0.0,1.0
2016-01-04,23.84,23.84,23.63,23.77,23.3955,4421,0.0,1.0
2016-01-05,23.89,23.89,23.56,23.613,23.241,5415,0.0,1.0
2016-01-06,23.25,23.54,23.25,23.37,23.0018,6709,0.0,1.0
2016-01-07,23.02,23.173,22.89,22.92,22.5589,3859,0.0,1.0
2016-01-08,23.11,23.13,22.75,22.75,22.3916,7987,0.0,1.0
2016-01-11,22.93,22.93,22.546,22.75,22.3916,3730,0.0,1.0
2016-01-12,22.8889,23.03,22.6144,22.78,22.4211,3680,0.0,1.0
2016-01-13,22.92,22.98,22.2,22.2199,21.8698,2353,0.0,1.0
2016-01-14,22.15,22.15,21.5,21.95,21.6042,4568,0.0,1.0
2016-01-15,21.559,21.61,21.28,21.53,21.1908,3360,0.0,1.0
2016-01-19,21.71,21.77,21.1,21.28,20.9448,5856,0.0,1.0
2016-01-20,20.96,21.01,20.38,21.01,20.679,7382,0.0,1.0
2016-01-21,21.03,21.44,21.01,21.07,20.7381,3216,0.0,1.0
