,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,23.57,23.58,23.15,23.34,17.2412,4254200,0.0,1.0
2010-01-05,23.31,23.55,23.23,23.47,17.3372,2711400,0.0,1.0
2010-01-06,23.41,23.44,22.97,22.98,16.9752,3562500,0.0,1.0
2010-01-07,22.93,23.1,22.77,23.05,17.0269,2739000,0.0,1.0
2010-01-08,22.85,23.03,22.65,22.92,16.9309,2378900,0.0,1.0
2010-01-11,22.98,23.7,22.98,23.63,17.4554,2405000,0.0,1.0
2010-01-12,23.46,23.7,23.01,23.29,17.2042,2053200,0.0,1.0
2010-01-13,23.45,23.68,23.15,23.38,17.2707,3122000,0.0,1.0
2010-01-14,23.31,23.35,22.78,23.0,16.99,3551900,0.0,1.0
2010-01-15,22.8,22.99,22.49,22.71,16.7758,2528600,0.0,1.0
2010-01-19,22.67,23.2,22.53,23.03,17.0122,1990700,0.0,1.0
2010-01-20,22.9,22.9,22.26,22.41,16.5542,2734500,0.0,1.0
2010-01-21,22.4,22.6,21.45,21.45,15.845,4307700,0.0,1.0
2010-01-22,21.47,21.66,20.755,20.83,15.387,4648400,0.0,1.0
2010-01-25,21.25,21.46,20.93,21.17,15.6382,3708300,0.0,1.0
2010-01-26,20.84,21.04,20.32,20.33,15.0177,4312800,0.0,1.0
2010-01-27,20.46,21.69,20.27,21.69,16.0223,8292400,0.0,1.0
2010-01-28,21.84,21.84,20.04,20.21,14.929,10000600,0.0,1.0
2010-01-29,20.66,20.66,19.11,19.3,14.2568,9763000,0.0,1.0
2010-02-01,19.29,20.12,19.26,20.05,14.8108,6031500,0.0,1.0
2010-02-02,20.08,20.36,19.83,20.24,14.9512,4188800,0.0,1.0
2010-02-03,19.98,20.29,19.45,19.57,14.4563,3762000,0.0,1.0
2010-02-04,19.35,19.54,18.55,18.59,13.7323,6453900,0.0,1.0
2010-02-05,18.78,19.1,17.74,18.58,13.725,8635300,0.0,1.0
2010-02-08,18.55,19.11,18.31,18.32,13.5329,4827400,0.0,1.0
2010-02-09,18.66,19.17,18.51,18.61,13.7471,7248200,0.0,1.0
2010-02-10,18.53,18.99,18.53,18.75,13.8505,5659000,0.0,1.0
2010-02-11,18.78,18.78,18.32,18.51,13.6733,5129100,0.0,1.0
2010-02-12,18.3,18.5,18.05,18.44,13.6215,3609900,0.0,1.0
