,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,56.83,57.29,56.76,57.13,51.7936,122619,0.0,1.0
2010-01-05,57.39,57.39,56.86,57.23,51.8842,65594,0.0,1.0
2010-01-06,57.31,57.33,56.82,56.82,51.5125,62290,0.0,1.0
2010-01-07,56.97,56.97,56.43,56.67,51.3766,57029,0.0,1.0
2010-01-08,56.63,57.13,56.5725,57.13,51.7936,70648,0.0,1.0
2010-01-11,57.49,57.49,56.57,56.945,51.6259,62850,0.0,1.0
2010-01-12,56.71,56.81,56.02,56.19,50.9414,103231,0.0,1.0
2010-01-13,56.49,57.0,56.0699,56.91,51.5941,47678,0.0,1.0
2010-01-14,57.03,57.49,57.02,57.2,51.857,81744,0.0,1.0
2010-01-15,57.4,57.446,56.43,56.74,51.44,37767,0.0,1.0
2010-01-19,56.77,57.359,56.47,57.34,51.984,85907,0.0,1.0
2010-01-20,56.95,56.95,55.83,56.45,51.1771,82770,0.0,1.0
2010-01-21,56.84,56.9393,55.6874,55.94,50.7147,73736,0.0,1.0
2010-01-22,55.74,55.74,53.78,53.88,48.8472,88556,0.0,1.0
2010-01-25,54.65,54.7537,54.12,54.4168,49.3338,40643,0.0,1.0
2010-01-26,54.53,54.8499,53.91,54.1401,49.083,64622,0.0,1.0
2010-01-27,54.05,54.565,53.68,54.4699,49.382,61154,0.0,1.0
2010-01-28,54.65,54.89,53.03,53.5,48.5027,143424,0.0,1.0
2010-01-29,53.8,53.83,52.0,52.34,47.451,125063,0.0,1.0
2010-02-01,52.63,52.84,52.47,52.75,47.8227,413227,0.0,1.0
2010-02-02,53.0,53.489,52.69,53.31,48.3304,94711,0.0,1.0
2010-02-03,53.35,53.6499,53.18,53.46,48.4664,74293,0.0,1.0
2010-02-04,53.01,53.18,51.91,51.91,47.0612,72406,0.0,1.0
2010-02-05,51.79,52.2167,51.19,52.1,47.2334,86667,0.0,1.0
2010-02-08,52.37,52.53,51.91,51.91,47.0612,56154,0.0,1.0
2010-02-09,52.61,53.04,52.081,52.6066,47.6927,201372,0.0,1.0
2010-02-10,52.63,52.76,52.13,52.39,47.4963,187608,0.0,1.0
2010-02-11,52.63,53.14,52.176,53.1,48.14,106494,0.0,1.0
2010-02-12,52.16,53.05,52.16,52.95,48.004,107898,0.0,1.0
