,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,57.96,58.64,57.96,58.49,53.4946,839478,0.0,1.0
2010-01-05,58.54,58.64,58.07,58.4,53.4123,533361,0.0,1.0
2010-01-06,58.45,58.58,57.87,57.99,53.0373,578847,0.0,1.0
2010-01-07,57.97,57.97,57.5,57.77,52.8361,351728,0.0,1.0
2010-01-08,57.64,58.23,57.47,58.21,53.2385,593560,0.0,1.0
2010-01-11,58.3,58.474,57.64,57.93,52.9824,411284,0.0,1.0
2010-01-12,57.54,57.63,56.93,57.23,52.3422,701089,0.0,1.0
2010-01-13,57.28,57.91,56.88,57.76,52.8269,630128,0.0,1.0
2010-01-14,57.6,58.3381,57.59,58.2,53.2294,412329,0.0,1.0
2010-01-15,58.19,58.34,57.2,57.41,52.5068,399394,0.0,1.0
2010-01-19,57.54,58.29,57.46,58.28,53.3025,295241,0.0,1.0
2010-01-20,57.81,57.85,56.83,57.43,52.5251,453449,0.0,1.0
2010-01-21,57.51,57.93,56.62,56.86,52.0038,376424,0.0,1.0
2010-01-22,56.61,56.67,54.54,54.65,49.9826,717517,0.0,1.0
2010-01-25,55.12,55.42,54.8,55.07,50.3667,518892,0.0,1.0
2010-01-26,54.96,55.76,54.75,55.0,50.3027,464114,0.0,1.0
2010-01-27,54.94,55.54,54.511,55.34,50.6136,575328,0.0,1.0
2010-01-28,55.25,55.27,53.41,53.8,49.2052,911508,0.0,1.0
2010-01-29,54.34,54.34,52.221,52.49,48.007,948910,0.0,1.0
2010-02-01,52.74,53.35,52.71,53.32,48.7661,1679681,0.0,1.0
2010-02-02,53.35,53.9415,53.06,53.79,49.196,588857,0.0,1.0
2010-02-03,53.59,54.15,53.53,53.99,49.3789,464999,0.0,1.0
2010-02-04,53.7,53.76,52.46,52.46,47.9796,463659,0.0,1.0
2010-02-05,52.64,53.16,52.1,53.04,48.5101,726350,0.0,1.0
2010-02-08,53.11,53.49,52.75,52.76,48.254,307548,0.0,1.0
2010-02-09,53.4,53.84,52.95,53.41,48.8485,505288,0.0,1.0
2010-02-10,53.45,53.62,52.89,53.21,48.6655,304637,0.0,1.0
2010-02-11,53.12,54.08,52.91,53.93,49.3241,287157,0.0,1.0
2010-02-12,53.41,54.17,53.18,54.03,49.4155,202576,0.0,1.0
2010-02-16,54.35,54.929,54.262,54.82,50.138,356165,0.0,1.0
2010-02-17,55.04,55.17,54.814,55.08,50.3758,399327,0.0,1.0
2010-02-18,55.03,55.6626,54.91,55.57,50.824,280017,0.0,1.0
2010-02-19,55.39,55.72,55.22,55.53,50.7874,488781,0.0,1.0
2010-02-22,55.79,55.79,55.24,55.38,50.6502,313239,0.0,1.0
2010-02-23,55.24,55.28,54.3,54.59,49.9277,170787,0.0,1.0
2010-02-24,54.86,55.36,54.79,55.11,50.4033,390881,0.0,1.0
2010-02-25,54.42,55.11,53.97,55.02,50.321,280516,0.0,1.0
2010-02-26,55.07,55.2,54.72,55.07,50.3667,184306,0.0,1.0
2010-03-01,55.33,55.9,55.23,55.79,51.0252,264511,0.0,1.0
2010-03-02,56.08,56.26,55.64,55.74,50.9795,349263,0.0,1.0
2010-03-03,55.87,56.1238,55.679,55.82,51.0526,314209,0.0,1.0
2010-03-04,55.86,56.11,55.48,56.05,51.263,355221,0.0,1.0
2010-03-05,56.51,56.88,56.29,56.73,51.8849,359882,0.0,1.0
2010-03-08,56.81,57.03,56.77,56.88,52.0221,263367,0.0,1.0
2010-03-09,56.8,57.5,56.73,57.14,52.2599,600832,0.0,1.0
2010-03-10,57.18,57.64,57.11,57.5,52.5892,403885,0.0,1.0
2010-03-11,57.39,57.75,57.2419,57.71,52.7812,458330,0.0,1.0
2010-03-12,57.91,57.9518,57.55,57.74,52.8087,288335,0.0,1.0
2010-03-15,57.53,57.69,57.11,57.54,52.6257,229004,0.0,1.0
2010-03-16,57.64,58.09,57.52,58.02,53.0647,183900,0.0,1.0
2010-03-17,58.0,58.62,58.0,58.27,53.2934,270496,0.0,1.0
2010-03-18,58.37,58.44,58.13,58.32,53.3391,249065,0.0,1.0
2010-03-19,58.41,58.5,57.61,57.82,52.8818,334797,0.0,1.0
2010-03-22,57.54,58.531,57.44,58.33,53.3483,404702,0.0,1.0
2010-03-23,58.42,58.96,58.24,58.938,53.9043,491914,0.0,1.0
2010-03-24,58.938,58.938,58.938,58.938,53.9043,489100,0.0,1.0
2010-03-25,58.99,59.41,58.55,58.57,53.6225,527030,0.0598,1.0
2010-03-26,58.76,58.87,58.19,58.46,53.5218,272607,0.0,1.0
2010-03-29,58.71,58.85,58.38,58.5,53.5584,233576,0.0,1.0
2010-03-30,58.68,58.89,58.33,58.77,53.8056,187513,0.0,1.0
2010-03-31,58.56,58.804,58.32,58.39,53.4577,154091,0.0,1.0
2010-04-01,58.73,59.07,57.934,58.44,53.5035,364565,0.0,1.0
2010-04-05,58.57,59.2,58.45,59.15,54.1535,214113,0.0,1.0
2010-04-06,58.93,59.4,58.75,59.25,54.245,386913,0.0,1.0
2010-04-07,59.06,59.4,58.81,59.1,54.1077,183421,0.0,1.0
2010-04-08,58.89,59.208,58.57,59.13,54.1352,203667,0.0,1.0
2010-04-09,59.2,59.64,59.03,59.59,54.5563,145759,0.0,1.0
2010-04-12,59.62,59.99,59.58,59.84,54.7852,165445,0.0,1.0
2010-04-13,59.73,60.11,59.54,60.01,54.9408,158651,0.0,1.0
2010-04-14,60.62,61.1496,60.53,61.08,55.9205,508577,0.0,1.0
2010-04-15,61.01,61.45,61.0,61.38,56.1951,369556,0.0,1.0
2010-04-16,61.1,61.3299,60.2182,60.57,55.4535,661116,0.0,1.0
2010-04-19,60.32,60.75,59.84,60.6,55.481,405337,0.0,1.0
2010-04-20,60.86,61.028,60.41,60.91,55.7648,136672,0.0,1.0
2010-04-21,61.28,61.43,60.814,61.15,55.9845,497919,0.0,1.0
2010-04-22,60.57,61.42,60.1005,61.4,56.2134,767159,0.0,1.0
2010-04-23,61.45,61.62,61.04,61.52,56.3233,355752,0.0,1.0
2010-04-26,61.6,61.77,61.4,61.464,56.272,226169,0.0,1.0
2010-04-27,61.19,61.5119,60.11,60.3,55.2063,441046,0.0,1.0
2010-04-28,60.61,60.61,59.7801,60.4,55.2979,427251,0.0,1.0
2010-04-29,60.59,61.04,60.452,60.95,55.8014,213109,0.0,1.0
2010-04-30,60.97,60.97,59.56,59.56,54.5289,598756,0.0,1.0
2010-05-03,59.78,60.67,59.78,60.39,55.2887,564782,0.0,1.0
2010-05-04,59.7,59.78,58.23,58.63,53.6774,511326,0.0,1.0
2010-05-05,58.1,58.74,57.78,58.31,53.3844,441872,0.0,1.0
2010-05-06,58.0,59.4,38.0,56.36,51.5992,1018400,0.0,1.0
2010-05-07,56.0,56.56,53.68,55.03,50.3815,857179,0.0,1.0
2010-05-10,57.64,58.15,57.32,57.81,52.9267,627514,0.0,1.0
2010-05-11,57.35,58.574,57.07,57.65,52.7802,580525,0.0,1.0
2010-05-12,57.89,59.08,57.89,59.01,54.0253,356513,0.0,1.0
2010-05-13,58.73,59.3574,58.03,58.21,53.2929,299170,0.0,1.0
2010-05-14,57.71,57.72,56.45,57.22,52.3865,371701,0.0,1.0
2010-05-17,57.24,57.48,56.13,57.33,52.4872,470543,0.0,1.0
2010-05-18,57.9,57.9,56.28,56.53,51.7548,780162,0.0,1.0
2010-05-19,56.36,56.8,55.47,56.11,51.3703,789110,0.0,1.0
2010-05-20,54.86,55.22,53.91,54.09,49.5209,1011873,0.0,1.0
2010-05-21,53.16,54.94,52.75,54.61,49.997,859261,0.0,1.0
2010-05-24,54.54,55.07,54.23,54.25,49.6674,361423,0.0,1.0
2010-05-25,52.88,54.18,52.43,54.17,49.5942,620889,0.0,1.0
2010-05-26,54.62,55.31,53.47,53.61,49.0815,554320,0.0,1.0
2010-05-27,54.9,55.65,54.81,55.649,50.9482,492229,0.0,1.0
2010-05-28,55.64,55.66,54.71,55.13,50.4731,362992,0.0,1.0
2010-06-01,54.87,55.78,54.5,54.53,49.9237,658030,0.0,1.0
2010-06-02,54.91,55.84,54.49,55.84,51.1231,200122,0.0,1.0
2010-06-03,56.01,56.61,55.7301,56.51,51.7365,212030,0.0,1.0
2010-06-04,55.46,56.04,54.3619,54.58,49.9695,350635,0.0,1.0
2010-06-07,54.79,54.96,53.46,53.52,48.9991,253786,0.0,1.0
2010-06-08,53.57,53.71,52.7138,53.53,49.0082,593766,0.0,1.0
2010-06-09,53.89,54.39,52.87,53.07,48.5871,694690,0.0,1.0
2010-06-10,53.9,54.43,53.55,54.37,49.7773,178120,0.0,1.0
2010-06-11,53.95,55.1,53.88,55.05,50.3998,199412,0.0,1.0
2010-06-14,55.55,55.8588,54.883,54.93,50.29,414929,0.0,1.0
2010-06-15,55.3,56.6124,55.23,56.51,51.7365,270258,0.0,1.0
2010-06-16,56.33,56.93,56.2,56.72,51.9288,318601,0.0,1.0
2010-06-17,57.06,57.09,56.376,56.93,52.121,530790,0.0,1.0
2010-06-18,57.06,57.3,56.796,56.99,52.1759,89346,0.0,1.0
2010-06-21,57.66,57.73,56.16,56.45,51.6816,180681,0.0,1.0
2010-06-22,56.64,57.086,55.85,55.89,51.1689,177313,0.0,1.0
2010-06-23,56.02,56.2,55.26,55.68,50.9766,154673,0.0,1.0
2010-06-24,55.38,55.53,54.42,54.58,50.0384,261559,0.0753,1.0
2010-06-25,54.84,54.96,54.07,54.5,49.9651,604056,0.0,1.0
2010-06-28,54.5,54.89,54.15,54.52,49.9834,116320,0.0,1.0
2010-06-29,53.62,53.69,52.0519,52.45,48.0857,302610,0.0,1.0
2010-06-30,52.33,52.6625,51.41,51.6,47.3064,471825,0.0,1.0
2010-07-01,51.56,51.98,50.49,51.37,47.0955,911539,0.0,1.0
