,open,high,low,close,volume
2017-12-05,20.4,20.4,20.01,20.06,149560
2017-12-06,21.33,21.33,19.76,19.78,31653
2017-12-07,19.879,20.025,19.8,19.98,47570
2017-12-08,20.33,20.33,20.025,20.025,32317
2017-12-11,20.44,20.44,20.0,20.02,32661
2017-12-12,19.96,20.01,19.95,19.9875,10926
2017-12-13,20.01,20.16,19.95,20.02,26091
2017-12-14,20.12,20.1495,20.0,20.03,22228
2017-12-15,20.31,20.35,20.07,20.31,125653
2017-12-18,20.5,20.6,20.43,20.59,30008
2017-12-19,20.56,20.65,20.46,20.46,45251
2017-12-20,20.45,20.91,20.38,20.42,15463
2017-12-21,20.53,20.55,20.45,20.52,18092
2017-12-22,20.48,20.48,20.37,20.42,8233
2017-12-26,20.45,20.45,20.27,20.3696,9947
2017-12-27,20.5,20.5499,20.42,20.5165,17122
2017-12-28,20.55,20.61,20.5,20.55,21938
2017-12-29,20.54,20.69,20.36,20.4,16852
2018-01-02,20.59,20.81,20.59,20.7904,29995
2018-01-03,20.7904,21.11,20.7904,21.08,68637
2018-01-04,21.4,21.4,21.0,21.27,37229
2018-01-05,21.27,21.4,21.2,21.35,35467
2018-01-08,21.85,21.85,21.21,21.22,28437
2018-01-09,21.26,21.37,21.23,21.23,15856
2018-01-10,21.03,21.22,20.98,21.1228,21850
2018-01-11,21.18,21.44,21.18,21.4,43784
2018-01-12,21.42,21.75,21.42,21.59,99854
2018-01-16,21.56,22.007,21.0,21.075,36047
2018-01-17,21.42,21.46,21.23,21.32,10019
2018-01-18,21.19,21.42,21.0,21.17,67084
2018-01-19,21.37,21.41,21.25,21.38,25005
2018-01-22,21.5,22.04,21.49,21.64,43246
2018-01-23,21.64,21.969,21.64,21.875,45311
2018-01-24,21.79,21.81,21.4,21.47,41124
2018-01-25,21.55,21.83,21.5,21.6006,35146
2018-01-26,21.66,21.804,21.65,21.65,44046
2018-01-29,21.55,22.007,21.501,21.58,31951
2018-01-30,21.41,21.544,21.3,21.3,19067
2018-01-31,21.39,21.58,21.2,21.2,60410
2018-02-01,21.07,21.26,20.9089,20.9089,46444
2018-02-02,20.92,20.92,20.45,20.4967,23557
2018-02-05,20.3,20.34,19.86,19.8871,31300
2018-02-06,19.66,20.209,19.1625,20.209,18485
2018-02-07,20.04,20.4499,20.04,20.339,14403
2018-02-08,20.23,20.35,19.75,19.75,15858
2018-02-09,19.71,19.7705,19.25,19.65,49962
2018-02-12,19.76,20.03,19.76,19.9729,19895
2018-02-13,20.47,20.47,20.0,20.1107,8083
2018-02-14,20.1817,20.5399,20.1817,20.4265,5104
2018-02-15,20.75,20.9,20.574,20.81,16711
2018-02-16,21.48,21.48,20.8,20.82,17480
2018-02-20,20.8,21.12,20.79,20.9584,7674
2018-02-21,20.99,21.2299,20.87,20.87,11415
2018-02-22,20.91,20.98,20.81,20.94,39422
2018-02-23,21.0,21.098,20.8514,21.06,7629
2018-02-26,21.2,21.2979,21.0223,21.2799,11710
2018-02-27,21.23,21.4876,20.94,20.94,5618
2018-02-28,20.87,21.025,20.87,20.9576,10253
2018-03-01,21.02,21.02,20.6178,20.7,7113
2018-03-02,20.6412,21.0999,20.6412,21.095,5704
2018-03-05,20.95,21.2,20.781,21.15,18944
2018-03-06,21.4262,21.4262,21.0001,21.08,5725
2018-03-07,21.0,21.24,20.92,21.24,16839
2018-03-08,21.0,21.0128,20.83,20.83,6820
2018-03-09,21.08,21.109,20.8734,21.04,13092
2018-03-12,21.19,21.24,21.0737,21.23,6289
2018-03-13,21.29,21.29,21.1222,21.1222,10698
2018-03-14,21.0711,21.13,21.01,21.04,3973
2018-03-15,21.08,21.16,21.02,21.045,10626
2018-03-16,21.12,21.12,21.0,21.035,3785
2018-03-19,21.03,21.03,20.491,20.5674,4201
2018-03-20,20.73,20.79,20.68,20.72,8828
2018-03-21,20.6237,20.9099,20.6237,20.8902,8561
2018-03-22,20.64,20.64,20.45,20.4744,5083
2018-03-23,20.31,20.325,20.0,20.0307,9797
2018-03-26,20.1689,20.18,19.87,20.15,8785
2018-03-27,20.3388,20.3388,19.75,19.85,6491
2018-03-28,19.61,19.77,19.28,19.4,116071
2018-03-29,19.55,19.8399,19.45,19.81,5022
2018-04-02,20.0,20.0,19.32,19.32,7336
2018-04-03,19.5,19.8199,19.5,19.71,3183
2018-04-04,19.54,19.7,19.54,19.7,2336
2018-04-05,19.77,19.855,19.71,19.74,5635
2018-04-06,19.76,19.76,19.361,19.39,3373
2018-04-09,19.6052,20.0,19.6052,19.7613,5231
2018-04-10,20.0,20.2799,20.0,20.1499,4920
2018-04-11,20.0,20.1799,19.955,20.1799,1491
2018-04-12,20.17,20.34,20.17,20.2448,5659
2018-04-13,20.25,20.3299,20.16,20.3299,2423
2018-04-16,20.46,20.46,20.2,20.25,6270
2018-04-17,20.25,20.499,20.25,20.499,3185
2018-04-18,20.3575,20.49,20.33,20.3654,3327
2018-04-19,20.37,20.37,20.081,20.081,2658
2018-04-20,20.04,20.1392,19.94,19.94,4300
2018-04-23,20.0007,20.0103,19.9503,19.9503,1418
2018-04-24,20.0,20.0,19.42,19.7597,8010
2018-04-25,19.37,19.619,19.37,19.619,4608
2018-04-26,19.62,19.829,19.58,19.7102,2653
2018-04-27,19.55,19.6,19.53,19.6,2243
2018-04-30,19.619,19.619,19.4556,19.4556,1941
2018-05-01,19.3975,19.5899,19.36,19.5899,1015
2018-05-02,19.6099,19.6099,19.6099,19.6099,583
2018-05-03,19.56,19.64,19.53,19.5649,4267
2018-05-04,19.555,19.8468,19.555,19.7712,4206
2018-05-07,19.68,19.95,19.62,19.95,8686
2018-05-08,19.8999,19.8999,19.74,19.74,16333
2018-05-09,19.8367,20.07,19.8218,20.07,8694
2018-05-10,19.96,20.1,19.96,20.1,3652
2018-05-11,20.18,20.2823,20.1701,20.2,3757
2018-05-14,20.24,20.4622,20.24,20.35,6525
2018-05-15,20.211,20.4156,20.211,20.3363,2364
2018-05-16,20.45,20.599,20.445,20.599,3338
2018-05-17,20.6,20.6,20.47,20.535,2496
2018-05-18,20.514,20.659,20.47,20.47,4949
2018-05-21,20.7,20.7774,20.6068,20.6068,9525
2018-05-22,20.76,20.76,20.7,20.7,6961
2018-05-23,20.51,20.6811,20.51,20.6,6704
2018-05-24,20.6,20.6236,20.5,20.615,3566
2018-05-25,20.63,20.74,20.6,20.74,4345
2018-05-29,20.55,20.55,20.381,20.4598,4546
2018-05-30,20.53,20.6525,20.53,20.58,1794
2018-05-31,20.56,20.75,20.53,20.68,10494
2018-06-01,20.9399,20.9399,20.7942,20.7942,1253
2018-06-04,20.77,20.94,20.77,20.94,1005
2018-06-05,20.87,20.9879,20.87,20.9879,6803
2018-06-06,20.9999,21.0,20.9,20.985,1967
2018-06-07,21.01,21.01,20.76,20.76,5111
2018-06-08,20.78,20.98,20.78,20.98,3767
2018-06-11,21.0548,21.0548,20.92,20.98,2817
2018-06-12,20.93,21.17,20.8763,21.052,12265
2018-06-13,21.151,21.1896,20.9683,21.0,4248
2018-06-14,21.0,21.03,20.86,20.98,6364
2018-06-15,20.82,20.9343,20.81,20.8301,5934
2018-06-18,21.1435,21.1435,20.55,20.96,4321
2018-06-19,20.78,20.899,20.5301,20.7643,2850
2018-06-20,20.88,21.0979,20.88,20.97,9552
2018-06-21,20.9,20.9,20.66,20.66,8154
