,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-09-30,24.99,25.01,24.94,25.01,24.0535,40000,0.0,1.0
2015-10-01,24.9,24.9,24.9,24.9,23.9477,40000,0.0,1.0
2015-10-02,25.32,25.32,25.32,25.32,24.3516,40000,0.0,1.0
2015-10-05,25.92,25.92,25.92,25.92,24.9287,20000,0.0,1.0
2015-10-06,25.95,25.95,25.95,25.95,24.9575,20020,0.0,1.0
2015-10-07,26.14,26.14,26.14,26.14,25.1403,20000,0.0,1.0
2015-10-08,26.32,26.32,26.32,26.32,25.3134,20000,0.0,1.0
2015-10-09,26.39,26.4,26.3814,26.4,25.3903,40480,0.0,1.0
2015-10-12,26.43,26.43,26.43,26.43,25.4192,20037,0.0,1.0
2015-10-13,26.464,26.464,26.32,26.32,25.3134,40111,0.0,1.0
2015-10-14,26.38,26.38,26.38,26.38,25.3711,20000,0.0,1.0
2015-10-15,26.58,26.58,26.58,26.58,25.5634,20000,0.0,1.0
2015-10-16,26.61,26.64,26.61,26.64,25.6211,20150,0.0,1.0
2015-10-19,26.6141,26.7,26.6141,26.6952,25.6742,20798,0.0,1.0
2015-10-20,26.62,26.62,26.62,26.62,25.6019,20000,0.0,1.0
2015-10-21,26.6144,26.6144,26.5,26.5,25.4865,20762,0.0,1.0
2015-10-22,27.059,27.059,26.99,26.99,25.9578,20500,0.0,1.0
2015-10-23,27.59,27.59,27.59,27.59,26.5348,20000,0.0,1.0
2015-10-26,27.7,27.7,27.3399,27.35,26.304,21251,0.0,1.0
2015-10-27,27.28,27.28,27.25,27.25,26.2078,20117,0.0,1.0
2015-10-28,27.3688,27.51,27.352,27.51,26.4579,24250,0.0,1.0
2015-10-29,27.39,27.39,27.39,27.39,26.3425,20000,0.0,1.0
2015-10-30,27.3792,27.4,27.32,27.32,26.2751,21460,0.0,1.0
2015-11-02,27.46,27.57,27.46,27.55,26.4963,22592,0.0,1.0
2015-11-03,27.55,27.78,27.54,27.78,26.7175,20751,0.0,1.0
2015-11-04,27.71,27.75,27.6895,27.72,26.6598,22775,0.0,1.0
2015-11-05,27.67,27.69,27.5053,27.53,26.4771,22881,0.0,1.0
2015-11-06,27.69,27.75,27.69,27.7111,26.6513,20577,0.0,1.0
2015-11-09,27.46,27.46,27.46,27.46,26.4098,16193,0.0,1.0
2015-11-10,27.17,27.17,27.17,27.17,26.1309,704,0.0,1.0
2015-11-11,27.1844,27.1944,27.1844,27.1944,26.1543,400,0.0,1.0
2015-11-12,27.12,27.12,26.8701,26.8701,25.8424,1600,0.0,1.0
2015-11-13,26.5396,26.5396,26.5396,26.5396,25.5246,100,0.0,1.0
2015-11-16,26.5,26.5,26.48,26.48,25.4673,5858,0.0,1.0
2015-11-17,26.68,27.01,26.68,27.01,25.977,1860,0.0,1.0
2015-11-18,26.86,26.86,26.8599,26.8599,25.8326,1000,0.0,1.0
2015-11-19,27.3139,27.36,27.3139,27.36,26.3136,620,0.0,1.0
2015-11-20,27.55,27.55,27.4136,27.5,26.4483,1270,0.0,1.0
2015-11-23,27.4729,27.4729,27.4299,27.4299,26.3808,357,0.0,1.0
2015-11-24,27.27,27.51,27.11,27.41,26.3617,2925,0.0,1.0
2015-11-25,27.42,27.43,27.4183,27.4183,26.3697,1325,0.0,1.0
2015-11-27,27.4183,27.4183,27.4183,27.4183,26.3697,13,0.0,1.0
2015-11-30,27.5199,27.5199,27.5199,27.5199,26.4674,340,0.0,1.0
2015-12-01,27.74,27.778,27.74,27.778,26.7156,913,0.0,1.0
2015-12-02,27.88,27.88,27.88,27.88,26.8137,4515,0.0,1.0
2015-12-03,27.6,27.6,27.5999,27.5999,26.5443,213,0.0,1.0
2015-12-04,27.25,27.25,27.25,27.25,26.2078,205,0.0,1.0
2015-12-07,27.71,27.71,27.53,27.6,26.5444,4395,0.0,1.0
2015-12-08,27.4599,27.56,27.4559,27.54,26.4867,8705,0.0,1.0
2015-12-09,27.525,27.6052,27.0649,27.1,26.0636,14100,0.0,1.0
2015-12-10,27.44,27.44,27.18,27.3,26.2559,4716,0.0,1.0
2015-12-11,26.95,26.98,26.9,26.9,25.8712,437,0.0,1.0
2015-12-14,26.7588,26.7588,26.6014,26.604,25.5865,2435,0.0,1.0
2015-12-15,27.06,27.06,27.06,27.06,26.0251,702,0.0,1.0
2015-12-16,27.07,27.37,27.07,27.3652,26.3186,1000,0.0,1.0
2015-12-17,27.37,27.37,27.05,27.05,26.0155,787,0.0,1.0
2015-12-18,26.86,26.92,26.86,26.9,25.8712,1730,0.0,1.0
2015-12-21,26.5695,26.77,26.5695,26.77,25.7462,600,0.0,1.0
2015-12-22,26.82,26.95,26.75,26.95,25.9193,4610,0.0,1.0
2015-12-23,27.1021,27.1021,27.1021,27.1021,26.0656,450,0.0,1.0
2015-12-24,27.11,27.11,27.09,27.09,26.1433,1800,0.0929,1.0
2015-12-28,26.9999,26.9999,26.9999,26.9999,26.0564,550,0.0,1.0
2015-12-29,27.3248,27.4132,27.3248,27.41,26.4521,3416,0.0,1.0
2015-12-30,27.3131,27.3131,27.3131,27.3131,26.3586,251,0.0,1.0
2015-12-31,27.3131,27.3131,27.3131,27.3131,26.3586,26,0.0,1.0
2016-01-04,26.38,26.38,26.298,26.35,25.4292,1442,0.0,1.0
2016-01-05,26.5,26.5,26.38,26.38,25.4581,1287,0.0,1.0
2016-01-06,26.38,26.38,26.38,26.38,25.4581,8,0.0,1.0
2016-01-07,26.38,26.38,26.38,26.38,25.4581,0,0.0,1.0
2016-01-08,24.99,25.12,24.972,25.12,24.2422,3177,0.0,1.0
2016-01-11,24.896,24.8964,24.645,24.645,23.7838,1826,0.0,1.0
2016-01-12,25.24,25.24,25.03,25.03,24.1553,1736,0.0,1.0
2016-01-13,24.6095,24.61,24.53,24.53,23.6728,355,0.0,1.0
2016-01-14,25.0,25.0,24.9555,24.98,24.107,11302,0.0,1.0
2016-01-15,24.54,24.54,23.7995,24.22,23.3736,15985,0.0,1.0
2016-01-19,24.55,24.55,23.95,24.13,23.2868,17600,0.0,1.0
2016-01-20,24.13,24.13,24.13,24.13,23.2868,10,0.0,1.0
2016-01-21,23.9,24.12,23.9,24.12,23.2771,1604,0.0,1.0
2016-01-22,24.52,24.6,24.48,24.6,23.7403,842,0.0,1.0
2016-01-25,24.336,24.336,24.15,24.169,23.3244,1411,0.0,1.0
2016-01-26,24.4062,24.4062,24.4062,24.4062,23.5533,1500,0.0,1.0
2016-01-27,24.472,24.472,24.242,24.242,23.3948,400,0.0,1.0
2016-01-28,24.162,24.162,24.162,24.162,23.3176,100,0.0,1.0
2016-01-29,24.36,24.86,24.36,24.86,23.9912,4402,0.0,1.0
2016-02-01,24.83,25.044,24.784,25.044,24.1688,1045,0.0,1.0
2016-02-02,24.71,24.71,24.43,24.43,23.5763,738,0.0,1.0
