,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,53.31,53.57,52.57,52.83,39.3358,2749000,0.0,1.0
2010-01-05,52.8,52.98,52.55,52.95,39.4251,1472000,0.0,1.0
2010-01-06,52.82,53.14,52.6,52.96,39.4326,1494300,0.0,1.0
2010-01-07,52.78,53.52,52.7,53.48,39.8197,1782900,0.0,1.0
2010-01-08,53.3,53.38,53.0,53.38,39.7453,1342700,0.0,1.0
2010-01-11,53.51,53.72,53.03,53.41,39.7676,943600,0.0,1.0
2010-01-12,53.16,53.65,53.14,53.39,39.7527,1463800,0.0,1.0
2010-01-13,53.46,53.99,53.46,53.72,39.9984,1405300,0.0,1.0
2010-01-14,53.85,54.11,53.6,53.85,40.0952,1638400,0.0,1.0
2010-01-15,54.5,54.96,54.1,54.34,40.4601,3779600,0.0,1.0
2010-01-19,54.28,54.6,54.28,54.5,40.5792,1437200,0.0,1.0
2010-01-20,54.3,54.43,53.5,53.87,40.1101,1869600,0.0,1.0
2010-01-21,53.97,54.46,53.16,53.44,39.79,2401100,0.0,1.0
2010-01-22,53.28,54.61,53.24,54.34,40.4601,4832000,0.0,1.0
2010-01-25,54.44,54.57,54.12,54.17,40.3335,2339800,0.0,1.0
2010-01-26,54.06,54.86,53.82,54.85,40.8398,2906100,0.0,1.0
2010-01-27,54.76,55.28,54.7,55.05,40.9887,3484600,0.0,1.0
2010-01-28,55.03,55.45,54.14,54.81,40.81,2435800,0.0,1.0
2010-01-29,54.97,54.98,54.27,54.42,40.5196,3334300,0.0,1.0
2010-02-01,54.79,54.88,54.34,54.72,40.743,3388900,0.0,1.0
2010-02-02,54.58,55.39,54.44,55.36,41.2195,3271100,0.0,1.0
2010-02-03,55.3,55.41,54.9405,55.19,41.093,2837100,0.0,1.0
2010-02-04,53.82,54.43,52.41,52.41,39.023,6502200,0.0,1.0
2010-02-05,52.19,53.02,52.06,52.72,39.2539,4463000,0.0,1.0
2010-02-08,52.82,52.82,51.99,52.01,38.7252,2102500,0.0,1.0
2010-02-09,52.29,52.88,52.14,52.49,39.0826,2192600,0.0,1.0
2010-02-10,52.55,52.62,52.2201,52.33,38.9635,2001900,0.0,1.0
2010-02-11,52.41,52.66,51.93,52.62,39.1794,1918900,0.0,1.0
2010-02-12,52.39,52.79,52.2,52.34,38.9709,3179000,0.0,1.0
2010-02-16,52.6,52.68,51.91,52.6,39.1645,2551100,0.0,1.0
2010-02-17,52.56,52.98,52.45,52.98,39.4475,2304600,0.0,1.0
2010-02-18,52.85,53.12,52.78,53.01,39.4698,1458900,0.0,1.0
2010-02-19,52.93,53.4,52.81,53.2,39.6113,1985200,0.0,1.0
2010-02-22,53.15,53.32,52.74,52.86,39.3581,2577100,0.0,1.0
2010-02-23,52.89,53.06,52.37,52.73,39.2613,2344700,0.0,1.0
2010-02-24,52.8,53.32,52.15,52.4,39.0156,2329300,0.0,1.0
2010-02-25,52.4,52.4,52.4,52.4,39.0156,2045000,0.0,1.0
2010-02-26,52.33,52.39,51.82,52.15,39.1087,2110700,0.375,1.0
2010-03-01,52.31,52.46,52.05,52.16,39.1162,2476100,0.0,1.0
2010-03-02,52.32,52.77,52.32,52.61,39.4536,2301800,0.0,1.0
2010-03-03,52.6,52.79,52.48,52.57,39.4236,2050700,0.0,1.0
2010-03-04,52.57,53.0,52.21,52.65,39.4836,2761900,0.0,1.0
2010-03-05,52.76,52.94,52.41,52.93,39.6936,1649400,0.0,1.0
2010-03-08,52.8,52.8,52.51,52.62,39.4611,1518000,0.0,1.0
2010-03-09,52.44,52.71,52.32,52.43,39.3187,1408300,0.0,1.0
2010-03-10,52.47,52.75,52.31,52.51,39.3786,2099300,0.0,1.0
2010-03-11,52.79,52.97,52.33,52.69,39.5136,2331000,0.0,1.0
2010-03-12,52.61,53.05,52.44,52.49,39.3637,2173300,0.0,1.0
2010-03-15,52.44,52.8,52.39,52.51,39.3786,1385600,0.0,1.0
