,open,high,low,close,volume
2017-10-12,25.17,25.17,25.06,25.06,350
2017-10-13,25.189,25.19,25.182,25.19,537
2017-10-16,25.37,25.37,25.37,25.37,172
2017-10-17,25.27,25.27,25.18,25.189,560
2017-10-18,25.369,25.42,25.34,25.419,506
2017-10-19,24.95,24.95,24.84,24.859,372
2017-10-20,25.05,25.05,24.95,24.95,9206
2017-10-23,24.85,24.86,24.71,24.71,6585
2017-10-24,24.68,24.68,24.59,24.615,1581
2017-10-25,24.8,24.82,24.3,24.36,1353
2017-10-26,24.27,24.29,24.169,24.169,2618
2017-10-27,24.156,24.31,24.156,24.3,2489
2017-10-30,24.29,24.56,24.08,24.08,893
2017-10-31,24.36,24.58,24.36,24.56,703
2017-11-01,24.66,24.72,24.62,24.62,3660
2017-11-02,24.67,24.67,24.523,24.6,2597
2017-11-03,24.6,24.6,24.6,24.6,102
2017-11-06,25.0,25.06,24.98,25.048,2444
2017-11-07,25.097,25.097,25.07,25.07,871
2017-11-08,25.0,25.05,24.975,24.992,1657
2017-11-09,24.86,24.9,24.859,24.9,890
2017-11-10,25.0,25.0,24.772,24.79,2700
2017-11-13,24.77,24.953,24.77,24.953,2762
2017-11-14,24.953,24.953,24.953,24.953,0
2017-11-15,24.5,24.86,24.42,24.85,1357
2017-11-16,25.38,25.41,25.38,25.402,1108
2017-11-17,25.5,25.5,25.5,25.5,505
2017-11-20,25.63,25.63,25.63,25.63,157
2017-11-21,26.076,26.076,26.031,26.031,729
2017-11-22,25.905,25.91,25.87,25.87,1228
2017-11-24,25.585,25.608,25.57,25.608,420
2017-11-27,25.16,25.16,25.16,25.16,468
2017-11-28,25.0809,25.16,25.0809,25.16,314
2017-11-29,24.62,24.65,24.52,24.6,3808
2017-11-30,24.32,24.3601,24.32,24.3601,834
2017-12-01,24.25,24.25,24.17,24.205,900
2017-12-04,24.29,24.29,24.29,24.29,204
2017-12-05,24.069,24.069,24.069,24.069,500
2017-12-06,23.8701,23.8701,23.87,23.87,500
2017-12-07,23.87,23.87,23.87,23.87,36
2017-12-08,24.21,24.2223,24.21,24.2223,250
2017-12-11,24.222,24.222,24.222,24.222,80
2017-12-12,24.222,24.222,24.222,24.222,133
2017-12-13,24.222,24.222,24.222,24.222,0
2017-12-14,24.222,24.222,24.222,24.222,0
2017-12-15,24.222,24.222,24.222,24.222,0
2017-12-18,24.89,25.05,24.89,25.05,1662
2017-12-19,25.05,25.05,25.05,25.05,0
2017-12-20,25.05,25.05,25.05,25.05,100
2017-12-21,25.05,25.05,25.05,25.05,100
2017-12-22,25.05,25.05,25.05,25.05,0
2017-12-26,25.33,25.33,25.33,25.33,125
2017-12-27,25.33,25.33,25.33,25.33,104
2017-12-28,25.53,25.53,25.53,25.53,200
2017-12-29,25.53,25.53,25.53,25.53,25
2018-01-02,25.53,25.53,25.53,25.53,145
2018-01-03,26.645,26.645,26.5952,26.5952,566
2018-01-04,26.895,26.9,26.84,26.84,1725
2018-01-05,26.99,26.99,26.99,26.99,590
2018-01-08,27.358,27.358,27.358,27.358,423
2018-01-09,27.37,27.37,27.37,27.37,472
2018-01-10,27.25,27.25,27.17,27.188,1482
2018-01-11,27.14,27.23,27.14,27.2225,1695
2018-01-12,27.21,27.3924,27.21,27.3924,592
2018-01-16,27.6,27.77,27.36,27.36,4331
2018-01-17,27.47,27.73,27.47,27.73,1871
2018-01-18,27.5826,27.5826,27.5826,27.5826,334
2018-01-19,27.79,27.8224,27.7324,27.8224,798
2018-01-22,27.749,27.88,27.749,27.88,3215
2018-01-23,27.8902,27.9,27.84,27.84,2766
2018-01-24,28.189,28.2899,28.1,28.1,1542
2018-01-25,28.5,28.5,28.355,28.38,1122
2018-01-26,28.71,28.97,28.7,28.97,30933
2018-01-29,28.58,28.58,28.4,28.44,27659
2018-01-30,27.95,27.98,27.71,27.96,36617
2018-01-31,28.1,28.3,28.04,28.11,67733
2018-02-01,27.74,28.055,27.665,27.7,54081
2018-02-02,27.46,27.46,26.94,26.94,54032
2018-02-05,26.62,26.79,26.04,26.185,52758
2018-02-06,25.83,26.46,25.83,26.46,2129
2018-02-07,26.27,26.35,25.97,25.99,25405
2018-02-08,26.06,26.08,25.09,25.1,27710
2018-02-09,25.38,25.5,24.55,25.38,27268
2018-02-12,25.64,25.97,25.64,25.97,27096
2018-02-13,26.34,26.499,26.21,26.42,29463
2018-02-14,26.72,27.32,26.72,27.25,15833
2018-02-15,27.7,27.78,27.3,27.63,16555
2018-02-16,27.5517,27.7,27.3701,27.53,18817
2018-02-20,27.37,27.59,27.35,27.47,12883
2018-02-21,27.8308,27.8308,27.742,27.742,302
2018-02-22,27.6,27.62,27.42,27.48,27975
2018-02-23,27.75,28.11,27.62,28.11,27479
2018-02-26,27.88,27.95,27.815,27.91,14421
2018-02-27,27.68,27.71,27.28,27.31,13595
2018-02-28,27.18,27.18,27.09,27.1,9402
2018-03-01,27.0,27.2,26.63,26.93,13729
2018-03-02,26.48,27.19,26.48,27.19,10923
2018-03-05,26.97,27.3,26.84,27.26,12970
2018-03-06,27.53,27.6,27.51,27.55,11140
2018-03-07,27.36,27.79,27.36,27.77,10750
2018-03-08,27.87,27.87,27.6,27.71,12176
2018-03-09,28.27,28.27,28.27,28.27,2006
2018-03-12,28.37,28.43,28.29,28.39,12502
2018-03-13,28.42,28.42,27.99,28.06,14453
2018-03-14,28.14,28.18,27.97,28.08,15550
2018-03-15,28.25,28.25,28.03,28.17,14300
2018-03-16,28.08,28.17,28.02,28.15,15252
2018-03-19,27.87,28.11,27.68,27.89,14500
2018-03-20,28.36,28.44,28.29,28.44,10070
2018-03-21,28.27,28.44,28.185,28.39,10916
2018-03-22,27.74,27.74,27.1,27.18,11080
2018-03-23,27.09,27.2,26.7,26.74,12298
2018-03-26,27.39,27.39,26.85,27.35,12115
2018-03-27,27.3,27.33,26.439,26.54,3451
2018-03-28,26.33,26.33,26.1852,26.22,9582
2018-03-29,26.56,26.8,26.5248,26.76,26227
2018-04-02,26.09,26.09,26.07,26.07,1736
2018-04-03,26.3399,26.3399,26.3399,26.3399,170
2018-04-04,25.9773,26.19,25.96,26.19,1233
2018-04-05,26.19,26.19,26.19,26.19,8
2018-04-06,26.13,26.13,25.82,25.92,2125
2018-04-09,26.21,26.45,26.21,26.45,950
2018-04-10,26.43,26.49,26.4152,26.48,1037
2018-04-11,26.39,26.63,26.39,26.5,5957
2018-04-12,26.44,26.48,26.37,26.48,5527
2018-04-13,26.0,26.0,26.0,26.0,1021
