,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,13.62,13.88,13.56,13.66,8.7853,6263800,0.0,1.0
2010-01-05,13.58,13.72,13.41,13.59,8.7403,5996200,0.0,1.0
2010-01-06,13.59,13.76,13.51,13.65,8.7789,6165600,0.0,1.0
2010-01-07,13.58,14.14,13.58,14.11,9.0747,6926200,0.0,1.0
2010-01-08,14.05,14.18,13.78,13.93,8.959,5637000,0.0,1.0
2010-01-11,14.06,14.17,13.88,14.13,9.0876,5671400,0.0,1.0
2010-01-12,13.75,14.06,13.67,13.74,8.8368,9849400,0.0,1.0
2010-01-13,13.72,14.39,13.68,14.19,9.1262,7826300,0.0,1.0
2010-01-14,14.11,14.19,13.795,13.97,8.9847,5803100,0.0,1.0
2010-01-15,13.88,13.99,13.54,13.62,8.7596,7874900,0.0,1.0
2010-01-19,13.37,13.86,13.33,13.81,8.8818,8136700,0.0,1.0
2010-01-20,13.65,13.67,13.4,13.61,8.7531,7683500,0.0,1.0
2010-01-21,13.67,13.75,13.25,13.27,8.5345,9368400,0.0,1.0
2010-01-22,13.28,13.53,12.96,13.04,8.3866,9154100,0.0,1.0
2010-01-25,13.28,13.28,12.8,13.05,8.393,6171300,0.0,1.0
2010-01-26,12.98,13.1,12.79,12.84,8.2579,6222000,0.0,1.0
2010-01-27,12.85,12.9,12.52,12.83,8.2515,7591500,0.0,1.0
2010-01-28,12.99,12.99,12.4,12.59,8.0971,6152800,0.0,1.0
2010-01-29,12.69,12.84,12.46,12.62,8.1164,7352600,0.0,1.0
2010-02-01,12.72,12.93,12.655,12.93,8.3158,4483900,0.0,1.0
2010-02-02,12.95,13.09,12.76,13.01,8.3673,5560300,0.0,1.0
2010-02-03,12.97,13.07,12.54,12.66,8.1422,5976900,0.0,1.0
2010-02-04,12.57,12.91,12.49,12.66,8.1422,13464900,0.0,1.0
2010-02-05,12.66,13.19,12.63,12.97,8.3415,12127900,0.0,1.0
2010-02-08,12.95,13.11,12.58,12.6,8.1036,6487100,0.0,1.0
2010-02-09,12.75,12.89,12.555,12.8,8.2322,10005000,0.0,1.0
2010-02-10,12.83,13.0,12.5,12.76,8.2065,3429100,0.0,1.0
2010-02-11,12.78,12.85,12.54,12.73,8.1872,5017700,0.0,1.0
2010-02-12,12.63,12.84,12.5,12.82,8.2451,4772900,0.0,1.0
2010-02-16,13.01,13.25,12.88,13.23,8.5088,1205900,0.0,1.0
2010-02-17,13.33,13.57,13.23,13.42,8.6309,4424500,0.0,1.0
2010-02-18,13.34,13.86,13.34,13.74,8.8368,5191000,0.0,1.0
2010-02-19,13.7,13.79,13.49,13.71,8.8175,4500400,0.0,1.0
2010-02-22,13.7,13.8,13.59,13.64,8.7724,3401100,0.0,1.0
2010-02-23,13.57,13.68,13.38,13.44,8.6438,4255600,0.0,1.0
2010-02-24,13.51,13.8,13.44,13.8,8.8753,4363800,0.0,1.0
2010-02-25,13.61,14.01,13.48,13.95,8.9718,4946300,0.0,1.0
2010-02-26,13.98,14.09,13.88,13.89,8.9332,8049900,0.0,1.0
2010-03-01,13.95,14.1,13.87,14.0,9.004,5630000,0.0,1.0
2010-03-02,14.07,14.12,13.94,14.02,9.0168,6764400,0.0,1.0
2010-03-03,14.0,14.14,13.89,14.0,9.004,5604600,0.0,1.0
2010-03-04,14.0,14.09,13.935,14.04,9.0297,4368300,0.0,1.0
2010-03-05,14.13,14.66,14.01,14.61,9.3963,5533700,0.0,1.0
2010-03-08,14.61,14.85,14.6,14.75,9.4863,3082600,0.0,1.0
