,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-08-01,26.13,26.28,26.12,26.28,24.5645,600,0.0,1.0
2013-08-02,26.5,26.5,26.31,26.31,24.5925,1200,0.0,1.0
2013-08-05,26.31,26.31,26.31,26.31,24.5925,0,0.0,1.0
2013-08-06,36.0,36.0,26.37,26.37,24.6486,600,0.0,1.0
2013-08-07,25.905,25.905,25.905,25.905,24.214,100,0.0,1.0
2013-08-08,25.96,25.96,25.96,25.96,24.2654,100,0.0,1.0
2013-08-09,25.96,25.96,25.96,25.96,24.2654,0,0.0,1.0
2013-08-12,26.4195,26.43,26.4195,26.43,24.7047,528,0.0,1.0
2013-08-13,26.45,26.47,26.43,26.47,24.7421,600,0.0,1.0
2013-08-14,26.72,26.72,26.6,26.6,24.8636,200,0.0,1.0
2013-08-15,25.93,25.93,25.93,25.93,24.2374,100,0.0,1.0
2013-08-16,25.85,26.02,25.85,26.02,24.3215,325,0.0,1.0
2013-08-19,26.02,26.02,26.02,26.02,24.3215,0,0.0,1.0
2013-08-20,26.3098,26.3098,26.3098,26.3098,24.5924,100,0.0,1.0
2013-08-21,26.4799,26.4799,26.24,26.25,24.5365,1800,0.0,1.0
2013-08-22,26.4,26.46,26.4,26.46,24.7328,1600,0.0,1.0
2013-08-23,26.785,26.785,26.7654,26.7654,25.0182,200,0.0,1.0
2013-08-26,26.94,27.05,26.94,26.94,25.1814,1279,0.0,1.0
2013-08-27,26.94,26.94,26.94,26.94,25.1814,0,0.0,1.0
2013-08-28,26.4,26.5,26.4,26.5,24.7701,650,0.0,1.0
2013-08-29,26.8,26.8,26.71,26.71,24.9664,200,0.0,1.0
2013-08-30,26.71,26.71,26.71,26.71,24.9664,0,0.0,1.0
2013-09-03,26.71,26.71,26.71,26.71,24.9664,0,0.0,1.0
2013-09-04,27.04,27.04,27.04,27.04,25.2749,100,0.0,1.0
2013-09-05,27.55,27.55,27.55,27.55,25.7516,100,0.0,1.0
2013-09-06,27.75,27.89,27.61,27.89,26.0694,3350,0.0,1.0
2013-09-09,29.16,29.16,29.16,29.16,27.2565,200,0.0,1.0
2013-09-10,28.85,28.85,28.82,28.82,26.9387,600,0.0,1.0
2013-09-11,28.84,29.0999,28.84,28.96,27.0696,500,0.0,1.0
2013-09-12,29.36,29.36,29.06,29.06,27.163,1450,0.0,1.0
2013-09-13,28.75,28.75,28.75,28.75,26.8733,100,0.0,1.0
2013-09-16,29.28,29.28,29.1,29.1,27.2004,10000,0.0,1.0
2013-09-17,29.1,29.1,29.1,29.1,27.2004,0,0.0,1.0
2013-09-18,29.3,29.76,29.3,29.76,27.8173,880,0.0,1.0
2013-09-19,30.57,30.57,30.12,30.12,28.1538,650,0.0,1.0
2013-09-20,30.11,30.11,29.8499,29.85,27.9015,983,0.0,1.0
2013-09-23,29.46,29.46,29.46,29.46,27.5369,100,0.0,1.0
2013-09-24,29.6302,29.73,29.6302,29.71,27.7706,1200,0.0,1.0
2013-09-25,30.01,30.0878,29.991,30.0878,28.1237,2450,0.0,1.0
2013-09-26,30.2842,30.48,30.1,30.45,28.4623,6090,0.0,1.0
2013-09-27,30.35,30.37,30.35,30.3689,28.3865,400,0.0,1.0
2013-09-30,30.51,30.51,30.51,30.51,28.5184,300,0.0,1.0
2013-10-01,30.55,30.87,29.92,30.87,28.8549,8950,0.0,1.0
2013-10-02,31.3,31.36,31.3,31.36,29.3129,2732,0.0,1.0
2013-10-03,32.43,32.43,30.9933,31.27,29.2288,3871,0.0,1.0
2013-10-04,31.59,32.079,31.59,31.959,29.8728,1400,0.0,1.0
2013-10-07,32.37,32.37,31.74,31.78,29.7055,2480,0.0,1.0
2013-10-08,31.72,31.72,29.9643,29.9643,28.0083,5126,0.0,1.0
