,open,high,low,close,volume
2018-07-25,25.03,25.44,25.01,25.3,128761
2018-07-26,25.62,25.71,25.45,25.6,44647
2018-07-27,25.96,25.96,25.41,25.55,34837
2018-07-30,25.5792,25.5792,25.27,25.27,22244
2018-07-31,25.51,25.51,25.2664,25.34,26656
2018-08-01,25.42,25.46,25.241,25.37,11289
2018-08-02,25.23,25.46,25.15,25.45,6989
2018-08-03,25.44,25.47,25.39,25.46,8689
2018-08-06,25.47,25.48,25.44,25.48,2016
2018-08-07,25.51,25.9594,25.51,25.9,7718
2018-08-08,25.93,25.99,25.868,25.98,2136
2018-08-09,25.9248,25.96,25.88,25.88,4347
2018-08-10,25.8,25.8,25.5,25.56,11740
2018-08-13,25.65,25.65,25.5,25.5,1757
2018-08-14,25.4921,25.61,25.4921,25.6,3121
2018-08-15,25.49,25.49,24.796,25.0,19247
2018-08-16,25.05,25.071,25.05,25.05,1506
2018-08-17,25.0,25.08,24.85,25.08,1464
2018-08-20,25.14,25.2,25.1088,25.19,2157
2018-08-21,25.5809,25.679,25.5395,25.64,4186
2018-08-22,25.61,25.74,25.53,25.72,187822
2018-08-23,25.7,25.83,25.58,25.78,56878
2018-08-24,25.91,26.07,25.805,26.03,44625
2018-08-27,26.34,26.59,26.25,26.5,75401
2018-08-28,26.7,26.72,26.461,26.55,24340
2018-08-29,26.55,26.6809,26.4907,26.6809,17879
2018-08-30,26.73,26.73,26.527,26.555,66699
2018-08-31,26.58,26.76,26.5201,26.76,11786
2018-09-04,26.54,26.55,26.3427,26.55,22403
2018-09-05,26.43,26.43,25.99,26.1036,22726
2018-09-06,26.03,26.0739,25.815,25.82,11626
2018-09-07,25.72,25.8098,25.5328,25.5448,11825
2018-09-10,25.7518,25.8591,25.6541,25.8505,12454
2018-09-11,25.76,25.76,25.5888,25.65,5612
2018-09-12,25.66,25.7499,25.381,25.7145,12083
2018-09-13,25.94,26.15,25.811,25.8384,9917
2018-09-14,26.01,26.4299,26.01,26.35,12790
2018-09-17,26.35,26.35,26.091,26.1446,4765
2018-09-18,26.2,26.419,26.2,26.323,11144
2018-09-19,26.486,26.509,26.3201,26.389,9037
2018-09-20,26.6,26.6,26.41,26.48,19923
2018-09-21,26.62,26.62,26.4089,26.41,6214
2018-09-24,26.41,26.42,26.1933,26.4085,6404
2018-09-25,26.51,26.51,26.3927,26.47,5840
2018-09-26,26.44,26.53,26.4349,26.45,4974
2018-09-27,26.34,26.435,26.247,26.3589,3019
2018-09-28,26.19,26.4432,26.19,26.39,5015
