,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,16.9,17.3501,16.8,17.06,12.7771,8823100,0.0,1.0
2010-01-05,17.02,17.21,16.79,16.86,12.6273,9931300,0.0,1.0
2010-01-06,16.95,17.29,16.87,17.1,12.807,13240700,0.0,1.0
2010-01-07,17.54,17.66,16.96,17.49,13.0991,19939600,0.0,1.0
2010-01-08,17.14,17.2,16.85,16.92,12.6722,13217600,0.0,1.0
2010-01-11,17.11,17.11,16.38,16.62,12.4475,13099600,0.0,1.0
2010-01-12,16.41,16.63,16.2,16.37,12.2603,9274500,0.0,1.0
2010-01-13,16.45,16.76,16.39,16.44,12.3127,11278300,0.0,1.0
2010-01-14,16.34,16.56,16.17,16.51,12.3652,7264700,0.0,1.0
2010-01-15,16.51,16.78,16.34,16.55,12.3951,7861400,0.0,1.0
2010-01-19,16.52,16.75,16.52,16.69,12.5,6200100,0.0,1.0
2010-01-20,16.58,16.65,16.31,16.44,12.3127,8340000,0.0,1.0
2010-01-21,16.48,16.74,15.71,15.74,11.7885,15396400,0.0,1.0
2010-01-22,15.8,16.11,15.44,15.57,11.6611,14624100,0.0,1.0
2010-01-25,15.77,15.87,15.48,15.53,11.6312,8914100,0.0,1.0
2010-01-26,15.39,16.07,15.39,15.82,11.8484,2968700,0.0,1.0
2010-01-27,15.74,15.95,15.47,15.67,11.736,2498800,0.0,1.0
2010-01-28,15.8,15.96,15.53,15.78,11.8184,11597800,0.0,1.0
2010-01-29,16.12,16.32,15.92,15.93,11.9308,13552000,0.0,1.0
2010-02-01,15.61,15.92,15.34,15.92,11.9233,21044900,0.0,1.0
2010-02-02,15.89,16.32,15.77,16.21,12.1405,11490300,0.0,1.0
2010-02-03,16.01,16.29,15.8919,16.24,12.1629,9002500,0.0,1.0
2010-02-04,16.83,17.06,16.41,16.67,12.485,25824900,0.0,1.0
2010-02-05,16.67,16.72,15.8,16.42,12.2977,15113100,0.0,1.0
2010-02-08,16.47,16.69,16.24,16.27,12.1854,11105900,0.0,1.0
2010-02-09,16.47,16.88,16.32,16.71,12.5149,9663700,0.0,1.0
2010-02-10,16.72,16.9,16.51,16.75,12.5449,10031500,0.0,1.0
2010-02-11,16.68,17.14,16.53,17.13,12.8295,8385100,0.0,1.0
2010-02-12,16.91,17.39,16.76,17.32,12.9718,8157000,0.0,1.0
2010-02-16,17.29,17.92,17.29,17.89,13.3987,10003000,0.0,1.0
2010-02-17,17.84,18.1,17.76,17.93,13.4287,8487300,0.0,1.0
2010-02-18,17.85,18.29,17.67,18.16,13.6009,9650600,0.0,1.0
2010-02-19,18.08,18.625,18.08,18.54,13.8855,8310900,0.0,1.0
2010-02-22,18.61,18.85,18.33,18.47,13.8331,16609800,0.0,1.0
2010-02-23,18.39,18.86,18.28,18.67,13.9829,14242200,0.0,1.0
2010-02-24,18.57,19.55,18.57,19.52,14.6195,15246300,0.0,1.0
2010-02-25,19.14,19.38,19.03,19.28,14.4397,16659700,0.0,1.0
2010-02-26,19.28,19.35,19.03,19.15,14.3424,11371400,0.0,1.0
2010-03-01,19.21,19.96,19.18,19.78,14.8142,13501000,0.0,1.0
2010-03-02,19.96,20.05,19.56,20.0,14.979,15373300,0.0,1.0
2010-03-03,19.95,20.095,19.81,20.03,15.0015,12867100,0.0,1.0
2010-03-04,20.03,20.53,19.82,19.88,14.8891,20924400,0.0,1.0
2010-03-05,20.03,20.6,19.94,20.45,15.316,11863000,0.0,1.0
2010-03-08,20.84,21.17,20.62,21.04,15.7579,13075800,0.0,1.0
2010-03-09,20.98,21.06,20.46,20.68,15.4883,9294200,0.0,1.0
2010-03-10,20.68,20.68,20.68,20.68,15.4883,10624000,0.0,1.0
2010-03-11,20.88,21.28,20.81,21.06,15.8103,7718000,0.05,1.0
2010-03-12,21.32,21.8,21.21,21.75,16.3283,13393000,0.0,1.0
2010-03-15,21.59,21.74,21.33,21.56,16.1857,11341500,0.0,1.0
2010-03-16,21.6,21.68,21.41,21.64,16.2457,5545000,0.0,1.0
2010-03-17,21.79,21.82,21.345,21.58,16.2007,7045200,0.0,1.0
2010-03-18,21.52,21.63,21.19,21.39,16.0581,6874900,0.0,1.0
2010-03-19,21.46,21.5,20.81,20.89,15.6827,10886600,0.0,1.0
2010-03-22,20.68,22.05,20.65,22.0,16.516,15856700,0.0,1.0
2010-03-23,22.11,22.16,21.42,21.87,16.4184,12568600,0.0,1.0
2010-03-24,21.74,21.86,21.37,21.5,16.1406,6577200,0.0,1.0
2010-03-25,21.72,22.1,21.49,21.5,16.1406,6483000,0.0,1.0
2010-03-26,21.6,22.0,21.53,21.72,16.3058,5452500,0.0,1.0
2010-03-29,21.87,21.99,21.6,21.64,16.2457,5918200,0.0,1.0
2010-03-30,21.62,22.27,21.43,22.12,16.6061,10228500,0.0,1.0
2010-03-31,21.93,22.13,21.65,21.77,16.3433,8912400,0.0,1.0
2010-04-01,21.99,22.4,21.93,22.34,16.7713,7789200,0.0,1.0
2010-04-05,22.4,22.86,22.24,22.84,17.1466,9909600,0.0,1.0
2010-04-06,22.75,22.81,22.43,22.61,16.9739,6338600,0.0,1.0
2010-04-07,22.64,22.95,22.23,22.46,16.8613,11047700,0.0,1.0
2010-04-08,22.2,22.74,22.08,22.65,17.004,11379400,0.0,1.0
2010-04-09,22.61,23.53,22.51,23.51,17.6496,9924600,0.0,1.0
2010-04-12,23.5,23.5899,22.92,22.94,17.2217,8159400,0.0,1.0
2010-04-13,22.96,23.39,22.91,23.24,17.4469,7152500,0.0,1.0
2010-04-14,23.39,23.97,23.16,23.96,17.9874,9673700,0.0,1.0
2010-04-15,23.87,24.13,23.7,23.76,17.8373,8950000,0.0,1.0
2010-04-16,23.58,23.74,22.88,22.98,17.2517,10098200,0.0,1.0
2010-04-19,22.9,23.19,22.24,22.9,17.1917,9214700,0.0,1.0
2010-04-20,23.02,23.35,22.83,23.01,17.2742,6970900,0.0,1.0
2010-04-21,23.08,23.46,22.65,23.44,17.5971,9741200,0.0,1.0
2010-04-22,23.26,24.56,23.14,24.48,18.3778,12120400,0.0,1.0
2010-04-23,24.59,24.85,24.34,24.83,18.6406,8290000,0.0,1.0
2010-04-26,24.93,25.25,24.74,24.85,18.6556,10826300,0.0,1.0
2010-04-27,24.57,24.73,23.84,23.91,17.9499,15620600,0.0,1.0
2010-04-28,24.07,24.48,23.54,24.03,18.04,10493300,0.0,1.0
2010-04-29,24.14,24.78,24.08,24.68,18.528,8213800,0.0,1.0
2010-04-30,24.73,24.77,23.13,23.2,17.4169,13736800,0.0,1.0
2010-05-03,23.38,23.92,23.25,23.74,17.8223,9581800,0.0,1.0
2010-05-04,23.42,23.54,22.66,22.77,17.0941,11596000,0.0,1.0
2010-05-05,22.4,23.59,22.07,23.22,17.4319,14015800,0.0,1.0
2010-05-06,22.95,23.5,21.0,22.42,16.8313,16695800,0.0,1.0
2010-05-07,22.42,23.0,21.22,21.94,16.471,19231200,0.0,1.0
2010-05-10,22.93,24.03,22.93,23.97,17.9949,13555600,0.0,1.0
2010-05-11,23.48,24.59,23.48,23.9,17.9424,11650100,0.0,1.0
2010-05-12,24.43,24.84,23.73,24.7,18.543,16556400,0.0,1.0
2010-05-13,24.57,24.57,23.36,23.48,17.6271,10928600,0.0,1.0
2010-05-14,23.12,23.27,22.17,22.54,16.9214,14567000,0.0,1.0
2010-05-17,22.7,22.85,21.61,22.31,16.7487,13804700,0.0,1.0
2010-05-18,22.6,22.67,21.28,21.37,16.043,17844900,0.0,1.0
2010-05-19,21.67,21.94,20.93,21.35,16.028,15519100,0.0,1.0
2010-05-20,20.78,21.04,20.27,20.35,15.2773,22168500,0.0,1.0
2010-05-21,20.07,21.24,19.9,21.05,15.8028,16883200,0.0,1.0
2010-05-24,21.03,21.59,20.93,21.15,15.8779,12801200,0.0,1.0
2010-05-25,20.34,21.53,20.12,21.51,16.1481,13350600,0.0,1.0
2010-05-26,21.82,21.88,20.9,21.02,15.7803,12148400,0.0,1.0
2010-05-27,21.62,22.08,21.25,22.05,16.5535,10428800,0.0,1.0
2010-05-28,22.03,22.62,21.93,22.21,16.6737,10119200,0.0,1.0
2010-06-01,22.33,22.93,21.86,21.88,16.4259,13186500,0.0,1.0
2010-06-02,22.07,22.43,21.79,22.4,16.8163,9234800,0.0,1.0
2010-06-03,22.64,23.06,22.28,22.49,16.8839,11679200,0.0,1.0
2010-06-04,21.9,22.03,20.86,21.03,15.7878,12302600,0.0,1.0
2010-06-07,21.1,21.39,20.58,20.58,15.45,10050600,0.0,1.0
2010-06-08,20.67,20.88,20.03,20.58,15.45,10358800,0.0,1.0
2010-06-09,20.74,21.2198,20.35,20.52,15.4049,11729900,0.0,1.0
2010-06-10,21.0,21.4,20.88,21.33,16.013,8205800,0.0,1.0
2010-06-11,20.99,21.58,20.75,21.24,15.983,6824100,0.05,1.0
2010-06-14,21.5,22.11,21.41,21.73,16.3517,7655600,0.0,1.0
2010-06-15,21.99,22.31,21.54,22.2075,16.711,11637300,0.0,1.0
2010-06-16,21.93,22.12,21.55,21.8,16.4044,7042900,0.0,1.0
2010-06-17,21.96,21.97,21.28,21.67,16.3066,6524900,0.0,1.0
2010-06-18,21.73,21.84,21.27,21.46,16.1485,6990200,0.0,1.0
2010-06-21,21.78,21.8,20.57,20.74,15.6067,8110700,0.0,1.0
2010-06-22,20.8,21.15,20.0,20.06,15.095,11087900,0.0,1.0
2010-06-23,20.03,20.28,19.55,20.09,15.1176,13746300,0.0,1.0
2010-06-24,19.84,19.88,18.8,18.85,14.1845,16068300,0.0,1.0
2010-06-25,18.88,19.27,18.67,19.02,14.3125,14157700,0.0,1.0
2010-06-28,19.0,19.22,18.58,18.82,14.162,10097500,0.0,1.0
2010-06-29,18.43,18.48,17.63,17.77,13.3718,14538000,0.0,1.0
2010-06-30,17.85,18.39,17.8,17.9,13.4697,12078000,0.0,1.0
2010-07-01,17.82,18.38,17.58,18.33,13.7932,17295700,0.0,1.0
2010-07-02,18.48,18.54,17.73,17.85,13.432,7060000,0.0,1.0
2010-07-06,18.29,18.4,17.2,17.41,13.1009,11938000,0.0,1.0
2010-07-07,17.35,17.94,17.34,17.91,13.4772,15119000,0.0,1.0
2010-07-08,18.4,18.56,17.76,18.44,13.876,15866000,0.0,1.0
2010-07-09,18.46,18.59,18.14,18.53,13.9437,8153000,0.0,1.0
2010-07-12,18.45,18.56,17.79,17.98,13.5299,8036100,0.0,1.0
2010-07-13,18.18,18.59,18.03,18.47,13.8986,8043300,0.0,1.0
2010-07-14,18.42,18.54,18.03,18.38,13.8309,7003400,0.0,1.0
2010-07-15,18.4,18.47,17.92,18.3,13.7707,8319100,0.0,1.0
2010-07-16,18.21,18.25,17.11,17.16,12.9128,9126100,0.0,1.0
2010-07-19,17.39,17.59,16.925,17.53,13.1912,6977700,0.0,1.0
2010-07-20,17.26,18.44,17.08,18.42,13.861,12855800,0.0,1.0
2010-07-21,18.49,18.93,18.09,18.2,13.6954,14751000,0.0,1.0
2010-07-22,18.48,19.38,18.43,19.24,14.478,12465100,0.0,1.0
2010-07-23,19.17,19.48,18.83,19.38,14.5833,9019400,0.0,1.0
2010-07-26,19.48,20.15,19.1,20.14,15.1552,7897700,0.0,1.0
