,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,36.38,37.11,34.47,34.84,22.4505,2642400,0.0,1.0
2010-01-05,34.53,34.75,34.08,34.43,22.1863,2701000,0.0,1.0
2010-01-06,34.51,34.86,33.2,33.34,21.4839,2776000,0.0,1.0
2010-01-07,33.38,33.6899,32.64,33.47,21.5677,2887600,0.0,1.0
2010-01-08,33.59,33.59,32.26,32.84,21.1617,2171300,0.0,1.0
2010-01-11,33.33,33.499,32.8,32.93,21.2197,1460000,0.0,1.0
2010-01-12,32.5,32.97,31.94,32.23,20.7686,1709900,0.0,1.0
2010-01-13,32.26,33.11,31.9703,32.99,21.2584,1559000,0.0,1.0
2010-01-14,32.83,33.47,32.38,33.27,21.4388,1555100,0.0,1.0
2010-01-15,33.18,33.31,32.66,32.78,21.1231,1367200,0.0,1.0
2010-01-19,32.79,34.32,32.78,34.14,21.9994,1765100,0.0,1.0
2010-01-20,33.67,34.35,33.5,33.7,21.7159,2116100,0.0,1.0
2010-01-21,33.9,34.0,32.27,32.38,20.8653,2137500,0.0,1.0
2010-01-22,32.32,33.04,31.44,31.55,20.3305,1868900,0.0,1.0
2010-01-25,32.17,32.47,31.18,32.4,20.8782,1368400,0.0,1.0
2010-01-26,32.2,32.57,31.32,31.37,20.2145,1480500,0.0,1.0
2010-01-27,31.22,32.09,30.76,31.94,20.5818,1798500,0.0,1.0
2010-01-28,32.1,32.13,30.7,31.09,20.034,1367800,0.0,1.0
2010-01-29,31.36,31.85,30.27,30.85,19.8794,2141100,0.0,1.0
2010-02-01,31.11,31.71,30.99,31.45,20.266,1600800,0.0,1.0
2010-02-02,31.7,32.66,31.19,32.0,20.6204,2436900,0.0,1.0
2010-02-03,31.75,31.92,30.78,31.28,20.1565,1220100,0.0,1.0
2010-02-04,30.86,31.01,30.16,30.17,19.4412,2672400,0.0,1.0
2010-02-05,30.3,31.37,30.17,31.31,20.1758,2322900,0.0,1.0
2010-02-08,31.12,31.49,30.58,30.58,19.7054,1750000,0.0,1.0
2010-02-09,31.16,31.18,30.18,30.5,19.6538,2653000,0.0,1.0
2010-02-10,30.5,30.5,30.5,30.5,19.6538,1745900,0.0,1.0
