,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,38.66,39.3,38.51,39.28,6.5467,646700,0.0,1.0
2010-01-05,39.39,39.52,39.03,39.43,6.5717,630700,0.0,1.0
2010-01-06,39.55,40.7,39.02,40.25,6.7083,939900,0.0,1.0
2010-01-07,40.09,40.35,39.91,40.09,6.6817,418200,0.0,1.0
2010-01-08,40.14,40.31,39.72,40.29,6.715,327300,0.0,1.0
2010-01-11,40.21,40.52,40.04,40.29,6.715,481800,0.0,1.0
2010-01-12,40.16,40.34,39.28,39.98,6.6633,506400,0.0,1.0
2010-01-13,39.93,40.67,39.7119,40.56,6.76,886700,0.0,1.0
2010-01-14,40.49,40.97,40.19,40.52,6.7533,620300,0.0,1.0
2010-01-15,40.57,40.94,40.1,40.45,6.7417,622100,0.0,1.0
2010-01-19,40.41,41.22,40.0,40.96,6.8267,500200,0.0,1.0
2010-01-20,40.86,40.94,40.29,40.8,6.8,609500,0.0,1.0
2010-01-21,40.95,41.58,40.46,40.53,6.755,830900,0.0,1.0
2010-01-22,40.42,40.58,39.58,39.63,6.605,602800,0.0,1.0
2010-01-25,39.78,39.78,39.1444,39.46,6.5767,411600,0.0,1.0
2010-01-26,39.53,39.84,39.04,39.23,6.5383,442100,0.0,1.0
2010-01-27,39.35,39.63,38.81,39.47,6.5783,490300,0.0,1.0
2010-01-28,39.4,39.4,38.69,38.92,6.4867,344400,0.0,1.0
2010-01-29,38.96,39.25,38.45,38.45,6.4083,657800,0.0,1.0
2010-02-01,38.62,39.23,38.33,39.23,6.5383,951700,0.0,1.0
2010-02-02,39.33,39.46,38.042,39.08,6.5133,522000,0.0,1.0
2010-02-03,38.87,39.29,38.71,38.94,6.49,385000,0.0,1.0
2010-02-04,38.84,38.92,38.0,38.03,6.3383,504400,0.0,1.0
2010-02-05,38.13,39.01,37.83,38.78,6.4633,847000,0.0,1.0
2010-02-08,38.9,38.99,38.21,38.35,6.3917,404500,0.0,1.0
2010-02-09,38.78,39.26,38.54,38.74,6.4567,495800,0.0,1.0
2010-02-10,38.61,38.92,38.0775,38.58,6.43,350900,0.0,1.0
2010-02-11,38.53,39.18,38.29,39.12,6.52,459900,0.0,1.0
2010-02-12,38.91,39.3,38.72,39.23,6.5383,543300,0.0,1.0
2010-02-16,39.31,39.5,38.9201,39.05,6.5083,432000,0.0,1.0
2010-02-17,39.0,39.56,38.77,39.48,6.58,744300,0.0,1.0
2010-02-18,39.59,40.77,39.56,40.51,6.7517,778800,0.0,1.0
2010-02-19,40.58,41.12,39.64,40.85,6.8083,639000,0.0,1.0
2010-02-22,40.97,41.01,40.34,40.55,6.7583,453500,0.0,1.0
2010-02-23,40.41,40.93,39.89,39.89,6.6483,662200,0.0,1.0
2010-02-24,40.06,40.36,39.45,40.13,6.6883,989700,0.0,1.0
2010-02-25,39.71,41.96,39.59,40.41,6.735,2854700,0.0,1.0
2010-02-26,40.77,41.602,40.33,41.58,6.93,1530700,0.0,1.0
2010-03-01,41.81,42.36,41.63,41.85,6.975,1351600,0.0,1.0
2010-03-02,41.69,42.02,41.15,41.79,6.965,1900700,0.0,1.0
