,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,19.77,19.87,19.58,19.79,12.3619,11048600,0.0,1.0
2010-01-05,19.81,19.85,19.67,19.8,12.3681,11742100,0.0,1.0
2010-01-06,19.85,20.11,19.8,20.09,12.5493,21307300,0.0,1.0
2010-01-07,20.08,20.14,19.95,20.06,12.5306,14983300,0.0,1.0
2010-01-08,20.04,20.12,19.87,20.11,12.5618,10822200,0.0,1.0
2010-01-11,20.28,20.35,20.11,20.26,12.6555,11921000,0.0,1.0
2010-01-12,20.21,20.25,20.03,20.15,12.5868,15306300,0.0,1.0
2010-01-13,20.12,20.4,20.12,20.24,12.643,11938400,0.0,1.0
2010-01-14,20.23,20.45,20.16,20.38,12.7304,9619900,0.0,1.0
2010-01-15,20.44,20.64,20.31,20.42,12.7554,16158600,0.0,1.0
2010-01-19,20.26,20.5725,20.25,20.38,12.7304,17747000,0.0,1.0
2010-01-20,20.27,20.36,20.15,20.33,12.6992,12583500,0.0,1.0
2010-01-21,20.33,20.37,19.81,19.89,12.4244,21862200,0.0,1.0
2010-01-22,19.89,20.04,19.7,19.71,12.3119,13655100,0.0,1.0
2010-01-25,19.82,20.08,19.68,19.91,12.4369,15154800,0.0,1.0
2010-01-26,19.75,20.05,19.75,19.96,12.4681,13101300,0.0,1.0
2010-01-27,19.97,20.05,19.83,19.99,12.4868,12544400,0.0,1.0
2010-01-28,19.9,20.1,19.8,20.01,12.4993,16444400,0.0,1.0
2010-01-29,20.08,20.1,19.83,19.86,12.4056,19335300,0.0,1.0
2010-02-01,19.9,19.98,19.78,19.88,12.4181,10247300,0.0,1.0
2010-02-02,19.93,19.99,19.81,19.93,12.4494,12398900,0.0,1.0
2010-02-03,19.93,19.94,19.69,19.78,12.3557,11683000,0.0,1.0
2010-02-04,19.7,19.72,19.4,19.42,12.1308,13403600,0.0,1.0
2010-02-05,19.38,19.41,19.14,19.38,12.1058,14334100,0.0,1.0
2010-02-08,19.43,19.63,19.35,19.37,12.0995,13840700,0.0,1.0
2010-02-09,19.54,19.58,19.23,19.46,12.1558,16964600,0.0,1.0
2010-02-10,19.54,19.54,19.25,19.38,12.1058,11380700,0.0,1.0
2010-02-11,19.4,19.74,19.25,19.61,12.2495,17005000,0.0,1.0
2010-02-12,19.54,19.74,19.4,19.63,12.262,15749000,0.0,1.0
2010-02-16,19.84,19.89,19.5705,19.73,12.3244,15081500,0.0,1.0
2010-02-17,19.77,19.85,19.7,19.78,12.3557,8752800,0.0,1.0
2010-02-18,19.75,20.0771,19.73,20.0,12.4931,11181600,0.0,1.0
2010-02-19,19.93,20.21,19.93,20.16,12.593,12752800,0.0,1.0
2010-02-22,20.13,20.33,20.08,20.27,12.6617,12790600,0.0,1.0
2010-02-23,20.23,20.25,19.93,19.97,12.4743,21163500,0.0,1.0
2010-02-24,20.08,20.31,19.95,20.26,12.6555,18101300,0.0,1.0
2010-02-25,20.14,20.46,20.01,20.41,12.7492,21307900,0.0,1.0
2010-02-26,20.48,20.48,20.12,20.12,12.568,15720700,0.0,1.0
2010-03-01,20.17,20.34,20.17,20.27,12.6617,10422000,0.0,1.0
