,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,30.62,31.1,30.59,30.95,24.5294,38409100,0.0,1.0
2010-01-05,30.85,31.1,30.64,30.96,24.5374,49749600,0.0,1.0
2010-01-06,30.88,31.08,30.52,30.77,24.3868,58182400,0.0,1.0
2010-01-07,30.63,30.7,30.19,30.452,24.1347,50559700,0.0,1.0
2010-01-08,30.28,30.88,30.24,30.66,24.2996,51197400,0.0,1.0
2010-01-11,30.71,30.76,30.12,30.27,23.9905,68754700,0.0,1.0
2010-01-12,30.15,30.4,29.91,30.07,23.832,65912100,0.0,1.0
2010-01-13,30.26,30.52,30.01,30.35,24.0539,51863500,0.0,1.0
2010-01-14,30.31,31.1,30.26,30.96,24.5374,63228100,0.0,1.0
2010-01-15,31.08,31.24,30.71,30.86,24.4581,79913200,0.0,1.0
2010-01-19,30.75,31.24,30.68,31.1,24.6483,46575700,0.0,1.0
2010-01-20,30.81,30.94,30.31,30.585,24.2402,54849500,0.0,1.0
2010-01-21,30.61,30.72,30.0,30.01,23.7844,73086700,0.0,1.0
2010-01-22,30.0,30.2,28.84,28.96,22.9523,102004600,0.0,1.0
2010-01-25,29.24,29.66,29.1,29.32,23.2376,63373000,0.0,1.0
2010-01-26,29.2,29.85,29.09,29.5,23.3802,66639900,0.0,1.0
2010-01-27,29.35,29.82,29.02,29.67,23.515,63949500,0.0,1.0
2010-01-28,29.84,29.87,28.89,29.16,23.1108,117513700,0.0,1.0
2010-01-29,29.9,29.92,27.66,28.18,22.3341,193888500,0.0,1.0
2010-02-01,28.39,28.48,27.92,28.41,22.5164,85931100,0.0,1.0
2010-02-02,28.37,28.5,28.14,28.46,22.556,54413700,0.0,1.0
2010-02-03,28.26,28.79,28.12,28.63,22.6907,61397900,0.0,1.0
2010-02-04,28.38,28.5,27.81,27.84,22.0646,77850000,0.0,1.0
2010-02-05,28.0,28.28,27.57,28.02,22.2073,80960100,0.0,1.0
2010-02-08,28.01,28.08,27.57,27.72,21.9695,52820600,0.0,1.0
2010-02-09,27.97,28.34,27.75,28.01,22.1993,59195800,0.0,1.0
2010-02-10,28.03,28.24,27.84,27.99,22.1835,48591300,0.0,1.0
2010-02-11,27.93,28.4,27.7,28.12,22.2865,65993700,0.0,1.0
2010-02-12,27.81,28.06,27.58,27.93,22.1359,81117200,0.0,1.0
2010-02-16,28.13,28.37,28.02,28.35,22.5718,51935600,0.13,1.0
2010-02-17,28.53,28.65,28.36,28.59,22.7629,45882900,0.0,1.0
2010-02-18,28.59,29.03,28.51,28.969,23.0647,42856500,0.0,1.0
2010-02-19,28.79,28.92,28.69,28.77,22.9062,44451800,0.0,1.0
2010-02-22,28.84,28.94,28.65,28.73,22.8744,36707100,0.0,1.0
2010-02-23,28.68,28.83,28.09,28.33,22.5559,52266200,0.0,1.0
2010-02-24,28.52,28.79,28.38,28.63,22.7948,43165900,0.0,1.0
2010-02-25,28.27,28.65,28.02,28.6,22.7709,48735300,0.0,1.0
2010-02-26,28.65,28.85,28.51,28.67,22.8266,40370600,0.0,1.0
2010-03-01,28.77,29.05,28.53,29.02,23.1053,43805400,0.0,1.0
2010-03-02,29.08,29.3,28.24,28.46,22.6594,93123900,0.0,1.0
2010-03-03,28.51,28.61,28.35,28.46,22.6594,48442100,0.0,1.0
2010-03-04,28.46,28.65,28.27,28.63,22.7948,42890600,0.0,1.0
2010-03-05,28.66,28.68,28.42,28.5875,22.7609,56001800,0.0,1.0
2010-03-08,28.52,28.93,28.5,28.63,22.7948,39414500,0.0,1.0
2010-03-09,28.56,29.11,28.55,28.8,22.9301,50271600,0.0,1.0
2010-03-10,28.86,29.11,28.8,28.97,23.0655,44891400,0.0,1.0
2010-03-11,28.89,29.19,28.85,29.18,23.2327,35349700,0.0,1.0
2010-03-12,29.32,29.38,29.04,29.27,23.3043,31700200,0.0,1.0
2010-03-15,29.18,29.37,29.01,29.29,23.3203,37512000,0.0,1.0
2010-03-16,29.42,29.49,29.2,29.37,23.3839,36723500,0.0,1.0
2010-03-17,29.5,29.87,29.4,29.63,23.591,50385700,0.0,1.0
2010-03-18,29.6275,29.72,29.5,29.61,23.575,43845200,0.0,1.0
2010-03-19,29.76,29.9,29.35,29.59,23.5591,81332100,0.0,1.0
2010-03-22,29.5,29.7,29.39,29.6,23.5671,37718200,0.0,1.0
2010-03-23,29.59,29.9,29.41,29.88,23.79,42026600,0.0,1.0
2010-03-24,29.72,29.85,29.6,29.65,23.6069,33987700,0.0,1.0
2010-03-25,29.86,30.57,29.8,30.01,23.8935,73168700,0.0,1.0
2010-03-26,30.09,30.2,29.59,29.66,23.6148,55595500,0.0,1.0
2010-03-29,29.71,29.82,29.55,29.59,23.5591,33336000,0.0,1.0
2010-03-30,29.63,29.86,29.5,29.77,23.7024,34954800,0.0,1.0
2010-03-31,29.64,29.72,29.17,29.2875,23.3183,63760000,0.0,1.0
2010-04-01,29.35,29.54,28.62,29.16,23.2167,74768100,0.0,1.0
2010-04-05,29.13,29.425,29.03,29.27,23.3043,34331200,0.0,1.0
2010-04-06,29.15,29.58,28.98,29.32,23.3441,47366800,0.0,1.0
2010-04-07,29.16,29.56,29.14,29.35,23.368,58318800,0.0,1.0
2010-04-08,29.32,29.975,29.3,29.92,23.8219,63713800,0.0,1.0
2010-04-09,29.95,30.41,29.895,30.34,24.1562,54752500,0.0,1.0
2010-04-12,30.25,30.49,30.205,30.32,24.1403,37068800,0.0,1.0
2010-04-13,30.15,30.5,30.13,30.45,24.2438,41374600,0.0,1.0
2010-04-14,30.79,31.0,30.66,30.82,24.5384,68941200,0.0,1.0
2010-04-15,30.82,30.95,30.71,30.87,24.5782,52745400,0.0,1.0
2010-04-16,30.79,30.98,30.6,30.67,24.419,88703100,0.0,1.0
2010-04-19,30.77,31.25,30.76,31.039,24.7128,64970300,0.0,1.0
2010-04-20,31.22,31.44,31.13,31.36,24.9684,52199500,0.0,1.0
2010-04-21,31.33,31.5,31.23,31.332,24.9461,55343100,0.0,1.0
2010-04-22,31.04,31.53,30.9,31.39,24.9922,84847600,0.0,1.0
2010-04-23,31.12,31.58,30.65,30.96,24.6499,126766600,0.0,1.0
2010-04-26,31.0,31.275,30.86,31.11,24.7693,63649300,0.0,1.0
2010-04-27,30.95,31.25,30.7493,30.845,24.5583,68730900,0.0,1.0
2010-04-28,30.92,31.0,30.62,30.91,24.6101,64557900,0.0,1.0
2010-04-29,30.93,31.4333,30.67,31.003,24.6841,52665200,0.0,1.0
2010-04-30,31.07,31.08,30.52,30.535,24.3115,63214800,0.0,1.0
2010-05-03,30.67,31.0606,30.58,30.86,24.5703,43989500,0.0,1.0
2010-05-04,30.52,30.55,29.75,30.13,23.989,82085600,0.0,1.0
