,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,18.51,18.62,18.11,18.49,17.0596,20005100,0.0,1.0
2010-01-05,18.51,18.96,18.42,18.76,17.3087,18216200,0.0,1.0
2010-01-06,18.75,18.92,18.57,18.88,17.4194,16229200,0.0,1.0
2010-01-07,18.78,18.86,18.37,18.51,17.0781,13694800,0.0,1.0
2010-01-08,18.36,18.6821,18.25,18.55,17.115,11954200,0.0,1.0
2010-01-11,18.65,18.73,18.03,18.29,16.8751,13915300,0.0,1.0
2010-01-12,18.02,18.09,17.29,17.67,16.303,15685800,0.0,1.0
2010-01-13,17.79,17.97,17.1,17.91,16.5245,12721700,0.0,1.0
2010-01-14,17.69,17.82,17.33,17.63,16.2661,15213100,0.0,1.0
2010-01-15,17.5,17.65,16.88,17.11,15.7864,20454800,0.0,1.0
2010-01-19,16.98,17.54,16.93,17.43,16.0816,13633200,0.0,1.0
2010-01-20,17.21,17.43,16.98,17.355,16.0124,17993200,0.0,1.0
2010-01-21,17.35,17.66,16.89,17.05,15.731,15215800,0.0,1.0
2010-01-22,16.85,17.16,16.36,16.46,15.1866,26697900,0.0,1.0
2010-01-25,16.73,17.06,16.61,16.74,15.445,16091900,0.0,1.0
2010-01-26,16.66,16.77,16.2,16.21,14.956,17865900,0.0,1.0
2010-01-27,16.2,16.71,16.02,16.65,15.3619,20312600,0.0,1.0
2010-01-28,16.78,16.84,15.86,16.09,14.8453,17194100,0.0,1.0
2010-01-29,16.27,16.45,15.15,15.39,14.1994,19367500,0.0,1.0
2010-02-01,15.45,16.6,15.32,16.57,15.2881,23745800,0.0,1.0
2010-02-02,16.51,16.95,16.46,16.74,15.445,21245300,0.0,1.0
2010-02-03,16.59,16.95,16.51,16.88,15.5742,14057400,0.0,1.0
2010-02-04,16.73,16.73,15.72,15.9,14.67,19587000,0.0,1.0
2010-02-05,15.88,16.26,15.6,16.22,14.9652,15121400,0.0,1.0
2010-02-08,16.17,16.58,15.873,16.19,14.9375,11129000,0.0,1.0
2010-02-09,16.45,16.53,15.9,16.06,14.8176,23253600,0.0,1.0
2010-02-10,16.16,16.52,16.05,16.37,15.1036,13395700,0.0,1.0
2010-02-11,16.63,17.3,16.51,17.12,15.7956,17399500,0.0,1.0
2010-02-12,17.0,17.7,16.805,17.35,16.0078,19505300,0.0,1.0
2010-02-16,17.58,17.74,17.37,17.67,16.303,11425600,0.0,1.0
2010-02-17,17.89,17.9,17.325,17.84,16.4599,21914000,0.0,1.0
2010-02-18,16.86,16.95,16.21,16.67,15.3804,37887700,0.0,1.0
2010-02-19,16.6,16.78,16.5,16.58,15.2974,12763700,0.0,1.0
2010-02-22,16.65,16.9,16.5,16.61,15.325,11452100,0.0,1.0
2010-02-23,16.66,16.73,16.04,16.21,14.956,12244100,0.0,1.0
2010-02-24,16.35,16.71,16.3,16.55,15.2697,11146700,0.0,1.0
2010-02-25,16.17,16.44,15.76,16.4,15.1313,14424300,0.0,1.0
2010-02-26,16.32,16.44,16.1,16.2,14.9468,9834900,0.0,1.0
2010-03-01,16.21,16.93,16.08,16.85,15.5465,13896700,0.0,1.0
2010-03-02,17.0,17.21,16.72,16.84,15.5373,13466200,0.0,1.0
2010-03-03,16.94,17.03,16.49,16.63,15.3435,9982500,0.0,1.0
2010-03-04,16.7,16.83,16.45,16.66,15.3712,13934900,0.0,1.0
2010-03-05,16.54,17.29,16.54,17.17,15.8417,15820800,0.0,1.0
2010-03-08,17.18,17.23,16.85,16.92,15.6111,10982800,0.0,1.0
2010-03-09,17.09,17.72,17.08,17.55,16.1923,20770800,0.0,1.0
2010-03-10,17.5,17.78,17.49,17.59,16.2292,10463000,0.0,1.0
2010-03-11,17.45,17.51,17.12,17.19,15.8602,13516500,0.0,1.0
2010-03-12,17.38,17.43,17.16,17.25,15.9155,13008800,0.0,1.0
2010-03-15,17.23,17.4,17.0,17.16,15.8325,8972600,0.0,1.0
2010-03-16,17.15,17.86,17.14,17.755,16.3815,16624700,0.0,1.0
2010-03-17,17.86,18.34,17.86,18.1,16.6998,16279200,0.0,1.0
2010-03-18,18.13,18.13,17.3,17.46,16.1093,18524100,0.0,1.0
2010-03-19,17.72,17.77,17.03,17.25,15.9155,14615300,0.0,1.0
2010-03-22,17.03,17.6,17.03,17.53,16.1739,10883400,0.0,1.0
2010-03-23,17.655,17.98,17.54,17.89,16.506,12340300,0.0,1.0
2010-03-24,17.74,17.79,17.255,17.29,15.9524,10906300,0.0,1.0
2010-03-25,17.54,17.65,17.3,17.34,15.9986,12379600,0.0,1.0
2010-03-26,17.49,17.67,17.1975,17.34,15.9986,8616900,0.0,1.0
2010-03-29,17.45,17.6,17.21,17.56,16.2016,9861400,0.0,1.0
2010-03-30,17.76,17.85,17.33,17.63,16.2661,8102600,0.0,1.0
2010-03-31,17.56,17.64,17.31,17.4,16.0539,9746000,0.0,1.0
2010-04-01,17.48,17.68,17.04,17.22,15.8879,8491600,0.0,1.0
2010-04-05,17.33,17.51,17.31,17.48,16.1277,10340900,0.0,1.0
2010-04-06,17.26,17.3,16.75,17.05,15.731,20231500,0.0,1.0
2010-04-07,16.94,17.45,16.8,17.16,15.8325,20436700,0.0,1.0
2010-04-08,17.05,17.175,16.79,16.88,15.5742,25940000,0.0,1.0
2010-04-09,16.84,17.05,16.75,16.99,15.6756,20439300,0.0,1.0
2010-04-12,17.01,17.37,16.98,17.3,15.9617,13661500,0.0,1.0
2010-04-13,17.37,17.72,17.3,17.66,16.2938,16217400,0.0,1.0
2010-04-14,18.04,18.13,17.6,17.88,16.4968,22518000,0.0,1.0
2010-04-15,17.94,18.12,17.76,18.01,16.6167,23939900,0.0,1.0
2010-04-16,17.28,17.35,16.68,17.06,15.7402,47943400,0.0,1.0
2010-04-19,16.93,17.03,16.41,16.98,15.6664,27362300,0.0,1.0
2010-04-20,17.1,17.28,16.82,17.04,15.7218,16954700,0.0,1.0
2010-04-21,17.13,17.15,16.4,16.6,15.3158,22397700,0.0,1.0
2010-04-22,16.33,16.72,16.1,16.67,15.3804,16423300,0.0,1.0
2010-04-23,16.62,16.66,16.15,16.44,15.1682,18822900,0.0,1.0
2010-04-26,16.46,16.8,16.43,16.6,15.3158,12277300,0.0,1.0
2010-04-27,16.48,16.65,16.08,16.13,14.8822,15167600,0.0,1.0
2010-04-28,16.12,16.39,15.83,16.16,14.9099,16804100,0.0,1.0
2010-04-29,16.21,16.67,15.97,16.65,15.3619,24678200,0.0,1.0
2010-04-30,16.45,16.48,15.7,15.71,14.4947,26701200,0.0,1.0
2010-05-03,15.79,15.88,15.3,15.54,14.3378,26974300,0.0,1.0
2010-05-04,15.3,15.33,14.53,14.75,13.6089,32784400,0.0,1.0
2010-05-05,14.45,14.87,14.32,14.5,13.3783,33271000,0.0,1.0
2010-05-06,14.4,14.7,13.04,14.2,13.1015,25072200,0.0,1.0
2010-05-07,14.33,14.33,13.46,13.96,12.88,28842800,0.0,1.0
2010-05-10,14.8,14.98,14.4,14.56,13.4336,24478900,0.0,1.0
2010-05-11,14.42,14.69,14.29,14.4,13.286,20728100,0.0,1.0
2010-05-12,14.5,14.76,14.41,14.68,13.5443,22530900,0.0,1.0
2010-05-13,14.62,15.29,14.51,14.65,13.5167,31300000,0.0,1.0
2010-05-14,13.66,13.7,12.6,12.96,11.9574,62326700,0.0,1.0
2010-05-17,12.98,13.15,12.58,12.99,11.9851,21401500,0.0,1.0
2010-05-18,13.1,13.18,12.49,12.56,11.5884,16852800,0.0,1.0
2010-05-19,12.5,12.78,12.41,12.76,11.7729,20663000,0.0,1.0
2010-05-20,12.39,12.76,12.01,12.46,11.4961,28228400,0.0,1.0
2010-05-21,12.1,13.075,12.1,12.73,11.7452,26740000,0.0,1.0
2010-05-24,12.69,12.84,12.32,12.36,11.4038,16614100,0.0,1.0
2010-05-25,11.97,12.75,11.85,12.69,11.7083,24166300,0.0,1.0
2010-05-26,13.2,13.45,12.71,12.75,11.7637,24875700,0.0,1.0
2010-05-27,13.07,13.5,13.04,13.5,12.4556,17839000,0.0,1.0
2010-05-28,13.48,13.48,12.94,13.14,12.1235,13627900,0.0,1.0
2010-06-01,12.96,13.11,12.57,12.58,11.6068,13187300,0.0,1.0
2010-06-02,12.6,12.735,12.515,12.72,11.736,16227200,0.0,1.0
2010-06-03,12.46,12.73,12.42,12.7,11.7175,14659000,0.0,1.0
