,open,high,low,close,volume
2018-06-05,25.25,29.82,25.1748,25.25,652639
2018-06-06,25.7,26.3,25.35,25.4,393074
2018-06-07,25.55,25.6,24.77,24.9445,302997
2018-06-08,25.0,25.14,24.79,25.12,149576
2018-06-11,25.29,25.329,25.2,25.238,170467
2018-06-12,25.33,25.64,25.26,25.57,153214
2018-06-13,25.66,25.77,25.56,25.56,197984
2018-06-14,25.7,26.0,25.7,25.97,313045
2018-06-15,25.83,25.8559,25.57,25.8,170143
2018-06-18,25.65,25.9,25.52,25.85,149963
2018-06-19,25.5,25.53,25.03,25.53,176554
2018-06-20,25.63,25.78,25.6,25.62,153316
2018-06-21,25.68,25.68,25.2201,25.27,61484
2018-06-22,25.35,25.459,24.99,25.1,67227
2018-06-25,24.93,24.93,24.0598,24.24,301150
2018-06-26,24.43,24.56,24.26,24.3848,43481
2018-06-27,24.5,24.5,23.72,23.72,92581
2018-06-28,23.64,24.15,23.5113,24.0999,80638
2018-06-29,24.25,24.329,24.1,24.1,90825
2018-07-02,23.87,24.2,23.74,24.2,65817
2018-07-03,24.43,24.43,24.1,24.1,22783
2018-07-05,24.17,24.328,24.011,24.29,43451
2018-07-06,24.2,24.789,24.2,24.76,44066
2018-07-09,24.97,25.0,24.8,25.0,52583
2018-07-10,25.02,25.0455,24.79,24.82,57265
2018-07-11,24.63,24.8224,24.52,24.79,42678
2018-07-12,24.88,25.22,24.88,25.2,90581
2018-07-13,25.14,25.1546,25.0,25.099,29631
2018-07-16,25.05,25.1701,25.02,25.059,43415
2018-07-17,24.9,25.32,24.775,25.275,85786
2018-07-18,25.3,25.33,25.15,25.27,78725
2018-07-19,25.13,25.1799,24.96,24.96,30935
2018-07-20,25.08,25.2091,24.9798,24.9902,34086
2018-07-23,24.95,25.0184,24.78,24.97,24004
2018-07-24,25.35,25.39,24.7688,24.915,57452
2018-07-25,24.95,25.569,24.95,25.5424,50466
2018-07-26,25.0,25.18,24.844,25.0265,54903
2018-07-27,25.26,25.26,24.34,24.53,89954
2018-07-30,24.4,24.4,23.6,23.765,89850
2018-07-31,23.8,23.96,23.4,23.701,50868
2018-08-01,23.72,23.99,23.7,23.75,312713
2018-08-02,23.63,23.9837,23.4798,23.96,92460
2018-08-03,24.06,24.06,23.8,23.9,71612
2018-08-06,23.93,24.1185,23.79,24.11,84891
2018-08-07,24.22,24.309,24.13,24.18,44387
2018-08-08,24.26,24.26,24.041,24.08,47504
2018-08-09,24.04,24.3997,24.04,24.25,47229
2018-08-10,24.06,24.25,24.047,24.22,25812
2018-08-13,24.13,24.209,23.9,23.9,61710
2018-08-14,23.83,23.83,23.56,23.65,155419
2018-08-15,23.28,23.3235,23.0,23.15,136923
2018-08-16,23.37,23.4497,23.2,23.22,58906
2018-08-17,23.21,23.3044,23.0,23.21,29558
2018-08-20,23.37,23.5099,23.221,23.4585,29087
2018-08-21,23.47,23.715,23.47,23.5923,54192
2018-08-22,23.62,23.869,23.62,23.8395,26541
2018-08-23,23.83,24.0693,23.6868,23.7304,34303
2018-08-24,23.92,24.16,23.92,24.12,42570
2018-08-27,24.37,24.565,24.3066,24.52,64346
2018-08-28,24.52,24.57,24.42,24.4945,40785
2018-08-29,24.58,24.69,24.471,24.69,46601
2018-08-30,24.62,24.62,24.3311,24.3549,46802
2018-08-31,24.33,24.4635,24.29,24.3858,193453
2018-09-04,24.25,24.27,24.0,24.24,48406
2018-09-05,24.0,24.1,23.29,23.3615,41736
2018-09-06,23.38,23.4138,23.027,23.1826,161833
2018-09-07,23.06,23.47,23.025,23.28,69688
2018-09-10,23.28,23.2846,23.05,23.14,20987
2018-09-11,23.05,23.44,22.95,23.3901,36963
2018-09-12,23.3,23.49,23.011,23.469,28752
2018-09-13,23.66,23.931,23.66,23.79,24857
2018-09-14,23.86,23.972,23.69,23.83,14532
2018-09-17,23.7,23.7,23.1415,23.1415,44661
2018-09-18,23.18,23.45,23.18,23.2922,21791
2018-09-19,23.4,23.4,23.23,23.36,33139
2018-09-20,23.43,23.6,23.3636,23.58,21752
