,open,high,low,close,volume
2019-05-22,24.94,24.94,24.8308,24.8308,2336
2019-05-23,24.57,24.57,24.4339,24.4394,1006
2019-05-24,24.62,24.6723,24.5524,24.5524,1802
2019-05-28,24.7,24.8696,24.6132,24.6132,2059
2019-05-29,24.47,24.47,24.27,24.3561,1577
2019-05-30,24.47,24.4767,24.4255,24.4767,11041
2019-05-31,24.2499,24.32,24.2153,24.3051,765
2019-06-03,24.35,24.35,23.8077,23.8598,2877
2019-06-04,24.341,24.445,24.341,24.445,11305
2019-06-05,24.61,24.6876,24.61,24.6876,623
2019-06-06,24.7984,24.84,24.795,24.84,519
2019-06-07,25.05,25.28,25.05,25.28,1851
2019-06-10,25.41,25.8067,25.41,25.635,3587
2019-06-11,25.6501,25.68,25.4841,25.5042,798
2019-06-12,25.44,25.4547,25.44,25.44,507
2019-06-13,25.53,25.6186,25.53,25.6186,200
2019-06-14,25.505,25.505,25.4351,25.4351,100
2019-06-17,25.58,25.6,25.5519,25.5519,403
2019-06-18,26.075,26.0791,25.97,25.97,800
2019-06-19,26.01,26.0364,26.01,26.0364,317
2019-06-20,26.4099,26.4099,26.17,26.2511,2403
2019-06-21,26.19,26.19,26.15,26.15,201
2019-06-24,26.1,26.1,26.1,26.1,405
2019-06-25,25.74,25.74,25.61,25.61,580
2019-06-26,25.56,25.56,25.56,25.56,305
2019-06-27,25.6301,25.82,25.6301,25.82,1390
