,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,26.14,26.27,26.1,26.24,26.2202,36506,0.0,1.0
2010-01-05,26.26,26.33,26.12,26.33,26.3102,10125,0.0,1.0
2010-01-06,26.31,26.31,26.05,26.05,26.0304,5740,0.0,1.0
2010-01-07,25.94,25.94,25.64,25.74,25.7206,13699,0.0,1.0
2010-01-08,25.67,25.91,25.67,25.91,25.8905,2798,0.0,1.0
2010-01-11,25.92,25.95,25.54,25.822,25.8025,10681,0.0,1.0
2010-01-12,25.5401,25.5401,25.23,25.25,25.231,19460,0.0,1.0
2010-01-13,25.65,25.774,25.46,25.774,25.7546,6896,0.0,1.0
2010-01-14,25.74,25.92,25.74,25.87,25.8505,6735,0.0,1.0
2010-01-15,25.8,25.8,25.4,25.4601,25.4409,9791,0.0,1.0
2010-01-19,25.41,25.598,25.41,25.55,25.5308,3545,0.0,1.0
2010-01-20,25.4899,25.4899,25.12,25.23,25.211,4760,0.0,1.0
2010-01-21,25.32,25.58,25.21,25.282,25.263,2380,0.0,1.0
2010-01-22,25.13,25.13,24.34,24.34,24.3217,136858,0.0,1.0
2010-01-25,24.49,24.5,24.2,24.298,24.2797,15583,0.0,1.0
2010-01-26,24.2,24.51,24.1,24.324,24.3057,6471,0.0,1.0
2010-01-27,24.352,24.352,24.352,24.352,24.3337,104,0.0,1.0
2010-01-28,24.6,24.65,24.18,24.27,24.2517,3460,0.0,1.0
2010-01-29,24.42,24.62,23.83,23.87,23.852,29881,0.0,1.0
2010-02-01,23.89,24.064,23.84,24.032,24.0139,7917,0.0,1.0
2010-02-02,24.13,24.228,24.02,24.2212,24.203,2673,0.0,1.0
2010-02-03,24.37,24.5,24.3699,24.5,24.4815,974,0.0,1.0
2010-02-04,24.27,24.41,23.77,23.77,23.7521,2419,0.0,1.0
2010-02-05,23.7201,23.86,23.49,23.86,23.842,17914,0.0,1.0
2010-02-08,23.95,24.085,23.79,23.79,23.7721,1401,0.0,1.0
2010-02-09,24.01,24.06,23.93,23.9732,23.9551,8922,0.0,1.0
2010-02-10,24.04,24.05,24.03,24.038,24.0199,1500,0.0,1.0
2010-02-11,24.02,24.48,24.012,24.48,24.4616,8071,0.0,1.0
2010-02-12,24.2701,24.52,24.2701,24.52,24.5015,3600,0.0,1.0
2010-02-16,24.67,24.91,24.6,24.7299,24.7113,3118,0.0,1.0
2010-02-17,24.87,24.87,24.73,24.75,24.7314,7856,0.0,1.0
2010-02-18,24.87,25.15,24.81,25.134,25.1151,6074,0.0,1.0
2010-02-19,25.11,25.31,25.09,25.286,25.267,64816,0.0,1.0
2010-02-22,25.3,25.4,25.15,25.2999,25.2808,3228,0.0,1.0
2010-02-23,25.14,25.14,24.8,24.99,24.9712,5991,0.0,1.0
2010-02-24,25.15,25.22,24.9501,25.19,25.171,2125,0.0,1.0
2010-02-25,24.79,25.076,24.788,25.06,25.0411,4103,0.0,1.0
2010-02-26,25.11,25.28,25.11,25.23,25.211,3407,0.0,1.0
2010-03-01,25.32,25.91,25.32,25.88,25.8605,5698,0.0,1.0
2010-03-02,25.98,26.0599,25.87,25.87,25.8505,6308,0.0,1.0
2010-03-03,25.88,25.98,25.8092,25.8092,25.7898,2589,0.0,1.0
2010-03-04,25.82,26.12,25.82,26.12,26.1003,2205,0.0,1.0
2010-03-05,26.28,26.6,26.19,26.57,26.55,3463,0.0,1.0
2010-03-08,26.58,26.702,26.58,26.69,26.6699,6649,0.0,1.0
2010-03-09,26.78,27.237,26.78,27.09,27.0696,5540,0.0,1.0
2010-03-10,27.38,27.44,27.34,27.41,27.3894,29100,0.0,1.0
2010-03-11,27.29,27.4,27.28,27.31,27.2894,3215,0.0,1.0
2010-03-12,27.52,27.52,27.43,27.43,27.4093,49388,0.0,1.0
2010-03-15,27.44,27.44,27.25,27.28,27.2594,10139,0.0,1.0
2010-03-16,27.48,27.56,27.48,27.54,27.5193,6549,0.0,1.0
2010-03-17,27.57,27.83,27.57,27.82,27.799,3939,0.0,1.0
2010-03-18,28.02,28.02,27.6,27.7,27.6791,7163,0.0,1.0
2010-03-19,27.58,27.696,27.42,27.42,27.3993,3622,0.0,1.0
2010-03-22,27.44,27.596,27.44,27.55,27.5292,4270,0.0,1.0
2010-03-23,27.89,27.89,27.34,27.51,27.4893,7007,0.0,1.0
2010-03-24,27.55,27.55,27.34,27.45,27.4293,13415,0.0,1.0
2010-03-25,27.78,27.98,27.57,27.57,27.5492,8168,0.0,1.0
2010-03-26,27.6,27.67,27.4276,27.5,27.4793,11606,0.0,1.0
2010-03-29,27.74,27.74,27.613,27.6199,27.5991,1559,0.0,1.0
2010-03-30,27.65,27.8,27.6459,27.71,27.6891,1200,0.0,1.0
2010-03-31,27.6,27.73,27.5241,27.6059,27.5851,1723,0.0,1.0
2010-04-01,27.76,27.77,27.48,27.53,27.5093,16530,0.0,1.0
2010-04-05,27.65,27.988,27.65,27.9499,27.9288,2028,0.0,1.0
2010-04-06,27.9,28.3499,27.9,28.32,28.2987,6961,0.0,1.0
2010-04-07,28.23,28.23,28.0829,28.0829,28.0617,1062,0.0,1.0
2010-04-08,27.96,28.224,27.96,28.224,28.2027,3369,0.0,1.0
2010-04-09,28.27,28.39,28.2412,28.39,28.3686,938,0.0,1.0
2010-04-12,28.5,28.676,28.4799,28.64,28.6184,4640,0.0,1.0
2010-04-13,28.55,28.7,28.4165,28.69,28.6684,7141,0.0,1.0
2010-04-14,28.79,29.0348,28.79,29.03,29.0081,3467,0.0,1.0
2010-04-15,29.15,29.344,29.15,29.31,29.2879,8344,0.0,1.0
2010-04-16,29.08,29.08,28.4,28.43,28.4086,11605,0.0,1.0
2010-04-19,28.33,28.48,27.8601,28.174,28.1528,9208,0.0,1.0
2010-04-20,28.46,28.69,28.46,28.6899,28.6683,45731,0.0,1.0
2010-04-21,28.66,28.67,28.48,28.6599,28.6383,8039,0.0,1.0
2010-04-22,28.31,28.85,28.31,28.83,28.8083,2534,0.0,1.0
2010-04-23,28.77,28.77,28.5652,28.66,28.6384,6598,0.0,1.0
2010-04-26,28.84,29.05,28.84,28.9,28.8782,2918,0.0,1.0
2010-04-27,28.74,28.74,28.1216,28.1216,28.1004,2432,0.0,1.0
2010-04-28,28.28,28.28,27.71,27.78,27.7591,7719,0.0,1.0
2010-04-29,28.36,28.79,28.36,28.79,28.7683,9984,0.0,1.0
2010-04-30,28.71,28.71,28.08,28.08,28.0588,2320,0.0,1.0
2010-05-03,28.15,28.486,28.15,28.39,28.3686,3505,0.0,1.0
2010-05-04,27.69,27.69,27.35,27.47,27.4493,5280,0.0,1.0
2010-05-05,27.24,27.63,27.0,27.19,27.1695,6386,0.0,1.0
2010-05-06,27.2001,29.57,9.0,26.59,26.57,74200,0.0,1.0
2010-05-07,26.51,26.59,25.68,25.8,25.7806,32543,0.0,1.0
2010-05-10,26.84,27.37,26.84,27.37,27.3494,19674,0.0,1.0
2010-05-11,26.97,27.61,26.97,27.32,27.2994,5987,0.0,1.0
2010-05-12,27.54,27.87,27.44,27.85,27.829,50149,0.0,1.0
