,open,high,low,close,volume
2016-07-19,20.0,20.01,19.782,19.85,103996
2016-07-20,20.76,20.76,19.915,20.0694,11059
2016-07-21,20.2,20.25,19.81,19.8169,4023
2016-07-22,19.81,20.6445,19.6675,19.84,4109
2016-07-25,20.42,20.42,19.694,19.694,23354
2016-07-26,19.9,19.96,19.56,19.96,11365
2016-07-27,20.25,20.25,19.95,20.11,6074
2016-07-28,20.1,20.1,19.9725,20.08,14454
2016-07-29,20.02,20.1064,19.9401,20.1064,3114
2016-08-01,20.35,20.35,19.9547,19.9799,2251
2016-08-02,19.94,19.94,19.5535,19.67,7234
2016-08-03,20.0705,20.157,20.0428,20.157,3617
2016-08-04,20.25,20.38,20.19,20.19,4654
2016-08-05,20.4299,20.57,20.4299,20.4998,5354
2016-08-08,20.55,20.85,20.55,20.726,22280
2016-08-09,20.8,20.8,20.65,20.72,11141
2016-08-10,21.0,21.0,20.8096,20.9,8986
2016-08-11,21.07,21.15,20.995,21.08,17584
2016-08-12,21.15,21.15,21.0,21.0792,3815
2016-08-15,21.31,21.31,21.1724,21.215,1799
2016-08-16,21.21,21.22,21.0831,21.104,5304
2016-08-17,21.0,21.0,20.91,20.9478,1669
2016-08-18,21.069,21.2299,21.069,21.2099,2911
2016-08-19,21.27,21.27,21.09,21.1,5422
2016-08-22,21.37,21.4,21.1694,21.27,24207
2016-08-23,21.4,21.41,21.28,21.32,6540
2016-08-24,21.41,21.49,21.17,21.17,17916
2016-08-25,21.01,21.3699,21.01,21.29,5485
2016-08-26,21.54,21.54,21.2,21.2499,7081
2016-08-29,21.48,21.48,21.2975,21.36,2486
2016-08-30,21.35,21.49,21.23,21.33,16396
2016-08-31,21.3,21.3,20.875,20.9,18023
2016-09-01,20.92,20.92,20.77,20.83,888
2016-09-02,21.06,21.1399,20.92,21.12,6563
2016-09-06,21.73,22.49,21.73,22.3468,48087
2016-09-07,22.87,22.87,22.35,22.46,48243
2016-09-08,22.58,22.68,22.4839,22.65,56657
2016-09-09,22.38,22.421,22.05,22.1193,13617
2016-09-12,22.0,22.37,21.8001,22.37,8025
2016-09-13,22.35,22.35,21.9,22.068,11748
2016-09-14,22.19,23.0202,22.011,22.011,26528
2016-09-15,22.16,22.45,22.16,22.4199,21419
2016-09-16,22.42,22.42,22.2837,22.37,13327
2016-09-19,22.46,22.51,22.3,22.4,13342
2016-09-20,22.55,22.63,22.3832,22.4,7893
2016-09-21,22.55,22.72,22.4033,22.72,6247
2016-09-22,22.88,22.89,22.775,22.869,24393
2016-09-23,22.905,22.905,22.7283,22.78,9820
2016-09-26,22.7,22.7799,22.5,22.67,6709
2016-09-27,22.72,23.0489,22.72,23.01,6204
2016-09-28,23.0559,23.18,22.92,23.18,20799
2016-09-29,23.09,23.09,22.7555,22.9,22525
2016-09-30,23.24,23.24,22.9268,23.17,29211
2016-10-03,23.57,24.1099,23.0,23.0,16532
2016-10-04,23.19,23.2,22.951,23.0461,24911
2016-10-05,23.33,23.38,23.24,23.326,8474
2016-10-06,23.33,23.35,23.03,23.15,17161
2016-10-07,23.17,23.17,22.7532,22.89,10164
2016-10-10,23.23,23.23,22.95,22.96,3755
2016-10-11,22.75,22.75,22.4235,22.519,17649
2016-10-12,22.59,22.6,22.266,22.3,4667
2016-10-13,22.375,22.375,22.0101,22.1328,18697
2016-10-14,22.2032,22.2068,22.01,22.016,9226
2016-10-17,22.08,22.08,21.78,21.78,86568
2016-10-18,22.27,22.3,21.86,21.9888,4683
2016-10-19,21.78,21.8367,21.76,21.77,8389
2016-10-20,22.17,22.17,21.51,21.699,7313
2016-10-21,21.51,21.51,21.25,21.4,4680
2016-10-24,21.9,21.9,21.34,21.34,16283
2016-10-25,21.31,21.31,21.0833,21.1999,21086
2016-10-26,21.0,21.26,20.8707,20.92,6929
2016-10-27,21.0,21.14,20.79,20.79,3782
2016-10-28,20.76,20.8699,20.67,20.72,12921
2016-10-31,20.755,20.755,20.6,20.62,17057
2016-11-01,20.707,20.718,20.31,20.44,13753
2016-11-02,20.3,20.4003,20.08,20.1433,4255
2016-11-03,20.35,20.381,20.06,20.06,57057
2016-11-04,20.01,20.574,20.01,20.574,2033
2016-11-07,20.95,20.95,20.5501,20.76,4543
2016-11-08,20.6784,21.009,20.6,20.875,1556
2016-11-09,20.6799,21.4,20.67,21.4,3714
2016-11-10,21.82,21.8899,21.38,21.52,10358
2016-11-11,21.41,21.75,21.35,21.75,3047
2016-11-14,21.99,21.99,21.6176,21.7273,6922
2016-11-15,21.76,21.76,21.2754,21.4041,11573
2016-11-16,21.4699,21.47,21.42,21.43,1470
2016-11-17,21.55,21.56,21.47,21.56,2753
2016-11-18,21.5083,21.5999,21.5083,21.51,6188
2016-11-21,21.76,21.76,21.4,21.531,5739
2016-11-22,21.66,21.72,21.62,21.72,4280
2016-11-23,21.75,21.7692,21.65,21.73,4421
2016-11-25,21.82,21.9283,21.82,21.9283,871
2016-11-28,22.0,22.0,21.6,21.64,43973
2016-11-29,21.81,21.89,21.34,21.4579,14484
2016-11-30,21.59,21.59,21.35,21.3625,1710
2016-12-01,21.38,21.38,20.721,20.78,12811
2016-12-02,20.91,21.15,20.9,21.05,11347
2016-12-05,21.01,21.559,21.01,21.52,1472
2016-12-06,21.73,21.748,21.4301,21.72,2137
2016-12-07,21.6497,21.91,21.6353,21.91,3259
2016-12-08,22.08,22.29,21.9935,22.29,3886
2016-12-09,22.39,22.39,22.1219,22.1219,2735
2016-12-12,22.26,22.26,21.8473,21.97,3230
2016-12-13,22.16,22.5,22.15,22.2756,11248
2016-12-14,22.28,22.28,21.91,21.91,3016
2016-12-15,22.03,22.1352,22.03,22.1352,939
2016-12-16,22.31,22.44,22.0,22.0213,4916
2016-12-19,22.19,22.238,21.9147,21.9147,2921
2016-12-20,22.0,22.0,21.69,21.8082,5349
2016-12-21,21.82,21.82,21.684,21.74,2492
2016-12-22,21.72,21.72,21.52,21.52,1295
2016-12-23,21.73,21.74,21.68,21.6949,1576
2016-12-27,21.97,21.97,21.7702,21.7702,6500
2016-12-28,21.5897,21.5897,21.3852,21.43,2896
2016-12-29,21.56,21.56,21.191,21.27,6704
2016-12-30,21.5,21.5,21.0976,21.0976,18786
2017-01-03,21.07,21.6,21.07,21.5485,10800
2017-01-04,21.79,22.13,21.6868,22.13,12480
2017-01-05,22.26,22.26,21.9148,22.0575,4587
2017-01-06,22.13,22.19,22.0,22.16,7016
2017-01-09,22.27,22.7,22.2208,22.6,55752
