,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-04-07,25.49,25.56,25.4299,25.51,24.8157,6634,0.0,1.0
2010-04-08,25.43,25.43,25.19,25.37,24.6795,2701,0.0,1.0
2010-04-09,25.39,25.39,25.33,25.39,24.6989,13500,0.0,1.0
2010-04-12,25.37,25.59,25.37,25.59,24.8935,4900,0.0,1.0
2010-04-13,25.56,25.64,25.51,25.6399,24.942,1400,0.0,1.0
2010-04-14,26.26,26.45,26.2599,26.45,25.7301,5300,0.0,1.0
2010-04-15,26.6,26.61,26.5,26.61,25.8857,7300,0.0,1.0
2010-04-16,26.5,26.5,26.0515,26.18,25.4674,3652,0.0,1.0
2010-04-19,26.18,26.18,25.75,26.11,25.3993,1340,0.0,1.0
2010-04-20,26.35,26.52,26.31,26.47,25.7495,4500,0.0,1.0
2010-04-21,26.7,26.7,26.55,26.55,25.8274,2500,0.0,1.0
2010-04-22,26.45,26.95,26.4,26.95,26.2165,2560,0.0,1.0
2010-04-23,26.9,27.08,26.8314,27.08,26.3429,2405,0.0,1.0
2010-04-26,26.969,27.26,26.96,27.09,26.3527,2300,0.0,1.0
2010-04-27,27.0,27.15,26.66,26.66,25.9344,8600,0.0,1.0
2010-04-28,26.45,26.5601,26.45,26.5601,25.8372,5794,0.0,1.0
2010-04-29,26.64,26.93,26.47,26.93,26.197,10114,0.0,1.0
2010-04-30,26.984,26.984,25.97,25.97,25.2631,3198,0.0,1.0
2010-05-03,26.08,26.42,26.0199,26.42,25.7009,15805,0.0,1.0
2010-05-04,26.15,26.15,25.5564,25.5564,24.8608,3900,0.0,1.0
2010-05-05,25.29,25.5015,25.03,25.32,24.6308,1515,0.0,1.0
2010-05-06,24.96,25.37,17.52,25.37,24.6795,18600,0.0,1.0
2010-05-07,23.84,24.22,23.79,23.8214,23.173,12371,0.0,1.0
2010-05-10,24.61,24.7499,24.61,24.7499,24.0762,2050,0.0,1.0
2010-05-11,24.16,25.35,23.68,25.02,24.339,1500,0.0,1.0
2010-05-12,25.3306,25.53,25.3306,25.51,24.8157,4278,0.0,1.0
2010-05-13,25.9149,25.92,25.48,25.48,24.7865,3650,0.0,1.0
2010-05-14,24.9,24.96,24.76,24.96,24.2806,1500,0.0,1.0
2010-05-17,24.66,25.12,24.66,25.12,24.4363,2200,0.0,1.0
2010-05-18,25.34,25.34,24.55,24.66,23.9888,1100,0.0,1.0
2010-05-19,24.0613,24.35,24.0613,24.35,23.6872,1080,0.0,1.0
2010-05-20,23.95,23.95,23.498,23.54,22.8993,11970,0.0,1.0
2010-05-21,23.81,23.81,23.69,23.69,23.0452,300,0.0,1.0
2010-05-24,23.5,23.53,23.4301,23.53,22.8896,700,0.0,1.0
2010-05-25,22.58,23.06,22.44,23.06,22.4323,1040,0.0,1.0
2010-05-26,23.7458,23.7458,23.19,23.19,22.5588,1300,0.0,1.0
2010-05-27,23.86,24.11,23.85,24.11,23.4538,700,0.0,1.0
