,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,13.8785,13.8785,13.74,13.74,12.9401,8533,0.0,1.0
2010-01-05,13.7,13.773,13.68,13.72,12.9212,10337,0.0,1.0
2010-01-06,13.73,13.7428,13.6399,13.6499,12.8552,25088,0.0,1.0
2010-01-07,13.54,13.63,13.517,13.61,12.8176,29791,0.0,1.0
2010-01-08,13.59,13.7125,13.56,13.7,12.9024,14635,0.0,1.0
2010-01-11,13.74,13.74,13.5701,13.6099,12.8175,4379,0.0,1.0
2010-01-12,13.51,13.51,13.161,13.21,12.4409,20063,0.0,1.0
2010-01-13,13.3,13.43,13.0,13.43,12.6481,116408,0.0,1.0
2010-01-14,13.38,13.4,13.2945,13.37,12.5916,27411,0.0,1.0
2010-01-15,13.4,13.41,12.95,12.96,12.2055,15336,0.0,1.0
2010-01-19,12.99,13.134,12.97,13.1,12.3373,22150,0.0,1.0
2010-01-20,13.01,13.04,12.83,13.04,12.2808,17068,0.0,1.0
2010-01-21,13.06,13.21,12.87,12.96,12.2055,142460,0.0,1.0
2010-01-22,12.78,12.78,12.3701,12.3875,11.6663,24648,0.0,1.0
2010-01-25,12.45,12.59,12.45,12.53,11.8005,55884,0.0,1.0
2010-01-26,12.52,12.59,12.42,12.45,11.7252,17016,0.0,1.0
2010-01-27,12.56,12.63,12.33,12.49,11.7628,21290,0.0,1.0
2010-01-28,12.28,12.29,12.0,12.18,11.4709,58011,0.0,1.0
2010-01-29,12.35,12.36,11.69,11.76,11.0753,26571,0.0,1.0
2010-02-01,11.81,12.1801,11.81,12.18,11.4709,16391,0.0,1.0
2010-02-02,12.23,12.4,12.19,12.33,11.6121,14249,0.0,1.0
2010-02-03,12.24,12.348,12.17,12.26,11.5462,18380,0.0,1.0
2010-02-04,12.15,12.15,11.77,11.83,11.1413,22772,0.0,1.0
2010-02-05,11.85,11.97,11.66,11.9699,11.273,96966,0.0,1.0
2010-02-08,11.99,12.2,11.89,12.132,11.4257,20438,0.0,1.0
2010-02-09,12.19,12.36,12.113,12.25,11.5368,31431,0.0,1.0
2010-02-10,12.23,12.38,12.15,12.38,11.6592,30133,0.0,1.0
2010-02-11,12.35,12.5692,12.22,12.56,11.8288,50510,0.0,1.0
2010-02-12,12.43,12.8,12.36,12.68,11.9418,18901,0.0,1.0
2010-02-16,12.8,12.95,12.76,12.9401,12.1867,17943,0.0,1.0
2010-02-17,12.98,12.98,12.8501,12.97,12.2149,27671,0.0,1.0
2010-02-18,12.94,13.1099,12.93,13.09,12.3279,8270,0.0,1.0
2010-02-19,13.0215,13.23,13.0215,13.19,12.4221,10012,0.0,1.0
2010-02-22,13.24,13.24,13.09,13.11,12.3467,7429,0.0,1.0
2010-02-23,13.1,13.1,12.72,12.8199,12.0735,9230,0.0,1.0
2010-02-24,12.96,13.14,12.96,13.1,12.3373,14628,0.0,1.0
2010-02-25,12.93,13.03,12.778,13.03,12.2714,15675,0.0,1.0
2010-02-26,13.04,13.04,12.87,13.02,12.262,13947,0.0,1.0
2010-03-01,13.06,13.38,13.06,13.3799,12.6009,54219,0.0,1.0
2010-03-02,13.37,13.55,13.361,13.405,12.6246,54704,0.0,1.0
2010-03-03,13.49,13.55,13.277,13.33,12.5539,23156,0.0,1.0
2010-03-04,13.35,13.35,13.17,13.2692,12.4967,16004,0.0,1.0
2010-03-05,13.43,13.55,13.35,13.512,12.7253,41578,0.0,1.0
2010-03-08,13.55,13.55,13.48,13.52,12.7329,31626,0.0,1.0
2010-03-09,13.48,13.59,13.46,13.49,12.7046,21979,0.0,1.0
2010-03-10,13.53,13.78,13.53,13.69,12.893,33812,0.0,1.0
2010-03-11,13.71,13.71,13.5,13.6,12.8082,18641,0.0,1.0
2010-03-12,13.68,13.68,13.57,13.6,12.8082,11035,0.0,1.0
2010-03-15,13.54,13.54,13.339,13.4085,12.6279,8674,0.0,1.0
2010-03-16,13.375,13.74,13.34,13.7101,12.9119,34996,0.0,1.0
2010-03-17,13.76,14.02,13.76,13.9821,13.1681,16539,0.0,1.0
2010-03-18,13.9699,13.9699,13.78,13.84,13.0342,26681,0.0,1.0
2010-03-19,13.84,13.84,13.22,13.57,12.78,13782,0.0,1.0
2010-03-22,13.53,13.902,13.48,13.89,13.0813,10573,0.0,1.0
2010-03-23,13.98,14.18,13.95,14.18,13.3544,25412,0.0,1.0
2010-03-24,14.16,14.16,13.823,13.8599,13.053,37534,0.0,1.0
2010-03-25,14.0197,14.068,13.86,13.86,13.0531,12928,0.0,1.0
2010-03-26,13.74,13.9595,13.7181,13.76,12.9589,10120,0.0,1.0
2010-03-29,13.84,13.888,13.8025,13.84,13.0342,18250,0.0,1.0
2010-03-30,13.88,13.9499,13.8,13.9499,13.1377,17374,0.0,1.0
2010-03-31,13.9,14.013,13.83,13.85,13.0437,39786,0.0,1.0
2010-04-01,13.94,14.14,13.7924,13.7985,12.9952,24175,0.0,1.0
2010-04-05,13.83,14.186,13.83,14.18,13.3544,33563,0.0,1.0
2010-04-06,14.1,14.126,13.9901,14.08,13.2603,34780,0.0,1.0
2010-04-07,14.03,14.2301,14.03,14.16,13.3356,7101,0.0,1.0
2010-04-08,14.13,14.13,13.928,14.0676,13.2486,11418,0.0,1.0
2010-04-09,14.02,14.15,14.02,14.1499,13.3261,3141,0.0,1.0
2010-04-12,14.25,14.399,14.15,14.38,13.5428,13963,0.0,1.0
2010-04-13,14.34,14.44,14.3,14.41,13.571,18402,0.0,1.0
2010-04-14,14.73,15.21,14.73,15.21,14.3245,44091,0.0,1.0
2010-04-15,15.2,15.27,15.121,15.1766,14.293,36669,0.0,1.0
2010-04-16,15.16,15.16,14.7,14.85,13.9854,21743,0.0,1.0
2010-04-19,14.84,14.89,14.46,14.7417,13.8834,16992,0.0,1.0
2010-04-20,14.95,14.98,14.81,14.98,14.1079,30960,0.0,1.0
2010-04-21,15.1,15.11,14.67,14.82,13.9572,20246,0.0,1.0
2010-04-22,14.63,15.06,14.409,15.06,14.1832,18374,0.0,1.0
