,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,20.89,21.26,20.89,21.26,21.203,64427,0.0,1.0
2010-01-05,21.29,21.39,21.17,21.2899,21.2328,14656,0.0,1.0
2010-01-06,21.29,21.4,21.1409,21.17,21.1133,21632,0.0,1.0
2010-01-07,21.19,21.19,21.0138,21.0799,21.0234,10267,0.0,1.0
2010-01-08,20.98,21.11,20.94,21.1,21.0435,11729,0.0,1.0
2010-01-11,21.16,21.2015,20.881,20.9727,20.9165,12100,0.0,1.0
2010-01-12,20.88,20.892,20.68,20.8199,20.7641,24334,0.0,1.0
2010-01-13,20.87,21.028,20.79,21.02,20.9637,8131,0.0,1.0
2010-01-14,21.0,21.279,21.0,21.27,21.213,12976,0.0,1.0
2010-01-15,21.23,21.32,20.89,21.08,21.0235,25115,0.0,1.0
2010-01-19,21.11,21.36,21.0301,21.35,21.2928,20258,0.0,1.0
2010-01-20,21.22,21.22,20.809,21.08,21.0235,17100,0.0,1.0
2010-01-21,21.08,21.21,20.72,20.82,20.7642,11854,0.0,1.0
2010-01-22,20.77,20.7794,20.13,20.13,20.0761,70798,0.0,1.0
2010-01-25,20.34,20.34,20.07,20.14,20.086,7841,0.0,1.0
2010-01-26,20.3,20.446,20.18,20.29,20.2356,12022,0.0,1.0
2010-01-27,20.22,20.45,20.15,20.43,20.3753,6093,0.0,1.0
2010-01-28,20.36,20.36,20.05,20.23,20.1758,6156,0.0,1.0
2010-01-29,20.3,20.38,19.98,20.04,19.9863,18143,0.0,1.0
2010-02-01,20.04,20.17,19.93,20.17,20.116,11716,0.0,1.0
2010-02-02,20.18,20.31,20.08,20.25,20.1957,16713,0.0,1.0
2010-02-03,20.25,20.4882,20.25,20.44,20.3852,17354,0.0,1.0
2010-02-04,20.25,20.25,19.69,19.69,19.6372,20171,0.0,1.0
2010-02-05,19.67,19.7456,19.43,19.703,19.6502,40628,0.0,1.0
2010-02-08,19.76,19.872,19.6001,19.63,19.5774,5341,0.0,1.0
2010-02-09,19.82,19.932,19.73,19.88,19.8267,11504,0.0,1.0
2010-02-10,19.83,19.9001,19.494,19.83,19.7769,26355,0.0,1.0
2010-02-11,19.85,20.11,19.69,20.08,20.0262,33214,0.0,1.0
2010-02-12,19.95,20.23,19.91,20.23,20.1758,17831,0.0,1.0
2010-02-16,20.4,20.542,20.33,20.54,20.485,7843,0.0,1.0
2010-02-17,20.65,20.76,20.58,20.74,20.6844,16637,0.0,1.0
2010-02-18,20.78,20.888,20.77,20.864,20.8081,8316,0.0,1.0
2010-02-19,20.9,20.99,20.82,20.91,20.854,16211,0.0,1.0
2010-02-22,20.94,20.959,20.85,20.92,20.8639,13598,0.0,1.0
2010-02-23,20.91,20.94,20.6876,20.79,20.7343,20915,0.0,1.0
2010-02-24,20.8501,21.039,20.8501,20.9682,20.912,14894,0.0,1.0
2010-02-25,20.76,20.9,20.59,20.9,20.844,36602,0.0,1.0
2010-02-26,20.85,20.92,20.7799,20.9,20.844,9134,0.0,1.0
2010-03-01,20.98,21.259,20.92,21.25,21.1931,9593,0.0,1.0
2010-03-02,21.33,21.41,21.25,21.29,21.2329,54185,0.0,1.0
2010-03-03,21.31,21.4306,21.248,21.3,21.2429,7974,0.0,1.0
2010-03-04,21.3,21.34,21.1801,21.34,21.2828,9064,0.0,1.0
2010-03-05,21.48,21.76,21.45,21.71,21.6518,38654,0.0,1.0
2010-03-08,21.77,21.78,21.64,21.75,21.6917,26164,0.0,1.0
2010-03-09,21.71,21.9818,21.7,21.86,21.8014,15686,0.0,1.0
2010-03-10,21.89,22.02,21.859,21.922,21.8633,18579,0.0,1.0
2010-03-11,21.91,22.01,21.87,22.0099,21.9509,23471,0.0,1.0
2010-03-12,22.04,22.068,21.9383,22.034,21.975,16339,0.0,1.0
2010-03-15,22.08,22.0901,21.954,22.08,22.0208,14492,0.0,1.0
2010-03-16,22.14,22.14,21.965,22.113,22.0537,10363,0.0,1.0
2010-03-17,22.16,25.04,22.06,22.28,22.2203,68897,0.0,1.0
2010-03-18,22.49,22.49,22.254,22.28,22.2203,20815,0.0,1.0
2010-03-19,22.29,22.34,22.0678,22.0678,22.0087,12660,0.0,1.0
2010-03-22,22.13,22.34,22.0,22.3,22.2402,34276,0.0,1.0
2010-03-23,22.32,22.48,21.974,22.48,22.4198,62607,0.0,1.0
2010-03-24,22.48,22.48,22.258,22.258,22.1984,32940,0.0,1.0
2010-03-25,22.32,22.4,22.09,22.09,22.0308,51712,0.0,1.0
2010-03-26,22.16,22.19,21.9,21.95,21.8912,25783,0.0,1.0
2010-03-29,22.0,22.03,21.92,21.97,21.9111,12018,0.0,1.0
2010-03-30,21.99,22.07,21.85,22.02,21.961,19330,0.0,1.0
2010-03-31,21.97,22.126,21.9,21.94,21.8812,27804,0.0,1.0
2010-04-01,21.99,22.04,21.7392,21.93,21.8712,17858,0.0,1.0
2010-04-05,21.95,22.26,21.85,22.238,22.1784,38849,0.0,1.0
2010-04-06,22.19,22.3238,22.13,22.28,22.2203,10805,0.0,1.0
2010-04-07,22.28,22.28,21.98,22.01,21.951,21634,0.0,1.0
2010-04-08,22.05,22.2778,21.9,22.2002,22.1407,15262,0.0,1.0
2010-04-09,22.25,22.39,22.148,22.39,22.33,7428,0.0,1.0
2010-04-12,22.44,22.5,22.38,22.45,22.3898,54865,0.0,1.0
2010-04-13,22.43,22.4599,22.37,22.43,22.3699,5508,0.0,1.0
2010-04-14,22.51,22.75,22.51,22.75,22.689,25791,0.0,1.0
2010-04-15,22.69,22.796,22.69,22.79,22.7289,18361,0.0,1.0
2010-04-16,22.75,22.831,22.56,22.63,22.5694,15404,0.0,1.0
2010-04-19,22.6,22.68,22.31,22.55,22.4896,12915,0.0,1.0
2010-04-20,22.68,22.89,22.62,22.89,22.8287,33276,0.0,1.0
2010-04-21,23.02,23.2,22.924,23.19,23.1279,16933,0.0,1.0
2010-04-22,23.0,23.25,22.9,23.25,23.1877,10870,0.0,1.0
2010-04-23,23.2,23.29,23.06,23.29,23.2276,19201,0.0,1.0
2010-04-26,23.26,23.378,23.26,23.31,23.2475,56276,0.0,1.0
2010-04-27,23.09,23.151,22.98,22.98,22.9184,15686,0.0,1.0
2010-04-28,23.06,23.08,22.81,22.86,22.7987,18085,0.0,1.0
2010-04-29,22.93,22.96,22.71,22.96,22.8985,52172,0.0,1.0
2010-04-30,22.88,22.93,22.58,22.58,22.5195,17705,0.0,1.0
2010-05-03,22.68,22.85,22.59,22.85,22.7888,14948,0.0,1.0
2010-05-04,22.52,22.52,22.13,22.27,22.2103,37320,0.0,1.0
2010-05-05,22.11,22.232,22.0101,22.08,22.0208,44963,0.0,1.0
2010-05-06,27.57,27.57,27.57,27.57,27.4961,166200,0.0,1.0
2010-05-07,21.56,21.56,20.77,21.09,21.0335,79382,0.0,1.0
2010-05-10,21.56,21.946,21.56,21.934,21.8752,33038,0.0,1.0
2010-05-11,21.62,22.33,21.62,22.0,21.941,60849,0.0,1.0
2010-05-12,22.14,22.7705,22.108,22.77,22.709,28954,0.0,1.0
2010-05-13,22.73,23.07,22.73,22.83,22.7688,26068,0.0,1.0
2010-05-14,22.61,22.61,22.2,22.33,22.2702,11226,0.0,1.0
2010-05-17,22.44,22.5348,21.99,22.38,22.32,53579,0.0,1.0
2010-05-18,22.54,22.58,22.15,22.22,22.1605,19898,0.0,1.0
2010-05-19,22.2,22.28,21.8,22.01,21.951,41394,0.0,1.0
2010-05-20,21.58,21.694,21.09,21.09,21.0335,167807,0.0,1.0
2010-05-21,20.83,21.354,20.74,21.28,21.223,114040,0.0,1.0
2010-05-24,21.21,21.49,21.21,21.28,21.223,53878,0.0,1.0
2010-05-25,20.89,21.18,20.6,21.1668,21.1101,72263,0.0,1.0
2010-05-26,21.24,21.68,21.18,21.25,21.1931,49935,0.0,1.0
2010-05-27,21.54,21.94,21.54,21.94,21.8812,27425,0.0,1.0
2010-05-28,21.89,21.892,21.67,21.82,21.7615,11223,0.0,1.0
2010-06-01,21.45,21.692,21.38,21.38,21.3227,14253,0.0,1.0
2010-06-02,21.36,21.61,21.196,21.61,21.5521,12586,0.0,1.0
2010-06-03,21.79,22.15,21.79,22.12,22.0607,13142,0.0,1.0
2010-06-04,21.71,21.71,21.1,21.13,21.0734,36090,0.0,1.0
2010-06-07,21.22,21.23,20.65,20.65,20.5947,15718,0.0,1.0
2010-06-08,20.6,20.64,20.33,20.581,20.5258,28922,0.0,1.0
2010-06-09,20.61,20.939,20.49,20.52,20.465,44830,0.0,1.0
2010-06-10,20.8,21.16,20.78,21.15,21.0933,14067,0.0,1.0
2010-06-11,21.05,21.346,21.05,21.34,21.2828,14722,0.0,1.0
2010-06-14,21.53,21.608,21.3,21.334,21.2768,4006,0.0,1.0
2010-06-15,21.61,21.896,21.559,21.89,21.8313,5597,0.0,1.0
2010-06-16,21.8,21.9499,21.718,21.82,21.7615,17962,0.0,1.0
2010-06-17,21.88,21.93,21.7114,21.8824,21.8238,33184,0.0,1.0
2010-06-18,21.84,22.0201,21.828,21.93,21.8712,8921,0.0,1.0
2010-06-21,22.14,22.14,21.69,21.734,21.6758,30776,0.0,1.0
2010-06-22,21.86,22.06,21.48,21.48,21.4224,21303,0.0,1.0
2010-06-23,21.4125,21.45,21.31,21.4,21.3427,8835,0.0,1.0
2010-06-24,21.31,21.31,21.05,21.05,20.9936,9216,0.0,1.0
2010-06-25,21.07,21.36,21.07,21.26,21.203,43013,0.0,1.0
2010-06-28,21.3,21.4001,21.1,21.22,21.1631,90916,0.0,1.0
2010-06-29,20.91,20.97,20.25,20.38,20.3254,181802,0.0,1.0
2010-06-30,20.33,20.509,20.0,20.05,19.9963,24883,0.0,1.0
2010-07-01,20.0,20.07,19.64,20.03,19.9763,87408,0.0,1.0
2010-07-02,20.0385,20.14,19.9199,20.14,20.086,15147,0.0,1.0
2010-07-06,20.14,20.4848,19.89,19.97,19.9165,6367,0.0,1.0
2010-07-07,20.46,20.6201,20.36,20.6201,20.5648,6445,0.0,1.0
2010-07-08,20.84,20.84,20.56,20.74,20.6844,11326,0.0,1.0
2010-07-09,20.74,20.87,20.71,20.87,20.8141,13798,0.0,1.0
2010-07-12,20.84,21.02,20.73,20.91,20.854,14313,0.0,1.0
2010-07-13,21.145,21.46,21.13,21.41,21.3526,9348,0.0,1.0
2010-07-14,21.43,21.579,21.43,21.5,21.4424,2389,0.0,1.0
2010-07-15,21.5,21.5,21.24,21.45,21.3925,23344,0.0,1.0
2010-07-16,21.32,21.32,20.79,20.82,20.7642,18471,0.0,1.0
2010-07-19,20.97,21.072,20.852,21.01,20.9537,52352,0.0,1.0
2010-07-20,20.75,21.2,20.63,21.18,21.1232,6362,0.0,1.0
2010-07-21,21.41,21.41,20.86,20.86,20.8041,12427,0.0,1.0
2010-07-22,21.1,21.5124,21.1,21.51,21.4524,25284,0.0,1.0
2010-07-23,21.46,21.93,21.46,21.91,21.8513,20550,0.0,1.0
2010-07-26,21.88,22.19,21.85,22.19,22.1305,8209,0.0,1.0
2010-07-27,22.27,22.2999,22.03,22.12,22.0607,16445,0.0,1.0
2010-07-28,21.9841,21.9841,21.6276,21.66,21.602,5923,0.0,1.0
2010-07-29,21.62,21.68,21.1601,21.365,21.3077,104536,0.0,1.0
2010-07-30,21.13,21.4085,21.07,21.37,21.3127,36360,0.0,1.0
