,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,23.23,23.3,23.21,23.212,22.7465,3213,0.0,1.0
2010-01-05,23.2134,23.2698,23.16,23.22,22.7543,3770,0.0,1.0
2010-01-06,23.19,23.23,23.04,23.06,22.5975,27230,0.0,1.0
2010-01-07,22.98,22.98,22.8984,22.94,22.4799,6814,0.0,1.0
2010-01-08,22.95,23.07,22.95,23.07,22.6073,8303,0.0,1.0
2010-01-11,23.01,23.01,22.83,22.8905,22.4314,3227,0.0,1.0
2010-01-12,22.55,22.59,22.5,22.59,22.1369,2806,0.0,1.0
2010-01-13,22.73,22.918,22.56,22.9,22.4407,63432,0.0,1.0
2010-01-14,22.93,23.07,22.8995,23.026,22.5642,8204,0.0,1.0
2010-01-15,23.04,23.04,22.5501,22.69,22.2349,9573,0.0,1.0
2010-01-19,22.69,23.0,22.69,23.0,22.5387,7279,0.0,1.0
2010-01-20,22.81,22.81,22.51,22.8,22.3427,17771,0.0,1.0
2010-01-21,22.82,22.98,22.56,22.6,22.1467,17239,0.0,1.0
2010-01-22,22.59,22.59,21.84,21.846,21.4079,18892,0.0,1.0
2010-01-25,22.01,22.05,21.8504,21.95,21.5098,15181,0.0,1.0
2010-01-26,21.88,22.11,21.88,22.0889,21.6459,2803,0.0,1.0
2010-01-27,21.87,22.05,21.75,22.05,21.6078,9219,0.0,1.0
2010-01-28,21.92,21.92,21.53,21.82,21.3824,17966,0.0,1.0
2010-01-29,21.75,21.858,21.3,21.41,20.9806,32824,0.0,1.0
2010-02-01,21.41,21.63,21.38,21.61,21.1766,27270,0.0,1.0
2010-02-02,21.66,21.76,21.53,21.7384,21.3024,6381,0.0,1.0
2010-02-03,21.6,21.757,21.56,21.66,21.2256,20487,0.0,1.0
2010-02-04,21.423,21.423,20.9,20.9,20.4808,27932,0.0,1.0
2010-02-05,20.7612,20.9393,20.59,20.92,20.5004,23549,0.0,1.0
2010-02-08,20.97,21.0711,20.944,20.944,20.5239,9227,0.0,1.0
2010-02-09,21.11,21.2199,21.11,21.1401,20.7161,4764,0.0,1.0
2010-02-10,21.16,21.17,21.01,21.12,20.6964,2648,0.0,1.0
2010-02-11,21.1,21.43,21.0486,21.3999,20.9707,6059,0.0,1.0
2010-02-12,21.29,21.54,21.29,21.54,21.108,6438,0.0,1.0
2010-02-16,21.72,21.92,21.61,21.92,21.4804,11535,0.0,1.0
2010-02-17,22.0,22.02,21.89,22.0099,21.5685,8295,0.0,1.0
2010-02-18,21.97,22.21,21.97,22.2099,21.7645,3922,0.0,1.0
2010-02-19,22.2,22.34,22.18,22.28,21.8332,4961,0.0,1.0
2010-02-22,22.28,22.28,22.1201,22.13,21.6862,3944,0.0,1.0
2010-02-23,22.08,22.08,21.8956,21.9465,21.5063,2497,0.0,1.0
2010-02-24,21.93,22.07,21.93,22.07,21.6274,2980,0.0,1.0
2010-02-25,21.81,21.93,21.659,21.93,21.4902,6369,0.0,1.0
2010-02-26,21.99,22.0126,21.901,22.0,21.5588,3111,0.0,1.0
2010-03-01,22.15,22.42,22.15,22.42,21.9703,4124,0.0,1.0
2010-03-02,22.47,22.63,22.47,22.48,22.0291,5071,0.0,1.0
2010-03-03,22.5,22.638,22.4424,22.4424,21.9923,1052,0.0,1.0
2010-03-04,22.47,22.47,22.35,22.4,21.9507,4240,0.0,1.0
2010-03-05,22.65,22.8722,22.65,22.83,22.3721,3886,0.0,1.0
2010-03-08,22.84,22.8911,22.84,22.87,22.4113,3483,0.0,1.0
2010-03-09,22.82,23.1099,22.82,22.98,22.5191,4940,0.0,1.0
2010-03-10,23.04,23.21,23.04,23.12,22.6563,11611,0.0,1.0
2010-03-11,22.988,23.11,22.9699,23.11,22.6465,5979,0.0,1.0
