,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,18.19,18.56,18.19,18.5,17.7459,21575,0.0,1.0
2010-01-05,18.5594,18.5594,18.4,18.53,17.7747,13609,0.0,1.0
2010-01-06,18.52,18.6,18.466,18.5,17.7459,13393,0.0,1.0
2010-01-07,18.58,18.62,18.45,18.58,17.8227,24393,0.0,1.0
2010-01-08,18.56,18.63,18.4801,18.6199,17.861,3598,0.0,1.0
2010-01-11,18.68,18.745,18.526,18.564,17.8073,15145,0.0,1.0
2010-01-12,18.53,18.54,18.27,18.3,17.5541,15190,0.0,1.0
2010-01-13,18.43,18.63,18.32,18.63,17.8706,12346,0.0,1.0
2010-01-14,18.51,18.78,18.51,18.78,18.0145,19998,0.0,1.0
2010-01-15,18.72,18.78,18.35,18.49,17.7364,10863,0.0,1.0
2010-01-19,18.57,18.7586,18.25,18.74,17.9762,12364,0.0,1.0
2010-01-20,18.65,18.65,18.25,18.49,17.7364,11768,0.0,1.0
2010-01-21,18.55,18.69,18.3201,18.373,17.6241,5301,0.0,1.0
2010-01-22,18.28,18.28,17.75,17.77,17.0457,31497,0.0,1.0
2010-01-25,17.87,17.9325,17.8175,17.91,17.18,8208,0.0,1.0
2010-01-26,18.03,18.088,17.94,17.94,17.2088,6729,0.0,1.0
2010-01-27,17.84,17.94,17.68,17.722,16.9997,3104,0.0,1.0
2010-01-28,17.88,17.88,17.35,17.4948,16.7817,13256,0.0,1.0
2010-01-29,17.63,17.63,17.05,17.11,16.4126,18655,0.0,1.0
2010-02-01,17.27,17.416,17.2445,17.4,16.6908,16807,0.0,1.0
2010-02-02,17.401,17.63,17.401,17.602,16.8845,6818,0.0,1.0
2010-02-03,17.7278,17.74,17.6248,17.74,17.0169,6414,0.0,1.0
2010-02-04,17.59,17.59,17.23,17.23,16.5277,11797,0.0,1.0
2010-02-05,17.2,17.356,17.05,17.342,16.6351,22366,0.0,1.0
2010-02-08,17.37,17.61,17.37,17.43,16.7196,11110,0.0,1.0
2010-02-09,17.54,17.7399,17.54,17.67,16.9498,5430,0.0,1.0
2010-02-10,17.69,17.75,17.61,17.7499,17.0264,5937,0.0,1.0
2010-02-11,17.73,18.08,17.66,18.08,17.3431,13642,0.0,1.0
2010-02-12,17.9,18.2199,17.9,18.12,17.3814,5971,0.0,1.0
2010-02-16,18.42,18.52,18.3678,18.52,17.7651,21092,0.0,1.0
2010-02-17,18.524,18.59,18.47,18.59,17.8323,281437,0.0,1.0
2010-02-18,18.62,18.76,18.59,18.757,17.9925,7226,0.0,1.0
2010-02-19,18.79,19.03,18.79,18.97,18.1968,38116,0.0,1.0
2010-02-22,19.04,19.05,18.89,18.94,18.168,21775,0.0,1.0
2010-02-23,18.85,18.89,18.51,18.64,17.8802,22695,0.0,1.0
2010-02-24,18.9176,18.9176,18.8599,18.864,18.0951,5323,0.0,1.0
2010-02-25,18.66,18.8,18.53,18.8,18.0337,10924,0.0,1.0
2010-02-26,18.71,18.87,18.664,18.87,18.1009,37718,0.0,1.0
2010-03-01,18.93,19.31,18.92,19.252,18.4673,47894,0.0,1.0
2010-03-02,19.33,19.56,19.33,19.45,18.6572,41093,0.0,1.0
2010-03-03,19.48,19.6884,19.48,19.57,18.7723,20171,0.0,1.0
2010-03-04,19.6,19.6099,19.4165,19.6099,18.8106,58292,0.0,1.0
2010-03-05,19.81,20.0,19.8,20.0,19.1848,15594,0.0,1.0
2010-03-08,20.01,20.14,20.0,20.0599,19.2423,25346,0.0,1.0
2010-03-09,20.03,20.38,19.99,20.23,19.4054,39851,0.0,1.0
2010-03-10,20.23,20.51,20.23,20.4501,19.6166,62743,0.0,1.0
2010-03-11,20.42,20.52,20.3,20.52,19.6836,46829,0.0,1.0
2010-03-12,20.54,20.55,20.35,20.47,19.6357,130433,0.0,1.0
2010-03-15,20.56,20.56,20.3,20.5,19.6644,79151,0.0,1.0
2010-03-16,20.59,20.73,20.4595,20.73,19.8851,45577,0.0,1.0
2010-03-17,20.72,20.86,20.68,20.8,19.9522,41421,0.0,1.0
2010-03-18,20.86,20.86,20.722,20.76,19.9138,23970,0.0,1.0
2010-03-19,20.7,20.75,20.4,20.46,19.6261,53996,0.0,1.0
2010-03-22,20.38,20.7,20.31,20.6596,19.8175,83234,0.0,1.0
2010-03-23,20.75,20.97,20.63,20.956,20.1018,75831,0.0,1.0
