,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,46.32,46.485,46.27,46.42,42.0931,62778964,0.0,1.0
2010-01-05,46.38,46.5,46.16,46.42,42.0931,62906020,0.0,1.0
2010-01-06,46.39,46.55,46.07,46.14,41.8392,95987226,0.0,1.0
2010-01-07,46.2,46.27,45.92,46.17,41.8664,76965005,0.0,1.0
2010-01-08,46.04,46.55,45.93,46.55,42.211,88861888,0.0,1.0
2010-01-11,46.6,46.64,46.12,46.36,42.0387,104484937,0.0,1.0
2010-01-12,46.08,46.14,45.53,45.78,41.5128,90193683,0.0,1.0
2010-01-13,45.93,46.49,45.61,46.35,42.0297,100569335,0.0,1.0
2010-01-14,46.26,46.52,46.22,46.39,42.0659,75102221,0.0,1.0
2010-01-15,46.46,46.55,45.65,45.85,41.5763,126846447,0.0,1.0
2010-01-19,45.96,46.64,45.95,46.59,42.2473,84226343,0.0,1.0
2010-01-20,46.27,46.604,45.43,45.92,41.6397,145524427,0.0,1.0
2010-01-21,46.06,46.35,45.3,45.49,41.2498,204807526,0.0,1.0
2010-01-22,45.34,45.48,44.04,44.16,40.0438,171022861,0.0,1.0
2010-01-25,44.39,44.6,44.12,44.31,40.1798,153886006,0.0,1.0
2010-01-26,44.28,44.89,44.05,44.35,40.2161,140666320,0.0,1.0
2010-01-27,44.29,44.85,44.01,44.7,40.5335,161429416,0.0,1.0
2010-01-28,44.4,44.43,43.32,43.55,39.4907,221174276,0.0,1.0
2010-01-29,43.9,44.02,42.63,42.79,38.8015,212096623,0.0,1.0
2010-02-01,42.91,43.2807,42.88,43.26,39.2277,136769474,0.0,1.0
2010-02-02,43.31,43.78,43.03,43.65,39.5813,110639522,0.0,1.0
2010-02-03,43.45,43.97,43.42,43.89,39.799,92963083,0.0,1.0
2010-02-04,43.58,43.66,42.62,42.62,38.6473,151560074,0.0,1.0
2010-02-05,42.75,43.02,42.12,42.98,38.9738,213577184,0.0,1.0
2010-02-08,42.92,43.18,42.64,42.67,38.6927,94283596,0.0,1.0
2010-02-09,43.17,43.51,42.76,43.11,39.0917,118845025,0.0,1.0
2010-02-10,43.1,43.31,42.75,43.02,39.0101,94033372,0.0,1.0
2010-02-11,43.01,43.79,42.76,43.67,39.5995,92940535,0.0,1.0
2010-02-12,43.27,43.88,43.16,43.76,39.6811,93937792,0.0,1.0
2010-02-16,44.08,44.35,43.85,44.32,40.1889,83806257,0.0,1.0
2010-02-17,44.5,44.57,44.26,44.57,40.4156,82460261,0.0,1.0
2010-02-18,44.54,44.93,44.45,44.85,40.6695,65501752,0.0,1.0
2010-02-19,44.76,45.05,44.62,44.83,40.6513,80381718,0.0,1.0
2010-02-22,45.01,45.03,44.56,44.74,40.5697,71933786,0.0,1.0
2010-02-23,44.69,44.74,43.95,44.16,40.0438,95776951,0.0,1.0
2010-02-24,44.4099,44.79,44.32,44.61,40.4518,86410961,0.0,1.0
2010-02-25,44.11,44.7,43.83,44.6,40.4428,97900606,0.0,1.0
2010-02-26,44.6,44.86,44.4,44.76,40.5879,66210117,0.0,1.0
2010-03-01,44.95,45.49,44.95,45.41,41.1773,77230852,0.0,1.0
2010-03-02,45.54,45.85,45.45,45.55,41.3042,76310736,0.0,1.0
2010-03-03,45.67,45.82,45.43,45.6,41.3496,65684944,0.0,1.0
2010-03-04,45.64,45.81,45.4,45.75,41.4856,54368839,0.0,1.0
2010-03-05,46.1,46.54,45.99,46.44,42.1113,68118326,0.0,1.0
2010-03-08,46.46,46.64,46.44,46.53,42.1929,58646965,0.0,1.0
2010-03-09,46.4,47.05,46.4,46.79,42.4286,97949544,0.0,1.0
