,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,21.51,21.74,21.473,21.56,19.8798,96665,0.0,1.0
2010-01-05,21.62,21.63,21.41,21.54,19.8614,108799,0.0,1.0
2010-01-06,21.56,21.61,21.39,21.44,19.7692,160955,0.0,1.0
2010-01-07,21.41,21.41,21.176,21.26,19.6032,201976,0.0,1.0
2010-01-08,21.28,21.5,21.205,21.49,19.8153,108821,0.0,1.0
2010-01-11,21.62,21.62,21.306,21.46,19.7876,124147,0.0,1.0
2010-01-12,21.34,21.34,20.91,21.04,19.4003,57885,0.0,1.0
2010-01-13,21.26,21.46,20.98,21.396,19.7286,72525,0.0,1.0
2010-01-14,21.36,21.46,21.3,21.44,19.7692,65336,0.0,1.0
2010-01-15,21.43,21.43,20.968,21.062,19.4206,140448,0.0,1.0
2010-01-19,21.01,21.34,21.01,21.32,19.6585,65246,0.0,1.0
2010-01-20,21.14,21.14,20.73,21.04,19.4003,87113,0.0,1.0
2010-01-21,21.14,21.32,20.7999,20.94,19.3081,89189,0.0,1.0
2010-01-22,20.87,20.87,20.084,20.1,18.5336,413486,0.0,1.0
2010-01-25,20.32,20.36,20.126,20.26,18.6811,96100,0.0,1.0
2010-01-26,20.16,20.45,20.1,20.2,18.6258,50088,0.0,1.0
2010-01-27,20.13,20.4,20.02,20.379,18.7909,83429,0.0,1.0
2010-01-28,20.37,20.37,19.6301,19.81,18.2662,558727,0.0,1.0
2010-01-29,19.95,19.95,19.1402,19.24,17.7406,177526,0.0,1.0
2010-02-01,19.28,19.649,19.28,19.649,18.1177,268074,0.0,1.0
2010-02-02,19.64,19.87,19.52,19.74,18.2017,237048,0.0,1.0
2010-02-03,19.7,19.95,19.67,19.92,18.3676,372548,0.0,1.0
2010-02-04,19.75,19.75,19.27,19.27,17.7683,66899,0.0,1.0
2010-02-05,19.27,19.55,19.12,19.55,18.0265,439064,0.0,1.0
2010-02-08,19.58,19.72,19.3735,19.458,17.9416,54547,0.0,1.0
2010-02-09,19.68,19.836,19.49,19.71,18.174,43915,0.0,1.0
2010-02-10,19.69,19.87,19.47,19.74,18.2017,92874,0.0,1.0
2010-02-11,19.73,20.15,19.63,20.11,18.5428,316958,0.0,1.0
2010-02-12,19.88,20.194,19.758,20.09,18.5244,67999,0.0,1.0
2010-02-16,20.22,20.46,20.19,20.45,18.8563,224216,0.0,1.0
2010-02-17,20.49,20.57,20.4,20.55,18.9485,98603,0.0,1.0
2010-02-18,20.55,20.69,20.31,20.68,19.0684,439950,0.0,1.0
2010-02-19,20.66,20.78,20.59,20.7,19.0868,119821,0.0,1.0
2010-02-22,20.79,20.79,20.5799,20.63,19.0223,119162,0.0,1.0
2010-02-23,20.6,20.6,20.145,20.24,18.6627,210886,0.0,1.0
2010-02-24,20.36,20.66,20.36,20.5599,18.9577,89951,0.0,1.0
2010-02-25,20.35,20.51,20.084,20.51,18.9116,181435,0.0,1.0
2010-02-26,20.53,20.56,20.34,20.55,18.9485,163948,0.0,1.0
2010-03-01,20.66,21.01,20.66,20.99,19.3542,250355,0.0,1.0
2010-03-02,21.09,21.2,20.956,21.02,19.3819,397177,0.0,1.0
2010-03-03,21.08,21.1,20.87,20.93,19.2989,154897,0.0,1.0
2010-03-04,20.95,20.97,20.76,20.96,19.3266,227023,0.0,1.0
2010-03-05,21.1,21.31,20.99,21.26,19.6032,294700,0.0,1.0
2010-03-08,21.31,21.38,21.284,21.35,19.6862,254366,0.0,1.0
2010-03-09,21.2,21.52,21.2,21.38,19.7138,199287,0.0,1.0
2010-03-10,21.36,21.65,21.36,21.6001,19.9168,166840,0.0,1.0
2010-03-11,21.58,21.62,21.434,21.62,19.9351,140390,0.0,1.0
2010-03-12,21.67,21.67,21.5081,21.59,19.9075,123500,0.0,1.0
2010-03-15,21.5,21.59,21.38,21.56,19.8798,105144,0.0,1.0
2010-03-16,21.64,21.79,21.53,21.79,20.0919,170584,0.0,1.0
