,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,22.15,22.15,21.5902,21.69,685.0521,88217,0.0,1.0
2010-01-05,21.7,21.95,21.55,21.69,685.0521,61094,0.0,1.0
2010-01-06,21.7,22.11,21.63,22.06,696.7381,119764,0.0,1.0
2010-01-07,22.09,22.4044,22.09,22.26,703.0548,136526,0.0,1.0
2010-01-08,22.33,22.4,21.85,21.8728,690.8256,118530,0.0,1.0
2010-01-11,21.7,22.26,21.68,22.09,697.6856,119234,0.0,1.0
2010-01-12,22.32,22.8,22.3,22.63,714.7408,70057,0.0,1.0
2010-01-13,22.58,22.82,22.05,22.16,699.8965,105814,0.0,1.0
2010-01-14,22.31,22.31,21.72,21.84,689.7896,97179,0.0,1.0
2010-01-15,21.85,22.57,21.74,22.38,706.8449,105697,0.0,1.0
2010-01-19,22.38,22.45,21.73,21.73,686.3154,116079,0.0,1.0
2010-01-20,22.1,22.8,22.1,22.34,705.5815,179044,0.0,1.0
2010-01-21,22.28,22.96,21.94,22.77,719.1626,132167,0.0,1.0
2010-01-22,22.99,24.66,22.9401,24.57,776.0134,271019,0.0,1.0
2010-01-25,24.2,24.44,23.9,24.18,763.6957,182345,0.0,1.0
2010-01-26,24.17,24.44,23.5999,24.2112,764.6811,109407,0.0,1.0
2010-01-27,24.24,24.65,23.79,23.98,757.3789,120396,0.0,1.0
2010-01-28,24.04,25.6,24.02,25.318,799.638,282824,0.0,1.0
2010-01-29,24.89,26.77,24.77,26.4601,835.7098,439254,0.0,1.0
2010-02-01,26.27,26.27,25.64,25.7,811.703,191395,0.0,1.0
2010-02-02,25.57,25.91,25.0901,25.26,797.8062,217585,0.0,1.0
2010-02-03,25.49,25.51,24.8801,25.02,790.2261,112578,0.0,1.0
2010-02-04,25.43,26.44,25.26,26.43,834.7592,220349,0.0,1.0
2010-02-05,26.29,26.78,25.75,25.87,817.0723,252905,0.0,1.0
2010-02-08,25.81,26.12,25.42,26.1,824.3365,191191,0.0,1.0
2010-02-09,25.42,25.94,25.05,25.5,805.3863,268940,0.0,1.0
2010-02-10,25.49,25.96,25.29,25.6485,810.0765,131422,0.0,1.0
2010-02-11,25.82,25.96,24.83,25.01,789.9102,87235,0.0,1.0
2010-02-12,25.47,25.68,24.72,24.87,785.4885,187691,0.0,1.0
2010-02-16,24.41,24.65,24.05,24.12,761.8007,102423,0.0,1.0
2010-02-17,23.83,24.11,23.8,23.9,754.8522,157952,0.0,1.0
2010-02-18,23.9,24.0,23.3874,23.49,741.9029,137582,0.0,1.0
2010-02-19,23.62,23.78,23.35,23.53,743.1662,55722,0.0,1.0
2010-02-22,23.31,23.76,23.31,23.63,746.3246,86152,0.0,1.0
2010-02-23,23.77,24.5358,23.72,24.3,767.4857,245907,0.0,1.0
2010-02-24,24.05,24.05,23.62,23.81,752.0097,49972,0.0,1.0
2010-02-25,24.49,24.79,23.85,23.88,754.2205,196873,0.0,1.0
2010-02-26,23.96,24.15,23.75,23.86,753.5889,65193,0.0,1.0
2010-03-01,23.6,23.64,23.14,23.19,732.4277,154272,0.0,1.0
