,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2013-10-22,24.91,25.33,24.91,25.32,25.0459,226988,0.0,1.0
2013-10-23,25.3,25.3,24.85,24.96,24.6898,84861,0.0,1.0
2013-10-24,25.19,25.19,25.06,25.1399,24.8678,30694,0.0,1.0
2013-10-25,25.25,25.25,24.88,24.97,24.6997,54344,0.0,1.0
2013-10-28,25.15,25.15,24.91,24.96,24.6898,34854,0.0,1.0
2013-10-29,25.1,25.1,24.9638,25.0781,24.8066,29078,0.0,1.0
2013-10-30,25.26,25.26,25.03,25.09,24.8184,95017,0.0,1.0
2013-10-31,25.21,25.31,25.1,25.2,24.9272,36189,0.0,1.0
2013-11-01,25.2,25.2,25.02,25.2,24.9272,13966,0.0,1.0
2013-11-04,25.42,25.42,25.22,25.339,25.0647,13990,0.0,1.0
2013-11-05,25.36,25.36,25.1,25.245,24.9717,21558,0.0,1.0
2013-11-06,25.6,25.6,25.3001,25.373,25.0984,30239,0.0,1.0
2013-11-07,25.53,25.53,24.92,24.94,24.67,27432,0.0,1.0
2013-11-08,25.12,25.29,25.0,25.2405,24.9673,13569,0.0,1.0
2013-11-11,25.3,25.45,25.25,25.43,25.1547,21575,0.0,1.0
2013-11-12,25.55,25.56,25.36,25.45,25.1745,83013,0.0,1.0
2013-11-13,25.63,25.63,25.31,25.56,25.2833,39307,0.0,1.0
2013-11-14,25.75,25.805,25.61,25.74,25.4614,96926,0.0,1.0
2013-11-15,25.99,25.99,25.7605,25.85,25.5702,37290,0.0,1.0
2013-11-18,26.26,26.26,25.85,25.92,25.6394,69216,0.0,1.0
2013-11-19,26.18,26.18,25.75,25.8,25.5207,52595,0.0,1.0
2013-11-20,25.9,25.91,25.37,25.4,25.1251,71238,0.0,1.0
2013-11-21,25.66,25.66,25.5,25.62,25.3427,34687,0.0,1.0
2013-11-22,25.99,25.99,25.66,25.78,25.5009,82149,0.0,1.0
2013-11-25,26.01,26.01,25.71,25.71,25.4317,25097,0.0,1.0
2013-11-26,25.85,25.85,25.704,25.7471,25.4684,27052,0.0,1.0
2013-11-27,25.95,25.95,25.77,25.92,25.6394,23561,0.0,1.0
2013-11-29,26.2,26.2,26.0,26.0,25.7186,11815,0.0,1.0
2013-12-02,26.18,26.18,25.8101,25.85,25.5702,23279,0.0,1.0
2013-12-03,25.91,26.25,25.651,25.7399,25.4613,31829,0.0,1.0
2013-12-04,25.73,25.73,25.46,25.67,25.3921,29452,0.0,1.0
2013-12-05,25.73,25.73,25.52,25.57,25.2932,39185,0.0,1.0
2013-12-06,26.0,26.0,25.8022,25.9,25.6196,28975,0.0,1.0
2013-12-09,26.32,26.35,25.8412,25.889,25.6088,34335,0.0,1.0
2013-12-10,25.97,25.97,25.89,25.92,25.6394,27488,0.0,1.0
2013-12-11,26.0,26.0,25.6,25.6,25.3229,24795,0.0,1.0
2013-12-12,25.65,25.65,25.53,25.599,25.3219,12038,0.0,1.0
2013-12-13,26.0,26.0,25.51,25.63,25.3526,23003,0.0,1.0
2013-12-16,25.86,25.86,25.75,25.81,25.5306,26764,0.0,1.0
2013-12-17,26.06,26.06,25.84,25.88,25.5999,36164,0.0,1.0
2013-12-18,26.23,26.36,25.95,26.29,26.0054,92214,0.0,1.0
2013-12-19,27.14,27.14,26.06,26.08,25.7977,53671,0.0,1.0
2013-12-20,26.4,27.23,26.32,26.46,26.1736,74661,0.0,1.0
2013-12-23,26.9,26.9,26.59,26.75,26.4604,81075,0.0,1.0
2013-12-24,26.85,26.85,26.75,26.76,26.4703,60851,0.0,1.0
2013-12-26,27.34,27.34,26.9418,27.01,26.7176,76628,0.0,1.0
2013-12-27,27.36,27.36,27.14,27.18,26.8858,123102,0.0,1.0
2013-12-30,27.29,27.32,27.1,27.28,26.9847,123233,0.0,1.0
2013-12-31,27.49,27.49,27.3,27.36,27.0638,115787,0.0,1.0
2014-01-02,27.76,27.76,26.95,27.0,26.7077,244309,0.0,1.0
2014-01-03,27.1,27.19,26.9501,26.99,26.6978,59180,0.0,1.0
2014-01-06,27.27,27.31,26.9,26.94,26.6484,63486,0.0,1.0
2014-01-07,27.07,27.29,26.9804,27.03,26.7374,39359,0.0,1.0
2014-01-08,27.23,27.23,27.09,27.18,26.8858,192946,0.0,1.0
2014-01-09,27.4,27.43,27.1,27.24,26.9451,205423,0.0,1.0
2014-01-10,27.37,27.457,27.27,27.45,27.1529,79306,0.0,1.0
2014-01-13,27.47,27.47,27.1172,27.15,26.8561,135849,0.0,1.0
2014-01-14,27.15,27.44,27.15,27.44,27.143,62640,0.0,1.0
2014-01-15,27.61,27.6399,27.486,27.61,27.3111,146656,0.0,1.0
2014-01-16,27.69,27.69,27.5,27.58,27.2815,54213,0.0,1.0
2014-01-17,27.58,27.655,27.49,27.52,27.2221,241012,0.0,1.0
2014-01-21,27.77,27.77,27.45,27.59,27.2914,85908,0.0,1.0
2014-01-22,27.7,27.75,27.62,27.69,27.3903,96492,0.0,1.0
2014-01-23,27.69,27.69,27.31,27.41,27.1133,76232,0.0,1.0
2014-01-24,27.26,27.26,26.68,26.7,26.411,88113,0.0,1.0
