,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,53.85,54.84,53.74,54.615,13.4887,441886,0.0,1.0
2010-01-05,54.63,54.93,53.86,54.56,13.4751,175165,0.0,1.0
2010-01-06,54.52,54.74,53.44,53.7,13.2627,138488,0.0,1.0
2010-01-07,53.54,53.67,52.76,53.24,13.1491,111571,0.0,1.0
2010-01-08,52.92,54.09,52.71,54.04,13.3467,90703,0.0,1.0
2010-01-11,54.28,54.54,53.05,53.56,13.2281,135062,0.0,1.0
2010-01-12,52.96,52.99,51.72,52.3,12.9169,132734,0.0,1.0
2010-01-13,52.51,53.53,51.6901,53.23,13.1466,106949,0.0,1.0
2010-01-14,53.38,54.33,53.15,54.05,13.3491,134656,0.0,1.0
2010-01-15,54.03,54.33,52.29,52.63,12.9984,145417,0.0,1.0
2010-01-19,52.49,54.2199,52.47,54.17,13.3788,161726,0.0,1.0
2010-01-20,53.27,53.34,51.5,52.75,13.0281,185786,0.0,1.0
2010-01-21,52.87,53.563,51.14,51.57,12.7366,220473,0.0,1.0
2010-01-22,51.19,51.24,47.33,47.62,11.7611,420253,0.0,1.0
2010-01-25,48.17,48.9,47.7849,48.27,11.9216,394746,0.0,1.0
2010-01-26,48.13,49.5244,47.72,48.23,11.9117,185970,0.0,1.0
2010-01-27,48.05,49.09,47.3,48.8,12.0525,144896,0.0,1.0
2010-01-28,48.68,48.72,45.3515,45.99,11.3585,372612,0.0,1.0
2010-01-29,46.96,46.99,43.33,43.9,10.8423,432320,0.0,1.0
2010-02-01,44.2,45.24,44.16,45.21,11.1658,150468,0.0,1.0
2010-02-02,45.39,46.16,44.75,46.01,11.3634,127886,0.0,1.0
2010-02-03,45.6,46.6154,45.46,46.35,11.4474,162048,0.0,1.0
2010-02-04,45.8,45.91,43.66,43.77,10.8102,240055,0.0,1.0
2010-02-05,43.96,44.8299,43.1,44.64,11.0251,208395,0.0,1.0
2010-02-08,44.69,45.38,44.19,44.1999,10.9164,140107,0.0,1.0
2010-02-09,45.39,45.9998,44.56,45.19,11.1609,189814,0.0,1.0
2010-02-10,45.22,45.59,44.36,44.99,11.1115,96442,0.0,1.0
2010-02-11,45.0,46.41,44.44,46.11,11.3881,123650,0.0,1.0
2010-02-12,45.24,46.536,44.9,46.38,11.4548,126047,0.0,1.0
2010-02-16,47.05,47.86,46.75,47.74,11.7907,120887,0.0,1.0
2010-02-17,48.27,48.32,47.73,48.16,11.8944,147268,0.0,1.0
2010-02-18,48.09,49.17,47.88,49.06,12.1167,132976,0.0,1.0
2010-02-19,48.81,49.2299,48.37,48.84,12.0624,92271,0.0,1.0
2010-02-22,49.34,49.34,48.4,48.6,12.0031,136059,0.0,1.0
2010-02-23,48.46,48.47,46.7885,47.22,11.6623,114408,0.0,1.0
2010-02-24,47.66,48.58,47.66,48.2,11.9043,51379,0.0,1.0
2010-02-25,47.0,48.18,46.24,48.0,11.8549,75237,0.0,1.0
2010-02-26,48.11,48.41,47.49,48.17,11.8969,75799,0.0,1.0
2010-03-01,48.68,49.5626,48.5,49.42,12.2056,75232,0.0,1.0
2010-03-02,49.9,50.2899,49.12,49.35,12.1883,127914,0.0,1.0
2010-03-03,49.73,49.9592,49.17,49.37,12.1933,75345,0.0,1.0
2010-03-04,49.65,49.93,48.81,49.89,12.3217,75201,0.0,1.0
2010-03-05,50.44,51.3194,50.2999,51.07,12.6131,136123,0.0,1.0
2010-03-08,51.19,51.55,51.15,51.36,12.6848,114373,0.0,1.0
2010-03-09,51.0,52.4199,51.0,51.67,12.7613,121416,0.0,1.0
2010-03-10,51.8,52.6881,51.77,52.5103,12.9689,109294,0.0,1.0
2010-03-11,52.37,52.86,52.0,52.82,13.0453,63763,0.0,1.0
2010-03-12,53.17,53.31,52.48,52.9,13.0651,78599,0.0,1.0
2010-03-15,52.55,52.63,51.72,52.55,12.9787,98501,0.0,1.0
2010-03-16,52.92,53.49,52.4501,53.4,13.1886,60602,0.0,1.0
2010-03-17,53.43,54.5,53.43,53.8,13.2874,125694,0.0,1.0
2010-03-18,53.84,54.13,53.58,53.95,13.3244,77373,0.0,1.0
2010-03-19,54.12,54.1381,52.582,53.04,13.0997,141913,0.0,1.0
2010-03-22,52.62,54.27,52.201,53.87,13.3047,119766,0.0,1.0
