,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,46.18,46.427,46.14,46.27,42.3094,8357,0.0,1.0
2010-01-05,46.32,46.45,46.2,46.39,42.4191,17406,0.0,1.0
2010-01-06,46.36,46.52,46.2499,46.2699,42.3093,5521,0.0,1.0
2010-01-07,46.22,46.22,45.837,46.1,42.154,9496,0.0,1.0
2010-01-08,45.96,46.44,45.9501,46.44,42.4649,8082,0.0,1.0
2010-01-11,46.53,46.53,46.094,46.26,42.3003,15208,0.0,1.0
2010-01-12,45.93,45.942,45.26,45.47,41.5779,29088,0.0,1.0
2010-01-13,45.62,46.17,45.21,46.11,42.1631,12607,0.0,1.0
2010-01-14,45.95,46.194,45.9,46.17,42.218,12154,0.0,1.0
2010-01-15,46.13,46.13,45.113,45.29,41.4133,14589,0.0,1.0
2010-01-19,45.39,46.01,45.39,46.01,42.0717,8845,0.0,1.0
2010-01-20,45.57,45.57,44.92,45.44,41.5505,14728,0.0,1.0
2010-01-21,45.16,45.313,45.0,45.18,41.3127,5831,0.0,1.0
2010-01-22,44.93,44.97,43.38,43.39,39.6759,40112,0.0,1.0
2010-01-25,43.63,43.8598,43.4595,43.65,39.9137,18522,0.0,1.0
2010-01-26,43.64,44.0725,43.64,43.76,40.0143,3673,0.0,1.0
2010-01-27,43.5,43.94,43.47,43.94,40.1789,8215,0.0,1.0
2010-01-28,43.9,43.9,42.5,42.82,39.1547,13416,0.0,1.0
2010-01-29,42.9601,42.9601,41.76,41.86,38.2769,16126,0.0,1.0
2010-02-01,42.14,42.82,42.14,42.82,39.1547,5614,0.0,1.0
2010-02-02,42.9725,43.35,42.77,43.35,39.6394,38181,0.0,1.0
2010-02-03,43.03,43.35,43.03,43.35,39.6394,4760,0.0,1.0
2010-02-04,43.0,43.0,41.95,41.96,38.3683,5551,0.0,1.0
2010-02-05,41.95,42.2,41.36,42.2,38.5878,16688,0.0,1.0
2010-02-08,42.16,42.6006,42.13,42.184,38.5732,3721,0.0,1.0
2010-02-09,42.54,42.7,42.18,42.44,38.8072,8918,0.0,1.0
2010-02-10,42.42,42.56,42.15,42.4,38.7707,4161,0.0,1.0
2010-02-11,42.36,43.083,42.18,43.02,39.3376,3487,0.0,1.0
2010-02-12,42.59,43.2355,42.44,43.04,39.3559,6247,0.0,1.0
2010-02-16,43.43,43.879,43.41,43.8,40.0508,8914,0.0,1.0
2010-02-17,44.0395,44.04,43.85,44.03,40.2611,6817,0.0,1.0
2010-02-18,43.8699,44.29,43.8699,44.25,40.4623,18346,0.0,1.0
2010-02-19,44.25,44.5799,44.09,44.469,40.6626,3637,0.0,1.0
2010-02-22,44.55,44.55,44.2324,44.234,40.4477,4052,0.0,1.0
2010-02-23,44.13,44.13,43.4015,43.619,39.8853,4828,0.0,1.0
2010-02-24,43.81,44.3076,43.81,44.071,40.2986,3671,0.0,1.0
2010-02-25,43.5,44.07,43.2,44.07,40.2977,8231,0.0,1.0
2010-02-26,43.74,44.19,43.71,44.11,40.3343,25482,0.0,1.0
2010-03-01,44.23,45.07,44.23,45.07,41.2121,7283,0.0,1.0
2010-03-02,45.27,45.3372,44.98,45.05,41.1938,26726,0.0,1.0
2010-03-03,45.3,45.536,45.1375,45.216,41.3456,8333,0.0,1.0
2010-03-04,45.08,45.1948,44.85,45.1948,41.3262,3889,0.0,1.0
2010-03-05,45.6,46.08,45.5599,46.03,42.09,9294,0.0,1.0
2010-03-08,46.16,46.214,46.114,46.16,42.2088,3249,0.0,1.0
2010-03-09,45.97,46.598,45.97,46.3585,42.3903,148249,0.0,1.0
2010-03-10,46.64,46.9275,46.64,46.76,42.7575,2644,0.0,1.0
2010-03-11,46.71,46.81,46.573,46.79,42.7849,10172,0.0,1.0
2010-03-12,47.06,47.06,46.77,46.84,42.8306,308105,0.0,1.0
2010-03-15,46.85,46.85,46.47,46.73,42.73,18654,0.0,1.0
2010-03-16,46.831,47.16,46.76,47.1599,43.1231,32894,0.0,1.0
2010-03-17,47.33,47.849,47.33,47.65,43.5713,19378,0.0,1.0
2010-03-18,47.65,47.65,47.65,47.65,43.5713,6200,0.0,1.0
2010-03-19,47.65,47.65,46.791,46.94,42.9614,18130,0.043,1.0
2010-03-22,46.7,47.56,46.7,47.56,43.5288,4015,0.0,1.0
2010-03-23,47.65,48.08,47.6002,48.08,44.0047,22342,0.0,1.0
2010-03-24,48.01,48.01,47.45,47.47,43.4465,10822,0.0,1.0
2010-03-25,47.92,48.079,47.33,47.33,43.3183,124473,0.0,1.0
2010-03-26,47.44,47.64,47.02,47.32,43.3092,12051,0.0,1.0
2010-03-29,47.58,47.58,47.314,47.4,43.3824,28084,0.0,1.0
2010-03-30,47.51,47.7097,47.2,47.63,43.5929,5478,0.0,1.0
2010-03-31,47.37,47.65,47.282,47.37,43.3549,16784,0.0,1.0
2010-04-01,47.83,47.97,47.13,47.326,43.3147,36912,0.0,1.0
2010-04-05,47.59,48.25,47.49,48.2185,44.1315,16129,0.0,1.0
2010-04-06,47.9775,48.4114,47.9775,48.2999,44.206,5353,0.0,1.0
2010-04-07,48.26,48.37,47.926,48.03,43.959,5834,0.0,1.0
2010-04-08,48.02,48.02,47.517,47.95,43.8858,3308,0.0,1.0
2010-04-09,48.04,48.39,47.97,48.37,44.2702,6399,0.0,1.0
2010-04-12,48.34,48.7602,48.34,48.58,44.4624,6023,0.0,1.0
2010-04-13,48.45,48.73,48.45,48.71,44.5813,16774,0.0,1.0
2010-04-14,48.98,49.88,48.98,49.86,45.6339,401574,0.0,1.0
2010-04-15,49.85,50.0899,49.72,49.99,45.7529,10428,0.0,1.0
2010-04-16,49.75,49.85,49.0,49.34,45.158,19734,0.0,1.0
2010-04-19,49.3,49.31,48.471,49.11,44.9474,23908,0.0,1.0
2010-04-20,49.24,49.76,49.21,49.739,45.5231,33980,0.0,1.0
2010-04-21,49.93,49.988,49.32,49.692,45.4801,45039,0.0,1.0
2010-04-22,48.9148,50.16,48.8235,50.09,45.8444,39566,0.0,1.0
2010-04-23,50.1,50.47,49.93,50.47,46.1922,4615,0.0,1.0
2010-04-26,50.47,50.669,50.33,50.44,46.1647,11783,0.0,1.0
2010-04-27,50.29,50.48,49.15,49.209,45.0381,18229,0.0,1.0
2010-04-28,49.47,49.55,48.94,49.39,45.2037,11349,0.0,1.0
2010-04-29,49.63,50.08,49.546,50.08,45.8352,16173,0.0,1.0
2010-04-30,49.83,49.83,48.41,48.41,44.3068,12271,0.0,1.0
2010-05-03,48.9,49.43,48.75,49.27,45.0939,5436,0.0,1.0
2010-05-04,48.45,48.45,47.31,47.8,43.7485,30570,0.0,1.0
2010-05-05,47.29,47.98,46.96,47.48,43.4556,63093,0.0,1.0
2010-05-06,47.1701,47.399,42.0,45.91,42.0187,24400,0.0,1.0
2010-05-07,45.5,45.9,44.04,44.85,41.0485,39889,0.0,1.0
2010-05-10,46.88,47.226,46.79,47.22,43.2176,14849,0.0,1.0
2010-05-11,46.8,47.79,46.72,47.3101,43.3001,12261,0.0,1.0
2010-05-12,47.29,48.11,47.29,48.11,44.0322,13452,0.0,1.0
2010-05-13,47.93,48.47,47.39,47.49,43.4648,27348,0.0,1.0
2010-05-14,47.01,47.01,45.794,46.25,42.3299,40352,0.0,1.0
2010-05-17,46.35,46.6116,45.56,46.6115,42.6607,22989,0.0,1.0
2010-05-18,46.799,46.8,45.45,45.76,41.8814,52263,0.0,1.0
2010-05-19,45.69,45.712,44.89,45.48,41.6251,18570,0.0,1.0
2010-05-20,44.55,44.73,43.664,43.81,40.0967,138874,0.0,1.0
2010-05-21,43.05,45.0,42.871,44.68,40.8929,53802,0.0,1.0
2010-05-24,44.3,44.8525,44.24,44.24,40.4902,13033,0.0,1.0
2010-05-25,43.11,44.22,42.69,44.22,40.4719,58840,0.0,1.0
2010-05-26,44.52,45.2199,44.07,44.14,40.3987,28001,0.0,1.0
2010-05-27,45.24,45.93,45.08,45.93,42.037,267533,0.0,1.0
2010-05-28,45.76,45.796,45.0,45.52,41.6617,64809,0.0,1.0
2010-06-01,45.06,45.547,44.3,44.34,40.5817,54481,0.0,1.0
2010-06-02,44.55,45.46,44.34,45.46,41.6068,23262,0.0,1.0
2010-06-03,45.47,46.26,45.47,46.2,42.2841,30994,0.0,1.0
2010-06-04,45.36,45.6846,44.164,44.29,40.536,16546,0.0,1.0
2010-06-07,44.5,44.6,43.19,43.25,39.5841,7130,0.0,1.0
2010-06-08,43.3,43.3,42.52,43.27,39.6024,20353,0.0,1.0
2010-06-09,43.48,44.22,43.04,43.04,39.3919,11528,0.0,1.0
2010-06-10,44.112,44.509,43.88,44.504,40.7318,9496,0.0,1.0
2010-06-11,44.29,45.07,44.18,45.07,41.2499,6587,0.0,1.0
2010-06-14,45.6,45.71,45.02,45.02,41.2041,10019,0.0,1.0
2010-06-15,45.17,46.68,45.17,46.679,42.7225,43130,0.0,1.0
2010-06-16,46.41,46.859,46.189,46.578,42.6301,15950,0.0,1.0
2010-06-17,46.85,46.85,46.3,46.83,42.8607,7462,0.0,1.0
2010-06-18,46.94,46.9703,46.63,46.7575,42.8216,4540,0.0298,1.0
2010-06-21,47.24,47.28,46.19,46.42,42.5125,35270,0.0,1.0
2010-06-22,46.47,47.28,45.6501,45.7599,41.908,57731,0.0,1.0
2010-06-23,45.53,46.03,45.27,45.73,41.8806,21235,0.0,1.0
2010-06-24,45.55,45.55,44.559,44.62,40.8641,59596,0.0,1.0
2010-06-25,44.48,44.9,44.1172,44.73,40.9648,11074,0.0,1.0
2010-06-28,44.83,45.122,44.47,44.71,40.9465,17830,0.0,1.0
2010-06-29,43.98,43.98,42.58,42.8801,39.2706,24388,0.0,1.0
2010-06-30,42.82,43.02,42.158,42.17,38.6203,23033,0.0,1.0
2010-07-01,42.21,42.36,41.25,42.19,38.6386,107827,0.0,1.0
2010-07-02,42.15,42.3,41.602,41.9,38.373,9628,0.0,1.0
2010-07-06,42.52,42.9651,41.87,42.06,38.5196,20227,0.0,1.0
2010-07-07,42.04,43.71,42.04,43.7,40.0215,10935,0.0,1.0
2010-07-08,44.33,44.33,43.46,43.93,40.2321,9041,0.0,1.0
2010-07-09,44.01,44.289,43.99,44.285,40.5573,2830,0.0,1.0
2010-07-12,44.17,44.6801,44.121,44.46,40.7175,5157,0.0,1.0
2010-07-13,44.9,45.529,44.9,45.39,41.5692,18097,0.0,1.0
2010-07-14,45.49,45.92,45.391,45.57,41.7341,12150,0.0,1.0
2010-07-15,45.46,45.6201,45.0,45.6201,41.78,4332,0.0,1.0
2010-07-16,45.3,45.3,44.13,44.25,40.5252,16045,0.0,1.0
2010-07-19,44.61,44.82,44.35,44.7,40.9373,31064,0.0,1.0
2010-07-20,44.0,45.23,43.9,45.22,41.4136,31047,0.0,1.0
2010-07-21,45.57,45.57,44.31,44.41,40.6717,9420,0.0,1.0
2010-07-22,45.1604,45.7514,45.1604,45.532,41.6993,18076,0.0,1.0
2010-07-23,45.47,46.12,45.23,46.09,42.2103,6780,0.0,1.0
2010-07-26,46.17,46.59,46.05,46.59,42.6682,7909,0.0,1.0
2010-07-27,46.87,46.87,46.24,46.3601,42.4577,10185,0.0,1.0
2010-07-28,46.22,46.3623,45.77,45.84,41.9814,14784,0.0,1.0
2010-07-29,46.07,46.07,44.87,45.45,41.6242,8262,0.0,1.0
2010-07-30,44.86,45.12,44.55,45.058,41.2652,14183,0.0,1.0
2010-08-02,45.65,45.9614,45.65,45.9088,42.0444,5032,0.0,1.0
2010-08-03,45.73,45.76,45.52,45.589,41.7515,20559,0.0,1.0
2010-08-04,45.86,46.2199,45.482,46.189,42.301,48462,0.0,1.0
2010-08-05,45.98,46.01,45.658,45.899,42.0354,6402,0.0,1.0
2010-08-06,45.55,45.85,45.23,45.78,41.9264,10564,0.0,1.0
2010-08-09,45.82,46.0852,45.82,46.0852,42.2059,2919,0.0,1.0
2010-08-10,45.38,45.65,45.04,45.36,41.5418,692741,0.0,1.0
2010-08-11,44.46,44.5,43.84,44.02,40.3146,12463,0.0,1.0
2010-08-12,43.19,43.35,42.72,43.26,39.6185,42049,0.0,1.0
2010-08-13,43.05,43.394,43.05,43.095,39.4674,37070,0.0,1.0
2010-08-16,42.8372,43.392,42.8372,43.13,39.4995,4903,0.0,1.0
2010-08-17,43.64,44.1,43.64,43.77,40.0856,36955,0.0,1.0
2010-08-18,43.66,44.21,43.5992,44.05,40.342,5397,0.0,1.0
2010-08-19,44.1,44.16,43.654,43.98,40.2779,2724,0.0,1.0
2010-08-20,43.79,44.08,43.721,44.04,40.3329,8459,0.0,1.0
2010-08-23,43.9892,43.9892,43.6,43.6,39.9299,13621,0.0,1.0
2010-08-24,42.97,43.2388,42.78,42.93,39.3163,48903,0.0,1.0
2010-08-25,42.58,43.357,41.88,43.18,39.5453,17565,0.0,1.0
2010-08-26,43.55,43.55,42.79,42.87,39.2614,20980,0.0,1.0
2010-08-27,43.19,43.69,42.5,43.64,39.9666,10458,0.0,1.0
2010-08-30,43.52,43.61,42.9,42.9,39.2888,8356,0.0,1.0
2010-08-31,42.5,42.896,42.39,42.55,38.9683,4428,0.0,1.0
2010-09-01,43.405,44.018,43.38,43.91,40.2138,6192,0.0,1.0
2010-09-02,44.3692,44.68,44.31,44.666,40.9062,13576,0.0,1.0
2010-09-03,45.09,45.5,44.87,45.3344,41.5183,13297,0.0,1.0
2010-09-07,45.1,45.1,44.786,44.866,41.0894,11057,0.0,1.0
2010-09-08,44.85,45.192,44.82,45.1164,41.3187,7659,0.0,1.0
2010-09-09,45.49,45.5,44.996,45.11,41.3128,4418,0.0,1.0
2010-09-10,45.08,45.25,44.754,45.05,41.2579,23333,0.0,1.0
2010-09-13,45.72,46.0276,45.72,45.9512,42.0832,758,0.0,1.0
2010-09-14,46.4216,46.647,46.31,46.413,42.5061,6037,0.0,1.0
2010-09-15,46.21,46.48,46.1222,46.48,42.5675,4478,0.0,1.0
2010-09-16,46.5,46.7895,46.4,46.7895,42.8509,5827,0.0,1.0
2010-09-17,47.09,47.09,46.36,46.871,42.9591,7751,0.0366,1.0
2010-09-20,47.28,47.71,47.19,47.63,43.6548,3728,0.0,1.0
2010-09-21,47.5199,47.85,47.311,47.48,43.5173,26557,0.0,1.0
2010-09-22,47.28,47.35,46.69,46.78,42.8757,15321,0.0,1.0
2010-09-23,46.51,47.352,46.51,46.87,42.9582,9787,0.0,1.0
2010-09-24,47.5,48.1892,47.5,48.1892,44.1673,2622,0.0,1.0
2010-09-27,48.0969,48.42,48.06,48.06,44.0489,3753,0.0,1.0
2010-09-28,48.21,48.43,47.48,48.43,44.388,17876,0.0,1.0
2010-09-29,48.54,48.684,48.4,48.55,44.498,4804,0.0,1.0
2010-09-30,48.81,49.17,48.025,48.34,44.3055,7484,0.0,1.0
2010-10-01,48.67,48.7,48.072,48.2,44.1772,8044,0.0,1.0
2010-10-04,48.07,48.109,47.32,47.65,43.6731,9228,0.0,1.0
2010-10-05,48.23,48.89,48.23,48.89,44.8096,11872,0.0,1.0
2010-10-06,48.75,48.75,47.66,47.73,43.7464,3947,0.0,1.0
2010-10-07,48.04,48.08,47.88,48.052,44.0415,1989,0.0,1.0
2010-10-08,47.8296,48.406,47.8296,48.406,44.366,2912,0.0,1.0
2010-10-11,48.41,48.7852,48.41,48.423,44.3816,8641,0.0,1.0
2010-10-12,48.35,48.93,48.16,48.88,44.8004,9835,0.0,1.0
2010-10-13,49.04,49.3673,49.04,49.2736,45.1612,2879,0.0,1.0
2010-10-14,49.31,49.394,48.97,49.046,44.9526,6538,0.0,1.0
2010-10-15,49.52,49.52,49.22,49.4864,45.3562,1361,0.0,1.0
2010-10-18,49.51,49.557,49.307,49.548,45.4127,4333,0.0,1.0
2010-10-19,48.94,49.35,48.55,48.67,44.608,6116,0.0,1.0
2010-10-20,49.09,49.466,48.85,49.275,45.1625,13840,0.0,1.0
2010-10-21,49.49,49.68,48.85,49.256,45.1451,20277,0.0,1.0
2010-10-22,49.59,49.936,49.55,49.86,45.6986,2819,0.0,1.0
2010-10-25,50.1,50.53,50.07,50.34,46.1386,43788,0.0,1.0
2010-10-26,50.01,50.12,49.6014,50.06,45.882,5061,0.0,1.0
2010-10-27,49.79,50.19,49.79,50.19,46.0011,11808,0.0,1.0
2010-10-28,50.51,50.51,50.0896,50.33,46.1294,2247,0.0,1.0
