,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,23.28,23.33,22.91,23.05,9.9123,8185000,0.0,1.0
2010-01-05,22.96,24.0,22.89,23.59,10.1445,15029400,0.0,1.0
2010-01-06,23.48,23.62,23.26,23.42,10.0714,7104800,0.0,1.0
2010-01-07,23.28,23.53,23.19,23.36,10.0456,5128000,0.0,1.0
2010-01-08,23.2,23.6,23.19,23.28,10.0112,5137400,0.0,1.0
2010-01-11,23.37,23.37,22.87,23.21,9.9811,5693500,0.0,1.0
2010-01-12,22.9,23.19,22.5,22.82,9.8134,7714800,0.0,1.0
2010-01-13,22.9,23.5,22.77,23.375,10.0521,7549200,0.0,1.0
2010-01-14,23.24,23.6,23.21,23.55,10.1273,7758700,0.0,1.0
2010-01-15,23.73,23.75,22.91,23.27,10.0069,10931300,0.0,1.0
2010-01-19,23.4,23.8,23.16,23.58,10.1402,9454100,0.0,1.0
2010-01-20,23.74,23.8,22.85,23.29,10.0155,16975200,0.0,1.0
2010-01-21,24.115,24.45,23.33,23.676,10.1815,26835400,0.0,1.0
2010-01-22,23.63,23.83,22.85,22.91,9.8521,12278800,0.0,1.0
2010-01-25,23.0,23.06,22.27,22.4,9.6328,12336900,0.0,1.0
2010-01-26,22.21,22.74,22.17,22.54,9.693,11246300,0.0,1.0
2010-01-27,22.54,22.5699,22.13,22.41,9.6371,10600100,0.0,1.0
2010-01-28,22.5,22.63,21.86,22.08,9.4952,14365200,0.0,1.0
2010-01-29,22.12,22.53,21.75,21.79,9.3705,9370900,0.0,1.0
2010-02-01,21.99,22.27,21.77,22.23,9.5597,6749400,0.0,1.0
2010-02-02,21.98,22.49,21.91,22.45,9.6543,7668100,0.0,1.0
2010-02-03,22.39,22.49,22.1,22.43,9.6457,7469300,0.0,1.0
2010-02-04,22.26,22.39,21.79,21.81,9.3791,9771200,0.0,1.0
2010-02-05,21.79,22.035,21.26,21.7,9.3318,11034900,0.0,1.0
2010-02-08,21.66,22.15,21.41,21.91,9.4221,7994300,0.0,1.0
2010-02-09,22.15,22.3,21.655,22.19,9.5425,10408100,0.0,1.0
