,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-07-06,20.2,20.31,20.06,20.29,19.8705,339024,0.0,1.0
2011-07-07,20.52,20.58,20.4015,20.51,20.086,730368,0.0,1.0
2011-07-08,20.31,20.42,20.17,20.42,19.9978,778906,0.0,1.0
2011-07-11,20.32,20.32,19.84,19.91,19.4984,317246,0.0,1.0
2011-07-12,19.98,19.98,19.65,19.69,19.2829,233854,0.0,1.0
2011-07-13,19.9,20.05,19.75,19.84,19.4298,332844,0.0,1.0
2011-07-14,19.96,19.96,19.38,19.45,19.0479,173052,0.0,1.0
2011-07-15,19.78,19.78,19.45,19.62,19.2144,156077,0.0,1.0
2011-07-18,19.63,19.63,19.26,19.4095,19.0082,211967,0.0,1.0
2011-07-19,19.64,20.04,19.64,20.04,19.6257,274984,0.0,1.0
2011-07-20,20.14,20.14,19.58,19.61,19.2046,240758,0.0,1.0
2011-07-21,19.64,19.66,19.36,19.4,18.9989,185416,0.0,1.0
2011-07-22,19.51,19.81,19.47,19.75,19.3417,153695,0.0,1.0
2011-07-25,19.68,19.73,19.5015,19.5815,19.1767,96480,0.0,1.0
2011-07-26,19.66,19.72,19.46,19.69,19.2829,118257,0.0,1.0
2011-07-27,19.52,19.52,18.93,18.9801,18.5877,216682,0.0,1.0
2011-07-28,18.91,19.19,18.86,18.98,18.5876,158703,0.0,1.0
2011-07-29,18.75,19.07,18.6,18.86,18.4701,163074,0.0,1.0
2011-08-01,19.25,19.25,18.51,18.75,18.3624,122114,0.0,1.0
2011-08-02,18.7,18.78,18.2,18.2082,17.8318,145283,0.0,1.0
2011-08-03,18.4,18.53,17.92,18.52,18.1371,220240,0.0,1.0
2011-08-04,18.35,18.35,17.5906,17.5906,17.2269,179485,0.0,1.0
2011-08-05,17.98,17.98,16.81,17.38,17.0207,199640,0.0,1.0
2011-08-08,16.65,16.9,16.1199,16.15,15.8161,138292,0.0,1.0
2011-08-09,16.47,17.0,15.98,16.95,16.5996,231963,0.0,1.0
2011-08-10,16.72,16.9,16.37,16.38,16.0414,60677,0.0,1.0
2011-08-11,16.38,17.28,16.38,17.1,16.7465,110038,0.0,1.0
2011-08-12,17.34,17.421,17.11,17.34,16.9815,48374,0.0,1.0
2011-08-15,17.36,17.62,17.324,17.6,17.2361,71385,0.0,1.0
2011-08-16,17.53,17.53,17.0882,17.24,16.8836,74947,0.0,1.0
2011-08-17,17.39,17.39,16.7,16.89,16.5408,65517,0.0,1.0
2011-08-18,16.19,16.19,15.42,15.56,15.2383,127617,0.0,1.0
2011-08-19,15.4,15.7682,15.01,15.158,14.8446,93920,0.0,1.0
2011-08-22,15.28,15.6,15.2,15.2768,14.961,30788,0.0,1.0
2011-08-23,15.47,16.05,15.3,16.03,15.6986,45323,0.0,1.0
2011-08-24,16.15,16.187,15.7945,16.11,15.7769,53828,0.0,1.0
2011-08-25,16.25,16.25,15.693,15.72,15.395,42040,0.0,1.0
2011-08-26,15.68,16.31,15.59,16.26,15.9238,47505,0.0,1.0
2011-08-29,16.5,16.87,16.46,16.86,16.5114,80475,0.0,1.0
2011-08-30,16.82,17.08,16.6601,17.0,16.6485,37186,0.0,1.0
2011-08-31,17.11,17.39,16.98,17.0745,16.7215,61105,0.0,1.0
2011-09-01,17.06,17.2636,16.81,16.8223,16.4745,69961,0.0,1.0
2011-09-02,16.56,16.56,16.1945,16.3614,16.0231,40505,0.0,1.0
2011-09-06,15.97,16.24,15.79,16.24,15.9042,39621,0.0,1.0
2011-09-07,16.57,16.78,16.4678,16.78,16.4331,20557,0.0,1.0
2011-09-08,16.68,16.85,16.5666,16.62,16.2764,17656,0.0,1.0
2011-09-09,16.52,16.54,16.04,16.17,15.8357,38388,0.0,1.0
2011-09-12,16.07,16.439,15.88,16.438,16.0982,35890,0.0,1.0
2011-09-13,16.54,16.7199,16.4,16.7,16.3547,18042,0.0,1.0
2011-09-14,16.89,17.2,16.6,16.99,16.6387,74769,0.0,1.0
2011-09-15,17.15,17.1855,16.943,17.18,16.8248,46626,0.0,1.0
2011-09-16,17.32,17.32,17.0748,17.1801,16.8249,100057,0.0,1.0
2011-09-19,16.9,17.1399,16.7245,17.06,16.7073,23579,0.0,1.0
2011-09-20,17.16,17.17,16.72,16.72,16.3743,65660,0.0,1.0
2011-09-21,16.85,17.0,16.53,16.53,16.1882,23681,0.0,1.0
2011-09-22,16.0,16.2027,15.7,15.95,15.6202,154795,0.0,1.0
2011-09-23,15.8,16.21,15.8,16.19,15.8553,28042,0.0,1.0
2011-09-26,16.1,16.5,16.0,16.5,16.1589,117808,0.0,1.0
2011-09-27,16.87,17.0491,16.66,16.73,16.3841,66560,0.0,1.0
2011-09-28,16.71,16.85,16.39,16.4308,16.0911,28903,0.0,1.0
2011-09-29,16.76,16.76,15.96,16.29,15.9532,39622,0.0,1.0
2011-09-30,16.14,16.26,15.94,15.94,15.6104,24354,0.0,1.0
2011-10-03,15.76,15.9445,15.42,15.42,15.1012,98752,0.0,1.0
2011-10-04,15.19,15.92,15.19,15.92,15.5909,80108,0.0,1.0
2011-10-05,15.92,16.48,15.82,16.43,16.0903,17915,0.0,1.0
2011-10-06,16.46,16.84,16.35,16.84,16.4918,23086,0.0,1.0
2011-10-07,16.92,17.0,16.61,16.72,16.3743,11268,0.0,1.0
2011-10-10,17.01,17.31,16.99,17.17,16.815,41117,0.0,1.0
2011-10-11,17.11,17.3675,17.02,17.3099,16.952,55398,0.0,1.0
2011-10-12,17.44,17.5736,17.37,17.37,17.0109,134947,0.0,1.0
2011-10-13,17.3,17.69,17.27,17.64,17.2753,14292,0.0,1.0
2011-10-14,17.94,18.07,17.85,18.0655,17.692,34905,0.0,1.0
2011-10-17,17.87,18.0,17.62,17.71,17.3439,100266,0.0,1.0
2011-10-18,17.58,18.09,17.4,18.05,17.6768,77599,0.0,1.0
2011-10-19,18.01,18.01,17.46,17.46,17.099,29694,0.0,1.0
2011-10-20,18.0,18.0,17.13,17.43,17.0696,28448,0.0,1.0
2011-10-21,17.67,18.01,17.5,17.59,17.2263,30107,0.0,1.0
2011-10-24,18.01,18.35,17.88,18.33,17.951,91052,0.0,1.0
2011-10-25,18.22,18.24,17.8034,17.8034,17.4353,48748,0.0,1.0
2011-10-26,18.0,18.0,17.5,17.8501,17.4811,30198,0.0,1.0
2011-10-27,18.52,18.84,18.3467,18.68,18.2938,241149,0.0,1.0
2011-10-28,18.71,18.9782,18.68,18.9782,18.5858,57639,0.0,1.0
2011-10-31,18.83,18.83,18.538,18.55,18.1665,71653,0.0,1.0
2011-11-01,18.15,18.17,17.8736,18.02,17.6474,49971,0.0,1.0
2011-11-02,18.39,18.68,18.1,18.32,17.9412,24119,0.0,1.0
2011-11-03,18.56,18.7797,18.2,18.7797,18.3914,26209,0.0,1.0
2011-11-04,18.77,18.87,18.5232,18.862,18.472,53617,0.0,1.0
2011-11-07,18.75,18.93,18.45,18.7604,18.3725,21675,0.0,1.0
2011-11-08,19.04,19.15,18.7,19.0301,18.6367,28631,0.0,1.0
2011-11-09,18.78,18.78,18.3,18.54,18.1567,43840,0.0,1.0
2011-11-10,18.63,18.63,18.14,18.286,17.9079,32267,0.0,1.0
2011-11-11,18.58,18.829,18.58,18.76,18.3721,37443,0.0,1.0
2011-11-14,18.79,18.921,18.69,18.83,18.4407,28306,0.0,1.0
2011-11-15,18.88,19.0689,18.7,19.02,18.6268,68701,0.0,1.0
2011-11-16,18.97,19.0299,18.699,18.76,18.3721,23549,0.0,1.0
2011-11-17,18.75,18.75,18.07,18.103,17.7287,19829,0.0,1.0
2011-11-18,18.25,18.27,17.86,17.89,17.5201,33173,0.0,1.0
2011-11-21,17.74,17.74,17.24,17.5101,17.1481,55109,0.0,1.0
2011-11-22,17.39,17.52,17.2,17.3683,17.0092,28688,0.0,1.0
2011-11-23,17.31,17.38,16.9384,16.9501,16.5997,40061,0.0,1.0
2011-11-25,16.8,17.04,16.8,16.8,16.4527,13618,0.0,1.0
2011-11-28,17.33,17.5099,17.3092,17.43,17.0696,30387,0.0,1.0
2011-11-29,17.51,17.51,17.25,17.2872,16.9298,20094,0.0,1.0
2011-11-30,17.82,18.039,17.82,17.99,17.6181,65638,0.0,1.0
2011-12-01,18.03,18.27,17.8801,18.1,17.7258,49304,0.0,1.0
2011-12-02,18.21,18.36,18.144,18.19,17.8139,19093,0.0,1.0
2011-12-05,18.54,18.731,18.5,18.551,18.1675,26674,0.0,1.0
2011-12-06,18.52,18.66,18.38,18.46,18.0783,52587,0.0,1.0
2011-12-07,18.45,18.4581,18.1104,18.384,18.0039,24633,0.0,1.0
2011-12-08,18.13,18.31,17.96,18.03,17.6572,35546,0.0,1.0
2011-12-09,18.0956,18.4001,18.0875,18.39,18.0098,43979,0.0,1.0
2011-12-12,18.09,18.09,17.95,18.04,17.667,46386,0.0,1.0
2011-12-13,18.22,18.24,17.694,17.7303,17.3637,18864,0.0,1.0
2011-12-14,17.79,18.03,17.24,17.39,17.0305,94409,0.0,1.0
2011-12-15,17.59,17.59,17.28,17.3001,16.9424,14397,0.0,1.0
2011-12-16,17.35,17.6,17.3195,17.3453,16.9867,21648,0.0,1.0
2011-12-19,17.42,17.42,17.0,17.02,16.6681,31040,0.0,1.0
2011-12-20,17.45,17.59,17.27,17.589,17.2254,29723,0.0,1.0
2011-12-21,17.4,17.4,16.64,16.8456,16.5106,52224,0.0136,1.0
2011-12-22,17.06,17.24,17.06,17.225,16.8825,47865,0.0,1.0
2011-12-23,17.24,17.3301,17.2,17.3301,16.9855,17875,0.0,1.0
2011-12-27,17.22,17.458,17.22,17.41,17.0638,20146,0.0,1.0
2011-12-28,17.31,17.31,17.09,17.11,16.7698,65504,0.0,1.0
2011-12-29,17.06,17.29,17.06,17.29,16.9462,30879,0.0,1.0
2011-12-30,17.17,17.32,17.17,17.2,16.858,31847,0.0,1.0
2012-01-03,17.5,17.68,17.4,17.44,17.0932,35853,0.0,1.0
2012-01-04,17.31,17.31,17.04,17.26,16.9168,86426,0.0,1.0
2012-01-05,17.16,17.38,17.14,17.31,16.9658,70373,0.0,1.0
2012-01-06,17.27,17.46,17.27,17.41,17.0638,40795,0.0,1.0
2012-01-09,17.52,17.61,17.35,17.54,17.1912,42060,0.0,1.0
2012-01-10,17.79,17.79,17.55,17.59,17.2402,33890,0.0,1.0
2012-01-11,17.61,17.71,17.6001,17.68,17.3285,16912,0.0,1.0
2012-01-12,17.79,17.79,17.52,17.69,17.3383,15929,0.0,1.0
2012-01-13,17.55,17.5755,17.42,17.57,17.2206,45795,0.0,1.0
2012-01-17,17.74,17.85,17.591,17.66,17.3089,16723,0.0,1.0
2012-01-18,17.7266,18.05,17.6301,18.0301,17.6716,38398,0.0,1.0
