,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,28.35,28.66,28.3,28.41,23.3989,9452624,0.0,1.0
2010-01-05,28.45,28.54,28.08,28.25,23.2672,14578891,0.0,1.0
2010-01-06,28.21,28.45,28.08,28.18,23.2095,10664500,0.0,1.0
2010-01-07,28.09,28.16,27.76,27.96,23.0283,14338895,0.0,1.0
2010-01-08,27.94,28.55,27.87,28.52,23.4895,20879500,0.0,1.0
2010-01-11,28.6,28.72,28.1,28.42,23.4072,15761665,0.0,1.0
2010-01-12,28.14,28.18,27.22,27.41,22.5753,18655900,0.0,1.0
2010-01-13,27.62,27.86,27.09,27.76,22.8636,16446800,0.0,1.0
2010-01-14,27.79,27.82,27.44,27.8,22.8965,26025900,0.0,1.0
2010-01-15,27.68,27.72,26.91,26.93,22.18,22321900,0.0,1.0
2010-01-19,27.01,27.4,27.0,27.32,22.5012,15189600,0.0,1.0
2010-01-20,27.16,27.19,26.8,27.17,22.3777,21539397,0.0,1.0
2010-01-21,27.22,27.5799,26.8,27.01,22.2459,24179409,0.0,1.0
2010-01-22,26.77,26.82,25.53,25.67,21.1422,36502171,0.0,1.0
2010-01-25,25.84,26.2,25.82,26.02,21.4305,20081200,0.0,1.0
2010-01-26,25.9,26.24,25.77,25.8,21.2493,14647300,0.0,1.0
2010-01-27,25.8,25.8,25.8,25.8,21.2493,22986500,0.0,1.0
2010-01-28,26.15,26.22,25.095,25.54,21.0531,30259178,0.0217,1.0
2010-01-29,25.68,25.85,24.53,24.76,20.4101,27938800,0.0,1.0
2010-02-01,24.87,25.4,24.86,25.3,20.8552,13336260,0.0,1.0
2010-02-02,25.3,25.3,25.3,25.3,20.8552,14726300,0.0,1.0
2010-02-03,25.42,25.61,25.235,25.5,21.0497,13459775,0.0359,1.0
2010-02-04,25.26,25.28,24.44,24.51,20.2325,23939355,0.0,1.0
2010-02-05,24.51,24.51,24.51,24.51,20.2325,29409100,0.0,1.0
2010-02-08,25.08,25.5,24.79,25.01,20.6518,18973600,0.008,1.0
2010-02-09,25.42,25.62,25.12,25.27,20.8665,13940200,0.0,1.0
2010-02-10,25.18,25.51,25.03,25.34,20.9305,12188500,0.0075,1.0
2010-02-11,25.3,25.99,25.15,25.79,21.3059,15787000,0.0045,1.0
2010-02-12,25.64,26.36,25.37,26.06,21.529,20579800,0.0,1.0
2010-02-16,26.39,26.77,26.07,26.64,22.0081,26924200,0.0,1.0
2010-02-17,26.8,26.9,26.36,26.66,22.0266,17873264,0.0024,1.0
2010-02-18,26.56,26.84,26.38,26.81,22.1506,19746647,0.0,1.0
2010-02-19,26.81,26.81,26.81,26.81,22.1506,11216900,0.0,1.0
2010-02-22,26.98,26.99,26.58,26.76,22.1221,10737450,0.0156,1.0
2010-02-23,26.6,26.69,25.93,26.11,21.5848,17940800,0.0,1.0
2010-02-24,26.26,26.8,26.18,26.57,21.9651,15411200,0.0,1.0
2010-02-25,26.12,26.56,25.92,26.53,21.932,14255600,0.0,1.0
2010-02-26,26.64,26.64,26.1801,26.38,21.808,13504400,0.0,1.0
2010-03-01,26.64,27.06,26.6,27.02,22.3371,11303176,0.0,1.0
2010-03-02,27.02,27.02,27.02,27.02,22.3371,12153700,0.0,1.0
2010-03-03,26.9,27.1,26.61,26.69,22.0742,9888900,0.012,1.0
2010-03-04,26.67,26.82,26.33,26.73,22.1073,18609900,0.0,1.0
2010-03-05,26.8802,27.14,26.65,27.03,22.3554,14971895,0.0,1.0
2010-03-08,27.06,27.15,26.93,26.94,22.281,5706140,0.0,1.0
2010-03-09,26.75,27.07,26.62,26.8,22.1652,20419436,0.0,1.0
2010-03-10,26.89,27.46,26.86,27.36,22.6283,14252700,0.0,1.0
2010-03-11,27.22,27.3,26.83,27.1,22.4133,16786440,0.0,1.0
2010-03-12,27.2,27.24,26.95,27.01,22.3389,11859070,0.0,1.0
2010-03-15,26.93,26.98,26.65,26.83,22.19,5920450,0.0,1.0
2010-03-16,26.92,27.74,26.92,27.66,22.8764,22498670,0.0,1.0
2010-03-17,27.66,27.66,27.66,27.66,22.8764,18109000,0.0,1.0
2010-03-18,27.99,28.53,27.65,27.85,23.0376,12856854,0.0048,1.0
2010-03-19,27.9,27.91,27.29,27.49,22.7398,14200054,0.0,1.0
2010-03-22,27.34,28.07,27.29,27.99,23.1534,11130900,0.0,1.0
2010-03-23,28.1,28.63,28.08,28.61,23.6662,15927959,0.0,1.0
2010-03-24,28.45,28.45,27.85,27.96,23.1285,16778114,0.0,1.0
2010-03-25,28.25,28.37,27.88,27.91,23.0872,11756100,0.0,1.0
2010-03-26,27.98,28.18,27.55,27.8,22.9962,10821157,0.0,1.0
2010-03-29,28.0,28.13,27.89,27.95,23.1203,3893800,0.0,1.0
2010-03-30,28.04,28.2,27.76,28.04,23.1947,6438475,0.0,1.0
2010-03-31,27.98,28.245,27.83,27.87,23.0541,10825500,0.0,1.0
2010-04-01,28.11,28.48,27.685,27.92,23.0955,11695742,0.0,1.0
2010-04-05,28.06,28.61,27.9999,28.58,23.6414,7786218,0.0,1.0
2010-04-06,28.45,28.47,28.195,28.35,23.4512,6718184,0.0,1.0
2010-04-07,28.25,28.71,28.12,28.5,23.5752,15959660,0.0,1.0
2010-04-08,28.27,28.32,27.945,28.07,23.2195,12007600,0.0,1.0
2010-04-09,28.23,28.39,28.06,28.38,23.476,6244087,0.0,1.0
2010-04-12,28.42,28.96,28.42,28.75,23.782,12753438,0.0,1.0
2010-04-13,28.76,29.02,28.6116,28.98,23.9723,11732720,0.0,1.0
2010-04-14,29.71,30.25,28.9413,30.16,24.9484,22911917,0.0,1.0
2010-04-15,30.24,30.54,30.12,30.45,25.1883,14464995,0.0,1.0
2010-04-16,30.23,30.27,29.73,30.04,24.8491,17626350,0.0,1.0
2010-04-19,29.96,30.13,29.3,29.91,24.7416,24441750,0.0,1.0
2010-04-20,30.1,30.29,29.86,30.24,25.0146,9082900,0.0,1.0
2010-04-21,30.37,30.48,29.48,29.84,24.6837,15757350,0.0,1.0
2010-04-22,29.56,30.3,29.11,30.24,25.0146,25349440,0.0,1.0
2010-04-23,30.23,30.38,29.83,30.33,25.089,8667500,0.0,1.0
2010-04-26,30.42,30.67,30.25,30.4,25.1469,11032900,0.0,1.0
2010-04-27,30.4,30.4,30.4,30.4,25.1469,14303300,0.0,1.0
2010-04-28,29.66,29.85,29.12,29.61,24.5114,11735380,0.0217,1.0
2010-04-29,29.65,30.06,29.53,30.05,24.8756,15674700,0.0,1.0
2010-04-30,29.95,29.98,28.92,28.99,23.9982,19924500,0.0,1.0
2010-05-03,29.22,29.78,29.11,29.6,24.5031,11870558,0.0,1.0
2010-05-04,29.17,29.17,28.19,28.55,23.6339,20023200,0.0,1.0
2010-05-05,28.2,28.66,27.78,28.36,23.5064,18359600,0.0359,1.0
2010-05-06,28.23,28.57,25.55,27.39,22.7049,23618400,0.003,1.0
2010-05-07,27.18,27.57,26.01,27.0,22.3816,29054400,0.0,1.0
2010-05-10,28.31,28.46,27.92,28.39,23.5338,18604590,0.0,1.0
2010-05-11,28.39,28.39,28.39,28.39,23.5338,23601700,0.0,1.0
2010-05-12,28.47,29.04,28.33,29.04,24.0788,14342098,0.0075,1.0
2010-05-13,28.79,29.0,28.05,28.16,23.3492,16278953,0.0,1.0
2010-05-14,27.88,27.89,26.97,27.45,22.7605,26726045,0.0,1.0
2010-05-17,27.38,27.98,27.03,27.91,23.1485,24219034,0.008,1.0
2010-05-18,28.15,28.22,26.985,27.15,22.5182,28397500,0.0,1.0
2010-05-19,27.13,27.59,26.69,27.37,22.7006,27246600,0.0,1.0
2010-05-20,26.65,27.185,26.18,26.68,22.1284,39276676,0.0,1.0
2010-05-21,26.04,27.34,26.0,26.94,22.344,24216200,0.0,1.0
2010-05-24,26.93,27.08,26.54,26.54,22.0273,16651800,0.0182,1.0
2010-05-25,25.9,26.84,25.64,26.84,22.2763,19885098,0.0,1.0
2010-05-26,27.06,27.45,26.57,26.65,22.1296,18158699,0.0132,1.0
2010-05-27,27.2,27.9,27.2,27.87,23.1427,24252100,0.0,1.0
2010-05-28,27.88,27.88,27.12,27.42,22.769,21015100,0.0,1.0
2010-06-01,27.27,27.75,26.94,26.96,22.387,25597015,0.0,1.0
2010-06-02,27.17,27.76,26.94,27.76,23.0533,21005600,0.0024,1.0
2010-06-03,27.93,28.17,27.62,28.11,23.344,18319900,0.0,1.0
2010-06-04,27.5,27.9,26.815,26.98,22.4056,16942800,0.0,1.0
2010-06-07,27.13,27.26,26.0675,26.12,21.6914,15816890,0.0,1.0
2010-06-08,26.19,26.23,25.44,26.19,21.7495,32177564,0.0,1.0
2010-06-09,26.49,26.85,25.83,25.94,21.5419,20825510,0.0,1.0
2010-06-10,26.41,26.87,26.32,26.81,22.2644,18757300,0.0,1.0
2010-06-11,26.51,27.16,26.5,27.08,22.4886,13085400,0.0,1.0
2010-06-14,27.4,27.67,27.16,27.2,22.5883,12994231,0.0,1.0
2010-06-15,27.46,28.53,27.3,28.45,23.6263,20635000,0.0,1.0
2010-06-16,28.28,28.675,28.01,28.531,23.6936,18636400,0.0,1.0
2010-06-17,28.71,28.76,28.1,28.55,23.7134,11558900,0.0048,1.0
2010-06-18,28.53,28.74,28.31,28.46,23.6386,9793282,0.0,1.0
2010-06-21,28.86,28.9,28.06,28.2,23.4226,11601920,0.0,1.0
2010-06-22,28.37,28.63,27.71,27.81,23.0987,14581652,0.0,1.0
2010-06-23,27.82,28.22,27.46,27.87,23.1485,19879300,0.0,1.0
2010-06-24,27.73,27.78,27.1,27.23,22.617,14838800,0.0,1.0
2010-06-25,27.33,27.35,26.72,27.17,22.5671,13882665,0.0,1.0
2010-06-28,27.19,27.61,27.03,27.37,22.7333,12290050,0.0,1.0
2010-06-29,26.85,26.86,26.191,26.36,21.8944,18770300,0.0,1.0
2010-06-30,26.33,26.68,25.83,25.92,21.5289,11466700,0.0,1.0
2010-07-01,25.88,26.15,25.21,25.82,21.4458,25703829,0.0,1.0
2010-07-02,25.88,25.98,25.27,25.68,21.3296,15993800,0.0,1.0
2010-07-06,26.17,26.31,25.52,25.78,21.4126,11234750,0.0,1.0
2010-07-07,25.82,27.05,25.74,27.02,22.4425,17552827,0.0,1.0
2010-07-08,27.25,27.25,26.53,26.95,22.3844,14764700,0.0,1.0
2010-07-09,26.96,27.3,26.84,27.3,22.6751,5440200,0.0,1.0
2010-07-12,27.28,27.67,27.23,27.59,22.916,11977450,0.0,1.0
2010-07-13,28.0,28.35,27.81,28.19,23.4143,13260950,0.0,1.0
2010-07-14,28.74,28.9,27.94,28.1,23.3396,16784865,0.0,1.0
2010-07-15,28.06,28.2501,27.62,28.12,23.3562,12744452,0.0,1.0
2010-07-16,27.97,28.1,27.4,27.45,22.7997,11084450,0.0,1.0
2010-07-19,27.55,28.2,27.55,28.16,23.3894,14839000,0.0,1.0
2010-07-20,27.28,28.055,27.09,27.99,23.2482,16974377,0.0,1.0
2010-07-21,28.15,28.15,27.42,27.48,22.8246,18633500,0.0,1.0
2010-07-22,27.74,28.51,27.7,28.34,23.5389,18672650,0.0,1.0
2010-07-23,28.2,28.5,27.9305,28.44,23.622,17869700,0.0,1.0
2010-07-26,28.48,28.7,28.09,28.67,23.813,13640500,0.0,1.0
2010-07-27,28.8,28.83,28.43,28.56,23.7217,16818107,0.0,1.0
2010-07-28,28.42,28.69,28.01,28.08,23.341,17718900,0.0217,1.0
2010-07-29,28.26,28.36,27.2999,27.64,22.9753,23486100,0.0,1.0
2010-07-30,27.39,27.56,26.95,27.39,22.7675,21550850,0.0,1.0
2010-08-02,27.64,28.03,27.39,27.88,23.1748,9108262,0.0,1.0
2010-08-03,27.7,27.74,27.33,27.5,22.8589,14219420,0.0,1.0
2010-08-04,27.55,27.76,27.26,27.73,23.0799,14270238,0.0359,1.0
2010-08-05,27.65,28.02,27.59,27.77,23.1132,15091481,0.0,1.0
2010-08-06,27.45,27.93,27.41,27.75,23.0996,17525500,0.0036,1.0
2010-08-09,27.84,28.0,27.55,27.87,23.2061,7172810,0.008,1.0
2010-08-10,27.42,27.45,26.93,27.19,22.6399,24226850,0.0,1.0
2010-08-11,26.74,26.75,26.24,26.51,22.08,19058740,0.0075,1.0
2010-08-12,25.87,26.19,25.62,26.03,21.6864,21034944,0.0075,1.0
2010-08-13,25.97,26.24,25.7,25.7,21.4115,6862100,0.0,1.0
2010-08-16,25.67,26.12,25.48,25.95,21.6198,8052100,0.0,1.0
2010-08-17,26.23,26.52,26.09,26.26,21.878,8637720,0.0,1.0
2010-08-18,26.26,26.75,26.1303,26.54,22.1113,8508311,0.0,1.0
2010-08-19,26.31,26.54,25.9475,26.01,21.6698,10015800,0.0,1.0
2010-08-20,25.95,26.26,25.8,25.98,21.6448,12573817,0.0,1.0
2010-08-23,26.11,26.2,25.69,25.735,21.4558,7660550,0.0182,1.0
2010-08-24,25.4499,25.65,25.16,25.33,21.1182,13587192,0.0,1.0
