,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-03-11,38.55,39.63,38.55,39.63,9.3465,61650,0.0,1.0
2010-03-12,39.66,39.92,38.65,38.65,9.1154,75810,0.0,1.0
2010-03-15,37.87,38.275,36.85,37.43,8.8277,8870,0.0,1.0
2010-03-16,37.9,40.51,37.84,40.47,9.5447,21010,0.0,1.0
2010-03-17,42.0,42.42,41.17,41.93,9.889,43481,0.0,1.0
2010-03-18,41.93,42.05,40.33,40.91,9.6484,26385,0.0,1.0
2010-03-19,40.4,40.4185,38.38,39.05,9.2098,26570,0.0,1.0
2010-03-22,38.28,42.02,38.06,41.87,9.8748,63377,0.0,1.0
2010-03-23,42.46,44.73,42.44,44.57,10.5116,101911,0.0,1.0
2010-03-24,44.14,44.14,41.88,42.0999,9.9291,33869,0.0,1.0
2010-03-25,43.92,44.55,41.85,41.89,9.8796,33871,0.0,1.0
2010-03-26,43.01,43.23,40.41,41.23,9.7239,38650,0.0,1.0
2010-03-29,42.56,42.82,42.0399,42.34,9.9857,22999,0.0,1.0
2010-03-30,43.0,43.6,41.89,43.15,10.1767,32030,0.0,1.0
2010-03-31,43.48,43.7999,42.25,42.48,10.0187,17920,0.0,1.0
2010-04-01,43.67,45.43,41.91,42.62,10.0517,27396,0.0,1.0
2010-04-05,44.24,46.4,41.41,46.23,10.9031,24905,0.0,1.0
2010-04-06,45.35,46.18,44.83,45.53,10.738,33243,0.0,1.0
2010-04-07,45.77,46.93,44.51,45.98,10.8442,56890,0.0,1.0
2010-04-08,45.15,45.15,42.88,44.35,10.4597,74492,0.0,1.0
2010-04-09,44.86,45.5499,43.84,45.53,10.738,20860,0.0,1.0
2010-04-12,46.22,47.85,45.67,46.67,11.0069,39958,0.0,1.0
2010-04-13,46.93,47.8,46.33,47.57,11.2192,48375,0.0,1.0
2010-04-14,50.52,53.8644,50.52,53.69,12.6625,108304,0.0,1.0
2010-04-15,54.65,55.39,53.5409,54.15,12.771,211032,0.0,1.0
2010-04-16,53.5,53.5,49.7101,52.15,12.2993,74153,0.0,1.0
2010-04-19,50.4,51.93,47.51,50.3901,11.8843,95217,0.0,1.0
2010-04-20,51.86,53.2,51.5,52.83,12.4597,48700,0.0,1.0
2010-04-21,53.2,54.37,48.84,51.18,12.0706,96133,0.0,1.0
2010-04-22,50.18,54.24,47.8399,54.07,12.7521,109898,0.0,1.0
2010-04-23,54.96,54.96,52.12,54.31,12.8088,59983,0.0,1.0
2010-04-26,54.8,56.28,54.41,54.79,12.922,64089,0.0,1.0
2010-04-27,52.5,54.39,48.959,49.12,11.5847,85186,0.0,1.0
2010-04-28,50.12,52.75,47.61,50.1,11.8158,114331,0.0,1.0
2010-04-29,50.12,52.0,49.53,51.82,12.2215,97293,0.0,1.0
2010-04-30,50.5,50.5,44.72,44.83,10.5729,168388,0.0,1.0
2010-05-03,45.46,48.836,45.46,48.13,11.3512,82067,0.0,1.0
2010-05-04,47.13,47.13,39.68,41.76,9.8489,319139,0.0,1.0
2010-05-05,41.1,42.35,38.4901,40.42,9.5329,131940,0.0,1.0
2010-05-06,40.0,41.74,25.0,36.98,8.7216,290800,0.0,1.0
2010-05-07,36.0,37.0888,30.86,34.73,8.1909,206202,0.0,1.0
2010-05-10,40.8,40.9599,38.811,40.8,9.6225,120035,0.0,1.0
2010-05-11,38.62,42.15,38.13,40.02,9.4385,461986,0.0,1.0
2010-05-12,40.68,43.48,40.6799,43.27,10.205,705420,0.0,1.0
2010-05-13,42.11,43.85,39.33,39.88,9.4055,483198,0.0,1.0
2010-05-14,38.94,38.94,34.0599,36.2399,8.547,264229,0.0,1.0
2010-05-17,35.47,38.088,34.203,37.74,8.9008,318930,0.0,1.0
2010-05-18,38.67,39.32,34.1452,34.66,8.1744,268796,0.0,1.0
2010-05-19,34.49,36.25,32.8,35.21,8.3041,355060,0.0,1.0
2010-05-20,32.5,34.57,30.26,32.34,7.6272,177247,0.0,1.0
2010-05-21,31.0,35.94,30.23,34.45,8.1249,186966,0.0,1.0
2010-05-24,33.77,35.088,32.42,32.42,7.6461,182329,0.0,1.0
2010-05-25,29.66,33.16,28.5,33.15,7.8183,180723,0.0,1.0
2010-05-26,34.82,36.22,32.786,32.98,7.7782,237454,0.0,1.0
2010-05-27,35.54,38.05,35.04,38.0,8.9621,176232,0.0,1.0
2010-05-28,38.44,38.44,34.63,36.17,8.5305,154733,0.0,1.0
2010-06-01,35.9399,37.27,33.71,33.71,7.9503,75415,0.0,1.0
2010-06-02,34.91,37.354,33.85,37.31,8.7994,184845,0.0,1.0
2010-06-03,37.98,39.18,36.9,38.74,9.1366,151669,0.0,1.0
2010-06-04,37.74,37.83,33.146,33.7,7.948,227452,0.0,1.0
2010-06-07,34.19,34.68,29.701,29.938,7.0607,305127,0.0,1.0
2010-06-08,30.11,30.25,27.414,29.61,6.9834,208332,0.0,1.0
2010-06-09,30.42,32.31,28.65,29.02,6.8442,143888,0.0,1.0
2010-06-10,30.56,32.32,30.09,32.21,7.5966,158380,0.0,1.0
2010-06-11,31.08,33.73,30.8,33.585,7.9209,108412,0.0,1.0
2010-06-14,35.21,36.15,34.15,34.2266,8.0722,115394,0.0,1.0
2010-06-15,35.0,40.18,35.0,39.926,9.4164,241587,0.0,1.0
2010-06-16,39.08,41.3776,38.04,40.48,9.547,237046,0.0,1.0
2010-06-17,41.28,41.37,38.17,40.22,9.4857,145348,0.0,1.0
