,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-03-11,41.44,41.44,40.28,40.28,150770.5179,44000,0.0,1.0
2010-03-12,40.26,41.13,39.56,41.11,153877.259,82000,0.0,1.0
2010-03-15,42.28,42.8316,41.97,42.5998,159453.672,4860,0.0,1.0
2010-03-16,39.75,39.75,39.1289,39.1289,146461.8798,700,0.0,1.0
2010-03-17,39.13,39.13,39.13,39.13,146465.9972,0,0.0,1.0
2010-03-18,39.13,39.13,39.13,39.13,146465.9972,0,0.0,1.0
2010-03-19,40.77,40.82,40.77,40.82,152791.7711,345,0.0,1.0
2010-03-22,41.55,41.55,37.47,37.47,140252.515,900,0.0,1.0
2010-03-23,36.82,36.82,35.64,35.68,133552.4349,12300,0.0,1.0
2010-03-24,35.63,36.61,35.61,36.61,137033.4821,7600,0.0,1.0
2010-03-25,35.6,37.1399,35.2499,37.09,138830.1517,5000,0.0,1.0
2010-03-26,36.09,38.4799,35.9199,37.81,141525.1559,20545,0.0,1.0
2010-03-29,38.0,38.0,36.48,36.6099,137033.1078,1050,0.0,1.0
2010-03-30,36.43,36.43,36.43,36.43,136359.7311,200,0.0,1.0
2010-03-31,36.87,36.87,35.42,36.51,136659.176,12810,0.0,1.0
2010-04-01,34.65,37.16,34.224,36.69,137332.927,21626,0.0,1.0
2010-04-05,33.75,33.75,33.14,33.21,124307.073,5665,0.0,1.0
2010-04-06,33.87,34.13,33.36,33.75,126328.3262,10150,0.0,1.0
2010-04-07,34.23,34.3374,32.9,33.1,123895.3362,4525,0.0,1.0
2010-04-08,33.7,35.54,33.7,34.82,130333.402,5900,0.0,1.0
2010-04-09,34.5,34.5,34.39,34.4,128761.3162,2700,0.0,1.0
2010-04-12,33.3412,33.3412,31.9,32.7399,122547.4598,5050,0.0,1.0
2010-04-13,32.84,32.904,32.1099,32.1099,120189.331,8218,0.0,1.0
2010-04-14,29.94,29.94,27.83,27.95,104618.5694,23170,0.0,1.0
2010-04-15,27.8,28.16,27.21,27.68,103607.9428,31895,0.0,1.0
2010-04-16,28.28,29.476,28.28,28.69,107388.4349,11967,0.0,1.0
2010-04-19,29.43,31.3384,29.02,29.67,111056.6352,15365,0.0,1.0
2010-04-20,28.72,29.04,28.3335,28.35,106115.794,10420,0.0,1.0
2010-04-21,27.5036,30.0499,27.5036,29.3699,109933.3424,4852,0.0,1.0
2010-04-22,30.25,31.05,27.35,27.35,102372.7325,38868,0.0,1.0
2010-04-23,28.0499,28.4294,27.2099,27.2099,101848.3296,32609,0.0,1.0
2010-04-26,26.5,27.2999,26.49,27.2999,102185.2051,9855,0.0,1.0
2010-04-27,27.995,30.0,27.6636,30.0,112291.8455,7946,0.0,1.0
2010-04-28,28.5948,30.8012,28.4001,30.0099,112328.9018,12079,0.0,1.0
2010-04-29,30.46,30.46,27.7,28.32,106003.5022,26150,0.0,1.0
2010-04-30,29.0,32.21,29.0,32.21,120564.0115,17322,0.0,1.0
2010-05-03,31.07,31.21,29.266,29.72,111243.7883,16746,0.0,1.0
2010-05-04,30.75,34.7199,30.75,33.63,125879.1588,47260,0.0,1.0
2010-05-05,40.44,40.44,33.13,34.72,129959.0959,42000,0.0,1.0
2010-05-06,35.35,44.99,28.0,37.04,138642.9986,56000,0.0,1.0
2010-05-07,39.53,43.82,37.458,39.54,148000.6524,92008,0.0,1.0
2010-05-10,33.95,34.99,32.78,32.8,122772.4177,31550,0.0,1.0
2010-05-11,34.62,34.76,31.77,33.45,125205.4077,174691,0.0,1.0
2010-05-12,32.56,32.56,30.49,30.49,114125.9456,393976,0.0,1.0
2010-05-13,31.85,33.44,30.28,33.0101,123558.835,506116,0.0,1.0
