,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,49.79,50.27,49.66,49.83,44.4321,126818,0.0,1.0
2010-01-05,49.91,50.19,49.44,49.75,44.3608,205697,0.0,1.0
2010-01-06,49.76,50.01,49.5501,49.6,44.227,73183,0.0,1.0
2010-01-07,49.56,49.56,48.87,49.21,43.8793,100212,0.0,1.0
2010-01-08,49.11,49.967,49.11,49.95,44.5391,77632,0.0,1.0
2010-01-11,50.15,50.3001,49.39,49.8,44.4054,89778,0.0,1.0
2010-01-12,49.32,49.32,47.75,48.06,42.8539,105653,0.0,1.0
2010-01-13,48.34,48.77,47.33,48.62,43.3532,114228,0.0,1.0
2010-01-14,48.53,48.59,48.0273,48.53,43.273,141441,0.0,1.0
2010-01-15,48.5,48.5,46.83,46.95,41.8641,163896,0.0,1.0
2010-01-19,47.0,47.6,47.0,47.49,42.3456,132636,0.0,1.0
2010-01-20,47.28,47.52,46.87,47.49,42.3456,305495,0.0,1.0
2010-01-21,47.49,48.25,46.93,47.19,42.0781,254309,0.0,1.0
2010-01-22,46.93,46.93,44.8434,44.97,40.0986,244410,0.0,1.0
2010-01-25,45.25,45.911,45.2,45.59,40.6514,178872,0.0,1.0
2010-01-26,45.36,45.84,45.13,45.18,40.2858,205499,0.0,1.0
2010-01-27,45.2,45.92,44.853,45.8115,40.8489,260920,0.0,1.0
2010-01-28,45.82,45.82,43.75,44.46,39.6438,394688,0.0,1.0
2010-01-29,44.7,45.19,42.69,42.98,38.3242,299725,0.0,1.0
2010-02-01,43.18,44.49,43.18,44.44,39.626,563537,0.0,1.0
2010-02-02,44.48,45.1165,44.27,44.9,40.0362,234467,0.0,1.0
2010-02-03,44.79,45.15,44.51,44.89,40.0273,160455,0.0,1.0
2010-02-04,44.42,44.42,42.88,42.95,38.2974,204964,0.0,1.0
2010-02-05,43.0,43.98,42.66,43.93,39.1713,258787,0.0,1.0
2010-02-08,43.97,44.512,43.37,43.75,39.0108,99226,0.0,1.0
2010-02-09,44.34,44.8,43.8989,44.27,39.4744,90913,0.0,1.0
2010-02-10,44.23,44.66,43.85,44.54,39.7152,151258,0.0,1.0
2010-02-11,44.46,45.56,44.18,45.46,40.5355,150578,0.0,1.0
2010-02-12,44.95,46.2911,44.59,45.87,40.9011,171571,0.0,1.0
2010-02-16,46.29,46.94,46.0401,46.87,41.7928,144096,0.0,1.0
2010-02-17,47.12,47.1999,46.27,46.83,41.7571,112171,0.0,1.0
2010-02-18,46.62,47.01,46.25,46.99,41.8998,357493,0.0,1.0
2010-02-19,46.76,47.37,46.54,47.12,42.0157,441432,0.0,1.0
2010-02-22,47.37,47.44,46.87,47.03,41.9354,279983,0.0,1.0
2010-02-23,46.91,46.91,45.51,45.82,40.8565,125085,0.0,1.0
2010-02-24,46.03,46.93,46.03,46.68,41.6234,156500,0.0,1.0
2010-02-25,45.82,46.59,45.4001,46.49,41.4539,125423,0.0,1.0
2010-02-26,46.52,46.52,45.9,46.41,41.3826,79995,0.0,1.0
2010-03-01,46.64,47.61,46.64,47.51,42.3634,73376,0.0,1.0
2010-03-02,47.66,48.1,47.35,47.51,42.3634,134692,0.0,1.0
